@relation pima_diabetes
@attribute 'daici' numeric
@attribute 'dongci' numeric
@attribute 'renming' numeric
@attribute 'mingci' numeric
@attribute 'zhuci' numeric
@attribute 'shijianmingci' numeric
@attribute 'jieci' numeric
@attribute 'gantanci' numeric
@attribute 'fangweimingci' numeric
@attribute 'shuci' numeric
@attribute 'fuci' numeric
@attribute 'xiyu' numeric
@attribute 'biaodian' numeric
@attribute 'xingrongci' numeric
@attribute 'juzishu' numeric
@attribute 'tingdunshu' numeric
@attribute 'juziposuidu' numeric
@attribute 'class' { unsucc, succ}
@data
2.006772009,6.338600451,0.735891648,6.981941309,3.056433409,0.273137698,5.32731377,0.011286682,0.625282167,0.941309255,3.58013544,0.338600451,4.399548533,1.14221219,443,1697,3.830699774,succ
1.500680272,3.961904762,0.367346939,3.28707483,2.167346939,0.182312925,3.936054422,0.031292517,0.306122449,0.429931973,1.967346939,0.178231293,3.337414966,0.696598639,1470,3640,2.476190476,unsucc
1.793103448,7.912225705,0.564263323,8.225705329,3.946708464,0.272727273,6.119122257,0.05015674,0.805642633,1.294670846,3.896551724,0.275862069,4.780564263,1.648902821,319,1408,4.413793103,succ
1.317251462,4.087719298,0.615497076,3.652046784,1.709064327,0.211988304,3.494152047,0.049707602,0.261695906,0.75,2.002923977,0.165204678,3.096491228,0.773391813,684,1746,2.552631579,succ
2.077067669,5.714285714,0.398496241,6.131578947,2.659774436,0.251879699,5.72556391,0.009398496,0.460526316,0.919172932,2.580827068,0.265037594,4.79887218,1.093984962,1064,4258,4.001879699,unsucc
5.470930233,18.08139535,2.436046512,16.70348837,5.953488372,0.598837209,14.24418605,0.174418605,1.069767442,3.186046512,6.73255814,0.645348837,12.16860465,3.005813953,344,2694,7.831395349,unsucc
1.408955224,5.605970149,0.402985075,4.979104478,3.005970149,0.197014925,7.131343284,0.026865672,0.534328358,1.065671642,3.056716418,0.164179104,6.241791045,1.062686567,670,2084,3.110447761,unsucc
1.526119403,4.76119403,0.40858209,4.539179104,2.481343284,0.305970149,4.677238806,0.069029851,0.348880597,0.72761194,2.5,0.173507463,3.947761194,1,536,1581,2.949626866,succ
0.824717286,2.991114701,0.468497577,2.723747981,1.613893376,0.095315024,3.088045234,0.038772213,0.129240711,0.352988691,1.344911147,0.088852989,2.719709208,0.533925687,1238,2439,1.970113086,succ
1.811700183,5.992687386,0.68190128,5.740402194,2.619744059,0.213893967,5.961608775,0.032906764,0.418647166,0.906764168,2.658135283,0.319926874,5.223034735,1.071297989,1094,4678,4.276051188,unsucc
1.886597938,6.515463918,0.804123711,6.961340206,2.966494845,0.221649485,6.190721649,0.028350515,0.646907216,1.06443299,3.680412371,0.193298969,5.296391753,1.414948454,388,1667,4.296391753,succ
0.98630137,4.753424658,0.458281445,4.805728518,2.384806974,0.108343711,4.473225405,0.00498132,0.576587796,0.97758406,2.169364882,0.104607721,3.678704857,0.825653798,803,2551,3.176836862,succ
1.44032445,5.292004635,0.369640788,4.969872538,2.537659328,0.126303592,4.473928158,0.018539977,0.283893395,0.534183082,2.309385863,0.280417149,3.778679027,1.179606025,863,2725,3.157589803,succ
1.722358722,3.707616708,0.616707617,2.764127764,1.977886978,0.085995086,3.095823096,0.020884521,0.221130221,0.416461916,1.839066339,0.105651106,2.594594595,0.512285012,1628,3068,1.884520885,unsucc
1.469594595,4.021959459,0.283783784,3.190878378,1.802364865,0.290540541,4.119932432,0.060810811,0.268581081,0.550675676,1.726351351,0.158783784,3.650337838,0.670608108,1184,3120,2.635135135,unsucc
0.991659716,3.53294412,0.497080901,3.497914929,1.534612177,0.164303586,3.7206005,0.01501251,0.253544621,0.535446205,1.579649708,0.134278565,3.268557131,0.637197665,2398,6126,2.554628857,unsucc
2.510344828,6.505747126,0.620689655,5.742528736,3.16091954,0.232183908,5.190804598,0.016091954,0.537931034,0.887356322,3.413793103,0.31954023,4.098850575,1.340229885,870,3076,3.535632184,unsucc
2.923287671,7.578082192,0.969863014,6.810958904,3.797260274,0.161643836,6.328767123,0.04109589,0.687671233,1.164383562,3.498630137,0.402739726,5.2,1.367123288,730,3010,4.123287671,unsucc
1.502066116,5.743801653,0.55785124,5.745867769,2.55785124,0.142561983,5.301652893,0.020661157,0.5,1.150826446,2.392561983,0.148760331,4.510330579,0.820247934,968,3500,3.615702479,unsucc
1.224852071,4.162130178,0.314792899,3.80591716,2.113609467,0.107692308,3.880473373,0.028402367,0.33964497,0.49704142,1.796449704,0.136094675,3.402366864,0.760946746,845,2137,2.528994083,succ
1.134177215,4.936708861,0.348101266,5.988607595,2.17721519,0.165822785,5.26835443,0.006329114,0.415189873,0.997468354,2.42278481,0.184810127,4.532911392,0.964556962,790,2974,3.764556962,succ
1.629844961,4.978036176,0.335271318,4.813307494,2.718992248,0.19379845,4.319121447,0.016795866,0.36369509,0.657622739,2.782299742,0.329457364,3.496770026,1.195736434,1548,4863,3.141472868,succ
1.00802139,3.326203209,0.529411765,2.78342246,1.304812834,0.085561497,3.443850267,0.016042781,0.189839572,0.588235294,1.331550802,0.125668449,3.045454545,0.470588235,748,1466,1.959893048,unsucc
1.042239686,2.742632613,0.489194499,2.670923379,1.55108055,0.089390963,2.693516699,0.021611002,0.239685658,0.41453831,1.319253438,0.096267191,2.387033399,0.449901768,2036,3520,1.728880157,unsucc
1.236311239,4.167146974,0.619596542,3.619596542,1.576368876,0.112391931,4.913544669,0.043227666,0.270893372,0.596541787,1.899135447,0.193083573,4.507204611,0.737752161,694,2054,2.959654179,unsucc
0.896774194,3.846774194,0.598387097,3.406451613,1.883870968,0.111290323,3.469354839,0.00483871,0.258064516,0.491935484,1.725806452,0.133870968,3.072580645,0.983870968,1240,2952,2.380645161,unsucc
1.310631229,5.214285714,0.370431894,5.146179402,2.513289037,0.131229236,4.631229236,0.024916944,0.471760797,0.709302326,2.305647841,0.136212625,4.03654485,0.850498339,602,1759,2.92192691,succ
1.77027027,6.652027027,0.793918919,6.802364865,2.45777027,0.342905405,5.396959459,0.001689189,0.621621622,1.096283784,2.918918919,0.234797297,4.567567568,1.032094595,1184,4252,3.591216216,unsucc
2.548611111,7.888888889,0.608796296,6.696759259,4.039351852,0.287037037,5.951388889,0.039351852,0.479166667,1.12037037,3.546296296,0.354166667,5.145833333,1.569444444,864,3528,4.083333333,unsucc
2.108778626,6.816793893,0.339694656,5.723282443,2.91221374,0.232824427,5.347328244,0.013358779,0.488549618,1.055343511,3.135496183,0.265267176,4.515267176,1.154580153,1048,3898,3.719465649,unsucc
4.684210526,12.25657895,1.585526316,8.993421053,4.960526316,0.269736842,9.019736842,0.078947368,0.730263158,1.625,4.473684211,0.447368421,7.552631579,1.927631579,304,922,3.032894737,unsucc
1.596560847,5.170634921,0.612433862,4.316137566,2.157407407,0.173280423,4.476190476,0.015873016,0.341269841,0.736772487,2.484126984,0.208994709,3.808201058,0.899470899,1512,4774,3.157407407,unsucc
1.316225166,6.341059603,0.475165563,5.970198675,2.624172185,0.190397351,5.203642384,0.01986755,0.665562914,0.970198675,2.829470199,0.205298013,4.402317881,1.40397351,604,2269,3.756622517,succ
1.430879713,5.095152603,0.461400359,5.204667864,2.926391382,0.143626571,4.423698384,0.028725314,0.454219031,0.804308797,2.55475763,0.229802513,3.710951526,1.276481149,557,1611,2.892280072,succ
1.645896657,5.048632219,0.744680851,5.737082067,2.404255319,0.218844985,4.077507599,0.006079027,0.425531915,0.825227964,2.510638298,0.135258359,3.288753799,0.998480243,658,1903,2.892097264,succ
0.882716049,3.300411523,0.438271605,3.234567901,1.736625514,0.080246914,4.04526749,0.026748971,0.187242798,0.516460905,1.152263374,0.090534979,3.5781893,0.49382716,972,2342,2.409465021,unsucc
1.476415094,6.099056604,0.266509434,5.877358491,3.396226415,0.311320755,6.186320755,0.025943396,0.599056604,0.997641509,2.952830189,0.224056604,5.283018868,1.108490566,424,1640,3.867924528,succ
1.550151976,4.525835866,0.525835866,4.1443769,1.996960486,0.118541033,4.548632219,0.022796353,0.372340426,0.659574468,1.902735562,0.185410334,3.975683891,0.689969605,1316,3866,2.93768997,unsucc
1.983606557,4.202868852,0.598360656,3.477459016,1.793032787,0.178278689,4.051229508,0.036885246,0.235655738,0.403688525,1.956967213,0.174180328,3.473360656,0.635245902,976,2182,2.235655738,unsucc
1.465346535,5.410891089,0.363036304,5.070957096,3.275577558,0.207920792,4.872937294,0.062706271,0.447194719,0.864686469,2.075907591,0.305280528,4.110561056,1.072607261,1212,3082,2.54290429,unsucc
0.904370402,2.11683254,0.156209433,1.513630463,0.90263955,0.067070532,2.67459974,0.016443098,0.093898745,0.34487235,0.832107313,0.103418434,2.475118996,0.363911727,4622,8400,1.817395067,unsucc
2.120720721,6.279279279,0.753153153,6.363963964,2.868468468,0.326126126,6.163963964,0.021621622,0.372972973,0.983783784,3.365765766,0.308108108,5.299099099,1.214414414,555,2481,4.47027027,succ
1.718459495,5.807436919,0.588313413,5.398406375,1.944223108,0.253652058,5.185922975,0.034528552,0.451527224,0.722443559,2.849933599,0.288180611,4.424966799,0.913678619,1506,5422,3.600265604,unsucc
1.574468085,4.063829787,0.460348162,3.624758221,1.955512573,0.172147002,4.406189555,0.011605416,0.253384913,0.6344294,1.936170213,0.249516441,3.959381044,0.717601547,1034,3046,2.945841393,unsucc
1.37394958,4.008403361,0.403361345,3.544817927,2.225490196,0.180672269,4.014005602,0.025210084,0.308123249,0.677871148,2.280112045,0.158263305,3.641456583,0.883753501,714,2022,2.831932773,succ
1.489323843,4.620996441,0.516014235,4.476868327,2.588967972,0.15480427,4.439501779,0.044483986,0.396797153,0.679715302,1.978647687,0.172597865,3.868327402,1.03024911,1124,3296,2.932384342,unsucc
1.522727273,4.775568182,0.170454545,3.889204545,2.346590909,0.090909091,5.255681818,0.056818182,0.28125,0.559659091,1.900568182,0.127840909,4.715909091,0.849431818,704,1962,2.786931818,unsucc
1.757679181,5.597269625,0.250853242,4.619453925,2.486348123,0.204778157,4.829351536,0.02559727,0.482935154,0.708191126,2.648464164,0.199658703,4.228668942,1.003412969,1172,4024,3.433447099,unsucc
1.109677419,3.618064516,0.307096774,3.349677419,1.734193548,0.12,3.672258065,0.046451613,0.331612903,0.616774194,1.689032258,0.181935484,3.250322581,0.64,1550,3938,2.540645161,unsucc
1.304659498,4.37037037,0.279569892,4.01911589,2.788530466,0.180406213,4.534050179,0.035842294,0.369175627,0.612903226,2.186379928,0.172043011,3.872162485,1.059737157,837,2400,2.867383513,succ
1.113924051,4.416315049,0.4697609,4.327707454,1.677918425,0.11954993,4.402250352,0.005625879,0.403656821,0.592123769,1.925457103,0.17862166,3.798874824,0.749648383,711,2167,3.047819972,succ
1.720812183,4.921319797,0.449238579,5.133248731,2.279187817,0.177664975,5.371827411,0.043147208,0.42893401,0.922588832,2.427664975,0.199238579,4.592639594,1.029187817,788,2848,3.614213198,succ
1.465776294,4.826377295,0.242070117,4.358931553,2.14524207,0.208681135,4.392320534,0.011686144,0.307178631,0.821368948,2.360601002,0.222036728,3.784641068,0.898163606,1198,3694,3.083472454,unsucc
1.242462312,3.350502513,0.631909548,3.378140704,1.153266332,0.109296482,3.525125628,0.010050251,0.227386935,0.413316583,1.658291457,0.211055276,3.056532663,0.667085427,1592,4036,2.535175879,unsucc
2.567237164,7.369193154,1.10391198,7.136919315,3.399755501,0.19193154,6.623471883,0.033007335,0.737163814,1.292176039,3.533007335,0.167481663,5.662591687,1.117359413,1636,6848,4.185819071,unsucc
4.8,5,0.4,5.2,2.4,1,32.8,2,0.2,6,4.8,2.2,30.4,2.8,5,15,3,succ
1.227769111,4.795631825,0.093603744,4.1950078,1.887675507,0.165366615,4.544461778,0.017160686,0.360374415,0.868954758,2.444617785,0.15600624,4.018720749,0.865834633,641,2063,3.218408736,succ
1.039766082,3.935672515,0.14502924,3.518128655,1.742690058,0.10877193,3.767251462,0.024561404,0.461988304,0.49122807,1.584795322,0.092397661,3.185964912,0.512280702,1710,4066,2.377777778,unsucc
1.772661871,5.551079137,0.825899281,5.469064748,2.95971223,0.250359712,5.11942446,0.007194245,0.456115108,0.85323741,3.34676259,0.310791367,4.214388489,0.961151079,695,2524,3.631654676,succ
1.605363985,4.009578544,0.446360153,3.601532567,1.938697318,0.090038314,4.396551724,0.036398467,0.314176245,0.5,2.061302682,0.155172414,3.869731801,0.72605364,1044,2774,2.657088123,unsucc
1.820422535,5.565140845,0.658450704,4.809859155,2.86443662,0.198943662,4.183098592,0.028169014,0.498239437,0.75528169,2.690140845,0.146126761,3.526408451,0.838028169,1136,3252,2.862676056,unsucc
1.681908549,5.640159046,0.463220676,4.833001988,2.68389662,0.109343936,5.441351889,0.03777336,0.332007952,0.693836978,2.940357853,0.238568588,4.741550696,1.252485089,1006,3660,3.638170974,unsucc
1.600547196,4.904240766,0.20246238,4.599179207,2.578659371,0.161422709,4.712722298,0.02872777,0.411764706,0.648426813,2.210670315,0.20246238,4.136798906,1.034199726,731,2321,3.175102599,succ
1.498447205,4.864906832,0.425465839,4.791925466,3.00931677,0.208074534,4.51552795,0.046583851,0.420807453,0.638198758,2.395962733,0.163043478,3.830745342,0.936335404,1288,3812,2.959627329,unsucc
1.5792,5.6096,0.4144,5.0112,2.5712,0.2176,4.6112,0.0128,0.4672,0.6736,2.792,0.1568,3.9376,1.0592,625,2158,3.4528,succ
2.0511883,6.21023766,0.493601463,5.784277879,3.49725777,0.244972578,5.985374771,0.021937843,0.563071298,0.945155393,3.151736746,0.272394881,5.199268739,1.329067642,1094,4516,4.12797075,unsucc
1.362850972,5.464362851,0.727861771,6.056155508,2.226781857,0.269978402,5.03887689,0.010799136,0.483801296,0.887688985,2.991360691,0.257019438,4.3412527,1.282937365,926,3364,3.632829374,unsucc
1.648567119,4.726998492,0.262443439,3.822021116,2.31372549,0.22775264,4.389140271,0.046757164,0.31372549,0.58974359,2.312217195,0.205128205,3.877828054,1.036199095,1326,4080,3.076923077,unsucc
1.357585139,4.780185759,0.470588235,4.291021672,1.656346749,0.137770898,4.379256966,0.020123839,0.334365325,0.546439628,2.082043344,0.253869969,3.780185759,0.678018576,646,2064,3.19504644,succ
2.277879342,5.484460695,0.828153565,5.10786106,2.601462523,0.279707495,5.358318099,0.047531993,0.457038391,0.89213894,2.839122486,0.199268739,4.60511883,0.906764168,1094,3774,3.449725777,unsucc
1.879441624,4.753807107,0.19035533,3.691624365,1.866751269,0.308375635,5.035532995,0.030456853,0.328680203,0.558375635,2.368020305,0.13071066,4.519035533,0.94035533,1576,5288,3.355329949,unsucc
1.298093588,4.830155979,0.228769497,5.332755633,2.45407279,0.20797227,4.383015598,0.010398614,0.43847487,0.864818024,2.270363951,0.218370884,3.837088388,0.916811092,577,1703,2.951473137,succ
1.83887468,5.762148338,0.979539642,6.923273657,2.744245524,0.350383632,6.347826087,0.025575448,0.480818414,1,2.938618926,0.324808184,5.508951407,1.132992327,391,1684,4.306905371,succ
1.507366483,4.401473297,0.357274401,4.211786372,1.959484346,0.127992634,3.967771639,0.003683241,0.35174954,0.654696133,1.836095764,0.123388582,3.384898711,0.835174954,1086,2945,2.711786372,succ
1.583586626,3.904761905,0.423505572,3.514690983,2.110435664,0.136778116,4.687943262,0.024316109,0.302938197,0.417426545,1.808510638,0.176291793,4.149949341,0.684903749,987,2609,2.643363728,succ
0.949494949,4.391414141,0.431818182,4.808080808,2.441919192,0.123737374,3.886363636,0.025252525,0.426767677,0.732323232,1.868686869,0.131313131,3.179292929,0.838383838,396,982,2.47979798,succ
1.572827417,3.968176255,0.526315789,4.047735618,2.05875153,0.188494492,3.697674419,0.017135863,0.314565483,0.525091799,2.015911873,0.139534884,3.035495716,0.731946144,817,1911,2.339045288,succ
1.812010444,6.250652742,1.201044386,7.806788512,3.566579634,0.234986945,5.992167102,0.010443864,0.668407311,1.321148825,3.096605744,0.167101828,4.92689295,1.180156658,383,1683,4.394255875,succ
2.003144654,5.691823899,0.295597484,5.525157233,2.922955975,0.232704403,5.336477987,0.007861635,0.570754717,1.40408805,2.790880503,0.196540881,4.59591195,0.896226415,1272,4774,3.753144654,unsucc
1.48828125,4.6015625,0.333984375,4.70703125,2.048828125,0.166015625,4.7734375,0.025390625,0.5546875,0.76171875,2.5078125,0.248046875,3.951171875,0.82421875,1024,2956,2.88671875,unsucc
1.808,6.796,0.596,6.028,3.266,0.176,5.228,0.032,0.508,1.026,3.486,0.216,4.416,1.08,500,1933,3.866,succ
2.447169811,6.347169811,0.309433962,5.645283019,3.449056604,0.137735849,6.68490566,0.037735849,0.524528302,0.667924528,3.124528302,0.188679245,5.598113208,1.252830189,530,1703,3.213207547,succ
1.624742268,4.430927835,0.529896907,4.492783505,2.490721649,0.220618557,4.911340206,0.028865979,0.432989691,0.729896907,2.057731959,0.255670103,4.220618557,0.934020619,970,2820,2.907216495,unsucc
1.398648649,8.084459459,0.577702703,8.493243243,4,0.22972973,6.510135135,0.013513514,0.554054054,0.861486486,3.172297297,0.375,5.341216216,1.52027027,296,1366,4.614864865,succ
1.311811024,4.737007874,0.549606299,4.754330709,2.332283465,0.146456693,5.028346457,0.006299213,0.365354331,0.636220472,2.011023622,0.244094488,4.362204724,0.814173228,1270,4242,3.34015748,unsucc
1.373313343,4.272863568,0.149925037,4.181409295,2.716641679,0.142428786,3.757121439,0.007496252,0.566716642,0.578710645,2.365817091,0.206896552,2.83958021,0.910044978,1334,2942,2.205397301,unsucc
1.885196375,6.229607251,1.18429003,6.262839879,2.205438066,0.151057402,5.365558912,0.006042296,0.35347432,1.01510574,2.703927492,0.214501511,4.589123867,0.981873112,662,2474,3.737160121,unsucc
1.633851468,4.965457686,0.763385147,4.801381693,2.620034542,0.138169257,4.787564767,0.032815199,0.424870466,0.747841105,2.525043178,0.160621762,4.191709845,0.968911917,1158,3600,3.10880829,unsucc
1.299363057,4.713375796,0.332802548,3.570063694,2.00955414,0.151273885,4.398089172,0.006369427,0.285031847,0.652866242,2.229299363,0.149681529,3.823248408,0.906050955,628,1773,2.823248408,succ
1.845679012,5.703703704,0.0781893,4.946502058,3.430041152,0.242798354,5.014403292,0.024691358,0.458847737,0.779835391,3.53909465,0.384773663,4.119341564,1.483539095,486,1419,2.919753086,succ
1.325330132,4.021608643,0.402160864,4.506602641,2.145258103,0.194477791,3.920768307,0.009603842,0.428571429,0.697478992,2.159663866,0.133253301,3.387755102,0.806722689,833,2167,2.601440576,succ
