@relation pima_diabetes
@attribute 'TTR' numeric
@attribute 'class' { unsucc, succ}
@data
0.140515,unsucc
0.076355,unsucc
0.098766,unsucc
0.18481,succ
0.114819,unsucc
0.252877,succ
0.263236,succ
0.115432,unsucc
0.151163,unsucc
0.160622,unsucc
0.246963,succ
0.108078,succ
0.186943,succ
0.246686,succ
0.279006,succ
0.100811,unsucc
0.25743,succ
0.271882,succ
0.243384,succ
0.231861,succ
0.120576,unsucc
0.124544,unsucc
0.120501,unsucc
0.242904,succ
0.117973,unsucc
0.138524,unsucc
0.094454,unsucc
0.257093,succ
0.286809,succ
0.152788,succ
0.20401,succ
0.253381,succ
0.206534,succ
0.140157,unsucc
0.117459,unsucc
0.125873,unsucc
0.084042,unsucc
0.236024,succ
0.140277,unsucc
0.13255,unsucc
0.12473,unsucc
0.22057,succ
0.140251,succ
0.114982,unsucc
0.210791,succ
0.264442,succ
0.23078,succ
0.191817,succ
0.142513,unsucc
0.079641,unsucc
0.222518,succ
0.105156,unsucc
0.239704,succ
0.279159,succ
0.224079,succ
0.164118,succ
0.232478,succ
0.144567,unsucc
0.115544,unsucc
0.217553,succ
0.115809,unsucc
0.223272,succ
0.093652,unsucc
0.243512,succ
0.252546,succ
0.18473,succ
0.188125,succ
0.202942,succ
0.122544,unsucc
0.286613,succ
0.131883,unsucc
0.17908,succ
0.114175,unsucc
0.228937,succ
0.152643,succ
0.204486,succ
0.102898,unsucc
0.122895,unsucc
0.247125,succ
0.113771,unsucc
0.220356,succ
0.208393,succ
0.130667,unsucc
0.214191,succ
0.206644,succ
0.201509,succ
0.114128,unsucc
0.244828,succ
0.094003,unsucc
0.132995,unsucc
0.253488,succ
0.214752,succ
0.126917,unsucc
0.260418,succ
0.102616,unsucc
0.123361,unsucc
0.26733,succ
0.305622,succ
0.206747,succ
0.243914,succ
0.124602,unsucc
0.121087,unsucc
0.087833,unsucc
0.273695,succ
0.240171,succ
0.170665,succ
0.086197,unsucc
0.193026,succ
0.223817,succ
0.209026,succ
0.162093,unsucc
0.119158,unsucc
0.192733,succ
0.235839,succ
0.151604,unsucc
0.258447,succ
0.220355,succ
0.256329,succ
0.211556,succ
0.203254,succ
0.123546,unsucc
0.202335,succ
0.125965,unsucc
0.243384,succ
0.23248,succ
0.196355,succ
0.197957,succ
0.242597,succ
0.234914,succ
0.133962,unsucc
0.203386,succ
0.163078,succ
0.127549,unsucc
0.097193,unsucc
0.127991,unsucc
0.184631,succ
0.241353,succ
0.095475,succ
0.12219,unsucc
0.225447,succ
0.098551,unsucc
0.120044,unsucc
0.10485,unsucc
0.109992,unsucc
0.094953,unsucc
0.244361,succ
0.2892,succ
0.129152,unsucc
