小说名,标准化类符/形符比,类别
300动漫系统,0.140515,unsucc
阿林的异界教室,0.076355,unsucc
阿瑞斯荣耀战队,0.098766,unsucc
奥特曼战记,0.18481,succ
抱歉，在下是怪兽,0.114819,unsucc
变身病弱科技少女,0.252877,succ
变身超毒舌少女,0.263236,succ
变身黑暗女神,0.115432,unsucc
变身幻想少女,0.151163,unsucc
变身九尾萝莉1,0.160622,unsucc
变身懒散少女,0.246963,succ
变身路人女主,0.108078,succ
变身漫画家系统,0.186943,succ
变身女学霸,0.246686,succ
变身曲之都市红颜笑,0.279006,succ
变身神级无敌美少女,0.100811,unsucc
变身双子萝莉,0.25743,succ
变身在DC世界,0.271882,succ
变身之全职法神,0.243384,succ
别碰我的舰娘,0.231861,succ
不甘为少女之奴,0.120576,unsucc
不死打金王,0.124544,unsucc
不死者的英雄学院,0.120501,unsucc
曾是魔王的我,0.242904,succ
超人高中生的日常,0.117973,unsucc
超神学院之堕天使系统,0.138524,unsucc
超神学院之入坑难出,0.094454,unsucc
超时空要塞之星空的战场,0.257093,succ
宠物小精灵之穿越火箭队,0.286809,succ
宠物小精灵之存档超人,0.152788,succ
宠物小精灵之黑暗巨头,0.20401,succ
宠物小精灵之流清,0.253381,succ
宠物小精灵之小次郎传奇,0.206534,succ
穿越成宠物,0.140157,unsucc
穿越大杂烩,0.117459,unsucc
此生无悔二次元,0.125873,unsucc
次元幻想：黑银之心,0.084042,unsucc
次元马甲系统,0.236024,succ
次元医馆,0.140277,unsucc
从地狱归来的魔人之祖,0.13255,unsucc
从聊天群到女装日常,0.12473,unsucc
从一开始就无敌,0.22057,succ
大剑之深渊,0.140251,succ
大佬成长系统,0.114982,unsucc
大唐之风云又起,0.210791,succ
刀剑神域之活下去,0.264442,succ
点这有红包,0.23078,succ
东京神秘事件簿,0.191817,succ
斗罗大陆之冰梦斗罗,0.142513,unsucc
斗破1之初生的黎明,0.079641,unsucc
对不起我迷路了,0.222518,succ
多塔的死灵法师,0.105156,unsucc
二次元岛主,0.239704,succ
二次元的浪客,0.279159,succ
二次元国度,0.224079,succ
二次元黄毛系统,0.164118,succ
二次元明星系统,0.232478,succ
二次元也无厘头,0.144567,unsucc
二次元之终极任务,0.115544,unsucc
番茄之最强神话,0.217553,succ
废物人类养成计划,0.115809,unsucc
疯狂精灵岛,0.223272,succ
佛开眼之六道临世,0.093652,unsucc
高达SEED之异类,0.243512,succ
高达之狙神传说,0.252546,succ
高达之曙光,0.18473,succ
高达之我的星空,0.188125,succ
高达之新人类,0.202942,succ
高达之星羽审判,0.122544,unsucc
高达之宇宙世纪,0.286613,succ
公主身份就是坑,0.131883,unsucc
孤岛求生之重生狂蟒,0.17908,succ
怪侠一枝梅之在梅边乾坤动,0.114175,unsucc
灌篮之霸者,0.228937,succ
灌篮之教练传奇,0.152643,succ
灌篮之仙道,0.204486,succ
光之奥特任意键,0.102898,unsucc
鬼泣之鬼裂神形,0.122895,unsucc
哈利波特与食死徒之子,0.247125,succ
还珠格格重生记,0.113771,unsucc
海贼：厌世之歌,0.220356,succ
海贼同盟,0.208393,succ
海贼王之复制天下,0.130667,unsucc
海贼王之剑豪之心,0.214191,succ
海贼王之美食系统,0.206644,succ
海贼王之母巢果实,0.201509,succ
海贼王之无相神皇,0.114128,unsucc
海贼王之无证名医,0.244828,succ
海贼王之希古玛,0.094003,unsucc
海贼王之影剑,0.132995,unsucc
海贼王之最强冰龙,0.253488,succ
海贼王之最强主播,0.214752,succ
海贼之查克拉始祖,0.126917,unsucc
海贼之雷神降临,0.260418,succ
海贼之士兵果实,0.102616,unsucc
海贼之威漫系统,0.123361,unsucc
海贼之最强附身,0.26733,succ
好妹子才不黑化,0.305622,succ
和舞空一起游龙珠,0.206747,succ
红世顶之座,0.243914,succ
滑头鬼之凌霄重生传,0.124602,unsucc
画魂异能师,0.121087,unsucc
幻想乡的人类,0.087833,unsucc
浣熊的终极进化,0.273695,succ
回猫之我是灰球酱,0.240171,succ
活在霍格沃茨,0.170665,succ
火影忍者之小强,0.086197,unsucc
火影之暗晓,0.193026,succ
火影之超级杂货铺,0.223817,succ
火影之朝佚千名,0.209026,succ
火影之穿越血继境界,0.162093,unsucc
火影之大神神,0.119158,unsucc
火影之副本系统,0.192733,succ
火影之功德人生,0.235839,succ
火影之红瞳异传,0.151604,unsucc
火影之荒墓,0.258447,succ
火影之活久见,0.220355,succ
火影之祸害,0.256329,succ
火影之狂鬼自来也,0.211556,succ
火影之蓝染忽右介,0.203254,succ
火影之联盟降临,0.123546,unsucc
火影之名动忍界,0.202335,succ
火影之鸣震天下,0.125965,unsucc
火影之魔兽传说,0.243384,succ
火影之魔王进化论,0.23248,succ
火影之忍界闪光,0.196355,succ
火影之双狐相伴,0.197957,succ
火影之水中无月,0.242597,succ
火影之天苍羽,0.234914,succ
火影之我爱雏田,0.133962,unsucc
火影之五更琉璃,0.203386,succ
火影之修罗路,0.163078,succ
火影之雪玉,0.127549,unsucc
火影之血脉返祖,0.097193,unsucc
火影之有目的转生,0.127991,unsucc
火影之最强,0.184631,succ
火影之最强卡卡西,0.241353,succ
火影之最强震遁,0.095475,succ
霍格沃茨里的黑色诱惑,0.12219,unsucc
姬动战士命运,0.225447,succ
基因学院,0.098551,unsucc
