@relation pima_diabetes
@attribute '规则0' numeric
@attribute '规则1' numeric
@attribute '规则2' numeric
@attribute '规则3' numeric
@attribute '规则4' numeric
@attribute '规则5' numeric
@attribute '规则6' numeric
@attribute '规则7' numeric
@attribute '规则8' numeric
@attribute '规则9' numeric
@attribute '规则10' numeric
@attribute '规则11' numeric
@attribute '规则12' numeric
@attribute '规则13' numeric
@attribute '规则14' numeric
@attribute '规则15' numeric
@attribute '规则16' numeric
@attribute '规则17' numeric
@attribute '规则18' numeric
@attribute '规则19' numeric
@attribute '规则20' numeric
@attribute '规则21' numeric
@attribute '规则22' numeric
@attribute '规则23' numeric
@attribute '规则24' numeric
@attribute '规则25' numeric
@attribute '规则26' numeric
@attribute '规则27' numeric
@attribute '规则28' numeric
@attribute '规则29' numeric
@attribute '规则30' numeric
@attribute '规则31' numeric
@attribute '规则32' numeric
@attribute '规则33' numeric
@attribute '规则34' numeric
@attribute '规则35' numeric
@attribute '规则36' numeric
@attribute '规则37' numeric
@attribute '规则38' numeric
@attribute '规则39' numeric
@attribute '规则40' numeric
@attribute '规则41' numeric
@attribute '规则42' numeric
@attribute '规则43' numeric
@attribute '规则44' numeric
@attribute '规则45' numeric
@attribute '规则46' numeric
@attribute '规则47' numeric
@attribute '规则48' numeric
@attribute '规则49' numeric
@attribute '规则50' numeric
@attribute '规则51' numeric
@attribute '规则52' numeric
@attribute '规则53' numeric
@attribute '规则54' numeric
@attribute '规则55' numeric
@attribute '规则56' numeric
@attribute '规则57' numeric
@attribute '规则58' numeric
@attribute '规则59' numeric
@attribute '规则60' numeric
@attribute '规则61' numeric
@attribute '规则62' numeric
@attribute '规则63' numeric
@attribute '规则64' numeric
@attribute '规则65' numeric
@attribute '规则66' numeric
@attribute '规则67' numeric
@attribute '规则68' numeric
@attribute '规则69' numeric
@attribute '规则70' numeric
@attribute '规则71' numeric
@attribute '规则72' numeric
@attribute '规则73' numeric
@attribute '规则74' numeric
@attribute '规则75' numeric
@attribute '规则76' numeric
@attribute '规则77' numeric
@attribute '规则78' numeric
@attribute '规则79' numeric
@attribute '规则80' numeric
@attribute '规则81' numeric
@attribute '规则82' numeric
@attribute '规则83' numeric
@attribute '规则84' numeric
@attribute '规则85' numeric
@attribute '规则86' numeric
@attribute '规则87' numeric
@attribute '规则88' numeric
@attribute '规则89' numeric
@attribute '规则90' numeric
@attribute '规则91' numeric
@attribute '规则92' numeric
@attribute '规则93' numeric
@attribute '规则94' numeric
@attribute '规则95' numeric
@attribute '规则96' numeric
@attribute '规则97' numeric
@attribute '规则98' numeric
@attribute '规则99' numeric
@attribute '规则100' numeric
@attribute '规则101' numeric
@attribute '规则102' numeric
@attribute '规则103' numeric
@attribute '规则104' numeric
@attribute '规则105' numeric
@attribute '规则106' numeric
@attribute '规则107' numeric
@attribute '规则108' numeric
@attribute '规则109' numeric
@attribute '规则110' numeric
@attribute '规则111' numeric
@attribute '规则112' numeric
@attribute '规则113' numeric
@attribute '规则114' numeric
@attribute '规则115' numeric
@attribute '规则116' numeric
@attribute '规则117' numeric
@attribute '规则118' numeric
@attribute '规则119' numeric
@attribute '规则120' numeric
@attribute '规则121' numeric
@attribute '规则122' numeric
@attribute '规则123' numeric
@attribute '规则124' numeric
@attribute '规则125' numeric
@attribute '规则126' numeric
@attribute '规则127' numeric
@attribute '规则128' numeric
@attribute '规则129' numeric
@attribute '规则130' numeric
@attribute '规则131' numeric
@attribute '规则132' numeric
@attribute '规则133' numeric
@attribute '规则134' numeric
@attribute '规则135' numeric
@attribute '规则136' numeric
@attribute '规则137' numeric
@attribute '规则138' numeric
@attribute '规则139' numeric
@attribute '规则140' numeric
@attribute '规则141' numeric
@attribute '规则142' numeric
@attribute '规则143' numeric
@attribute '规则144' numeric
@attribute '规则145' numeric
@attribute '规则146' numeric
@attribute '规则147' numeric
@attribute '规则148' numeric
@attribute '规则149' numeric
@attribute '规则150' numeric
@attribute '规则151' numeric
@attribute '规则152' numeric
@attribute '规则153' numeric
@attribute '规则154' numeric
@attribute '规则155' numeric
@attribute '规则156' numeric
@attribute '规则157' numeric
@attribute '规则158' numeric
@attribute '规则159' numeric
@attribute '规则160' numeric
@attribute '规则161' numeric
@attribute '规则162' numeric
@attribute '规则163' numeric
@attribute '规则164' numeric
@attribute '规则165' numeric
@attribute '规则166' numeric
@attribute '规则167' numeric
@attribute '规则168' numeric
@attribute '规则169' numeric
@attribute '规则170' numeric
@attribute '规则171' numeric
@attribute '规则172' numeric
@attribute '规则173' numeric
@attribute '规则174' numeric
@attribute '规则175' numeric
@attribute '规则176' numeric
@attribute '规则177' numeric
@attribute '规则178' numeric
@attribute '规则179' numeric
@attribute '规则180' numeric
@attribute '规则181' numeric
@attribute '规则182' numeric
@attribute '规则183' numeric
@attribute '规则184' numeric
@attribute '规则185' numeric
@attribute '规则186' numeric
@attribute '规则187' numeric
@attribute '规则188' numeric
@attribute '规则189' numeric
@attribute '规则190' numeric
@attribute '规则191' numeric
@attribute '规则192' numeric
@attribute '规则193' numeric
@attribute '规则194' numeric
@attribute '规则195' numeric
@attribute '规则196' numeric
@attribute '规则197' numeric
@attribute '规则198' numeric
@attribute '规则199' numeric
@attribute 'class' { unsucc, succ}
@data

0.000809,0.000809,3.90E-05,0.000347,0.000424,0.000193,0.000116,3.90E-05,3.90E-05,0.000116,0.000347,0.000385,0.000154,0.000732,7.70E-05,0.000347,3.90E-05,0.000424,0.000385,3.90E-05,0.000694,0.000308,7.70E-05,0.000116,3.90E-05,0.00027,7.70E-05,0.00027,0.705099,0.000116,0.000116,0.00027,7.70E-05,3.90E-05,0.000539,3.90E-05,3.90E-05,0.705099,7.70E-05,0.000116,0.000116,3.90E-05,7.70E-05,0.001079,0.000193,0.000116,0.000154,0.000231,3.90E-05,0.000193,0.705099,3.90E-05,7.70E-05,0.000193,7.70E-05,0.000193,7.70E-05,3.90E-05,0.002004,7.70E-05,0.705099,0.000154,7.70E-05,0.000231,0.000193,0.000193,3.90E-05,0.000116,3.90E-05,0.000116,3.90E-05,7.70E-05,3.90E-05,0.705099,0.000116,3.90E-05,3.90E-05,7.70E-05,0.705099,0.705099,3.90E-05,0.000154,0.000116,7.70E-05,7.70E-05,0.705099,0.000116,3.90E-05,0.000154,0.000116,0.000154,0.002004,3.90E-05,0.705099,3.90E-05,3.90E-05,0.000385,3.90E-05,3.90E-05,3.90E-05,7.70E-05,0.000347,0.705099,3.90E-05,3.90E-05,0.705099,3.90E-05,3.90E-05,3.90E-05,0.705099,7.70E-05,3.90E-05,3.90E-05,3.90E-05,0.000308,0.705099,0.705099,3.90E-05,0.000116,0.001772,0.705099,3.90E-05,0.000771,3.90E-05,0.705099,3.90E-05,0.000116,0.000116,0.705099,7.70E-05,7.70E-05,0.705099,0.705099,0.000116,0.705099,3.90E-05,3.90E-05,0.705099,3.90E-05,0.00027,3.90E-05,3.90E-05,3.90E-05,0.00104,7.70E-05,0.000154,0.705099,0.705099,0.705099,0.000154,0.705099,0.000116,7.70E-05,3.90E-05,7.70E-05,0.000347,3.90E-05,0.000308,0.000231,3.90E-05,3.90E-05,0.004662,0.705099,3.90E-05,0.705099,0.705099,0.000154,0.000154,7.70E-05,0.705099,7.70E-05,3.90E-05,0.000154,7.70E-05,0.705099,0.705099,0.705099,7.70E-05,0.000154,7.70E-05,3.90E-05,0.000154,3.90E-05,0.000116,0.705099,7.70E-05,3.90E-05,0.000116,3.90E-05,3.90E-05,7.70E-05,0.705099,0.705099,0.000116,3.90E-05,0.705099,0.705099,3.90E-05,0.000231,0.00027,unsucc
0.000556,0.000932,0.000235,0.000298,0.000219,0.000728,0.000117,8.00E-06,0.000102,6.30E-05,0.000227,0.000329,1.60E-05,0.000211,0.00036,0.000282,3.10E-05,0.000188,0.00011,8.60E-05,4.70E-05,0.000329,0.00036,0.00018,0.000102,0.000251,0.000321,0.000211,3.90E-05,0.00011,1.60E-05,3.10E-05,7.80E-05,4.70E-05,7.00E-05,0.000125,2.30E-05,8.00E-06,4.70E-05,8.60E-05,0.00011,8.00E-06,8.00E-06,8.60E-05,7.80E-05,3.10E-05,4.70E-05,0.00011,4.70E-05,5.50E-05,0.000313,0.000133,2.30E-05,5.50E-05,2.30E-05,3.10E-05,8.00E-06,0.000117,4.70E-05,0.000149,0.000274,5.50E-05,8.00E-06,7.00E-05,0.000501,2.30E-05,1.60E-05,7.80E-05,0.000196,8.00E-06,8.00E-06,0.000219,3.10E-05,0.000196,0.000125,6.30E-05,8.00E-06,6.30E-05,0.000102,5.50E-05,1.60E-05,2.30E-05,7.80E-05,6.30E-05,7.00E-05,8.00E-06,0.000211,2.30E-05,8.00E-06,8.00E-06,9.40E-05,0.001284,2.30E-05,9.40E-05,1.60E-05,0.000666,5.50E-05,0.000329,4.70E-05,6.30E-05,3.90E-05,8.00E-06,4.70E-05,8.00E-06,8.00E-06,7.80E-05,3.10E-05,1.60E-05,3.10E-05,0.00011,0.000117,3.90E-05,7.80E-05,1.60E-05,0.000501,0.711787,0.000141,3.10E-05,0.000227,8.00E-06,0.711787,8.00E-06,6.30E-05,1.60E-05,0.711787,8.00E-06,8.00E-06,6.30E-05,6.30E-05,3.10E-05,9.40E-05,8.00E-06,8.00E-06,4.70E-05,0.000172,0.00011,7.80E-05,0.000102,1.60E-05,7.00E-05,8.00E-06,8.00E-06,3.90E-05,0.000102,0.00011,1.60E-05,3.90E-05,0.711787,0.711787,9.40E-05,0.000415,0.000877,3.90E-05,4.70E-05,0.000125,7.80E-05,8.60E-05,1.60E-05,7.80E-05,4.70E-05,0.000282,3.90E-05,6.30E-05,0.000337,8.00E-06,0.000141,8.60E-05,8.00E-06,3.90E-05,8.00E-06,1.60E-05,3.90E-05,9.40E-05,4.70E-05,1.60E-05,9.40E-05,3.10E-05,0.711787,5.50E-05,2.30E-05,5.50E-05,4.70E-05,5.50E-05,3.90E-05,0.711787,0.000251,8.00E-06,5.50E-05,2.30E-05,3.10E-05,4.70E-05,0.711787,1.60E-05,3.90E-05,8.00E-06,3.90E-05,0.711787,8.00E-06,0.711787,1.60E-05,unsucc
0.000391,0.000911,0.000391,0.000182,2.60E-05,0.000391,0.00026,5.20E-05,0.000182,2.60E-05,0.000339,0.000365,0.000365,0.000521,0.698233,0.000234,0.000104,7.80E-05,5.20E-05,0.00013,2.60E-05,0.000286,0.000156,0.00013,0.000182,7.80E-05,0.000104,0.00013,0.698233,0.00026,0.000182,2.60E-05,0.698233,5.20E-05,0.000104,7.80E-05,0.000156,5.20E-05,2.60E-05,0.000156,2.60E-05,2.60E-05,0.000573,0.000495,7.80E-05,5.20E-05,7.80E-05,0.000339,0.698233,0.000286,2.60E-05,0.000156,2.60E-05,2.60E-05,2.60E-05,0.000182,2.60E-05,7.80E-05,0.000104,0.000443,2.60E-05,5.20E-05,7.80E-05,2.60E-05,2.60E-05,0.000443,0.00013,5.20E-05,0.698233,0.000104,0.698233,2.60E-05,0.698233,2.60E-05,7.80E-05,0.698233,5.20E-05,2.60E-05,5.20E-05,2.60E-05,0.000234,0.000286,0.00013,7.80E-05,0.000104,0.698233,0.00026,0.698233,0.000156,2.60E-05,2.60E-05,0.001302,0.698233,2.60E-05,5.20E-05,0.698233,0.00026,5.20E-05,0.698233,0.698233,0.698233,2.60E-05,7.80E-05,0.000182,0.000182,0.698233,0.00013,0.00013,2.60E-05,2.60E-05,0.000156,2.60E-05,5.20E-05,0.000104,2.60E-05,0.698233,0.698233,2.60E-05,2.60E-05,2.60E-05,0.698233,0.000286,0.000547,7.80E-05,0.003776,7.80E-05,0.000911,2.60E-05,0.698233,0.000339,0.00013,0.698233,2.60E-05,2.60E-05,7.80E-05,7.80E-05,0.000104,2.60E-05,2.60E-05,0.698233,0.698233,7.80E-05,5.20E-05,2.60E-05,7.80E-05,2.60E-05,0.698233,0.698233,0.698233,0.000104,2.60E-05,0.001771,2.60E-05,7.80E-05,0.000104,0.00013,2.60E-05,5.20E-05,0.00013,5.20E-05,0.000286,0.000833,0.698233,0.698233,0.698233,0.00013,2.60E-05,2.60E-05,0.698233,0.698233,0.000365,0.000182,0.00013,7.80E-05,2.60E-05,5.20E-05,2.60E-05,0.698233,7.80E-05,0.698233,7.80E-05,7.80E-05,0.698233,2.60E-05,0.698233,0.000182,7.80E-05,0.000286,0.698233,2.60E-05,5.20E-05,0.698233,0.00013,2.60E-05,2.60E-05,0.000182,0.698233,2.60E-05,0.698233,2.60E-05,unsucc
0.000377,0.000772,0.000772,0.000233,5.40E-05,0.000341,3.60E-05,0.000269,0.000144,7.20E-05,5.40E-05,0.000305,0.000269,7.20E-05,9.00E-05,0.000144,5.40E-05,5.40E-05,1.80E-05,5.40E-05,0.000216,0.000233,0.000269,5.40E-05,0.000144,0.000323,0.000485,7.20E-05,0.698236,3.60E-05,0.000162,3.60E-05,3.60E-05,1.80E-05,5.40E-05,5.40E-05,1.80E-05,0.698236,0.000108,0.000216,9.00E-05,3.60E-05,3.60E-05,0.00018,0.000377,0.000198,5.40E-05,9.00E-05,0.698236,3.60E-05,0.000108,0.000198,3.60E-05,0.000287,0.698236,1.80E-05,1.80E-05,3.60E-05,0.000287,0.000216,0.698236,0.000108,5.40E-05,0.000251,0.000359,0.000198,0.00018,3.60E-05,1.80E-05,7.20E-05,0.698236,9.00E-05,0.698236,7.20E-05,3.60E-05,3.60E-05,0.000503,0.698236,0.698236,0.698236,1.80E-05,7.20E-05,1.80E-05,1.80E-05,0.698236,1.80E-05,5.40E-05,1.80E-05,3.60E-05,5.40E-05,0.698236,0.001419,1.80E-05,5.40E-05,1.80E-05,5.40E-05,1.80E-05,0.00018,1.80E-05,3.60E-05,1.80E-05,3.60E-05,7.20E-05,1.80E-05,1.80E-05,1.80E-05,3.60E-05,9.00E-05,1.80E-05,0.698236,9.00E-05,0.000144,9.00E-05,5.40E-05,0.000341,0.698236,0.698236,5.40E-05,0.00018,5.40E-05,0.698236,1.80E-05,0.001419,0.000108,0.698236,1.80E-05,0.001419,3.60E-05,0.698236,1.80E-05,0.000108,1.80E-05,0.698236,7.20E-05,0.000108,3.60E-05,0.698236,0.000269,0.698236,1.80E-05,1.80E-05,1.80E-05,0.698236,7.20E-05,0.000198,1.80E-05,0.698236,0.698236,0.698236,9.00E-05,7.20E-05,0.000377,0.698236,1.80E-05,9.00E-05,3.60E-05,1.80E-05,1.80E-05,3.60E-05,1.80E-05,9.00E-05,0.004023,0.698236,9.00E-05,0.698236,9.00E-05,3.60E-05,0.698236,0.000251,0.698236,0.000144,1.80E-05,3.60E-05,1.80E-05,0.698236,0.698236,0.698236,0.698236,5.40E-05,0.000144,1.80E-05,3.60E-05,1.80E-05,0.000144,0.698236,0.000323,3.60E-05,9.00E-05,1.80E-05,1.80E-05,3.60E-05,0.698236,1.80E-05,3.60E-05,3.60E-05,0.698236,0.698236,1.80E-05,0.698236,0.000126,succ
0.001043,0.001007,0.000971,0.000288,7.20E-05,0.000647,7.20E-05,7.20E-05,3.60E-05,0.000288,0.000324,0.000288,0.000288,0.000503,0.001258,0.00018,3.60E-05,0.00036,0.000431,0.000216,0.713942,0.000575,0.000144,3.60E-05,3.60E-05,0.000396,0.000144,0.000324,0.713942,0.00018,7.20E-05,0.00018,3.60E-05,0.000503,0.000144,7.20E-05,3.60E-05,0.713942,7.20E-05,3.60E-05,0.000108,0.000144,0.000431,0.000144,0.001043,3.60E-05,0.713942,3.60E-05,0.713942,3.60E-05,3.60E-05,3.60E-05,0.000108,0.000108,3.60E-05,0.000252,7.20E-05,0.000324,0.000108,7.20E-05,0.000144,7.20E-05,0.713942,0.000503,0.000431,3.60E-05,3.60E-05,0.000108,0.713942,0.000144,3.60E-05,0.000108,0.713942,0.713942,0.000108,3.60E-05,0.000108,7.20E-05,0.000144,0.713942,0.000108,3.60E-05,3.60E-05,0.000216,3.60E-05,0.713942,7.20E-05,3.60E-05,3.60E-05,3.60E-05,3.60E-05,0.002193,3.60E-05,0.713942,3.60E-05,3.60E-05,7.20E-05,0.00018,0.713942,0.000216,3.60E-05,0.000108,0.713942,0.000863,3.60E-05,0.000108,0.713942,3.60E-05,3.60E-05,3.60E-05,0.000252,0.713942,3.60E-05,0.713942,0.000144,0.000144,0.713942,3.60E-05,3.60E-05,0.001906,0.713942,0.000108,0.00036,0.000108,0.713942,3.60E-05,3.60E-05,0.000144,0.713942,0.713942,7.20E-05,0.000108,3.60E-05,7.20E-05,0.713942,7.20E-05,0.713942,0.713942,0.713942,0.713942,3.60E-05,0.000108,0.713942,3.60E-05,0.000252,7.20E-05,0.713942,0.713942,0.713942,7.20E-05,0.00018,7.20E-05,3.60E-05,3.60E-05,7.20E-05,0.000324,7.20E-05,3.60E-05,0.713942,3.60E-05,0.000288,7.20E-05,0.713942,3.60E-05,0.713942,7.20E-05,3.60E-05,0.713942,0.713942,7.20E-05,3.60E-05,0.00018,0.000108,3.60E-05,0.713942,7.20E-05,0.713942,0.713942,7.20E-05,0.713942,7.20E-05,7.20E-05,0.713942,3.60E-05,0.713942,7.20E-05,3.60E-05,0.000108,3.60E-05,3.60E-05,3.60E-05,0.713942,3.60E-05,0.000216,3.60E-05,0.713942,0.713942,0.713942,0.713942,0.713942,unsucc
0.000704,0.000176,0.000503,0.000453,0.000101,0.000603,0.000101,2.50E-05,5.00E-05,2.50E-05,5.00E-05,5.00E-05,0.000327,0.000176,0.000226,0.000226,0.000402,0.000101,0.000126,0.000176,5.00E-05,7.50E-05,0.000101,0.000126,5.00E-05,2.50E-05,0.000327,0.000126,0.707218,0.707218,5.00E-05,0.707218,2.50E-05,2.50E-05,7.50E-05,0.000101,0.000126,0.707218,7.50E-05,2.50E-05,5.00E-05,2.50E-05,7.50E-05,0.000176,0.707218,2.50E-05,0.000377,0.000101,2.50E-05,2.50E-05,5.00E-05,5.00E-05,7.50E-05,5.00E-05,0.707218,0.000101,7.50E-05,2.50E-05,2.50E-05,5.00E-05,0.000126,7.50E-05,0.000126,0.000126,2.50E-05,0.707218,0.000176,0.000126,0.000176,2.50E-05,0.707218,0.000101,2.50E-05,0.707218,0.000101,7.50E-05,7.50E-05,7.50E-05,2.50E-05,0.707218,2.50E-05,2.50E-05,7.50E-05,5.00E-05,2.50E-05,0.707218,0.000126,0.000126,7.50E-05,0.707218,5.00E-05,0.002061,0.000226,7.50E-05,5.00E-05,0.000226,2.50E-05,0.000226,2.50E-05,2.50E-05,0.707218,0.000151,2.50E-05,5.00E-05,0.000151,0.000151,7.50E-05,2.50E-05,5.00E-05,2.50E-05,5.00E-05,0.000101,2.50E-05,2.50E-05,0.000226,2.50E-05,5.00E-05,5.00E-05,0.000377,5.00E-05,0.707218,2.50E-05,0.00083,5.00E-05,0.707218,2.50E-05,0.000101,2.50E-05,0.707218,0.707218,2.50E-05,0.707218,0.707218,5.00E-05,0.000151,2.50E-05,5.00E-05,7.50E-05,0.707218,2.50E-05,0.707218,0.707218,5.00E-05,2.50E-05,2.50E-05,0.707218,0.707218,0.707218,0.707218,5.00E-05,0.000176,5.00E-05,5.00E-05,5.00E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,5.00E-05,0.000126,0.707218,2.50E-05,0.707218,0.000126,2.50E-05,0.707218,7.50E-05,2.50E-05,0.000126,2.50E-05,2.50E-05,2.50E-05,2.50E-05,0.707218,0.000101,0.707218,5.00E-05,0.707218,5.00E-05,5.00E-05,0.000277,7.50E-05,0.707218,0.707218,2.50E-05,0.000151,0.000226,2.50E-05,2.50E-05,0.707218,2.50E-05,0.707218,5.00E-05,0.000101,0.707218,0.000201,0.707218,2.50E-05,succ
0.000875,0.000449,4.70E-05,0.000615,0.000307,0.000165,9.50E-05,4.70E-05,2.40E-05,0.000236,0.000307,2.40E-05,0.000118,0.000662,0.000213,0.000355,2.40E-05,0.000189,2.40E-05,0.000426,2.40E-05,0.00052,0.000284,0.000189,2.40E-05,2.40E-05,0.000284,0.000118,0.712428,7.10E-05,2.40E-05,2.40E-05,2.40E-05,4.70E-05,7.10E-05,0.000142,7.10E-05,2.40E-05,2.40E-05,0.000284,0.000331,0.712428,2.40E-05,2.40E-05,2.40E-05,7.10E-05,0.000142,9.50E-05,2.40E-05,2.40E-05,0.000142,4.70E-05,0.000284,0.00026,2.40E-05,0.00026,2.40E-05,0.00026,0.001655,0.000142,0.000189,7.10E-05,2.40E-05,7.10E-05,0.000709,9.50E-05,2.40E-05,7.10E-05,0.000426,9.50E-05,0.712428,0.000213,2.40E-05,0.712428,4.70E-05,2.40E-05,2.40E-05,2.40E-05,0.712428,2.40E-05,0.712428,4.70E-05,4.70E-05,4.70E-05,0.712428,0.712428,9.50E-05,4.70E-05,2.40E-05,0.712428,4.70E-05,0.001655,7.10E-05,2.40E-05,2.40E-05,4.70E-05,0.000402,4.70E-05,2.40E-05,2.40E-05,9.50E-05,2.40E-05,2.40E-05,4.70E-05,7.10E-05,0.000284,0.712428,0.000898,2.40E-05,9.50E-05,2.40E-05,0.000142,2.40E-05,9.50E-05,0.000709,2.40E-05,2.40E-05,2.40E-05,2.40E-05,2.40E-05,0.712428,2.40E-05,0.000402,2.40E-05,0.712428,2.40E-05,0.000165,7.10E-05,0.712428,4.70E-05,0.000213,2.40E-05,0.712428,2.40E-05,0.000142,2.40E-05,7.10E-05,0.000189,0.000213,4.70E-05,4.70E-05,2.40E-05,2.40E-05,4.70E-05,0.000165,0.712428,0.712428,0.712428,7.10E-05,2.40E-05,4.70E-05,4.70E-05,4.70E-05,4.70E-05,2.40E-05,0.000118,2.40E-05,2.40E-05,7.10E-05,2.40E-05,0.712428,2.40E-05,0.712428,4.70E-05,0.712428,0.000213,7.10E-05,0.712428,2.40E-05,0.712428,2.40E-05,2.40E-05,7.10E-05,4.70E-05,2.40E-05,2.40E-05,0.000307,0.712428,4.70E-05,2.40E-05,9.50E-05,9.50E-05,7.10E-05,2.40E-05,0.712428,0.712428,9.50E-05,0.000307,2.40E-05,7.10E-05,2.40E-05,0.712428,4.70E-05,4.70E-05,2.40E-05,0.000213,0.712428,9.50E-05,0.712428,0.712428,succ
0.001357,0.000649,0.000236,0.000177,0.000649,0.710999,5.90E-05,5.90E-05,0.000118,5.90E-05,0.710999,0.000118,0.000177,0.000236,5.90E-05,0.710999,0.000413,0.000295,5.90E-05,5.90E-05,5.90E-05,5.90E-05,5.90E-05,0.000118,0.000177,0.000118,5.90E-05,0.000177,0.710999,0.000354,5.90E-05,0.000826,0.710999,0.000236,0.000236,5.90E-05,5.90E-05,0.710999,0.000177,5.90E-05,5.90E-05,5.90E-05,0.000708,0.001121,0.000118,5.90E-05,0.710999,0.000236,0.710999,0.000826,5.90E-05,5.90E-05,5.90E-05,0.000118,0.710999,0.000354,0.710999,0.000177,0.000177,5.90E-05,0.710999,0.00059,5.90E-05,0.000767,5.90E-05,0.000118,0.710999,0.000354,0.710999,5.90E-05,0.710999,5.90E-05,5.90E-05,0.710999,0.000118,5.90E-05,0.001475,0.000472,0.710999,0.000826,0.000531,5.90E-05,0.000118,5.90E-05,0.710999,0.710999,5.90E-05,5.90E-05,5.90E-05,5.90E-05,0.000472,0.001475,5.90E-05,0.000118,5.90E-05,0.710999,0.000177,0.710999,0.000118,0.000118,0.710999,0.000354,5.90E-05,5.90E-05,5.90E-05,0.710999,0.000118,5.90E-05,5.90E-05,0.710999,0.000295,0.000118,5.90E-05,5.90E-05,0.000118,0.710999,0.710999,5.90E-05,0.000177,0.000118,0.710999,0.000177,0.000177,5.90E-05,0.710999,0.000177,5.90E-05,0.000236,0.710999,0.710999,0.000354,0.000413,0.710999,5.90E-05,0.710999,0.710999,5.90E-05,0.710999,0.000118,0.000118,0.710999,0.000118,0.710999,0.000649,0.710999,0.710999,0.710999,0.710999,0.710999,5.90E-05,0.710999,5.90E-05,0.710999,5.90E-05,5.90E-05,0.000118,5.90E-05,0.000295,0.710999,5.90E-05,0.710999,0.00059,0.710999,5.90E-05,5.90E-05,0.000295,5.90E-05,5.90E-05,0.710999,5.90E-05,0.710999,5.90E-05,0.710999,0.00177,0.710999,5.90E-05,0.710999,0.710999,0.000118,0.710999,0.000413,0.000708,5.90E-05,5.90E-05,0.710999,0.710999,0.710999,5.90E-05,5.90E-05,0.710999,0.000177,0.710999,5.90E-05,5.90E-05,5.90E-05,0.710999,0.710999,5.90E-05,0.710999,0.000295,unsucc
0.000858,0.000515,6.90E-05,0.000343,0.000823,0.000172,0.000172,3.40E-05,6.90E-05,6.90E-05,0.000137,0.000137,0.000446,0.000137,0.000137,0.00024,6.90E-05,0.000172,6.90E-05,0.000103,6.90E-05,0.000274,0.000103,0.000172,6.90E-05,3.40E-05,0.00024,3.40E-05,0.713771,0.713771,6.90E-05,0.713771,0.000137,6.90E-05,3.40E-05,0.000583,0.000309,0.713771,0.000652,6.90E-05,0.000103,0.713771,0.000137,6.90E-05,0.713771,3.40E-05,0.000103,6.90E-05,0.000103,3.40E-05,0.000137,0.000172,6.90E-05,0.000137,0.713771,6.90E-05,3.40E-05,0.000103,6.90E-05,3.40E-05,6.90E-05,0.00024,0.000172,0.000412,3.40E-05,3.40E-05,0.713771,6.90E-05,0.000206,0.000103,3.40E-05,6.90E-05,6.90E-05,0.713771,0.000172,0.713771,0.001613,6.90E-05,3.40E-05,0.713771,0.713771,0.713771,6.90E-05,3.40E-05,0.713771,3.40E-05,3.40E-05,0.000137,0.713771,0.713771,0.000137,0.001613,0.713771,6.90E-05,0.000103,6.90E-05,3.40E-05,0.713771,0.000103,3.40E-05,0.713771,3.40E-05,0.000343,6.90E-05,6.90E-05,0.00048,6.90E-05,6.90E-05,6.90E-05,6.90E-05,6.90E-05,3.40E-05,3.40E-05,3.40E-05,3.40E-05,0.713771,3.40E-05,6.90E-05,0.000103,0.001578,3.40E-05,6.90E-05,3.40E-05,3.40E-05,0.713771,3.40E-05,0.001613,0.000823,3.40E-05,0.713771,6.90E-05,0.713771,0.713771,6.90E-05,6.90E-05,3.40E-05,0.000103,0.713771,0.713771,0.713771,3.40E-05,0.000103,3.40E-05,3.40E-05,0.713771,0.713771,0.713771,0.713771,3.40E-05,6.90E-05,0.713771,0.000172,3.40E-05,0.000137,0.713771,0.000103,0.000172,3.40E-05,6.90E-05,6.90E-05,6.90E-05,0.007514,0.713771,3.40E-05,0.713771,0.000103,3.40E-05,0.713771,0.713771,0.713771,0.000206,3.40E-05,6.90E-05,3.40E-05,0.713771,6.90E-05,0.000309,0.713771,6.90E-05,3.40E-05,6.90E-05,6.90E-05,0.000172,0.005387,3.40E-05,0.713771,3.40E-05,0.000172,0.000103,0.713771,6.90E-05,0.713771,3.40E-05,0.713771,0.713771,0.000172,6.90E-05,3.40E-05,0.713771,0.713771,unsucc
