@relation pima_diabetes
@attribute 'daici' numeric
@attribute 'dongci' numeric
@attribute 'renming' numeric
@attribute 'mingci' numeric
@attribute 'zhuci' numeric
@attribute 'shijianmingci' numeric
@attribute 'jieci' numeric
@attribute 'gantanci' numeric
@attribute 'fangweimingci' numeric
@attribute 'shuci' numeric
@attribute 'fuci' numeric
@attribute 'xiyu' numeric
@attribute 'biaodian' numeric
@attribute 'xingrongci' numeric
@attribute 'tingdunshu' numeric
@attribute 'juziposuidu' numeric
@attribute '规则0' numeric
@attribute '规则1' numeric
@attribute '规则2' numeric
@attribute '规则3' numeric
@attribute '规则4' numeric
@attribute '规则5' numeric
@attribute '规则6' numeric
@attribute '规则7' numeric
@attribute '规则8' numeric
@attribute '规则9' numeric
@attribute '规则10' numeric
@attribute '规则11' numeric
@attribute '规则12' numeric
@attribute '规则13' numeric
@attribute '规则14' numeric
@attribute '规则15' numeric
@attribute '规则16' numeric
@attribute '规则17' numeric
@attribute '规则18' numeric
@attribute '规则19' numeric
@attribute '规则20' numeric
@attribute '规则21' numeric
@attribute '规则22' numeric
@attribute '规则23' numeric
@attribute '规则24' numeric
@attribute '规则25' numeric
@attribute '规则26' numeric
@attribute '规则27' numeric
@attribute '规则28' numeric
@attribute '规则29' numeric
@attribute '规则30' numeric
@attribute '规则31' numeric
@attribute '规则32' numeric
@attribute '规则33' numeric
@attribute '规则34' numeric
@attribute '规则35' numeric
@attribute '规则36' numeric
@attribute '规则37' numeric
@attribute '规则38' numeric
@attribute '规则39' numeric
@attribute '规则40' numeric
@attribute '规则41' numeric
@attribute '规则42' numeric
@attribute '规则43' numeric
@attribute '规则44' numeric
@attribute '规则45' numeric
@attribute '规则46' numeric
@attribute '规则47' numeric
@attribute '规则48' numeric
@attribute '规则49' numeric
@attribute '规则50' numeric
@attribute '规则51' numeric
@attribute '规则52' numeric
@attribute '规则53' numeric
@attribute '规则54' numeric
@attribute '规则55' numeric
@attribute '规则56' numeric
@attribute '规则57' numeric
@attribute '规则58' numeric
@attribute '规则59' numeric
@attribute '规则60' numeric
@attribute '规则61' numeric
@attribute '规则62' numeric
@attribute '规则63' numeric
@attribute '规则64' numeric
@attribute '规则65' numeric
@attribute '规则66' numeric
@attribute '规则67' numeric
@attribute '规则68' numeric
@attribute '规则69' numeric
@attribute '规则70' numeric
@attribute '规则71' numeric
@attribute '规则72' numeric
@attribute '规则73' numeric
@attribute '规则74' numeric
@attribute '规则75' numeric
@attribute '规则76' numeric
@attribute '规则77' numeric
@attribute '规则78' numeric
@attribute '规则79' numeric
@attribute '规则80' numeric
@attribute '规则81' numeric
@attribute '规则82' numeric
@attribute '规则83' numeric
@attribute '规则84' numeric
@attribute '规则85' numeric
@attribute '规则86' numeric
@attribute '规则87' numeric
@attribute '规则88' numeric
@attribute '规则89' numeric
@attribute '规则90' numeric
@attribute '规则91' numeric
@attribute '规则92' numeric
@attribute '规则93' numeric
@attribute '规则94' numeric
@attribute '规则95' numeric
@attribute '规则96' numeric
@attribute '规则97' numeric
@attribute '规则98' numeric
@attribute '规则99' numeric
@attribute '规则100' numeric
@attribute '规则101' numeric
@attribute '规则102' numeric
@attribute '规则103' numeric
@attribute '规则104' numeric
@attribute '规则105' numeric
@attribute '规则106' numeric
@attribute '规则107' numeric
@attribute '规则108' numeric
@attribute '规则109' numeric
@attribute '规则110' numeric
@attribute '规则111' numeric
@attribute '规则112' numeric
@attribute '规则113' numeric
@attribute '规则114' numeric
@attribute '规则115' numeric
@attribute '规则116' numeric
@attribute '规则117' numeric
@attribute '规则118' numeric
@attribute '规则119' numeric
@attribute '规则120' numeric
@attribute '规则121' numeric
@attribute '规则122' numeric
@attribute '规则123' numeric
@attribute '规则124' numeric
@attribute '规则125' numeric
@attribute '规则126' numeric
@attribute '规则127' numeric
@attribute '规则128' numeric
@attribute '规则129' numeric
@attribute '规则130' numeric
@attribute '规则131' numeric
@attribute '规则132' numeric
@attribute '规则133' numeric
@attribute '规则134' numeric
@attribute '规则135' numeric
@attribute '规则136' numeric
@attribute '规则137' numeric
@attribute '规则138' numeric
@attribute '规则139' numeric
@attribute '规则140' numeric
@attribute '规则141' numeric
@attribute '规则142' numeric
@attribute '规则143' numeric
@attribute '规则144' numeric
@attribute '规则145' numeric
@attribute '规则146' numeric
@attribute '规则147' numeric
@attribute '规则148' numeric
@attribute '规则149' numeric
@attribute '规则150' numeric
@attribute '规则151' numeric
@attribute '规则152' numeric
@attribute '规则153' numeric
@attribute '规则154' numeric
@attribute '规则155' numeric
@attribute '规则156' numeric
@attribute '规则157' numeric
@attribute '规则158' numeric
@attribute '规则159' numeric
@attribute '规则160' numeric
@attribute '规则161' numeric
@attribute '规则162' numeric
@attribute '规则163' numeric
@attribute '规则164' numeric
@attribute '规则165' numeric
@attribute '规则166' numeric
@attribute '规则167' numeric
@attribute '规则168' numeric
@attribute '规则169' numeric
@attribute '规则170' numeric
@attribute '规则171' numeric
@attribute '规则172' numeric
@attribute '规则173' numeric
@attribute '规则174' numeric
@attribute '规则175' numeric
@attribute '规则176' numeric
@attribute '规则177' numeric
@attribute '规则178' numeric
@attribute '规则179' numeric
@attribute '规则180' numeric
@attribute '规则181' numeric
@attribute '规则182' numeric
@attribute '规则183' numeric
@attribute '规则184' numeric
@attribute '规则185' numeric
@attribute '规则186' numeric
@attribute '规则187' numeric
@attribute '规则188' numeric
@attribute '规则189' numeric
@attribute '规则190' numeric
@attribute '规则191' numeric
@attribute '规则192' numeric
@attribute '规则193' numeric
@attribute '规则194' numeric
@attribute '规则195' numeric
@attribute '规则196' numeric
@attribute '规则197' numeric
@attribute '规则198' numeric
@attribute '规则199' numeric
@attribute 'class' { unsucc, succ}
@data

2.391489362,9.221276596,0.536170213,8.289361702,2.834042553,0.174468085,7.629787234,0.021276596,0.736170213,1.455319149,3.859574468,0.306382979,6.365957447,1.314893617,2154,4.582978723,0.080004,0.017692,0.017915,0.01313,0.018249,0.014465,0.01313,0.020363,0.020585,0.00612,0.01135,0.006676,0.009792,0.0079,0.004562,0.006454,0.00434,0.002671,0.004451,0.010905,0.0079,0.003895,0.008123,0.003004,0.001001,0.004451,0.001669,0.009569,0.003116,0.003672,0.00434,0.001447,0.000779,0.002893,0.00178,0.001224,0.002225,0.002893,0.001892,0.002448,0.002225,0,0.004562,0.002893,0.000111,0.003783,0.00178,0.002559,0,0.005119,0.00178,0.00434,0.001224,0.001335,0.002782,0.002559,0.000111,0.001001,0.002337,0,0.001447,0.000668,0.001447,0.001335,0.001224,0.000334,0.001892,0.00089,0.001113,0.000779,0.000334,0.003449,0.000223,0.001001,0.000334,0.001335,0,0.001335,0.000779,0.000779,0,0.001001,0,0.00178,0,0.001113,0.001892,0.000445,0.00178,0,0,0.000779,0.001224,0.001669,0.001001,0.000223,0.001669,0,0.001558,0,0.001558,0.001113,0.000111,0.001113,0,0,0.000779,0.000334,0.001001,0.000668,0.001113,0.000668,0.000111,0.000556,0.000111,0.000223,0.001447,0.001113,0.000223,0.001113,0,0,0.000223,0,0.000111,0.00089,0.001558,0.000223,0,0.001001,0.000223,0,0.001558,0,0.003449,0.001001,0.000668,0.000668,0.001447,0.001113,0.001001,0.000556,0.000223,0.000223,0.000223,0,0.00089,0.001447,0.001113,0.000779,0.000223,0.001335,0.000556,0.001001,0,0.00089,0.000111,0.00089,0.000445,0.00089,0.001001,0.000556,0.005564,0,0.001447,0.000334,0,0.00089,0.000445,0.000445,0.000779,0.000334,0.002337,0.000779,0.000111,0.00089,0,0,0.000445,0.000111,0,0,0.000223,0.001001,0.000556,0.001447,0.00089,0.000223,0.000334,0.000111,0.00089,0.000779,0.000223,0.000223,0.000445,0.000334,0.000445,0,0.000668,0.000111,unsucc
1.44226274,4.408134642,0.627863488,4.335670874,2.401589528,0.107059374,4.554464703,0.024777934,0.422159888,0.650771388,1.797568957,0.158952782,4.040205704,0.944366526,12846,3.002805049,0.090309,0.03495,0.026007,0.02512,0.021024,0.015791,0.011172,0.022685,0.020774,0.0114,0.00851,0.005324,0.003777,0.005506,0.003117,0.003754,0.008578,0.002526,0.004619,0.008055,0.008851,0.004642,0.003572,0.001911,0.006963,0.005279,0.002571,0.007099,0.00198,0.001593,0.002594,0.002298,0.002366,0.003663,0.002184,0.000683,0.007304,0.00223,0.002298,0.002935,0.002321,2.30E-05,0.002162,0.001957,2.30E-05,2.30E-05,0.001251,0.002139,0,0.00091,0.000978,0.001047,0.001547,0.002071,0.001388,0.001524,0.000114,0.000819,0.001115,0,0.002708,0.000546,0.000865,0.000887,0.001456,0.000159,0.001229,0.000592,0.000637,0.000364,0.001229,0.001138,0.000478,0.000933,0.000865,0.002526,0,0.000774,0.000455,0.000546,0,0.002116,0,0.001342,0,0.003504,0.002025,0.00091,0.000455,0.000865,2.30E-05,0.000751,0.001593,0.00091,0.000205,0.000182,0.001024,0,0.000637,0.000341,0.000273,0.000933,0.001456,0.000341,4.60E-05,0,0.00041,0.000683,0.000569,0.000228,0.000228,0.000796,0.001229,0.000637,0.000387,0.000956,0.001183,0.000842,0.000387,0.000592,0,0,0.000137,0,0.00066,0.000319,0.000501,0.000455,0,0.000637,0.000319,0,0.001115,4.60E-05,2.30E-05,0.003459,0.000455,0.000546,0.000683,0.000751,0.000592,0.000865,0.000182,0.002071,0,0.003072,0.000978,0.000751,0.000319,0.000455,0.000887,0.000228,9.10E-05,0.000728,0,0.001547,0.000273,0.001092,4.60E-05,0.000341,0.001001,0.000842,0,0,0.000728,0.000978,0.000205,0.00273,0.000387,0.000387,0.000205,0.000182,0,0.000865,0.000296,6.80E-05,0,0,0.000228,2.30E-05,0,6.80E-05,0.000341,0.001547,0.000637,0.000273,0.000159,0.000182,0.000774,9.10E-05,0.000182,0.000478,0.00041,0.000501,0.000273,0.000228,0.000341,0.000341,0.000114,2.30E-05,unsucc
1.139534884,4.460755814,0.047965116,3.786337209,2.322674419,0.190406977,3.396802326,0.00872093,0.424418605,0.930232558,1.972383721,0.10755814,2.64244186,0.760174419,2880,2.093023256,0.053392,0.041154,0.031974,0.029221,0.023637,0.019123,0.010709,0.012927,0.012392,0.004054,0.007037,0.008338,0.006349,0.009562,0.004819,0.005814,0.005737,0.003442,0.003519,0.006808,0.005431,0.003748,0.003748,0.006425,0.006272,0.003748,0.001989,0.004131,0.002295,0.001759,0.002601,0.002677,0.000918,0.002371,0.003366,0.00153,0.000612,0.003978,0.002295,0.003442,0.001606,0,0.001377,0.002065,0,0,0.004972,0.002142,0,0.001836,0.001377,0.000382,0.001147,0.001606,0.000459,0.002065,7.60E-05,0.000688,0.004207,7.60E-05,0.002142,0.000382,0.000765,0.000841,0.001377,0,0.000688,0.001759,0,0.001224,0.002754,0.001071,0.000153,0.000229,0.000918,0.001377,0,0.002524,0.001071,0.001071,0,0.000918,0,0.000841,0,0.000306,0.001071,0.001453,0.000612,0.000229,0,0.001071,0.000994,0.000382,7.60E-05,0.000535,0.001147,0,0.000382,0,0.000841,0.000459,0.00306,7.60E-05,0,0,0.000612,0.000306,0.000841,0.000229,0.001377,7.60E-05,0.0013,0.000382,0.000918,0.000918,0.000459,0.000459,0.000459,0.000841,0.00895,0,0.000229,0,0.001377,0.000688,0.000765,0.000612,0,0.000382,7.60E-05,0,0.000459,0,0.000765,0.000153,0.000306,0.000382,0,0.000918,0.000841,0.000612,7.60E-05,0.003901,0,0.000918,0.003519,0.000765,0.000153,0,0.003366,0.001836,0.000153,0.000153,7.60E-05,0.000688,0.000382,0.000765,7.60E-05,0.000765,0.000994,0.000765,0,0.002601,0.000306,0.003442,0.000612,0.000688,0.000612,7.60E-05,0.000612,0.000229,0,0.000918,0,0.000459,0,0,0.001071,0,0,0,0.000688,7.60E-05,0.000382,0.001224,0.000153,7.60E-05,0.000459,0.000153,0.000153,0.000459,0.001836,7.60E-05,0.000765,0.000153,7.60E-05,0.000765,0,0.000229,unsucc
1.198742138,5.480503145,0.191194969,5.460377358,3.18490566,0.125786164,4.127044025,0.026415094,0.568553459,0.797484277,2.408805031,0.203773585,3.31572327,0.986163522,1837,2.310691824,0.04683,0.03426,0.033828,0.026976,0.031022,0.017426,0.01106,0.019746,0.019045,0.003777,0.006043,0.007931,0.007122,0.009118,0.002374,0.003075,0.003777,0.003291,0.002913,0.004316,0.002913,0.004316,0.00437,0.001942,0.008686,0.004802,0.00054,0.006312,0.002752,0.00205,0.002913,0.006528,0.002967,0.003885,0.003507,0.002374,0,0.002536,0.003183,0.000216,0.001565,0.000108,0.001673,0.001511,0,0.001133,0.001457,0.00054,0,0,0.002158,0.000378,0.001996,0.00205,0.000809,0.001295,5.40E-05,0.000432,0.00232,0,0.001295,0.000162,0.001187,0.001295,0.001673,0.00027,0.002158,0.000917,0.000162,0.001133,0.002212,0.001673,0.000432,0.000863,0.001403,0.001403,0,0.00205,0.000324,0.00178,0,0.000647,0,0.000755,0,0.000378,0.000917,0.001619,0.00054,0.000432,0,0.000701,0.005395,0.001025,5.40E-05,0.000863,0.00054,0,0.001025,0,0.000701,0.000917,0.00054,0.000647,0,0,0.00054,0.001025,0.000593,0.00054,0.001457,0.000863,0.001457,0.000701,0.000108,5.40E-05,0.001025,0.000917,0.000432,0.000216,0,0,0.000486,0,0.001673,5.40E-05,0.003237,0.00054,0,0.000701,0.000432,0,0.00027,0,0.000486,0.00054,0.000593,0.000162,0.00027,0.001295,0.000701,0.000593,0.000216,5.40E-05,0,0.00054,0.001349,0.001187,5.40E-05,0.000324,0.003669,0.000216,0.000593,0.000378,5.40E-05,0.000593,0.000162,0.000863,5.40E-05,0.000216,0.000647,0.001403,0,0,0.000216,0,0.000378,0.000755,0.001133,0.000108,0.000216,0.000324,0,0.001403,0,0.000701,0,0,0.000809,0,0,0.000701,0,0.001726,0.000701,0.000324,5.40E-05,0.000216,0.000701,5.40E-05,0.000378,0.000593,0.002536,0.000486,0.00054,0.000378,0.000324,0.000324,0.000432,0.000432,succ
3.18729097,7.642140468,0.74916388,5.237458194,3.47826087,0.140468227,7.317725753,0.060200669,0.387959866,0.892976589,3.026755853,0.20735786,6.595317726,1.073578595,2922,4.886287625,0.110543,0.022734,0.016686,0.016477,0.028679,0.016477,0.017207,0.023673,0.023673,0.007613,0.011993,0.004797,0.006153,0.008239,0.003233,0.004693,0.003233,0.003441,0.00511,0.033163,0.007613,0.007091,0.006883,0.001773,0.005006,0.005214,0.001669,0.008969,0.003337,0.001564,0.002086,0.001669,0.001147,0.004693,0.002294,0.001251,0.000417,0.002086,0.000939,0.000939,0.003129,0,0.004171,0.003859,0,0.000209,0.001251,0.001877,0,0.00073,0.001877,0.00219,0.001877,0.00073,0.000209,0.001147,0.000104,0.001981,0.001043,0,0.002607,0.00073,0.001043,0.000313,0.001877,0,0.002607,0.000521,0.000104,0.001773,0.002086,0.003233,0.000209,0.00146,0.00146,0.005736,0,0.001251,0.000626,0.001043,0,0.002294,0,0.002711,0,0.001877,0.000521,0.000626,0.001564,0.001251,0.000104,0.000834,0.000521,0.000417,0.000626,0.001043,0.001564,0.000104,0.000417,0,0.000417,0.001981,0.000521,0.000104,0,0,0.000939,0.000417,0.00073,0.000104,0.000417,0.000417,0.003024,0.000209,0.00073,0.000626,0.002607,0.000626,0.000417,0.000939,0,0,0.000209,0,0.002816,0.000209,0.00219,0.000521,0,0.000521,0.00146,0,0.000313,0,0.00219,0,0.000834,0.00073,0.000417,0.000939,0.001043,0.000313,0.000104,0.000209,0.000104,0.000209,0.001669,0.001147,0.001147,0.00073,0.000521,0.000834,0.000209,0.000521,0.000104,0.000626,0.000626,0.002294,0.000626,0.000834,0.001356,0.00146,0,0,0.000521,0.000834,0.000209,0.000834,0.000417,0.000313,0.000104,0.000313,0,0.001043,0.000417,0.000521,0,0,0.000834,0.000209,0,0.000209,0.000104,0.00146,0.000939,0.000834,0.000417,0.000104,0.000834,0.000104,0.000104,0.000521,0.000521,0.000313,0.000104,0.000104,0,0,0.000104,0.000313,unsucc
1.171939477,3.953232462,0.590096286,4.257221458,1.872077029,0.155433287,3.826685007,0.01650619,0.31911967,0.634112792,1.933975241,0.202200825,3.327372765,0.803301238,1805,2.482806052,0.070636,0.038994,0.032074,0.022344,0.013767,0.014632,0.016073,0.014776,0.014848,0.00519,0.007136,0.006415,0.005045,0.005694,0.006199,0.005982,0.006415,0.004613,0.005045,0.005478,0.004973,0.003964,0.005694,0.006487,0.002811,0.006775,0.000649,0.001081,0.003243,0.002595,0.003604,0.001874,0.002018,0.002667,0.002451,0.003099,0.003892,0.00382,0.00173,0.001874,0.002162,0,0.002162,0.002955,0,0.005694,0.00036,0.00036,0,0.000649,0.002379,0.000793,0.001081,0.001081,0.002595,0.001081,0.000216,0.001081,0.000721,0,0.002811,0.000505,0.001225,0.000577,0.000865,0,0.001153,0.000793,7.20E-05,0.00209,0.00036,0.000577,0.000144,0.002162,0.000288,0.001586,0,0.000432,0.000721,0.001153,0,0.001514,0,0.000793,0.000216,0.000288,0.001009,0.000577,0.000865,0.000577,0,0.001225,0.000793,0.000793,0.000144,0,0.001874,0,0.000793,0,0.001009,0.000288,0.001009,7.20E-05,0,0,0.000216,0.001514,0.000505,0.000432,0.000649,7.20E-05,0.000432,0.001153,0.000216,7.20E-05,0.000505,0.000288,0.001009,0.001297,0,0,0.000432,0,0.00173,7.20E-05,0.000721,0.000865,0,0.001081,0.000216,0,0.000793,7.20E-05,0.000216,0.000505,0.000577,0.000505,0.000577,0.000505,0.000865,0.000865,0.000144,0,0.000144,0.000649,0.000577,0.000144,0.00036,0.000721,0.000793,0.000216,0.000288,0.001081,0.000144,0.000432,7.20E-05,0.000649,7.20E-05,0.000793,0.000721,0.000865,0,0,0.000577,7.20E-05,0.000721,0.001442,0.000144,0.000577,0.000505,0.000144,0,0.001081,0.000216,0.000721,0,0,0.000865,0.000144,7.20E-05,0.000288,0.000216,0.001009,0.000432,0.001586,0.000288,0.000144,0.000432,7.20E-05,0.000216,0.000144,0.000649,0.000144,0.001009,0.000577,0.000505,0.000721,0.000144,0,succ
1.326633166,3.885678392,0.263819095,3.464824121,1.761306533,0.139447236,4.139447236,0.025125628,0.257537688,0.634422111,2.012562814,0.213567839,3.646984925,0.817839196,2062,2.590452261,0.075148,0.038953,0.019914,0.020788,0.015137,0.016012,0.017156,0.021596,0.021529,0.00592,0.010428,0.006122,0.007602,0.008208,0.008813,0.00592,0.00666,0.005449,0.005315,0.008275,0.007266,0.005382,0.005248,0.003767,0.001816,0.008679,0.000807,0.008073,0.003095,0.002624,0.001615,0.002018,0.002489,0.003902,0.001009,0.003297,0.008746,0.00296,0.001547,0.001009,0.003229,0,0.002557,0.0037,0,0.001749,0.000605,0.001816,6.70E-05,6.70E-05,0.002826,0.001884,0.001615,0.001346,0.001547,0.002153,0.000471,0.001009,0.001076,0,0.004373,0.000404,0.001278,0.001413,0.000875,6.70E-05,0.001547,0.000673,0.000875,0.001211,0.00592,0.002018,0.000202,0.002355,0.000807,0.002355,0,0.001682,0.000336,0.00148,0,0.002018,0,0.001346,0,0.001144,0.001076,0.000538,0.000605,0.000538,0,0.001076,0.000807,0.000538,0.000605,0.000135,0.001346,0,0.000538,0,0.00074,0.000605,0.000202,0.00074,0,0,0.000404,0.001682,0.000875,0.000269,0.000336,0.000807,0.001547,0.000807,0.000673,0.000942,0.00074,0.000269,0.00074,0.000673,0,0,0.000538,0,0.000135,0.000404,0.000673,0.000605,0,0.001413,0.000404,0,0.000336,0.000135,0.001009,0.006324,0.000538,0.000404,0.000807,0.00074,0.000336,0.001884,0.000135,6.70E-05,0,0.000673,0.000336,0.00074,6.70E-05,0.000336,0.000673,0.000404,6.70E-05,0.000538,0,0.000942,6.70E-05,0.000673,6.70E-05,0.001076,0,0.001211,0,0,0.000336,0.000202,0.000471,0.001413,6.70E-05,0.000269,0.00074,0.000875,0,0.001278,0,0.000673,0,0,6.70E-05,0,0,0,6.70E-05,0.000807,0.000471,0.00074,0.000538,0.000269,0.000538,0.000135,0.000336,0.000269,6.70E-05,0.000605,0.000336,0.000336,0.000605,0.000135,0.000202,0,succ
1.502118644,2.741525424,0.216101695,2.281779661,1.315677966,0.152542373,2.675847458,0.063559322,0.161016949,0.277542373,1.146186441,0.069915254,2.387711864,0.419491525,2064,2.186440678,0.097534,0.057968,0.026684,0.011778,0.020059,0.01509,0.017667,0.00184,0.009753,0.013802,0.012514,0.006073,0.010121,0.007729,0.003681,0.004417,0.012514,0.005705,0.005521,0.029812,0.019875,0.007913,0.005153,0.003497,0.00184,0.014538,0.000184,0.005153,0.004049,0.002392,0.001104,0.00184,0.002208,0.00184,0.000368,0.003681,0.001104,0.005337,0.001104,0.002944,0.003865,0,0.004417,0.004785,0,0,0.000184,0.001656,0,0.000552,0.002944,0.002944,0.002944,0.001104,0.000184,0.003497,0.000552,0.001104,0.000736,0,0.001104,0.002576,0.000736,0.001472,0.002208,0,0.002208,0.000552,0.00184,0.012514,0.004233,0.003681,0.002024,0.00276,0.000368,0.001104,0,0,0.00092,0.006809,0,0.004233,0,0.003128,0,0.000736,0.001104,0.000368,0.00184,0.000184,0,0.00092,0.001472,0.000368,0.001288,0.002024,0,0,0.000368,0,0.001288,0.00184,0.00092,0.00184,0,0,0.000736,0.000552,0.000736,0.000368,0.001104,0.000552,0.004417,0.000184,0.001656,0.001472,0.003497,0.001656,0.000368,0.000552,0,0,0.000368,0,0.002576,0.000184,0.00092,0.000552,0,0.001472,0.005705,0,0.000552,0.000184,0.001104,0.003128,0.001288,0,0,0.000184,0.00092,0.001288,0.002208,0.000184,0.001104,0.000184,0.001104,0.000736,0.003128,0.00092,0.001288,0.000184,0.000552,0.000736,0,0.000736,0,0.003865,0.000368,0.000552,0.000368,0.002576,0,0,0.000736,0.000184,0,0,0.000736,0.000368,0,0.000736,0,0.002576,0,0.000184,0,0,0.000552,0,0,0,0,0.00184,0.000552,0.00092,0.001288,0.000552,0.000368,0.000368,0.000184,0.000736,0.000552,0.00184,0.001104,0,0.000184,0.000184,0,0.001104,unsucc
1.133802817,4.964788732,0.298122066,5.072769953,2.683098592,0.265258216,5.751173709,0.030516432,0.537558685,0.633802817,2.312206573,0.171361502,4.833333333,1.042253521,2402,2.819248826,0.076003,0.037596,0.031617,0.038204,0.012262,0.014998,0.017937,0.00456,0.00456,0.001925,0.010235,0.012059,0.004358,0.003851,0.004358,0.005574,0.002331,0.005168,0.004358,0.00456,0.004763,0.00304,0.005574,0.003344,0.00456,0.004054,0.000304,0.001621,0.001824,0.002837,0.001621,0.002432,0.001115,0.001925,0.001824,0.001824,0.001013,0.007195,0.003445,0.006384,0.002837,0,0.002229,0.002027,0,0.000912,0.000811,0.001419,0,0.001216,0.002128,0.000405,0.002635,0.004256,0.002027,0.002331,0.002635,0.001013,0.004155,0,0.003749,0.000405,0.001216,0.000608,0.000203,0,0.001216,0.000709,0.002432,0.000912,0.000507,0.002027,0.000912,0.001317,0.001216,0.000912,0,0.001216,0.000507,0.001216,0.000101,0.002432,0,0.001419,0,0.001013,0.000304,0.001621,0.001115,0.001723,0,0.001013,0.001013,0.000709,0.001317,0.000811,0.000912,0.000304,0.000709,0,0.001317,0.000405,0.000101,0.003141,0,0.000101,0.000507,0.001621,0.000203,0.000101,0.000203,0.001115,0.001419,0.001013,0.000101,0.000101,0.000912,0.000405,0.001013,0.001216,0,0,0.000304,0,0.000203,0.000101,0.000709,0.001115,0,0.001013,0.001216,0,0.000304,0.000101,0.000608,0.004662,0.000304,0.000405,0.000811,0.000304,0.001115,0.000709,0.000304,0.000405,0.000101,0.000811,0.004763,0.000709,0.000203,0.000507,0.001115,0.000608,0.000203,0.000608,0,0.000405,0.000304,0.001419,0.000101,0.000608,0.000304,0.001419,0,0,0.000203,0.000507,0.000608,0.000101,0.000912,0.000101,0.000405,0.000203,0,0.000709,0.000101,0.000203,0,0,0.001317,0,0,0.000203,0.000405,0.001723,0.001013,0.000912,0.000101,0.000304,0.000709,0.000203,0.000709,0.000304,0.001216,0.000405,0.001317,0.000507,0.000304,0.000101,0.000203,0.000101,unsucc
