小说名,r,v,nh,n,u,nt,p,e,nd,m,d,i,wp,a,句子数,停顿数,句子破碎度,Success,小说名,PU，,PU。,DEG的,DEC的,AS了,CD一,VC是,PU“,PU”,PN他,AD不,P在,AD就,M个,DT这,AD也,PU！,AD都,VE有,PN我,PN你,SP了,NN人,PN自己,AS着,PU？,CD三,PU：,AD还,VV能,CC和,DEV的,LC中,VV看,CD两,DT这个,PU…,VV会,LC上,LC里,PN这,NN余晖,VV说,VV要,VV藏,PU、,LC后,AD又,NR唐,AD但,SP的,BA把,VV让,P从,M种,VV到,AD已经,P对,SB被,NR彭怿辰,AD很,VV可以,AD才,AD再,DT那,CD九,VV来,M次,NN世界,AD不过,PN他们,VV去,VV起来,DT什么,AD却,SP啊,VV祝,AD只,VE没有,NT现在,NN表演,SP吧,NN衡逆,VV想,NN演员,JJ小,CD几,LB被,AD没,M年,NN弟子,AD还是,JJ大,VV出,VV知道,AD突然,VA好,NR李思敏,VV出来,VV宗,AD就是,AD一,P向,P因为,NN异兽,NR安泰,DT这些,AS过,VV给,LC下,DT那个,CS虽然,SP吗,AD最,VV发现,NN时候,AD怎么,AD一下,AD更,P和,VV丧尸,NT17号,VV开始,VV衡逆,VV说道,NN时间,AD而,AD没有,NR周帆,AD太,DEG之,NN和尚,CD一些,NN剧情,AD然后,PN她,AD那,VV可,LC之后,NN眼,AD这么,P给,NN身体,DEV地,NN电影,AD有些,PN你们,VV走,VV想到,VE没,BA将,LC时,AD连,M天,NR张兴平,NN手,OD第一,PN这里,VV应该,VV见,M声,SP呢,NR邱启明,NN丧尸,VV叫,M只,DT其他,VV道,MSP而,M句,P比,DT那些,NN铜,PN什么,JJ老,AD而且,NN演技,NN符箓,NN东西,NN主角,NN导演,NN角色,NN门,VV看到,PN那,AD所以,VV过来,NN身上,AD只是,NN心里,CD四,AD快,AD但是,AD一直,CS如果,CD多,AD多,MSP所,VE无,NN生命,class,
300动漫系统,2.39148936170212,9.22127659574468,0.536170212765957,8.28936170212766,2.83404255319148,0.174468085106382,7.62978723404255,0.0212765957446808,0.736170212765957,1.45531914893617,3.8595744680851,0.306382978723404,6.36595744680851,1.31489361702127,470.0,2154.0,4.582978723404255,1.0,300动漫系统,0.080004,0.017692,0.017915,0.01313,0.018249,0.014465,0.01313,0.020363,0.020585,0.00612,0.01135,0.006676,0.009792,0.0079,0.004562,0.006454,0.00434,0.002671,0.004451,0.010905,0.0079,0.003895,0.008123,0.003004,0.001001,0.004451,0.001669,0.009569,0.003116,0.003672,0.00434,0.001447,0.000779,0.002893,0.00178,0.001224,0.002225,0.002893,0.001892,0.002448,0.002225,0.0,0.004562,0.002893,0.000111,0.003783,0.00178,0.002559,0.0,0.005119,0.00178,0.00434,0.001224,0.001335,0.002782,0.002559,0.000111,0.001001,0.002337,0.0,0.001447,0.000668,0.001447,0.001335,0.001224,0.000334,0.001892,0.00089,0.001113,0.000779,0.000334,0.003449,0.000223,0.001001,0.000334,0.001335,0.0,0.001335,0.000779,0.000779,0.0,0.001001,0.0,0.00178,0.0,0.001113,0.001892,0.000445,0.00178,0.0,0.0,0.000779,0.001224,0.001669,0.001001,0.000223,0.001669,0.0,0.001558,0.0,0.001558,0.001113,0.000111,0.001113,0.0,0.0,0.000779,0.000334,0.001001,0.000668,0.001113,0.000668,0.000111,0.000556,0.000111,0.000223,0.001447,0.001113,0.000223,0.001113,0.0,0.0,0.000223,0.0,0.000111,0.00089,0.001558,0.000223,0.0,0.001001,0.000223,0.0,0.001558,0.0,0.003449,0.001001,0.000668,0.000668,0.001447,0.001113,0.001001,0.000556,0.000223,0.000223,0.000223,0.0,0.00089,0.001447,0.001113,0.000779,0.000223,0.001335,0.000556,0.001001,0.0,0.00089,0.000111,0.00089,0.000445,0.00089,0.001001,0.000556,0.005564,0.0,0.001447,0.000334,0.0,0.00089,0.000445,0.000445,0.000779,0.000334,0.002337,0.000779,0.000111,0.00089,0.0,0.0,0.000445,0.000111,0.0,0.0,0.000223,0.001001,0.000556,0.001447,0.00089,0.000223,0.000334,0.000111,0.00089,0.000779,0.000223,0.000223,0.000445,0.000334,0.000445,0.0,0.000668,0.000111,unsucc,
阿林的异界教室,1.44226273959794,4.40813464235624,0.627863487611033,4.33567087424029,2.40158952781673,0.107059373539036,4.5544647031323,0.0247779336138382,0.422159887798036,0.650771388499298,1.79756895745675,0.158952781673679,4.04020570359981,0.944366526414212,4278.0,12846.0,3.002805049088359,1.0,阿林的异界教室,0.090309,0.03495,0.026007,0.02512,0.021024,0.015791,0.011172,0.022685,0.020774,0.0114,0.00851,0.005324,0.003777,0.005506,0.003117,0.003754,0.008578,0.002526,0.004619,0.008055,0.008851,0.004642,0.003572,0.001911,0.006963,0.005279,0.002571,0.007099,0.00198,0.001593,0.002594,0.002298,0.002366,0.003663,0.002184,0.000683,0.007304,0.00223,0.002298,0.002935,0.002321,2.3e-05,0.002162,0.001957,2.3e-05,2.3e-05,0.001251,0.002139,0.0,0.00091,0.000978,0.001047,0.001547,0.002071,0.001388,0.001524,0.000114,0.000819,0.001115,0.0,0.002708,0.000546,0.000865,0.000887,0.001456,0.000159,0.001229,0.000592,0.000637,0.000364,0.001229,0.001138,0.000478,0.000933,0.000865,0.002526,0.0,0.000774,0.000455,0.000546,0.0,0.002116,0.0,0.001342,0.0,0.003504,0.002025,0.00091,0.000455,0.000865,2.3e-05,0.000751,0.001593,0.00091,0.000205,0.000182,0.001024,0.0,0.000637,0.000341,0.000273,0.000933,0.001456,0.000341,4.6e-05,0.0,0.00041,0.000683,0.000569,0.000228,0.000228,0.000796,0.001229,0.000637,0.000387,0.000956,0.001183,0.000842,0.000387,0.000592,0.0,0.0,0.000137,0.0,0.00066,0.000319,0.000501,0.000455,0.0,0.000637,0.000319,0.0,0.001115,4.6e-05,2.3e-05,0.003459,0.000455,0.000546,0.000683,0.000751,0.000592,0.000865,0.000182,0.002071,0.0,0.003072,0.000978,0.000751,0.000319,0.000455,0.000887,0.000228,9.1e-05,0.000728,0.0,0.001547,0.000273,0.001092,4.6e-05,0.000341,0.001001,0.000842,0.0,0.0,0.000728,0.000978,0.000205,0.00273,0.000387,0.000387,0.000205,0.000182,0.0,0.000865,0.000296,6.8e-05,0.0,0.0,0.000228,2.3e-05,0.0,6.8e-05,0.000341,0.001547,0.000637,0.000273,0.000159,0.000182,0.000774,9.1e-05,0.000182,0.000478,0.00041,0.000501,0.000273,0.000228,0.000341,0.000341,0.000114,2.3e-05,unsucc,
阿瑞斯荣耀战队,1.13953488372093,4.46075581395348,0.0479651162790697,3.78633720930232,2.32267441860465,0.190406976744186,3.39680232558139,0.00872093023255814,0.424418604651162,0.930232558139534,1.97238372093023,0.107558139534883,2.64244186046511,0.760174418604651,1376.0,2880.0,2.0930232558139537,1.0,阿瑞斯荣耀战队,0.053392,0.041154,0.031974,0.029221,0.023637,0.019123,0.010709,0.012927,0.012392,0.004054,0.007037,0.008338,0.006349,0.009562,0.004819,0.005814,0.005737,0.003442,0.003519,0.006808,0.005431,0.003748,0.003748,0.006425,0.006272,0.003748,0.001989,0.004131,0.002295,0.001759,0.002601,0.002677,0.000918,0.002371,0.003366,0.00153,0.000612,0.003978,0.002295,0.003442,0.001606,0.0,0.001377,0.002065,0.0,0.0,0.004972,0.002142,0.0,0.001836,0.001377,0.000382,0.001147,0.001606,0.000459,0.002065,7.6e-05,0.000688,0.004207,7.6e-05,0.002142,0.000382,0.000765,0.000841,0.001377,0.0,0.000688,0.001759,0.0,0.001224,0.002754,0.001071,0.000153,0.000229,0.000918,0.001377,0.0,0.002524,0.001071,0.001071,0.0,0.000918,0.0,0.000841,0.0,0.000306,0.001071,0.001453,0.000612,0.000229,0.0,0.001071,0.000994,0.000382,7.6e-05,0.000535,0.001147,0.0,0.000382,0.0,0.000841,0.000459,0.00306,7.6e-05,0.0,0.0,0.000612,0.000306,0.000841,0.000229,0.001377,7.6e-05,0.0013,0.000382,0.000918,0.000918,0.000459,0.000459,0.000459,0.000841,0.00895,0.0,0.000229,0.0,0.001377,0.000688,0.000765,0.000612,0.0,0.000382,7.6e-05,0.0,0.000459,0.0,0.000765,0.000153,0.000306,0.000382,0.0,0.000918,0.000841,0.000612,7.6e-05,0.003901,0.0,0.000918,0.003519,0.000765,0.000153,0.0,0.003366,0.001836,0.000153,0.000153,7.6e-05,0.000688,0.000382,0.000765,7.6e-05,0.000765,0.000994,0.000765,0.0,0.002601,0.000306,0.003442,0.000612,0.000688,0.000612,7.6e-05,0.000612,0.000229,0.0,0.000918,0.0,0.000459,0.0,0.0,0.001071,0.0,0.0,0.0,0.000688,7.6e-05,0.000382,0.001224,0.000153,7.6e-05,0.000459,0.000153,0.000153,0.000459,0.001836,7.6e-05,0.000765,0.000153,7.6e-05,0.000765,0.0,0.000229,unsucc,
奥特曼战记,1.19874213836477,5.48050314465408,0.191194968553459,5.46037735849056,3.18490566037735,0.125786163522012,4.12704402515723,0.0264150943396226,0.568553459119496,0.797484276729559,2.40880503144654,0.20377358490566,3.31572327044025,0.986163522012578,795.0,1837.0,2.3106918238993712,0.0,奥特曼战记,0.04683,0.03426,0.033828,0.026976,0.031022,0.017426,0.01106,0.019746,0.019045,0.003777,0.006043,0.007931,0.007122,0.009118,0.002374,0.003075,0.003777,0.003291,0.002913,0.004316,0.002913,0.004316,0.00437,0.001942,0.008686,0.004802,0.00054,0.006312,0.002752,0.00205,0.002913,0.006528,0.002967,0.003885,0.003507,0.002374,0.0,0.002536,0.003183,0.000216,0.001565,0.000108,0.001673,0.001511,0.0,0.001133,0.001457,0.00054,0.0,0.0,0.002158,0.000378,0.001996,0.00205,0.000809,0.001295,5.4e-05,0.000432,0.00232,0.0,0.001295,0.000162,0.001187,0.001295,0.001673,0.00027,0.002158,0.000917,0.000162,0.001133,0.002212,0.001673,0.000432,0.000863,0.001403,0.001403,0.0,0.00205,0.000324,0.00178,0.0,0.000647,0.0,0.000755,0.0,0.000378,0.000917,0.001619,0.00054,0.000432,0.0,0.000701,0.005395,0.001025,5.4e-05,0.000863,0.00054,0.0,0.001025,0.0,0.000701,0.000917,0.00054,0.000647,0.0,0.0,0.00054,0.001025,0.000593,0.00054,0.001457,0.000863,0.001457,0.000701,0.000108,5.4e-05,0.001025,0.000917,0.000432,0.000216,0.0,0.0,0.000486,0.0,0.001673,5.4e-05,0.003237,0.00054,0.0,0.000701,0.000432,0.0,0.00027,0.0,0.000486,0.00054,0.000593,0.000162,0.00027,0.001295,0.000701,0.000593,0.000216,5.4e-05,0.0,0.00054,0.001349,0.001187,5.4e-05,0.000324,0.003669,0.000216,0.000593,0.000378,5.4e-05,0.000593,0.000162,0.000863,5.4e-05,0.000216,0.000647,0.001403,0.0,0.0,0.000216,0.0,0.000378,0.000755,0.001133,0.000108,0.000216,0.000324,0.0,0.001403,0.0,0.000701,0.0,0.0,0.000809,0.0,0.0,0.000701,0.0,0.001726,0.000701,0.000324,5.4e-05,0.000216,0.000701,5.4e-05,0.000378,0.000593,0.002536,0.000486,0.00054,0.000378,0.000324,0.000324,0.000432,0.000432,succ,
抱歉，在下是怪兽,3.18729096989966,7.64214046822742,0.749163879598662,5.23745819397993,3.47826086956521,0.140468227424749,7.31772575250836,0.060200668896321,0.387959866220735,0.892976588628762,3.0267558528428,0.207357859531772,6.5953177257525,1.07357859531772,598.0,2922.0,4.88628762541806,1.0,抱歉，在下是怪兽,0.110543,0.022734,0.016686,0.016477,0.028679,0.016477,0.017207,0.023673,0.023673,0.007613,0.011993,0.004797,0.006153,0.008239,0.003233,0.004693,0.003233,0.003441,0.00511,0.033163,0.007613,0.007091,0.006883,0.001773,0.005006,0.005214,0.001669,0.008969,0.003337,0.001564,0.002086,0.001669,0.001147,0.004693,0.002294,0.001251,0.000417,0.002086,0.000939,0.000939,0.003129,0.0,0.004171,0.003859,0.0,0.000209,0.001251,0.001877,0.0,0.00073,0.001877,0.00219,0.001877,0.00073,0.000209,0.001147,0.000104,0.001981,0.001043,0.0,0.002607,0.00073,0.001043,0.000313,0.001877,0.0,0.002607,0.000521,0.000104,0.001773,0.002086,0.003233,0.000209,0.00146,0.00146,0.005736,0.0,0.001251,0.000626,0.001043,0.0,0.002294,0.0,0.002711,0.0,0.001877,0.000521,0.000626,0.001564,0.001251,0.000104,0.000834,0.000521,0.000417,0.000626,0.001043,0.001564,0.000104,0.000417,0.0,0.000417,0.001981,0.000521,0.000104,0.0,0.0,0.000939,0.000417,0.00073,0.000104,0.000417,0.000417,0.003024,0.000209,0.00073,0.000626,0.002607,0.000626,0.000417,0.000939,0.0,0.0,0.000209,0.0,0.002816,0.000209,0.00219,0.000521,0.0,0.000521,0.00146,0.0,0.000313,0.0,0.00219,0.0,0.000834,0.00073,0.000417,0.000939,0.001043,0.000313,0.000104,0.000209,0.000104,0.000209,0.001669,0.001147,0.001147,0.00073,0.000521,0.000834,0.000209,0.000521,0.000104,0.000626,0.000626,0.002294,0.000626,0.000834,0.001356,0.00146,0.0,0.0,0.000521,0.000834,0.000209,0.000834,0.000417,0.000313,0.000104,0.000313,0.0,0.001043,0.000417,0.000521,0.0,0.0,0.000834,0.000209,0.0,0.000209,0.000104,0.00146,0.000939,0.000834,0.000417,0.000104,0.000834,0.000104,0.000104,0.000521,0.000521,0.000313,0.000104,0.000104,0.0,0.0,0.000104,0.000313,unsucc,
变身病弱科技少女,1.17193947730398,3.95323246217331,0.59009628610729,4.25722145804676,1.87207702888583,0.155433287482806,3.82668500687757,0.0165061898211829,0.319119669876203,0.634112792297111,1.93397524071526,0.202200825309491,3.32737276478679,0.803301237964236,727.0,1805.0,2.482806052269601,0.0,变身病弱科技少女,0.070636,0.038994,0.032074,0.022344,0.013767,0.014632,0.016073,0.014776,0.014848,0.00519,0.007136,0.006415,0.005045,0.005694,0.006199,0.005982,0.006415,0.004613,0.005045,0.005478,0.004973,0.003964,0.005694,0.006487,0.002811,0.006775,0.000649,0.001081,0.003243,0.002595,0.003604,0.001874,0.002018,0.002667,0.002451,0.003099,0.003892,0.00382,0.00173,0.001874,0.002162,0.0,0.002162,0.002955,0.0,0.005694,0.00036,0.00036,0.0,0.000649,0.002379,0.000793,0.001081,0.001081,0.002595,0.001081,0.000216,0.001081,0.000721,0.0,0.002811,0.000505,0.001225,0.000577,0.000865,0.0,0.001153,0.000793,7.2e-05,0.00209,0.00036,0.000577,0.000144,0.002162,0.000288,0.001586,0.0,0.000432,0.000721,0.001153,0.0,0.001514,0.0,0.000793,0.000216,0.000288,0.001009,0.000577,0.000865,0.000577,0.0,0.001225,0.000793,0.000793,0.000144,0.0,0.001874,0.0,0.000793,0.0,0.001009,0.000288,0.001009,7.2e-05,0.0,0.0,0.000216,0.001514,0.000505,0.000432,0.000649,7.2e-05,0.000432,0.001153,0.000216,7.2e-05,0.000505,0.000288,0.001009,0.001297,0.0,0.0,0.000432,0.0,0.00173,7.2e-05,0.000721,0.000865,0.0,0.001081,0.000216,0.0,0.000793,7.2e-05,0.000216,0.000505,0.000577,0.000505,0.000577,0.000505,0.000865,0.000865,0.000144,0.0,0.000144,0.000649,0.000577,0.000144,0.00036,0.000721,0.000793,0.000216,0.000288,0.001081,0.000144,0.000432,7.2e-05,0.000649,7.2e-05,0.000793,0.000721,0.000865,0.0,0.0,0.000577,7.2e-05,0.000721,0.001442,0.000144,0.000577,0.000505,0.000144,0.0,0.001081,0.000216,0.000721,0.0,0.0,0.000865,0.000144,7.2e-05,0.000288,0.000216,0.001009,0.000432,0.001586,0.000288,0.000144,0.000432,7.2e-05,0.000216,0.000144,0.000649,0.000144,0.001009,0.000577,0.000505,0.000721,0.000144,0.0,succ,
变身超毒舌少女,1.32663316582914,3.88567839195979,0.263819095477386,3.46482412060301,1.76130653266331,0.139447236180904,4.1394472361809,0.0251256281407035,0.257537688442211,0.634422110552763,2.01256281407035,0.213567839195979,3.64698492462311,0.817839195979899,796.0,2062.0,2.590452261306533,0.0,变身超毒舌少女,0.075148,0.038953,0.019914,0.020788,0.015137,0.016012,0.017156,0.021596,0.021529,0.00592,0.010428,0.006122,0.007602,0.008208,0.008813,0.00592,0.00666,0.005449,0.005315,0.008275,0.007266,0.005382,0.005248,0.003767,0.001816,0.008679,0.000807,0.008073,0.003095,0.002624,0.001615,0.002018,0.002489,0.003902,0.001009,0.003297,0.008746,0.00296,0.001547,0.001009,0.003229,0.0,0.002557,0.0037,0.0,0.001749,0.000605,0.001816,6.7e-05,6.7e-05,0.002826,0.001884,0.001615,0.001346,0.001547,0.002153,0.000471,0.001009,0.001076,0.0,0.004373,0.000404,0.001278,0.001413,0.000875,6.7e-05,0.001547,0.000673,0.000875,0.001211,0.00592,0.002018,0.000202,0.002355,0.000807,0.002355,0.0,0.001682,0.000336,0.00148,0.0,0.002018,0.0,0.001346,0.0,0.001144,0.001076,0.000538,0.000605,0.000538,0.0,0.001076,0.000807,0.000538,0.000605,0.000135,0.001346,0.0,0.000538,0.0,0.00074,0.000605,0.000202,0.00074,0.0,0.0,0.000404,0.001682,0.000875,0.000269,0.000336,0.000807,0.001547,0.000807,0.000673,0.000942,0.00074,0.000269,0.00074,0.000673,0.0,0.0,0.000538,0.0,0.000135,0.000404,0.000673,0.000605,0.0,0.001413,0.000404,0.0,0.000336,0.000135,0.001009,0.006324,0.000538,0.000404,0.000807,0.00074,0.000336,0.001884,0.000135,6.7e-05,0.0,0.000673,0.000336,0.00074,6.7e-05,0.000336,0.000673,0.000404,6.7e-05,0.000538,0.0,0.000942,6.7e-05,0.000673,6.7e-05,0.001076,0.0,0.001211,0.0,0.0,0.000336,0.000202,0.000471,0.001413,6.7e-05,0.000269,0.00074,0.000875,0.0,0.001278,0.0,0.000673,0.0,0.0,6.7e-05,0.0,0.0,0.0,6.7e-05,0.000807,0.000471,0.00074,0.000538,0.000269,0.000538,0.000135,0.000336,0.000269,6.7e-05,0.000605,0.000336,0.000336,0.000605,0.000135,0.000202,0.0,succ,
变身黑暗女神,1.50211864406779,2.74152542372881,0.216101694915254,2.28177966101694,1.31567796610169,0.152542372881355,2.67584745762711,0.0635593220338983,0.161016949152542,0.277542372881355,1.14618644067796,0.0699152542372881,2.38771186440678,0.419491525423728,944.0,2064.0,2.1864406779661016,1.0,变身黑暗女神,0.097534,0.057968,0.026684,0.011778,0.020059,0.01509,0.017667,0.00184,0.009753,0.013802,0.012514,0.006073,0.010121,0.007729,0.003681,0.004417,0.012514,0.005705,0.005521,0.029812,0.019875,0.007913,0.005153,0.003497,0.00184,0.014538,0.000184,0.005153,0.004049,0.002392,0.001104,0.00184,0.002208,0.00184,0.000368,0.003681,0.001104,0.005337,0.001104,0.002944,0.003865,0.0,0.004417,0.004785,0.0,0.0,0.000184,0.001656,0.0,0.000552,0.002944,0.002944,0.002944,0.001104,0.000184,0.003497,0.000552,0.001104,0.000736,0.0,0.001104,0.002576,0.000736,0.001472,0.002208,0.0,0.002208,0.000552,0.00184,0.012514,0.004233,0.003681,0.002024,0.00276,0.000368,0.001104,0.0,0.0,0.00092,0.006809,0.0,0.004233,0.0,0.003128,0.0,0.000736,0.001104,0.000368,0.00184,0.000184,0.0,0.00092,0.001472,0.000368,0.001288,0.002024,0.0,0.0,0.000368,0.0,0.001288,0.00184,0.00092,0.00184,0.0,0.0,0.000736,0.000552,0.000736,0.000368,0.001104,0.000552,0.004417,0.000184,0.001656,0.001472,0.003497,0.001656,0.000368,0.000552,0.0,0.0,0.000368,0.0,0.002576,0.000184,0.00092,0.000552,0.0,0.001472,0.005705,0.0,0.000552,0.000184,0.001104,0.003128,0.001288,0.0,0.0,0.000184,0.00092,0.001288,0.002208,0.000184,0.001104,0.000184,0.001104,0.000736,0.003128,0.00092,0.001288,0.000184,0.000552,0.000736,0.0,0.000736,0.0,0.003865,0.000368,0.000552,0.000368,0.002576,0.0,0.0,0.000736,0.000184,0.0,0.0,0.000736,0.000368,0.0,0.000736,0.0,0.002576,0.0,0.000184,0.0,0.0,0.000552,0.0,0.0,0.0,0.0,0.00184,0.000552,0.00092,0.001288,0.000552,0.000368,0.000368,0.000184,0.000736,0.000552,0.00184,0.001104,0.0,0.000184,0.000184,0.0,0.001104,unsucc,
变身幻想少女,1.1338028169014,4.96478873239436,0.298122065727699,5.07276995305164,2.68309859154929,0.265258215962441,5.75117370892018,0.0305164319248826,0.537558685446009,0.633802816901408,2.31220657276995,0.171361502347417,4.83333333333333,1.04225352112676,852.0,2402.0,2.81924882629108,1.0,变身幻想少女,0.076003,0.037596,0.031617,0.038204,0.012262,0.014998,0.017937,0.00456,0.00456,0.001925,0.010235,0.012059,0.004358,0.003851,0.004358,0.005574,0.002331,0.005168,0.004358,0.00456,0.004763,0.00304,0.005574,0.003344,0.00456,0.004054,0.000304,0.001621,0.001824,0.002837,0.001621,0.002432,0.001115,0.001925,0.001824,0.001824,0.001013,0.007195,0.003445,0.006384,0.002837,0.0,0.002229,0.002027,0.0,0.000912,0.000811,0.001419,0.0,0.001216,0.002128,0.000405,0.002635,0.004256,0.002027,0.002331,0.002635,0.001013,0.004155,0.0,0.003749,0.000405,0.001216,0.000608,0.000203,0.0,0.001216,0.000709,0.002432,0.000912,0.000507,0.002027,0.000912,0.001317,0.001216,0.000912,0.0,0.001216,0.000507,0.001216,0.000101,0.002432,0.0,0.001419,0.0,0.001013,0.000304,0.001621,0.001115,0.001723,0.0,0.001013,0.001013,0.000709,0.001317,0.000811,0.000912,0.000304,0.000709,0.0,0.001317,0.000405,0.000101,0.003141,0.0,0.000101,0.000507,0.001621,0.000203,0.000101,0.000203,0.001115,0.001419,0.001013,0.000101,0.000101,0.000912,0.000405,0.001013,0.001216,0.0,0.0,0.000304,0.0,0.000203,0.000101,0.000709,0.001115,0.0,0.001013,0.001216,0.0,0.000304,0.000101,0.000608,0.004662,0.000304,0.000405,0.000811,0.000304,0.001115,0.000709,0.000304,0.000405,0.000101,0.000811,0.004763,0.000709,0.000203,0.000507,0.001115,0.000608,0.000203,0.000608,0.0,0.000405,0.000304,0.001419,0.000101,0.000608,0.000304,0.001419,0.0,0.0,0.000203,0.000507,0.000608,0.000101,0.000912,0.000101,0.000405,0.000203,0.0,0.000709,0.000101,0.000203,0.0,0.0,0.001317,0.0,0.0,0.000203,0.000405,0.001723,0.001013,0.000912,0.000101,0.000304,0.000709,0.000203,0.000709,0.000304,0.001216,0.000405,0.001317,0.000507,0.000304,0.000101,0.000203,0.000101,unsucc,
变身九尾萝莉1,0.849192100538599,2.66606822262118,0.371633752244165,2.87073608617594,1.24955116696588,0.134649910233393,3.28725314183123,0.0466786355475763,0.202872531418312,0.434470377019748,1.21903052064631,0.184919210053859,3.016157989228,0.506283662477558,1114.0,2370.0,2.127468581687612,1.0,变身九尾萝莉1,0.081414,0.054974,0.015707,0.016492,0.015052,0.017539,0.011518,0.026309,0.026047,0.00301,0.009293,0.004581,0.003927,0.004058,0.004188,0.003534,0.01322,0.002487,0.004974,0.00877,0.00877,0.004843,0.00288,0.003665,0.004188,0.005105,0.002487,0.000131,0.00144,0.00144,0.000654,0.001702,0.002356,0.002487,0.000785,0.000262,0.007068,0.001963,0.000262,0.000393,0.002749,0.0,0.002749,0.002749,0.0,0.000393,0.001309,0.000654,0.0,0.001571,0.001702,0.000785,0.001832,0.000654,0.000393,0.001571,0.000262,0.000262,0.001963,0.0,0.000393,0.001047,0.000524,0.001963,0.001178,0.001832,0.001309,0.000916,0.0,0.001309,0.000654,0.000524,0.000262,0.000916,0.001047,0.003796,0.0,0.000916,0.000524,0.000131,0.0,0.001832,0.0,0.000524,0.0,0.00144,0.000785,0.000654,0.00144,0.001571,0.0,0.000654,0.000524,0.00144,0.001178,0.000131,0.000654,0.0,0.000785,0.0,0.001047,0.000916,0.000785,0.000131,0.0,0.0,0.000524,0.000524,0.000654,0.000131,0.001178,0.000131,0.00144,0.000654,0.000131,0.000131,0.002094,0.000916,0.000262,0.0,0.0,0.0,0.000262,0.0,0.002749,0.000131,0.001047,0.000131,0.0,0.000393,0.000393,0.0,0.000654,0.0,0.0,0.002356,0.001047,0.001047,0.000131,0.000654,0.001571,0.000785,0.000131,0.003534,0.0,0.002618,0.001178,0.000393,0.000131,0.0,0.000654,0.000393,0.000393,0.000131,0.0,0.000654,0.000654,0.000131,0.000131,0.000393,0.000785,0.001309,0.0,0.0,0.000654,0.000654,0.000262,0.000131,0.000131,0.000393,0.000131,0.000524,0.0,0.00144,0.0,0.000393,0.0,0.0,0.000131,0.000131,0.0,0.0,0.0,0.000785,0.000393,0.0,0.000393,0.000131,0.000916,0.000131,0.000262,0.0,0.000524,0.000393,0.0,0.000262,0.000393,0.000393,0.000262,0.0,unsucc,
