@relation pima_diabetes
@attribute '规则1' numeric
@attribute '规则2' numeric
@attribute '规则3' numeric
@attribute '规则4' numeric
@attribute '规则5' numeric
@attribute '规则6' numeric
@attribute '规则7' numeric
@attribute '规则8' numeric
@attribute '规则9' numeric
@attribute '规则10' numeric
@attribute '规则11' numeric
@attribute '规则12' numeric
@attribute '规则13' numeric
@attribute '规则14' numeric
@attribute '规则15' numeric
@attribute '规则16' numeric
@attribute '规则17' numeric
@attribute '规则18' numeric
@attribute 'class' { unsucc, succ}
@data
0.070551,0.064803,0.062451,0.02404,0.031356,0.0422,0.022472,0.026914,0.023517,0.022995,0.014372,0.024301,0.017768,0.010975,0.007839,0.015417,0.007055,0.015939,unsucc
0.060323,0.049943,0.050595,0.033042,0.023694,0.025216,0.031031,0.027988,0.023586,0.015814,0.026357,0.015651,0.022879,0.01451,0.014075,0.012065,0.00413,0.014184,unsucc
0.058164,0.049361,0.045651,0.037798,0.031757,0.032188,0.032447,0.022437,0.016396,0.022092,0.02261,0.014843,0.022437,0.015706,0.019158,0.015016,0.008112,0.017259,unsucc
0.057738,0.061905,0.058571,0.039762,0.029405,0.036905,0.031786,0.01631,0.01381,0.019048,0.03119,0.017024,0.02631,0.016667,0.017024,0.012024,0.005952,0.015238,succ
0.071895,0.043992,0.038462,0.035696,0.025892,0.016088,0.036325,0.044746,0.038964,0.02363,0.014832,0.014077,0.012318,0.018602,0.015334,0.008798,0.002765,0.012569,unsucc
0.053065,0.057874,0.047398,0.027306,0.026619,0.035549,0.026275,0.02473,0.019921,0.02284,0.015456,0.019406,0.021638,0.016315,0.013739,0.010647,0.005667,0.012365,succ
0.052779,0.04949,0.045215,0.029924,0.033706,0.033542,0.022854,0.02417,0.020552,0.02269,0.016442,0.02269,0.020552,0.019566,0.018415,0.011345,0.00707,0.015784,succ
0.054909,0.043887,0.043682,0.036742,0.03021,0.025107,0.03368,0.045928,0.044295,0.022454,0.015717,0.015513,0.015922,0.014697,0.013472,0.011227,0.00347,0.010206,unsucc
0.046032,0.054184,0.052026,0.03812,0.032606,0.041477,0.032366,0.016543,0.014865,0.01894,0.023496,0.018341,0.023975,0.017022,0.01894,0.010309,0.004795,0.012227,unsucc
0.052315,0.047802,0.048471,0.02808,0.029417,0.032927,0.023567,0.019723,0.019723,0.019555,0.021394,0.017048,0.016547,0.01521,0.013204,0.013538,0.006686,0.013705,unsucc
0.061186,0.060496,0.056877,0.030162,0.027232,0.037573,0.02344,0.02413,0.02637,0.020683,0.019648,0.021372,0.022406,0.010341,0.013961,0.008273,0.007239,0.009652,succ
0.049889,0.046427,0.050244,0.030715,0.038881,0.034265,0.022548,0.028762,0.029649,0.026187,0.016866,0.026365,0.018819,0.017488,0.019174,0.007102,0.003196,0.010741,succ
0.049846,0.055754,0.04918,0.032953,0.03262,0.037863,0.025381,0.031955,0.024881,0.018807,0.020637,0.023716,0.020305,0.017642,0.021802,0.00724,0.004078,0.008987,succ
0.061251,0.048583,0.045579,0.028862,0.037613,0.022986,0.022724,0.029124,0.023116,0.025467,0.015411,0.023508,0.016456,0.013452,0.014366,0.009403,0.006922,0.014366,succ
0.056209,0.053087,0.052366,0.024982,0.031227,0.033389,0.019217,0.021619,0.021139,0.022099,0.012491,0.025703,0.013212,0.015854,0.014172,0.01129,0.006486,0.012971,succ
0.071437,0.05064,0.04735,0.039831,0.032194,0.026084,0.033369,0.028434,0.022089,0.022559,0.024086,0.018682,0.021149,0.017859,0.017977,0.011515,0.007872,0.015979,unsucc
0.00017,0.00017,0.00017,0.00017,0.00017,0.039516,0.00017,0.00017,0.00017,0.00017,0.021972,0.022654,0.019588,0.012604,0.018055,0.011412,0.006472,0.00017,succ
0.052592,0.05411,0.05525,0.02791,0.034175,0.034365,0.021075,0.023163,0.026581,0.022973,0.023923,0.021075,0.024872,0.015189,0.017467,0.009113,0.005506,0.01329,succ
0.052412,0.051024,0.040958,0.031413,0.025859,0.034016,0.029851,0.027768,0.022562,0.019264,0.018049,0.021867,0.023256,0.02152,0.01319,0.01024,0.00538,0.013884,succ
0.064388,0.05052,0.048209,0.026746,0.036487,0.031534,0.023939,0.029883,0.026581,0.024104,0.01684,0.020142,0.01684,0.014529,0.012878,0.010236,0.005944,0.015519,succ
0.062094,0.045085,0.045999,0.040512,0.028898,0.019753,0.037769,0.029172,0.024783,0.021948,0.023045,0.015272,0.016369,0.017558,0.018198,0.008596,0.004664,0.012529,unsucc
0.056885,0.056093,0.053082,0.03692,0.037553,0.030106,0.029472,0.01949,0.012676,0.023451,0.022817,0.025828,0.023926,0.017905,0.01743,0.010933,0.005387,0.012042,unsucc
0.066706,0.04284,0.046557,0.035211,0.026408,0.029147,0.033646,0.027093,0.024452,0.020344,0.018584,0.017214,0.018388,0.01428,0.013302,0.009194,0.005673,0.010368,unsucc
0.04982,0.047801,0.049147,0.036131,0.043537,0.033214,0.024461,0.022217,0.018627,0.021993,0.023339,0.025583,0.02289,0.018402,0.017504,0.015709,0.007181,0.014363,succ
0.055359,0.047533,0.048392,0.041042,0.033788,0.024244,0.030257,0.031211,0.02873,0.02243,0.018994,0.021189,0.019948,0.01823,0.018803,0.005822,0.003913,0.008495,unsucc
0.070043,0.05097,0.054916,0.034364,0.025321,0.033542,0.029596,0.032555,0.033213,0.023019,0.018579,0.010523,0.019073,0.013482,0.009207,0.007563,0.003617,0.012825,unsucc
0.056835,0.042689,0.037682,0.030295,0.039184,0.02003,0.025038,0.037306,0.031422,0.029169,0.013771,0.01978,0.018903,0.024286,0.02028,0.007887,0.005133,0.010891,unsucc
0.056586,0.050671,0.05211,0.034847,0.033568,0.028932,0.026535,0.015985,0.014386,0.023018,0.018063,0.025256,0.021579,0.015665,0.015665,0.01071,0.006074,0.014066,succ
0.048166,0.057745,0.048987,0.023262,0.033114,0.035304,0.021073,0.025452,0.019431,0.018883,0.019431,0.02682,0.020799,0.014231,0.012042,0.013684,0.006568,0.017241,succ
0.043607,0.056621,0.049429,0.032534,0.029338,0.036644,0.023174,0.022032,0.020091,0.017808,0.028082,0.024886,0.030023,0.018265,0.017237,0.013242,0.005137,0.013014,succ
0.043017,0.048395,0.046705,0.031034,0.030112,0.036411,0.024274,0.018897,0.015978,0.017361,0.02028,0.019972,0.024428,0.017668,0.013212,0.013059,0.007528,0.016592,succ
0.055868,0.054685,0.054242,0.032072,0.030151,0.039905,0.028082,0.018179,0.014484,0.022465,0.022317,0.023943,0.023943,0.013893,0.015371,0.009755,0.005025,0.013745,succ
0.064028,0.041678,0.041283,0.031423,0.030108,0.023928,0.029845,0.032737,0.027741,0.026427,0.015383,0.02143,0.017223,0.016434,0.013279,0.007231,0.004339,0.010124,succ
0.064713,0.047936,0.042924,0.037368,0.033228,0.021026,0.034317,0.029415,0.022878,0.025384,0.017649,0.019283,0.018629,0.018847,0.017104,0.008389,0.004685,0.013291,unsucc
0.056772,0.052107,0.050051,0.028149,0.032893,0.023484,0.024986,0.027675,0.025065,0.02214,0.019609,0.021033,0.018819,0.016209,0.013047,0.011544,0.003479,0.014154,unsucc
0.062064,0.050427,0.042927,0.040859,0.034394,0.026894,0.031549,0.038531,0.032842,0.024567,0.015257,0.017585,0.017843,0.01474,0.019136,0.00931,0.006206,0.011378,unsucc
0.05394,0.045248,0.046207,0.043459,0.036365,0.024605,0.035087,0.035917,0.033489,0.019684,0.017895,0.020707,0.017256,0.018853,0.020579,0.007477,0.003707,0.011312,unsucc
0.000127,0.000127,0.000127,0.000127,0.000127,0.038799,0.000127,0.000127,0.000127,0.000127,0.020862,0.019082,0.023025,0.011576,0.013357,0.013611,0.007633,0.000127,succ
0.065951,0.000131,0.000131,0.034284,0.02748,0.000131,0.02905,0.03062,0.025909,0.01675,0.000131,0.000131,0.000131,0.013609,0.0123,0.000131,0.000131,0.012039,unsucc
0.059843,0.062453,0.05742,0.041014,0.034489,0.053691,0.033743,0.020507,0.018456,0.021999,0.023117,0.024422,0.022558,0.009321,0.019016,0.013423,0.006339,0.010254,unsucc
0.055214,0.054734,0.052018,0.028526,0.031642,0.031003,0.02477,0.023572,0.017339,0.021095,0.025489,0.02533,0.023412,0.019337,0.015901,0.011107,0.005194,0.014543,unsucc
0.049607,0.046605,0.044746,0.03045,0.043317,0.028306,0.019299,0.02559,0.021301,0.020872,0.013295,0.029307,0.019728,0.01787,0.019014,0.012009,0.007291,0.013295,succ
0.051351,0.04223,0.035248,0.039414,0.041441,0.030743,0.025113,0.027815,0.017905,0.021171,0.018468,0.022523,0.019032,0.018018,0.023198,0.014189,0.005631,0.01509,succ
0.061469,0.061172,0.058603,0.031426,0.028758,0.04032,0.025398,0.018579,0.015219,0.019567,0.021642,0.021445,0.022927,0.015219,0.01176,0.016207,0.007708,0.016998,unsucc
0.062419,0.043765,0.043048,0.026116,0.034582,0.01808,0.026259,0.030994,0.027981,0.028125,0.016502,0.015067,0.01191,0.018367,0.016932,0.010188,0.004305,0.013775,succ
0.063864,0.056483,0.055359,0.035141,0.03835,0.031932,0.025513,0.019416,0.018614,0.022465,0.016688,0.02423,0.017169,0.011232,0.013318,0.01396,0.00706,0.015244,succ
0.046544,0.056656,0.046821,0.030198,0.031306,0.034354,0.023687,0.018978,0.015515,0.019116,0.018562,0.022025,0.022856,0.014822,0.014961,0.009697,0.006372,0.011636,succ
0.054591,0.042583,0.043491,0.035721,0.031887,0.024319,0.028153,0.032392,0.030272,0.021191,0.017558,0.01998,0.019879,0.018466,0.01776,0.00777,0.005045,0.00888,succ
0.045657,0.050596,0.044814,0.030358,0.028912,0.029033,0.025419,0.024937,0.022286,0.020359,0.020479,0.019154,0.020118,0.014938,0.014336,0.015179,0.004698,0.013974,unsucc
