@relation pima_diabetes
@attribute 'daici' numeric
@attribute 'dongci' numeric
@attribute 'renming' numeric
@attribute 'mingci' numeric
@attribute 'zhuci' numeric
@attribute 'shijianmingci' numeric
@attribute 'jieci' numeric
@attribute 'gantanci' numeric
@attribute 'fangweimingci' numeric
@attribute 'shuci' numeric
@attribute 'fuci' numeric
@attribute 'xiyu' numeric
@attribute 'biaodian' numeric
@attribute 'xingrongci' numeric
@attribute 'juzishu' numeric
@attribute 'tingdunshu' numeric
@attribute 'juziposuidu' numeric
@attribute 'class' { unsucc, succ}
@data
0.909840289,3.658423493,0.400309119,3.646573931,1.543019062,0.176713035,3.340030912,0.024214323,0.386913962,0.513137558,1.881504379,0.193199382,2.923750644,0.845955693,3882,9142,2.354971664,unsucc
1.746268657,4.47228145,0.556503198,3.463752665,2.448827292,0.106609808,4.544776119,0.051172708,0.287846482,0.659914712,2.21641791,0.125799574,3.936034115,0.584221748,1876,5746,3.062899787,unsucc
1.016224189,4.299410029,0.169616519,4.269911504,2.250737463,0.17699115,3.682890855,0.001474926,0.342182891,0.764011799,2.18879056,0.233038348,3.249262537,0.731563422,1356,3612,2.663716814,unsucc
1.558101473,5.247135843,0.176759411,4.983633388,2.417348609,0.144026187,4.968903437,0.024549918,0.350245499,0.77086743,2.132569558,0.194762684,4.371522095,0.893617021,1222,4374,3.579378069,unsucc
1.396825397,5.087301587,0.378306878,5.169312169,2.701058201,0.145502646,4.687830688,0.026455026,0.624338624,0.994708995,2.35978836,0.145502646,3.85978836,0.854497354,756,2234,2.955026455,unsucc
2.573684211,8.547368421,0.331578947,7.952631579,4.294736842,0.468421053,5.215789474,0.005263158,0.673684211,1.321052632,4.631578947,0.284210526,4.273684211,1.389473684,380,1272,3.347368421,unsucc
1.482293423,4.591905565,0.613827993,4.569983137,2.064080944,0.163575042,4.509274874,0.033726813,0.39460371,0.790893761,2.239460371,0.198988196,4.006745363,0.777403035,1186,3680,3.102866779,unsucc
1.476129032,5.04516129,0.660645161,4.425806452,1.651612903,0.170322581,4.190967742,0,0.267096774,0.495483871,2.181935484,0.207741935,3.509677419,0.610322581,1550,4808,3.101935484,unsucc
3.082655827,9.528455285,1.265582656,9.422764228,4.695121951,0.365853659,8.930894309,0.027100271,0.779132791,1.292682927,3.997289973,0.39295393,7.613821138,1.570460705,1476,6750,4.573170732,unsucc
1.273722628,5.806569343,0.233576642,5.421532847,2.27189781,0.28649635,5.111313869,0.00729927,0.49270073,1.390510949,3.483576642,0.282846715,4.359489051,1.364963504,1096,4514,4.118613139,unsucc
