@relation pima_diabetes
@attribute 'TTR' numeric
@attribute 'class' { unsucc, succ}
@data
0.106842,unsucc
0.318947,succ
0.226106,succ
0.10824,unsucc
0.334618,succ
0.236015,succ
0.22071,succ
0.303002,succ
0.215817,succ
0.26142,succ
0.149656,unsucc
0.252418,succ
0.277551,succ
0.231759,succ
0.219541,succ
0.270762,succ
0.182829,succ
0.202582,succ
0.237285,succ
0.237262,succ
0.268157,succ
0.257104,succ
0.240948,succ
0.269435,succ
0.294921,succ
0.263654,succ
0.302817,succ
0.219044,succ
0.210798,succ
0.261615,succ
0.112643,unsucc
0.213974,succ
0.237058,succ
0.260658,succ
0.123054,unsucc
0.251792,succ
0.208729,succ
0.213128,succ
0.261031,succ
0.071228,unsucc
0.241049,succ
0.232802,succ
0.301244,succ
0.154358,unsucc
0.23791,succ
0.286594,succ
0.143789,succ
0.20809,succ
0.322794,succ
0.131593,unsucc
0.270853,succ
0.244341,succ
0.286972,succ
0.260574,succ
0.237646,succ
0.256192,succ
0.275661,succ
0.208831,succ
0.249822,succ
0.240707,succ
0.256908,succ
0.300225,succ
0.22105,succ
0.202911,succ
0.233242,succ
0.25364,succ
0.30735,succ
0.251781,succ
0.280787,succ
0.21519,succ
0.256426,succ
0.233572,succ
0.126864,unsucc
0.224876,succ
0.267414,succ
0.234836,succ
0.225711,succ
0.202144,succ
0.12363,unsucc
0.223049,succ
0.266022,succ
0.303005,succ
0.234665,succ
0.326874,succ
0.232482,succ
0.218193,succ
0.257752,succ
0.184785,succ
0.233079,succ
0.273644,succ
0.250634,succ
0.273911,succ
0.209234,succ
0.211117,succ
0.235918,succ
0.292408,succ
0.209475,succ
0.228196,succ
0.208056,succ
0.222554,succ
0.225713,succ
0.248236,succ
0.284077,succ
0.262825,succ
0.249198,succ
0.163417,succ
0.108486,unsucc
0.233224,succ
0.249377,succ
0.294515,succ
0.253553,succ
0.210577,succ
0.283363,succ
0.282511,succ
0.292823,succ
0.228538,succ
0.255821,succ
0.242582,succ
0.197157,succ
0.112468,unsucc
0.201381,succ
0.250293,succ
0.278963,succ
0.226704,succ
0.209366,succ
0.212945,succ
0.236443,succ
0.21005,succ
0.284873,succ
0.322226,succ
0.262499,succ
0.096288,unsucc
0.231288,succ
0.21221,succ
0.208057,succ
0.269495,succ
0.239683,succ
0.284734,succ
0.227878,succ
0.237313,succ
0.216141,succ
0.108968,unsucc
0.230025,succ
0.2579,succ
0.179547,succ
0.282687,succ
0.179487,succ
0.107124,unsucc
0.229337,succ
0.101308,unsucc
0.256532,succ
0.261416,succ
0.221196,succ
0.233048,succ
0.300072,succ
0.216532,succ
0.282463,succ
0.326777,succ
0.244355,succ
0.29004,succ
0.227057,succ
0.235361,succ
0.253506,succ
0.21103,succ
0.293322,succ
0.242168,succ
0.222262,succ
0.224287,succ
0.263794,succ
0.229258,succ
0.252101,succ
0.308512,succ
0.225455,succ
0.123882,unsucc
0.198698,succ
0.302124,succ
0.356756,succ
0.252088,succ
0.196941,succ
0.237886,succ
0.220539,succ
0.255071,succ
0.246568,succ
0.212336,succ
0.255834,succ
0.203306,succ
0.270562,succ
0.211546,succ
0.313246,succ
0.210264,succ
0.239851,succ
0.247418,succ
0.234551,succ
0.15311,unsucc
0.26201,succ
0.26131,succ
0.247951,succ
0.269904,succ
0.102886,unsucc
0.239948,succ
0.127012,unsucc
0.24687,succ
0.220075,succ
0.215921,succ
0.091055,unsucc
0.256307,succ
0.237228,succ
0.270924,succ
0.237673,succ
0.217926,succ
0.213847,succ
0.219134,succ
0.23996,succ
0.233134,succ
0.256573,succ
0.162684,succ
0.244808,succ
0.276743,succ
0.237029,succ
0.256399,succ
0.134542,unsucc
0.195267,succ
0.236847,succ
0.238252,succ
0.185841,succ
0.245334,succ
0.263045,succ
0.20465,succ
0.390367,succ
0.255598,succ
0.243006,succ
0.242558,succ
0.20907,succ
0.223294,succ
0.295041,succ
0.339615,succ
0.23073,succ
0.230635,succ
0.195499,succ
0.256744,succ
0.248532,succ
0.104031,unsucc
0.206593,succ
0.277641,succ
0.221676,succ
0.266864,succ
0.228816,succ
0.156497,succ
0.237274,succ
0.195626,succ
0.155325,succ
0.280531,succ
0.244342,succ
0.195647,succ
0.21239,succ
0.111167,unsucc
0.103458,unsucc
0.225371,succ
0.178357,succ
0.287452,succ
0.249244,succ
0.24015,succ
0.140475,unsucc
0.114161,unsucc
0.096345,unsucc
0.193174,succ
0.222993,succ
0.256016,succ
0.198657,succ
0.214042,succ
0.237679,succ
0.230017,succ
0.098338,unsucc
0.22836,succ
0.207595,succ
0.313632,succ
0.247796,succ
0.226936,succ
0.093786,unsucc
0.228478,succ
0.212905,succ
0.221372,succ
0.260857,succ
0.240386,succ
0.223524,succ
0.246107,succ
0.228138,succ
0.22527,succ
0.131851,succ
0.27467,succ
0.297358,succ
0.128619,unsucc
0.27627,succ
0.268411,succ
0.186028,succ
0.212636,succ
0.147106,unsucc
0.299486,succ
0.168891,succ
0.22638,succ
0.187949,succ
0.231449,succ
0.138743,unsucc
0.242211,succ
0.26722,succ
0.267429,succ
0.249144,succ
0.244533,succ
0.242678,succ
0.248982,succ
0.273505,succ
0.22272,succ
0.289525,succ
0.247335,succ
0.269897,succ
0.237419,succ
0.119903,unsucc
0.297617,succ
0.201249,succ
0.374706,succ
0.230738,succ
0.264361,succ
0.282865,succ
0.181237,succ
0.199085,succ
0.253261,succ
0.216052,succ
0.223478,succ
0.282848,succ
0.214624,succ
0.202482,succ
0.263149,succ
0.203983,succ
0.099235,unsucc
0.253802,succ
0.124339,unsucc
0.237515,succ
0.142608,unsucc
0.256083,succ
0.266818,succ
0.218903,succ
0.22598,succ
0.279179,succ
0.235916,succ
0.227056,succ
0.222205,succ
0.262557,succ
0.248366,succ
0.285156,succ
0.237198,succ
0.103981,unsucc
0.244867,succ
0.28971,succ
0.232309,succ
0.255886,succ
0.224546,succ
0.239654,succ
0.100461,unsucc
0.240388,succ
0.219846,succ
0.252703,succ
0.214011,succ
0.231824,succ
0.230711,succ
0.264776,succ
0.258634,succ
0.188406,succ
0.241008,succ
0.243303,succ
0.196738,succ
0.309566,succ
0.22386,succ
0.106046,unsucc
0.206273,succ
0.251563,succ
0.265884,succ
0.270808,succ
0.252204,succ
0.236243,succ
0.102764,unsucc
0.27943,succ
0.218319,succ
0.237101,succ
0.132376,unsucc
0.243726,succ
0.211264,succ
0.166082,unsucc
0.127274,unsucc
0.114608,unsucc
0.257789,succ
0.182794,succ
0.252897,succ
0.212646,succ
0.21881,succ
0.262653,succ
0.238699,succ
0.227829,succ
0.240818,succ
0.252594,succ
0.241247,succ
0.246029,succ
0.262897,succ
0.268028,succ
0.234501,succ
0.253391,succ
0.226476,succ
0.257395,succ
0.404159,succ
