小说名,想,走,说道,笑,太,听,吃,时间,住,东西,钱,事情,脸,找,想到,坐,站,心中,名,回,发现,感觉,跑,第一,身体,身上,声音,眼睛,岁,地方,条,世界,听到,气,问道,件,脸上,自然,喝,穿,回来,杀,明白,儿子,干,终于,皇帝,买,兄弟,只能,一阵,孩子,众人,公子,之中,父亲,来到,说话,掉,手中,块,大人,面前,地上,将军,系统,不错,少年,眼前,目光,肯定,刀,字,刚刚,离开,副,卖,小子,送,少爷,曹操,实在,女人,算是,情况,好像,母亲,拉,大哥,水,穿越,写,家伙,身边,落,停,士兵,李,力量,不好,书,回去,办法,历史,王,时代,修炼,米,哥哥,丝,很快,娘,飞,名字,微微,身后,只见,小姐,喜欢,跳,夫人,远,机会,拍,喊,剑,酒,抓,女子,女孩,衣服,便是,旁边,连忙,发生,女,游戏,脑袋,工作,男子,生活,告诉,少女,姑娘,摇,男人,原本,股,仿佛,传来,学,银子,张搴,天下,老师,本来,床,老爷,公司,抱,速度,乱,跟着,同学,弄,魔法,能力,部落,吕布,抬,刘备,弟子,见到,陛下,露出,开口,回到,找到,外面,慢慢,学生,贾环,白七,实力,发,希望,脸色,家里,朋友,楼,手里,胖子,赶紧,玩,皇上,中国,此刻,身份,份,今日,class
1637龙吟天下,0.000785,0.000491,0.000196,0.000319,0.000417,0.000295,0.000196,0.00027,7.40E-05,2.50E-05,0.000147,0.000319,0.000196,0.000147,0.000466,0.000147,9.80E-05,2.50E-05,0.000834,0.000147,2.50E-05,2.50E-05,0.000295,0.000319,7.40E-05,7.40E-05,0.000123,4.90E-05,4.90E-05,9.80E-05,0.000344,7.40E-05,0.000147,0.00027,7.40E-05,0.000172,9.80E-05,4.90E-05,7.40E-05,4.90E-05,7.40E-05,2.50E-05,2.50E-05,0.696892,9.80E-05,9.80E-05,0.696892,9.80E-05,0.696892,0.000147,0.000172,0.696892,0.000491,0.696892,0.000245,0.696892,9.80E-05,2.50E-05,0.000147,9.80E-05,9.80E-05,0.000614,7.40E-05,9.80E-05,2.50E-05,4.90E-05,4.90E-05,0.000147,7.40E-05,2.50E-05,2.50E-05,0.696892,7.40E-05,0.000123,4.90E-05,0.696892,4.90E-05,0.000123,2.50E-05,0.000147,0.696892,0.000123,0.001276,2.50E-05,0.000196,7.40E-05,0.696892,0.000123,0.00027,4.90E-05,4.90E-05,2.50E-05,2.50E-05,2.50E-05,7.40E-05,7.40E-05,0.696892,0.696892,0.000147,2.50E-05,0.00054,9.80E-05,4.90E-05,2.50E-05,2.50E-05,2.50E-05,9.80E-05,0.000147,0.696892,0.000196,0.000123,0.696892,0.696892,2.50E-05,4.90E-05,4.90E-05,0.000123,0.000515,2.50E-05,9.80E-05,0.001276,4.90E-05,4.90E-05,0.000172,9.80E-05,0.696892,4.90E-05,2.50E-05,0.696892,0.696892,4.90E-05,7.40E-05,2.50E-05,9.80E-05,2.50E-05,0.696892,2.50E-05,2.50E-05,0.696892,0.000295,2.50E-05,0.000123,2.50E-05,0.696892,4.90E-05,2.50E-05,0.000196,0.000687,0.000123,4.90E-05,2.50E-05,2.50E-05,2.50E-05,0.000245,0.000172,7.40E-05,9.80E-05,0.000172,0.696892,2.50E-05,2.50E-05,0.000123,7.40E-05,2.50E-05,0.696892,0.000564,2.50E-05,2.50E-05,0.696892,7.40E-05,0.00027,0.696892,2.50E-05,0.000589,0.000123,4.90E-05,4.90E-05,4.90E-05,9.80E-05,4.90E-05,2.50E-05,0.696892,2.50E-05,0.000123,0.696892,2.50E-05,9.80E-05,2.50E-05,0.696892,0.696892,4.90E-05,0.696892,0.000221,2.50E-05,0.001006,0.001055,7.40E-05,7.40E-05,9.80E-05,2.50E-05,unsucc
18世纪之新中华帝国,0.000572,0.000471,0.000269,0.000202,6.70E-05,0.000471,0.000168,0.000168,0.000235,3.40E-05,0.00037,3.40E-05,0.000235,0.000135,0.000572,3.40E-05,3.40E-05,0.000101,0.000269,0.000101,3.40E-05,3.40E-05,6.70E-05,0.000269,0.000168,0.000101,3.40E-05,6.70E-05,0.000538,0.000135,3.40E-05,6.70E-05,0.000269,6.70E-05,0.000235,0.000135,0.000101,3.40E-05,0.706189,3.40E-05,6.70E-05,0.000101,0.706189,6.70E-05,0.706189,0.000101,0.000135,3.40E-05,3.40E-05,0.000437,0.000202,0.000202,0.000135,0.00037,6.70E-05,3.40E-05,0.000101,3.40E-05,0.000202,3.40E-05,6.70E-05,0.000135,0.000101,0.000101,3.40E-05,0.706189,6.70E-05,6.70E-05,6.70E-05,3.40E-05,3.40E-05,0.000235,0.706189,6.70E-05,3.40E-05,3.40E-05,6.70E-05,0.000135,0.000135,0.000135,3.40E-05,0.003565,3.40E-05,3.40E-05,3.40E-05,3.40E-05,3.40E-05,0.000303,3.40E-05,3.40E-05,3.40E-05,3.40E-05,0.000774,3.40E-05,6.70E-05,0.000101,0.706189,0.706189,3.40E-05,0.000135,3.40E-05,3.40E-05,6.70E-05,3.40E-05,0.706189,3.40E-05,0.706189,3.40E-05,3.40E-05,0.000101,6.70E-05,3.40E-05,0.706189,6.70E-05,0.000101,0.000135,3.40E-05,3.40E-05,3.40E-05,3.40E-05,3.40E-05,3.40E-05,0.000101,0.706189,0.000101,0.706189,3.40E-05,0.706189,6.70E-05,0.000269,3.40E-05,3.40E-05,3.40E-05,3.40E-05,3.40E-05,0.706189,0.706189,0.000202,3.40E-05,0.706189,3.40E-05,0.706189,0.000135,3.40E-05,0.000202,3.40E-05,6.70E-05,3.40E-05,6.70E-05,3.40E-05,0.000202,0.706189,6.70E-05,0.000168,0.000336,6.70E-05,0.000101,0.000303,3.40E-05,0.000235,3.40E-05,3.40E-05,0.000202,0.000101,0.000101,6.70E-05,3.40E-05,6.70E-05,0.706189,0.000101,3.40E-05,0.706189,0.000168,0.000673,6.70E-05,6.70E-05,0.000101,3.40E-05,6.70E-05,6.70E-05,3.40E-05,0.706189,3.40E-05,3.40E-05,3.40E-05,0.000101,3.40E-05,0.000303,0.706189,3.40E-05,0.000336,0.000101,3.40E-05,6.70E-05,0.001043,6.70E-05,3.40E-05,3.40E-05,3.40E-05,6.70E-05,succ
阿斗,0.000759,0.00041,0.000574,0.000246,0.000328,0.000205,6.20E-05,4.10E-05,0.000185,6.20E-05,4.10E-05,2.10E-05,0.000226,0.000226,0.000328,0.000164,0.000308,0.000205,0.000103,0.000144,4.10E-05,6.20E-05,4.10E-05,0.000123,2.10E-05,2.10E-05,0.000328,8.20E-05,0.00039,2.10E-05,8.20E-05,6.20E-05,8.20E-05,0.000123,0.000103,4.10E-05,0.000103,2.10E-05,8.20E-05,4.10E-05,0.000123,0.000103,2.10E-05,2.10E-05,6.20E-05,2.10E-05,8.20E-05,0.710646,2.10E-05,0.000431,4.10E-05,2.10E-05,2.10E-05,2.10E-05,0.000164,8.20E-05,0.000144,0.000226,4.10E-05,0.000103,8.20E-05,2.10E-05,2.10E-05,0.000103,0.000123,2.10E-05,0.000164,0.000226,8.20E-05,6.20E-05,2.10E-05,0.710646,6.20E-05,8.20E-05,2.10E-05,0.000103,0.710646,2.10E-05,2.10E-05,2.10E-05,2.10E-05,2.10E-05,2.10E-05,4.10E-05,2.10E-05,8.20E-05,4.10E-05,2.10E-05,6.20E-05,4.10E-05,4.10E-05,0.000185,4.10E-05,2.10E-05,0.000123,8.20E-05,2.10E-05,4.10E-05,0.710646,0.000144,4.10E-05,6.20E-05,2.10E-05,0.000144,2.10E-05,4.10E-05,2.10E-05,6.20E-05,2.10E-05,0.000185,2.10E-05,0.710646,0.000185,6.20E-05,0.710646,2.10E-05,8.20E-05,0.000164,2.10E-05,8.20E-05,0.000349,6.20E-05,0.000144,8.20E-05,0.000164,6.20E-05,0.710646,6.20E-05,2.10E-05,2.10E-05,6.20E-05,4.10E-05,2.10E-05,0.000144,4.10E-05,2.10E-05,2.10E-05,0.710646,2.10E-05,2.10E-05,4.10E-05,6.20E-05,2.10E-05,0.710646,8.20E-05,4.10E-05,2.10E-05,2.10E-05,0.000103,0.000103,8.20E-05,2.10E-05,0.000185,6.20E-05,2.10E-05,2.10E-05,8.20E-05,2.10E-05,0.710646,0.000103,4.10E-05,2.10E-05,2.10E-05,4.10E-05,6.20E-05,2.10E-05,4.10E-05,2.10E-05,2.10E-05,2.10E-05,2.10E-05,2.10E-05,0.000164,0.000472,8.20E-05,0.000185,6.20E-05,8.20E-05,2.10E-05,4.10E-05,8.20E-05,2.10E-05,2.10E-05,2.10E-05,4.10E-05,0.000103,8.20E-05,0.000103,6.20E-05,2.10E-05,4.10E-05,2.10E-05,4.10E-05,8.20E-05,0.001251,0.000185,2.10E-05,2.10E-05,4.10E-05,6.20E-05,succ
爱从蒙古来,0.000855,0.000692,0.000631,0.000346,0.000549,0.000265,0.000346,0.000102,0.000224,0.000102,0.713794,2.00E-05,0.000692,0.000163,0.000346,6.10E-05,0.000183,0.000102,0.000102,0.000122,6.10E-05,2.00E-05,0.00061,0.000183,2.00E-05,0.000163,0.000163,0.000163,6.10E-05,0.000244,0.000203,0.000224,0.000122,0.000122,6.10E-05,8.10E-05,0.000142,4.10E-05,2.00E-05,0.000142,4.10E-05,0.000183,6.10E-05,6.10E-05,0.000122,6.10E-05,2.00E-05,2.00E-05,6.10E-05,2.00E-05,0.000224,2.00E-05,0.00116,2.00E-05,0.000346,0.000163,6.10E-05,0.000102,0.000265,0.000224,4.10E-05,0.000366,2.00E-05,0.000122,0.000366,2.00E-05,0.000122,0.000163,8.10E-05,2.00E-05,2.00E-05,4.10E-05,4.10E-05,4.10E-05,4.10E-05,0.000285,0.713794,0.000183,0.000163,0.713794,2.00E-05,0.000142,2.00E-05,8.10E-05,8.10E-05,0.000265,6.10E-05,2.00E-05,0.0012,4.10E-05,4.10E-05,0.713794,4.10E-05,2.00E-05,0.000163,0.000122,0.713794,0.713794,0.000122,0.000529,2.00E-05,4.10E-05,4.10E-05,0.000102,2.00E-05,2.00E-05,6.10E-05,0.000122,2.00E-05,0.000122,4.10E-05,2.00E-05,0.000427,4.10E-05,2.00E-05,0.000142,0.000122,2.00E-05,4.10E-05,0.000102,0.00116,0.000122,0.000142,4.10E-05,8.10E-05,0.713794,0.713794,8.10E-05,6.10E-05,2.00E-05,0.000122,2.00E-05,2.00E-05,0.000285,6.10E-05,6.10E-05,2.00E-05,6.10E-05,0.713794,4.10E-05,0.000102,6.10E-05,6.10E-05,2.00E-05,0.000122,0.00116,6.10E-05,0.000102,0.713794,2.00E-05,4.10E-05,0.713794,8.10E-05,2.00E-05,0.000224,6.10E-05,0.713794,0.000224,2.00E-05,8.10E-05,4.10E-05,4.10E-05,6.10E-05,4.10E-05,4.10E-05,0.713794,2.00E-05,0.000163,0.713794,0.000163,0.713794,0.713794,6.10E-05,0.00061,2.00E-05,2.00E-05,4.10E-05,0.000122,2.00E-05,6.10E-05,4.10E-05,0.713794,8.10E-05,2.00E-05,6.10E-05,4.10E-05,2.00E-05,2.00E-05,0.713794,0.713794,8.10E-05,2.00E-05,4.10E-05,0.000122,2.00E-05,2.00E-05,2.00E-05,2.00E-05,6.10E-05,4.10E-05,unsucc
暗黑大宋,0.000694,0.000751,0.000636,0.000173,0.000578,0.000289,0.000231,0.000116,0.000173,5.80E-05,0.000694,5.80E-05,5.80E-05,5.80E-05,0.000173,0.714971,0.000173,0.000462,0.000173,0.000173,5.80E-05,5.80E-05,0.000173,0.000231,5.80E-05,0.000116,5.80E-05,5.80E-05,0.000231,0.000173,0.000347,0.714971,5.80E-05,5.80E-05,0.000116,0.000405,5.80E-05,5.80E-05,0.000116,0.000116,0.000116,0.000116,0.714971,0.714971,5.80E-05,5.80E-05,0.714971,0.000751,5.80E-05,0.000405,0.003179,0.000116,0.002717,0.714971,0.000405,0.714971,0.000462,0.000289,0.000231,0.000116,0.714971,0.000925,0.000231,0.00104,0.000116,0.714971,5.80E-05,0.000116,5.80E-05,0.714971,0.000116,0.000173,0.000173,0.714971,5.80E-05,0.000462,5.80E-05,0.000462,5.80E-05,0.000116,0.714971,0.003121,5.80E-05,5.80E-05,0.000116,0.001098,5.80E-05,0.000231,0.000925,0.714971,0.000116,0.714971,0.000231,0.714971,0.714971,0.000116,0.714971,0.714971,0.714971,0.000173,0.714971,0.000173,5.80E-05,5.80E-05,0.000173,0.000116,5.80E-05,0.714971,0.714971,5.80E-05,0.000116,0.714971,0.714971,5.80E-05,5.80E-05,5.80E-05,0.000405,0.000462,0.000116,0.714971,0.002717,0.000116,0.001272,0.000116,5.80E-05,5.80E-05,0.714971,0.000116,5.80E-05,5.80E-05,0.001156,5.80E-05,5.80E-05,5.80E-05,5.80E-05,5.80E-05,0.714971,5.80E-05,0.714971,0.000231,5.80E-05,5.80E-05,5.80E-05,0.714971,0.000173,0.002717,0.714971,0.714971,0.714971,5.80E-05,0.714971,0.714971,0.714971,5.80E-05,0.000116,0.00104,0.714971,0.000116,0.714971,0.714971,0.714971,0.000289,5.80E-05,0.714971,5.80E-05,0.714971,0.001792,0.714971,0.714971,0.714971,0.714971,5.80E-05,0.001445,0.000809,0.000173,0.714971,0.000173,5.80E-05,5.80E-05,5.80E-05,5.80E-05,0.714971,0.714971,0.714971,5.80E-05,0.000116,5.80E-05,0.000231,0.714971,0.714971,5.80E-05,0.714971,5.80E-05,0.000116,0.001329,5.80E-05,0.714971,5.80E-05,5.80E-05,0.714971,succ
霸秦,0.0009,0.000515,7.70E-05,0.00018,0.000412,0.000232,0.000334,5.10E-05,0.000206,0.000849,0.000515,0.000309,2.60E-05,0.000309,0.000103,0.000309,5.10E-05,7.70E-05,5.10E-05,0.000309,2.60E-05,5.10E-05,0.000283,0.000206,5.10E-05,5.10E-05,5.10E-05,7.70E-05,0.00018,5.10E-05,0.000154,2.60E-05,0.000129,0.000129,7.70E-05,0.000309,2.60E-05,5.10E-05,0.000154,0.695557,0.000206,0.695557,2.60E-05,0.00018,0.000129,0.000154,2.60E-05,0.000386,5.10E-05,0.000283,5.10E-05,0.000412,0.001106,5.10E-05,7.70E-05,2.60E-05,0.000103,5.10E-05,2.60E-05,5.10E-05,7.70E-05,0.000129,5.10E-05,7.70E-05,0.000154,0.695557,2.60E-05,0.000206,7.70E-05,0.000103,2.60E-05,0.695557,5.10E-05,0.000103,2.60E-05,0.000103,7.70E-05,7.70E-05,0.000103,0.000206,5.10E-05,5.10E-05,7.70E-05,5.10E-05,0.000129,0.00018,2.60E-05,2.60E-05,5.10E-05,0.000515,0.695557,0.000309,2.60E-05,5.10E-05,7.70E-05,0.695557,0.695557,5.10E-05,2.60E-05,0.000103,0.000463,0.000129,5.10E-05,2.60E-05,2.60E-05,0.000129,0.695557,7.70E-05,5.10E-05,0.000129,0.000154,0.695557,0.695557,5.10E-05,2.60E-05,5.10E-05,5.10E-05,0.001106,0.000206,0.000154,0.001106,0.695557,5.10E-05,0.695557,0.695557,0.695557,0.695557,5.10E-05,0.000129,2.60E-05,0.695557,2.60E-05,2.60E-05,5.10E-05,2.60E-05,0.000129,5.10E-05,0.695557,2.60E-05,5.10E-05,2.60E-05,2.60E-05,0.000129,0.695557,0.695557,2.60E-05,5.10E-05,5.10E-05,0.695557,5.10E-05,0.000257,0.695557,0.000283,0.000334,5.10E-05,0.00018,2.60E-05,5.10E-05,7.70E-05,0.695557,0.000129,2.60E-05,2.60E-05,2.60E-05,0.000103,0.695557,7.70E-05,5.10E-05,0.695557,0.695557,0.695557,0.695557,0.000206,0.000772,2.60E-05,2.60E-05,0.000154,5.10E-05,5.10E-05,2.60E-05,2.60E-05,0.695557,2.60E-05,0.695557,5.10E-05,2.60E-05,2.60E-05,2.60E-05,5.10E-05,2.60E-05,2.60E-05,0.695557,2.60E-05,0.000232,0.001261,0.000154,2.60E-05,5.10E-05,0.000103,0.695557,succ
霸蜀,0.000688,0.000511,0.000433,0.000492,0.000472,0.000354,0.000197,0.000138,0.000275,0.000138,0.703748,0.000118,0.000197,0.000256,0.000138,9.80E-05,0.000157,3.90E-05,3.90E-05,0.000177,3.90E-05,0.000118,0.000256,0.000197,0.000236,0.000236,0.000118,0.000236,7.90E-05,0.000118,0.000157,3.90E-05,3.90E-05,0.000138,0.000138,0.000118,9.80E-05,7.90E-05,7.90E-05,0.000295,3.90E-05,0.703748,2.00E-05,7.90E-05,0.703748,0.000118,3.90E-05,0.703748,2.00E-05,0.000118,7.90E-05,5.90E-05,0.001062,0.703748,2.00E-05,2.00E-05,0.000118,3.90E-05,3.90E-05,0.000138,2.00E-05,0.000747,2.00E-05,0.000118,0.000177,2.00E-05,0.000118,0.000157,2.00E-05,9.80E-05,3.90E-05,0.000197,7.90E-05,9.80E-05,3.90E-05,0.000157,2.00E-05,0.000118,0.703748,0.000197,3.90E-05,2.00E-05,5.90E-05,0.000157,3.90E-05,2.00E-05,2.00E-05,7.90E-05,7.90E-05,7.90E-05,0.000138,0.703748,0.000138,3.90E-05,0.000197,0.000157,0.703748,0.703748,2.00E-05,9.80E-05,0.000157,9.80E-05,5.90E-05,7.90E-05,0.703748,2.00E-05,0.703748,9.80E-05,3.90E-05,5.90E-05,0.000138,0.703748,0.000197,3.90E-05,5.90E-05,0.000157,0.000354,0.000295,9.80E-05,9.80E-05,2.00E-05,7.90E-05,0.000138,0.000177,0.703748,0.703748,0.703748,0.000138,5.90E-05,5.90E-05,2.00E-05,3.90E-05,3.90E-05,2.00E-05,2.00E-05,5.90E-05,0.703748,2.00E-05,9.80E-05,0.703748,2.00E-05,0.000197,5.90E-05,9.80E-05,9.80E-05,0.001062,2.00E-05,5.90E-05,2.00E-05,3.90E-05,0.000118,0.703748,9.80E-05,3.90E-05,2.00E-05,3.90E-05,0.000118,5.90E-05,0.703748,0.703748,2.00E-05,2.00E-05,2.00E-05,3.90E-05,0.703748,0.000315,2.00E-05,2.00E-05,2.00E-05,0.000138,3.90E-05,0.703748,3.90E-05,0.000551,3.90E-05,2.00E-05,2.00E-05,9.80E-05,2.00E-05,2.00E-05,2.00E-05,0.703748,2.00E-05,2.00E-05,3.90E-05,5.90E-05,9.80E-05,0.000138,0.703748,0.703748,0.000216,0.703748,3.90E-05,7.90E-05,0.001986,2.00E-05,5.90E-05,2.00E-05,2.00E-05,2.00E-05,succ
霸王新传,0.000372,0.000496,0.000149,0.000472,0.000199,0.000223,9.90E-05,9.90E-05,0.000124,2.50E-05,0.703212,2.50E-05,0.000124,5.00E-05,0.000174,0.000124,0.000273,7.40E-05,0.000223,0.000223,9.90E-05,5.00E-05,0.000174,2.50E-05,2.50E-05,9.90E-05,0.000124,5.00E-05,0.000323,2.50E-05,0.000174,2.50E-05,0.000223,9.90E-05,2.50E-05,0.000149,0.000124,2.50E-05,0.000174,0.000174,2.50E-05,2.50E-05,2.50E-05,5.00E-05,5.00E-05,0.000124,0.703212,5.00E-05,0.001018,2.50E-05,0.000347,5.00E-05,9.90E-05,2.50E-05,0.000124,0.000199,0.000223,5.00E-05,0.703212,9.90E-05,2.50E-05,2.50E-05,5.00E-05,0.000149,5.00E-05,0.703212,2.50E-05,7.40E-05,5.00E-05,0.000149,2.50E-05,0.703212,2.50E-05,7.40E-05,7.40E-05,5.00E-05,0.703212,5.00E-05,9.90E-05,7.40E-05,2.50E-05,5.00E-05,5.00E-05,2.50E-05,7.40E-05,7.40E-05,2.50E-05,5.00E-05,2.50E-05,9.90E-05,5.00E-05,0.703212,2.50E-05,0.000149,0.000199,9.90E-05,2.50E-05,9.90E-05,2.50E-05,7.40E-05,5.00E-05,0.000223,5.00E-05,7.40E-05,0.703212,2.50E-05,2.50E-05,0.703212,0.703212,2.50E-05,2.50E-05,0.703212,0.000223,2.50E-05,0.000149,0.000199,5.00E-05,2.50E-05,2.50E-05,0.000124,7.40E-05,5.00E-05,5.00E-05,0.000124,0.000124,0.703212,0.703212,0.703212,5.00E-05,2.50E-05,5.00E-05,0.000248,2.50E-05,7.40E-05,5.00E-05,5.00E-05,0.703212,2.50E-05,5.00E-05,5.00E-05,5.00E-05,2.50E-05,5.00E-05,0.703212,0.703212,0.001911,2.50E-05,0.000199,7.40E-05,2.50E-05,5.00E-05,5.00E-05,0.000347,9.90E-05,2.50E-05,2.50E-05,5.00E-05,7.40E-05,0.703212,5.00E-05,2.50E-05,0.703212,2.50E-05,2.50E-05,5.00E-05,5.00E-05,2.50E-05,0.000199,0.703212,5.00E-05,2.50E-05,5.00E-05,0.000124,0.000496,5.00E-05,5.00E-05,9.90E-05,5.00E-05,5.00E-05,2.50E-05,5.00E-05,0.703212,2.50E-05,5.00E-05,0.000124,2.50E-05,9.90E-05,0.000149,2.50E-05,0.703212,0.000199,5.00E-05,5.00E-05,2.50E-05,0.001688,0.001241,0.000149,5.00E-05,5.00E-05,7.40E-05,succ
百度宅男当崇祯,0.001128,0.000235,0.000407,0.000172,0.000674,0.000313,0.00011,6.30E-05,0.00011,6.30E-05,0.000862,1.60E-05,0.000172,0.000282,0.000423,0.000204,0.000204,6.30E-05,6.30E-05,0.000454,3.10E-05,1.60E-05,7.80E-05,0.000157,3.10E-05,3.10E-05,7.80E-05,7.80E-05,0.000204,0.000157,0.000266,1.60E-05,0.00011,9.40E-05,6.30E-05,0.000454,1.60E-05,6.30E-05,6.30E-05,0.000125,1.60E-05,0.000141,3.10E-05,3.10E-05,0.000172,4.70E-05,0.000799,3.10E-05,3.10E-05,0.000204,1.60E-05,0.000172,6.30E-05,3.10E-05,0.000188,1.60E-05,7.80E-05,7.80E-05,0.00011,7.80E-05,0.709155,6.30E-05,1.60E-05,0.000188,0.001065,3.10E-05,6.30E-05,4.70E-05,3.10E-05,4.70E-05,3.10E-05,3.10E-05,7.80E-05,3.10E-05,3.10E-05,3.10E-05,0.000235,0.00011,4.70E-05,0.000204,0.709155,1.60E-05,1.60E-05,6.30E-05,1.60E-05,3.10E-05,1.60E-05,0.000439,1.60E-05,0.000251,0.000125,0.000157,1.60E-05,3.10E-05,4.70E-05,4.70E-05,1.60E-05,1.60E-05,1.60E-05,0.000141,7.80E-05,9.40E-05,3.10E-05,1.60E-05,1.60E-05,4.70E-05,3.10E-05,3.10E-05,0.709155,0.709155,7.80E-05,0.709155,0.709155,4.70E-05,1.60E-05,1.60E-05,0.000157,3.10E-05,1.60E-05,1.60E-05,3.10E-05,7.80E-05,3.10E-05,6.30E-05,0.00011,1.60E-05,0.709155,6.30E-05,1.60E-05,1.60E-05,1.60E-05,4.70E-05,0.000141,1.60E-05,1.60E-05,1.60E-05,0.709155,1.60E-05,3.10E-05,0.709155,1.60E-05,0.709155,1.60E-05,0.709155,6.30E-05,0.00235,1.60E-05,1.60E-05,1.60E-05,3.10E-05,7.80E-05,7.80E-05,7.80E-05,0.000172,4.70E-05,4.70E-05,3.10E-05,4.70E-05,3.10E-05,1.60E-05,1.60E-05,4.70E-05,3.10E-05,7.80E-05,0.000157,3.10E-05,3.10E-05,4.70E-05,0.709155,0.000141,1.60E-05,0.709155,4.70E-05,0.000642,1.60E-05,3.10E-05,3.10E-05,1.60E-05,1.60E-05,1.60E-05,1.60E-05,0.709155,6.30E-05,1.60E-05,3.10E-05,3.10E-05,3.10E-05,4.70E-05,0.709155,0.709155,4.70E-05,1.60E-05,4.70E-05,3.10E-05,1.60E-05,4.70E-05,1.60E-05,3.10E-05,4.70E-05,1.60E-05,succ
包公奇案,0.001374,0.000701,0.000566,8.10E-05,0.000269,0.000431,0.000108,0.000135,0.000593,0.000189,0.000135,0.000135,0.000377,0.000404,0.000135,0.000189,0.000269,5.40E-05,8.10E-05,0.000243,2.70E-05,0.000189,0.000296,2.70E-05,0.000108,0.000108,0.000189,0.000243,0.000108,0.000108,0.000162,0.000162,0.000108,0.000323,0.000189,0.000162,0.000162,2.70E-05,0.000243,8.10E-05,8.10E-05,0.000189,2.70E-05,2.70E-05,0.000189,8.10E-05,0.712719,0.000162,0.712719,0.000162,0.000243,0.712719,2.70E-05,0.712719,2.70E-05,2.70E-05,5.40E-05,0.000135,0.000108,2.70E-05,5.40E-05,0.000269,0.000162,0.000135,0.000296,2.70E-05,2.70E-05,2.70E-05,0.000162,2.70E-05,2.70E-05,0.000135,0.712719,8.10E-05,5.40E-05,0.000135,2.70E-05,8.10E-05,2.70E-05,5.40E-05,0.712719,0.000135,5.40E-05,5.40E-05,8.10E-05,5.40E-05,2.70E-05,0.000108,2.70E-05,2.70E-05,5.40E-05,0.712719,5.40E-05,2.70E-05,2.70E-05,5.40E-05,2.70E-05,0.712719,8.10E-05,0.000162,0.000404,2.70E-05,0.000108,0.712719,0.712719,0.000269,0.712719,0.712719,0.712719,5.40E-05,8.10E-05,0.712719,0.000162,8.10E-05,2.70E-05,0.000108,0.000135,5.40E-05,2.70E-05,8.10E-05,0.00291,5.40E-05,0.000135,5.40E-05,2.70E-05,0.000189,0.712719,5.40E-05,5.40E-05,5.40E-05,0.712719,0.000162,2.70E-05,5.40E-05,2.70E-05,5.40E-05,2.70E-05,5.40E-05,2.70E-05,5.40E-05,2.70E-05,2.70E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,2.70E-05,0.000216,5.40E-05,2.70E-05,0.712719,5.40E-05,0.000189,0.000296,0.712719,2.70E-05,0.712719,0.712719,0.712719,0.000162,2.70E-05,2.70E-05,5.40E-05,2.70E-05,8.10E-05,8.10E-05,0.000674,2.70E-05,0.712719,0.000216,8.10E-05,0.712719,5.40E-05,0.000512,0.000189,0.000162,5.40E-05,0.000189,2.70E-05,2.70E-05,8.10E-05,0.712719,2.70E-05,0.712719,2.70E-05,5.40E-05,2.70E-05,2.70E-05,0.712719,0.712719,0.000216,8.10E-05,8.10E-05,8.10E-05,8.10E-05,0.00035,8.10E-05,0.000108,0.000135,2.70E-05,succ
