@relation pima_diabetes
@attribute '规则1' numeric
@attribute '规则2' numeric
@attribute '规则3' numeric
@attribute '规则4' numeric
@attribute '规则5' numeric
@attribute '规则6' numeric
@attribute '规则7' numeric
@attribute '规则8' numeric
@attribute '规则9' numeric
@attribute '规则10' numeric
@attribute '规则11' numeric
@attribute '规则12' numeric
@attribute '规则13' numeric
@attribute '规则14' numeric
@attribute '规则15' numeric
@attribute '规则16' numeric
@attribute '规则17' numeric
@attribute '规则18' numeric
@attribute 'class' { unsucc, succ}
@data
0.052632,0.046478,0.034656,0.029798,0.037571,0.020405,0.028502,0.03336,0.019919,0.017166,0.027692,0.017004,0.018785,0.0217,0.017976,0.015547,0.005506,0.010364,unsucc
0.049233,0.044653,0.041447,0.035951,0.028395,0.024502,0.027479,0.01809,0.022212,0.021983,0.013968,0.013739,0.011907,0.015342,0.015113,0.012823,0.000229,0.015571,succ
0.05034,0.039138,0.034317,0.031906,0.030204,0.023398,0.024816,0.000142,0.019144,0.021129,0.000142,0.013897,0.014748,0.015315,0.018718,0.012904,0.017442,0.009926,succ
0.051045,0.055311,0.04877,0.030286,0.040808,0.027158,0.029006,0.026162,0.021044,0.018911,0.023319,0.017062,0.020617,0.017631,0.014645,0.012939,0.008105,0.010095,unsucc
0.044219,0.04787,0.047465,0.032454,0.026369,0.023935,0.021095,0.000406,0.023124,0.029209,0.000406,0.016633,0.015822,0.014199,0.01785,0.019067,0.008114,0.010953,succ
0.050025,0.047152,0.041913,0.029407,0.032111,0.025013,0.024337,0.020788,0.02214,0.023154,0.013689,0.01876,0.019774,0.017745,0.018421,0.012506,0.008619,0.012844,succ
0.055629,0.045141,0.04461,0.035316,0.02881,0.024695,0.029873,0.023765,0.02735,0.019649,0.020048,0.021774,0.017658,0.015666,0.017525,0.013277,0.010621,0.010356,succ
0.061894,0.05721,0.051355,0.031281,0.024088,0.036969,0.019572,0.020074,0.023754,0.021914,0.017564,0.021914,0.02091,0.014052,0.014553,0.016561,0.008364,0.011542,succ
0.000108,0.000108,0.000108,0.000108,0.000108,0.027152,0.000108,0.000108,0.000108,0.019502,0.000108,0.013145,0.015516,0.012606,0.013576,0.000108,0.000108,0.011637,succ
0.000188,0.000188,0.000188,0.000188,0.000188,0.025891,0.000188,0.000188,0.000188,0.018762,0.000188,0.014071,0.013696,0.017261,0.016886,0.000188,0.000188,0.01257,succ
0.063098,0.056663,0.054607,0.029583,0.027706,0.032264,0.025293,0.022969,0.023416,0.01993,0.02002,0.017875,0.01707,0.012602,0.015462,0.013227,0.01001,0.012602,unsucc
0.056935,0.051585,0.051996,0.043353,0.026615,0.025244,0.026204,0.023323,0.025244,0.027713,0.017012,0.015366,0.015366,0.015091,0.017286,0.014817,0.007546,0.013033,succ
0.043228,0.045629,0.04755,0.035543,0.028338,0.037464,0.025456,0.025937,0.018252,0.023055,0.022574,0.020653,0.018732,0.012008,0.01489,0.012968,0.013449,0.008646,succ
