r,v,nh,n,u,nt,p,e,nd,m,d,i,wp,a,句子数,停顿数,句子破碎度,Success
1.949230769,5.373846154,0.603076923,4.893846154,2.386153846,0.287692308,4.310769231,0.015384615,0.513846154,0.847692308,2.664615385,0.133846154,3.618461538,0.938461538,1300,3746,2.881538462,unsucc
1.25974026,4.124875125,0.25974026,3.555444555,1.554445554,0.127872128,4.163836164,0.010989011,0.347652348,0.738261738,1.887112887,0.161838162,3.631368631,0.694305694,2002,5972,2.983016983,unsucc
1.219491525,3.21440678,0.2,3.126271186,1.179661017,0.139830508,2.829661017,0.019491525,0.272033898,0.51779661,1.688135593,0.176271186,2.407627119,0.507627119,2360,5598,2.372033898,unsucc
1.910499139,5.814113597,0.981067126,6.146299484,3.273666093,0.160068847,5.839931153,0.025817556,0.540447504,0.877796902,2.611015491,0.211703959,4.925989673,0.963855422,581,2217,3.815834768,succ
1.04788961,4.361201299,0.416396104,4.273538961,2.051136364,0.093344156,3.806818182,0.00487013,0.407467532,0.545454545,2.038961039,0.145292208,3.101461039,0.873376623,1232,2923,2.372564935,succ
1.564583333,3.992708333,0.045833333,3.161458333,1.897916667,0.134375,4.144791667,0.021875,0.295833333,0.680208333,2.119791667,0.265625,3.5875,0.66875,1920,4882,2.542708333,unsucc
2.237179487,6.615384615,0.557692308,6.301282051,3.275641026,0.16025641,6.08974359,0.179487179,0.474358974,0.756410256,2.730769231,0.423076923,5.237179487,1.019230769,312,1336,4.282051282,unsucc
1.487218045,4.806015038,0.44962406,5.317293233,2.690225564,0.166917293,4.460150376,0.009022556,0.488721805,0.962406015,2.604511278,0.159398496,3.75037594,1.079699248,665,1907,2.867669173,succ
1.475862069,4.395073892,0.418719212,3.908374384,1.870935961,0.141871921,4.172413793,0.020689655,0.372413793,0.541871921,1.968472906,0.145812808,3.609852217,0.861083744,2030,5818,2.866009852,unsucc
1.306376361,5.430793157,0.65318818,4.99533437,2.562986003,0.192846034,4.950233281,0.037325039,0.444790047,1.068429238,2.429237947,0.175738725,4.158631415,0.905132193,1286,4206,3.270606532,unsucc
1.094540613,3.548601864,0.459387483,3.934753662,1.844207723,0.071904128,3.494007989,0.019973369,0.323568575,0.533954727,1.72436751,0.130492676,2.980026631,0.716378162,751,1761,2.344873502,succ
1.065677966,5.561440678,0.514830508,6.542372881,4.002118644,0.230932203,5.112288136,0.019067797,0.826271186,1.131355932,3.26059322,0.355932203,4.237288136,1.639830508,472,1714,3.631355932,succ
1.48822606,4.855572998,0.397174254,5.489795918,2.259026688,0.15855573,4.844583987,0.009419152,0.48822606,0.852433281,2.684458399,0.238618524,4.12244898,1.10989011,637,2173,3.411302983,succ
2.468156425,5.37877095,0.54972067,4.74301676,2.029050279,0.334078212,4.791061453,0.010055866,0.392178771,0.90726257,2.602234637,0.197765363,3.957541899,0.944134078,895,2705,3.022346369,succ
2.394827586,5.682758621,0.044827586,5.172413793,3.032758621,0.231034483,6.401724138,0.00862069,0.49137931,0.912068966,2.822413793,0.143103448,5.510344828,1.339655172,580,2440,4.206896552,succ
2.077702703,5.359234234,0.427927928,4.671171171,2.724099099,0.168918919,5.540540541,0.036036036,0.452702703,0.873873874,2.550675676,0.163288288,4.947072072,0.836711712,1776,5154,2.902027027,unsucc
2.857768053,7.356673961,0.409190372,7.098468271,4.520787746,0.295404814,7.573304158,0.026258206,0.693654267,1.361050328,4.33916849,0.330415755,6.444201313,1.542669584,457,2338,5.115973742,succ
1.590563166,6.0304414,0.557077626,5.388127854,2.645357686,0.159817352,5.360730594,0.01978691,0.414003044,1.115677321,2.779299848,0.343987823,4.665144597,1.181126332,657,2449,3.727549467,succ
1.515567766,5.705128205,0.276556777,6.019230769,2.832417582,0.161172161,4.692307692,0.006410256,0.425824176,1.121794872,2.878205128,0.277472527,3.933150183,1.204212454,1092,3850,3.525641026,succ
3.232608696,8.926086957,0.708695652,8.991304348,4.432608696,0.360869565,6.02173913,0.010869565,1.115217391,1.37826087,4.756521739,0.219565217,4.367391304,1.447826087,460,1781,3.87173913,succ
1.725239617,4.916932907,0.45686901,4.501597444,2.166134185,0.185303514,4.817891374,0.054313099,0.370607029,0.734824281,2.568690096,0.239616613,4.223642173,0.686900958,626,2074,3.313099042,unsucc
1.537037037,6.338888889,0.635185185,7.916666667,3.253703704,0.209259259,6.227777778,0.02037037,0.625925926,1.048148148,3.02962963,0.244444444,5.301851852,1.327777778,540,2435,4.509259259,succ
1.917525773,5.453608247,0.88365243,4.673048601,1.998527246,0.241531664,4.983799705,0.017673049,0.307805596,0.726067747,2.711340206,0.219440353,4.396170839,0.961708395,1358,5190,3.82179676,unsucc
1.241021548,3.940143655,0.523543496,3.932960894,2.483639266,0.154030327,3.704708699,0.035913807,0.476456504,0.426975259,1.567438148,0.107741421,3.13886672,0.621707901,2506,5104,2.036711891,unsucc
1.475545523,3.686982694,0.344620015,3.177577126,1.640331076,0.126410835,3.605718585,0.006772009,0.261851016,0.478555305,1.743416102,0.143717081,3.15199398,0.652370203,1329,3231,2.431151242,succ
1.674807198,5.976863753,0.363753213,7.307197943,3.0218509,0.236503856,5.077120823,0.002570694,0.737789203,1.110539846,3.195372751,0.294344473,3.952442159,1.185089974,1556,5480,3.5218509,unsucc
1.641196013,5.069767442,0.401993355,4.405315615,2.225913621,0.159468439,5.465116279,0.07641196,0.431893688,0.850498339,2.282392027,0.15282392,4.893687708,0.946843854,301,954,3.169435216,succ
2.035514019,5.545794393,0.558878505,4.439252336,2.523364486,0.211214953,5.328971963,0.03364486,0.420560748,0.900934579,3.03364486,0.194392523,4.743925234,0.955140187,535,1995,3.728971963,succ
2.096267191,6.196463654,0.25540275,4.469548134,2.899803536,0.206286837,5.94891945,0.053045187,0.491159136,0.907662083,2.756385069,0.206286837,5.257367387,1.227897839,1018,4086,4.013752456,unsucc
1.431769723,4.724946695,0.273987207,4.63326226,2.014925373,0.089552239,4.147121535,0.006396588,0.430703625,0.597014925,1.986140725,0.12793177,3.423240938,0.928571429,938,2623,2.796375267,succ
2.049919485,5.700483092,0.584541063,4.987117552,2.938808374,0.204508857,4.76489533,0.01610306,0.481481481,0.855072464,2.879227053,0.170692432,3.982286634,1.022544283,621,1902,3.062801932,succ
2.398537477,6.685557587,0.670932358,7.155393053,4.135283364,0.190127971,6.570383912,0.043875686,0.755027422,1.040219378,3.460694698,0.254113346,5.371115174,1.325411335,547,2477,4.52833638,succ
1.298153034,4.647317502,0.276165347,4.718557608,2.879507476,0.10114336,4.207563764,0.01759015,0.479331574,0.834652595,2.047493404,0.141600704,3.483729112,0.967458223,1137,3083,2.711521548,succ
1.516891892,4.466216216,0.472972973,4.212837838,2.393581081,0.248310811,3.971283784,0.035472973,0.442567568,0.736486486,2.190878378,0.179054054,3.361486486,0.787162162,592,1589,2.684121622,succ
