@relation pima_diabetes
@attribute '规则0' numeric
@attribute '规则1' numeric
@attribute '规则2' numeric
@attribute '规则3' numeric
@attribute '规则4' numeric
@attribute '规则5' numeric
@attribute '规则6' numeric
@attribute '规则7' numeric
@attribute '规则8' numeric
@attribute '规则9' numeric
@attribute '规则10' numeric
@attribute '规则11' numeric
@attribute '规则12' numeric
@attribute '规则13' numeric
@attribute '规则14' numeric
@attribute '规则15' numeric
@attribute '规则16' numeric
@attribute '规则17' numeric
@attribute '规则18' numeric
@attribute '规则19' numeric
@attribute '规则20' numeric
@attribute '规则21' numeric
@attribute '规则22' numeric
@attribute '规则23' numeric
@attribute '规则24' numeric
@attribute '规则25' numeric
@attribute '规则26' numeric
@attribute '规则27' numeric
@attribute '规则28' numeric
@attribute '规则29' numeric
@attribute '规则30' numeric
@attribute '规则31' numeric
@attribute '规则32' numeric
@attribute '规则33' numeric
@attribute '规则34' numeric
@attribute '规则35' numeric
@attribute '规则36' numeric
@attribute '规则37' numeric
@attribute '规则38' numeric
@attribute '规则39' numeric
@attribute '规则40' numeric
@attribute '规则41' numeric
@attribute '规则42' numeric
@attribute '规则43' numeric
@attribute '规则44' numeric
@attribute '规则45' numeric
@attribute '规则46' numeric
@attribute '规则47' numeric
@attribute '规则48' numeric
@attribute '规则49' numeric
@attribute '规则50' numeric
@attribute '规则51' numeric
@attribute '规则52' numeric
@attribute '规则53' numeric
@attribute '规则54' numeric
@attribute '规则55' numeric
@attribute '规则56' numeric
@attribute '规则57' numeric
@attribute '规则58' numeric
@attribute '规则59' numeric
@attribute '规则60' numeric
@attribute '规则61' numeric
@attribute '规则62' numeric
@attribute '规则63' numeric
@attribute '规则64' numeric
@attribute '规则65' numeric
@attribute '规则66' numeric
@attribute '规则67' numeric
@attribute '规则68' numeric
@attribute '规则69' numeric
@attribute '规则70' numeric
@attribute '规则71' numeric
@attribute '规则72' numeric
@attribute '规则73' numeric
@attribute '规则74' numeric
@attribute '规则75' numeric
@attribute '规则76' numeric
@attribute '规则77' numeric
@attribute '规则78' numeric
@attribute '规则79' numeric
@attribute '规则80' numeric
@attribute '规则81' numeric
@attribute '规则82' numeric
@attribute '规则83' numeric
@attribute '规则84' numeric
@attribute '规则85' numeric
@attribute '规则86' numeric
@attribute '规则87' numeric
@attribute '规则88' numeric
@attribute '规则89' numeric
@attribute '规则90' numeric
@attribute '规则91' numeric
@attribute '规则92' numeric
@attribute '规则93' numeric
@attribute '规则94' numeric
@attribute '规则95' numeric
@attribute '规则96' numeric
@attribute '规则97' numeric
@attribute '规则98' numeric
@attribute '规则99' numeric
@attribute '规则100' numeric
@data
0.001501,0.002402,0.001201,0.001801,0.000751,0.001651,0.0006,0.001351,0.001201,0.000751,0.000751,0.00015,0.00045,0.001501,0.0006,0.00045,0.000751,0.000901,0.0003,0.00045,0,0.0003,0.00045,0.001201,0,0,0.000901,0.001201,0,0.00045,0.0006,0.001201,0.00015,0.00045,0.0006,0.0006,0.00015,0.00045,0.000751,0.00015,0,0.00015,0.0003,0,0.001201,0.00045,0.0003,0,0,0.000751,0.00045,0,0.00015,0.0003,0,0.00045,0.00045,0,0,0,0,0,0.00015,0,0.0003,0.0003,0,0,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,unsucc
0.001578,0.001446,0.000855,0.000723,0.001052,0.000526,0.000855,0.00092,0.000723,0.000197,0.001446,0.000592,0.00046,0.000329,0.000263,0.000657,0.001052,0.000592,0.000526,0.000723,0.000197,0.00046,0.000789,0.000197,0.000131,0.000263,0.000263,0.000197,0.00046,0.000855,0.000329,0.000131,0.00046,0.000474,0.000657,0.000657,0.00046,0.000723,0.000592,0.000263,0.000131,0.000197,0.00046,7.60E-05,7.60E-05,0.000271,0.000197,0.00015,6.60E-05,0.000986,0.000329,0.001686,0.001052,6.60E-05,0.000119,0.000394,0.000131,0.000535,0.001006,4.40E-05,0.00046,6.60E-05,0.000131,0.000153,0.000131,0.000329,0.003761,0.000166,6.60E-05,0.000875,0.000875,0.000212,7.60E-05,6.60E-05,0.000263,7.90E-05,7.60E-05,0.003236,0.003236,0.00193,0.003149,0.000394,6.60E-05,0.001772,0.000153,3.90E-05,0.002685,0.001823,3.90E-05,0.001668,0.002527,0.002527,0.002799,0.002256,0,0.000263,0,0.001471,0.000166,0.000604,unsucc
0.001489,0.001692,0.000677,0.000947,0.001556,0.000541,0.000474,0.000541,0.000812,0.000271,0.000203,0.000135,0.000338,0.000474,0.000135,0.000541,0.000744,0.001083,0.000338,0.000271,7.60E-05,6.80E-05,0.000406,0.000406,0.000135,0.001199,0.001015,0.000338,0.000203,0.000609,0.000947,6.80E-05,0.000135,0.000474,6.80E-05,0.000812,0.000382,0.000541,6.80E-05,0.000271,0.000203,0.000406,0.000135,7.60E-05,7.60E-05,0.000271,6.80E-05,0.00015,0.000153,0.000744,6.80E-05,0.001686,0.000135,0.000271,0.000119,0.000203,0.000135,0.000535,0.001006,4.40E-05,0.000474,0.000474,0.000153,0.000153,0.000203,0.000338,0.003761,0.000166,6.80E-05,0.000875,0.000875,0.000212,7.60E-05,0.000135,6.80E-05,7.90E-05,7.60E-05,0.003236,0.003236,0.00193,0.003149,0.000609,0.000841,0.001772,0.000153,3.90E-05,0.002685,0.001823,3.90E-05,0.001668,0.002527,0.002527,0.002799,0.002256,0,6.80E-05,0,0.001471,0.000166,0.000604,unsucc
0.004077,0.002621,0.002039,0.001311,0.002184,0.001311,0.001456,0.001019,0.001311,0.000874,0.001602,0.000728,0.001165,0.000582,0.001311,0.000728,0.001456,0.000291,0.000437,0.002039,0.000801,0.000437,0.000437,0.000146,0.000874,0.001441,0.000146,0.000146,0.000146,0.000146,0.000146,0.000437,0.001019,0.000146,0.000291,0.000582,0.000874,0.000582,0.000291,0.001456,0.000146,0.000437,0.000437,0.00016,0.000146,0.000291,0.000437,0,0.000582,0.000437,0.000146,0,0.000728,0.000961,0,0.000582,0.000146,0,0,0,0.000728,0.000291,0.000146,0.000121,0.000291,0.000291,0.000141,0,0.000146,0,0.000176,0,0.000182,0.000146,0.000419,0.000165,0.000186,0,0.000118,0,0,0.000291,0.000291,0,0.000121,0.00075,0,0,0.000139,0,0,0,0,0.000162,0.000719,0.000437,0.004455,0.00092,0,0,succ
0.001963,0.002551,0.000589,0.001079,0.003533,0.001178,0.00157,0.000491,0.001178,0.000589,0.000687,0.000196,0.000196,0.000393,0.001374,0.001079,0.000883,0.001178,0.000589,0.000785,9.80E-05,0.001079,0.001079,9.80E-05,0.000563,0.000196,0.000294,0.000196,0.000196,0.000393,0.000196,0.000491,9.80E-05,0.000845,0.000981,0.000294,0.000196,0.000423,0.001178,0.000785,0.000589,0.000294,0.000196,0.000317,0.000135,0.000106,0.000393,0,0.000393,0.000589,9.80E-05,0,0.000196,0.000491,0,0.000491,0.000393,0,0,0,0.000883,0.000211,0.000196,9.80E-05,9.80E-05,0.000196,0.000141,0,9.80E-05,0,0.000176,0,0.000182,9.80E-05,9.80E-05,0.000138,0,0,0.000118,0,0,0.000785,9.80E-05,0,9.80E-05,0.00075,0,0,0.000139,0,0,0,0,0.000106,0,0.00157,0.004455,0.001315,0,0,succ
0.001581,0.00461,0.000527,0.000922,0.001581,0.002371,0.001449,0.000263,0.000922,0.000263,0.001712,0.000395,0.000527,0.000395,0.001185,0.001185,0.001317,0.001712,0.000107,0.000263,0.001317,0.000527,0.000922,0.000263,0.000429,0.000395,0.000527,0.000263,0.000395,0.001581,0.000659,8.00E-05,0.000263,0.000263,0.000263,0.001317,0.000395,0.000322,0.000527,0.000395,0.000215,0.000132,0.000132,0.000175,0.000263,0.000107,0.000107,0.000166,0.001185,0.000263,0.000263,0,0.000395,0.000922,0.000119,0.000659,0.001054,0.000535,0,0,0.000132,0.00079,0.000395,8.00E-05,0.000263,0.000395,0,0.000166,0.000322,0.000166,0,0,9.60E-05,0.000241,0.000401,0.000215,0.000166,0,0,0,0.00011,0.000132,8.00E-05,0.001772,8.00E-05,0.000256,0,0,8.70E-05,0.001668,0,0,0,8.20E-05,0,0.000263,0,0.0002,0.000166,0.000604,unsucc
0.004113,0.005656,0.001028,0.000969,0.001542,0.002571,0.001028,0.001028,0.001454,0.000514,0.003085,0.001028,0.000121,0.001542,0.001028,0.001028,0.001028,0.000242,0.000364,0.001028,0.001028,0.001028,0.000514,0.000514,0.000242,0.001028,0.000514,0.000242,0.000514,0.001028,0.000606,0.000606,0.000485,0.000436,0.000514,0.001542,0.001542,0.001028,0.000485,0.000969,0.000514,0.000514,0.001028,0.000191,0.000436,0.000364,0.001309,8.90E-05,0.000606,0.000606,0.000485,0,0.000485,0.000727,0.000119,0.000514,0.001542,0.000535,0,0,0.001542,0.000485,0.000242,0.000145,0.001028,0.000514,0,8.90E-05,0.000485,8.90E-05,0,0,9.60E-05,0.000145,0.000514,0.000151,8.90E-05,0,0,0,0.00011,0.000514,0.000151,0.001772,0.000145,0.002473,0,0,8.70E-05,0.001668,0,0,0,8.20E-05,0,0.000514,0,0,0.001564,0.000604,unsucc
0.003018,0.00115,0.002874,0.001725,0.001293,0.000862,0.001437,0.000862,0.001293,0.000719,0.001293,0.000719,0.000287,0.00115,0.002012,0.001006,0.001006,0.000862,0.001725,0.000862,0.000144,0.001006,0.000862,0.000719,0.000575,0.000276,0.000431,0.001006,0.00115,0.000862,0.000431,0.000144,0.000287,0.000287,0.000287,0.000719,0.000144,0.000287,0.001437,0.000276,0.001293,0.000575,0.000144,0.000111,0.001006,0.000276,0.000575,0,0.000287,0.000862,0.000276,0,0.000719,0.000431,0,0.000431,0.000144,0,0,0,0.001293,0.000287,0.000829,0.000141,0.000575,0.00069,0.000141,0,0.000138,0,0,0,0,0.000138,0.000431,0.000138,0,0,0.000118,0,0,0.000431,0.000431,0,0.000141,0,0,0,0.000139,0,0,0,0,0,0,0.000287,0.004455,0,0,0,succ
0.002666,0.00206,0.000606,0.000969,0.000969,0.001091,0.000848,0.000848,0.001454,0.000121,0.001696,0.000485,0.000121,0.000727,0.000606,0.000242,0.000848,0.000242,0.000364,0.000606,0.000727,0.000727,0.000364,0.000121,0.000242,0.000727,0.000485,0.000242,0.000485,0.000121,0.000606,0.000606,0.000485,0.000436,0.000485,0.000242,0.000606,0.000969,0.000485,0.000969,0.000364,0.000364,0.000485,0.000191,0.000436,0.000364,0.001309,8.90E-05,0.000606,0.000606,0.000485,0,0.000485,0.000727,0.000119,0.000606,0.000291,0.000535,0,0,0.000121,0.000485,0.000242,0.000145,0.001057,0.000436,0,8.90E-05,0.000485,8.90E-05,0,0,9.60E-05,0.000145,0.000121,0.000151,8.90E-05,0,0,0,0.00011,0.000242,0.000151,0.001772,0.000145,0.002473,0,0,8.70E-05,0.001668,0,0,0,8.20E-05,0,0.000364,0,0,0.001564,0.000604,unsucc
0.001361,0.001134,0.002193,0.001134,0.001588,7.60E-05,0.001286,0.001966,0.000454,0.001966,0.000378,0.000605,0.000983,0.000681,0.000303,0.000681,0.000832,0.000908,0.000303,0.000227,7.60E-05,0.000529,0.000756,0.000151,0.000529,0.000123,7.60E-05,0.000681,0.000983,0.000303,0.000908,0.000151,7.60E-05,0.000529,0.000454,7.60E-05,0.000303,0.000303,0.001059,0.000151,0.000303,0.000605,0.000605,7.60E-05,0.000123,0.001286,0.001354,0.00015,7.60E-05,0.000454,0.000123,0.001686,0.000605,0.000529,0.000119,0.000227,0.000985,0.000535,0.001006,4.40E-05,0.000227,0.000303,7.60E-05,0.000153,0.000529,0.000303,0.003761,0.000166,0.000378,0.000875,0.000875,0.000212,7.60E-05,0.000151,7.60E-05,7.90E-05,7.60E-05,0.003236,0.003236,0.00193,0.003149,7.60E-05,0.000123,0.001772,0.000153,3.90E-05,0.002685,0.001823,3.90E-05,0.001668,0.002527,0.002527,0.002799,0.002256,0,7.60E-05,0,0.001471,0.000166,0.000604,unsucc
0.003468,0.002738,0.000913,0.001095,0.001278,0.00073,0.001278,0.00073,0.000365,0.00166,0.000913,0.000548,0.000913,0.000548,0.001095,0.00073,0.001095,0.00146,0.00073,0.001095,0.001278,0.000365,0.000548,0.000307,0.000166,0.000548,0.000294,0.000166,0.00073,0.000548,0.000365,0.000365,0.000548,0.000365,0.00073,0.000548,0.000913,0.000548,0.000365,0.00073,0.000913,0.000183,0.000365,0.000317,0.000332,0.000332,0.000332,0,0.000183,0.000913,9.80E-05,0,0.000548,0.000548,0,0.000365,0.000183,0,0,0,0.000183,0.000365,0.000183,9.80E-05,0.000183,0.00046,0.000141,0,9.80E-05,0,0.000176,0,0.000182,9.80E-05,0.00073,0.000138,0,0,0.000118,0,0,0.000183,0.000183,0,9.80E-05,0.00075,0,0,0.000139,0,0,0,0,0.000106,0,0.000166,0.004455,0.00092,0,0,succ
0.003155,0.000996,0.004317,0.002158,0.002823,0.000166,0.003155,0.000166,0.000664,0.00166,0.00083,0.000332,0.001826,0.00046,0.000996,0.000498,0.00083,0.000996,0.001494,0.000996,0.000166,0.000498,0.001826,0.000307,0.000166,0.000196,0.000294,0.000166,0.000498,0.000498,0.000153,0.000166,0.000332,0.000307,0.001992,0.000664,0.000307,0.000332,0.001162,0.000332,0.00083,0.000166,0.000196,0.000317,0.000332,0.000332,0.000332,0,0.000393,0.00083,9.80E-05,0,0.000332,0.000166,0,0.000166,0.000332,0,0,0,0.001992,0.000332,0.000196,9.80E-05,0.000332,0.00046,0.000141,0,9.80E-05,0,0.000176,0,0.000182,9.80E-05,0.000498,0.000138,0,0,0.000118,0,0,0.000166,0.000166,0,9.80E-05,0.00075,0,0,0.000139,0,0,0,0,0.000106,0,0.000166,0.004455,0.00092,0,0,succ
0.002146,0.00138,0.00138,0.001073,0.001686,0.001073,0.00092,0.00046,0.001686,0.000307,0.00092,0.000307,0.001993,0.00046,0.002606,0.001073,0.001686,0.001533,0.000153,0.000613,0.000153,0.000307,0.001073,0.000307,0.00046,0.000196,0.000294,0.000307,0.000307,0.000307,0.000153,0.00046,0.00046,0.000307,0.00046,0.000307,0.000307,0.000307,0.00046,0.000785,0.000153,0.000767,0.000196,0.000317,0.000153,0.000153,0.000393,0,0.000393,0.001073,9.80E-05,0,0.000767,0.000491,0,0.000153,0.000307,0,0,0,0.000613,0.000153,0.000196,9.80E-05,9.80E-05,0.00046,0.000141,0,9.80E-05,0,0.000176,0,0.000182,9.80E-05,9.80E-05,0.000138,0,0,0.000118,0,0,0.00092,9.80E-05,0,9.80E-05,0.00075,0,0,0.000139,0,0,0,0,0.000106,0,0.000153,0.004455,0.00092,0,0,succ
0.001179,0.001393,0.000536,0.000322,0.00075,0.000857,0.000965,0.001072,0.001286,0.00166,0.000107,0.000214,0.000107,0.002679,0.00075,0.00075,0.00075,0.000214,0.000429,0.000107,0.000107,0.000429,0.00075,0.002036,0.000165,0.000107,0.001179,0.00075,0.000429,0.000214,0.001179,0.000536,0.00099,0.001072,0.000214,0.000965,0.000322,0.000429,0.00075,0.000429,0.000214,0.000536,0.000322,0.000317,0.000107,0.000165,0.000536,0,0.000214,0.000643,0.000429,0,0.000643,0.00075,0,0.00075,0.000322,0,0,0,0.000107,0.000107,0.000322,0.000107,0.000214,0.000429,0.000141,0,0.000214,0,0.000176,0,0.000182,0.000965,0.000165,0.000165,0,0,0.000118,0,0,0.000429,0.000107,0,0.000107,0.00075,0,0,0.000139,0,0,0,0,0.000214,0,0.000107,0.004455,0.00092,0,0,succ
0.001919,0.002362,0.001771,0.001771,0.0031,0.001033,0.002214,0.000738,0.00059,0.001476,0.001181,0.000738,0.000148,0.00059,0.002214,0.001181,0.000886,0.00059,0.000295,0.001919,0.001296,0.00059,0.000148,0.000738,0.001624,0.000943,0.000886,0.001033,0.00059,0.000295,0.000886,0.001476,0.000738,0.000738,0.00059,0.000295,0.000443,0.000148,0.000707,0.000132,0.000148,0.000443,0.000295,0.000118,0.000148,0.000132,0.000148,0,0.000148,0.000527,0.000148,0,0.000738,0.000295,0,0.000886,0.000395,0,0,0,0.000738,0.000886,0.000295,0.000118,0.001329,0.000295,0,0,0.000264,0,0,0,0,0.000167,0.000295,0.000138,0,0,0.000118,0,0,0.000738,0.000148,0,0.000118,0,0,0,0.000139,0,0,0,0,0,0,0.000148,0,0,0,0,succ
0.002301,0.001205,0.000657,0.001315,0.000767,0.000877,0.000767,0.001425,0.000986,0.000657,0.000657,0.000877,0.001205,0.000657,0.00011,0.001315,0.001205,0.000767,0.000657,0.000657,0.00044,0.000548,0.000986,0.000986,0.000126,0.001005,0.000548,0.000329,0.000438,0.000657,0.000767,6.30E-05,0.000438,0.000438,0.000438,0.000438,0.000877,0.000438,0.000329,0.000329,0.000877,0.00011,0.000438,0.00011,0.00011,0.000767,0.00011,0,0.000481,0.000329,0.000219,0,0.000877,0.000767,0,0.000548,0.000548,0,0,0,0.000628,0.00011,9.60E-05,0.00011,0.000438,0.000548,0,0.002301,0.00011,0,0,0,9.60E-05,0.000219,0.000219,0,0,0,0,0,0.00011,0.00011,0.00011,0,0.00011,0,0,0,0,0,0,0,0,0.00044,0,0.00011,0,0,0,0,unsucc
0.00372,0.002893,0.003582,0.00124,0.00248,0.001791,0.000964,0.001102,0.001791,0.002067,0.001653,0.000827,0.000551,0.000413,0.000964,0.000551,0.000827,0.000964,0.000583,0.000827,0,0.000276,0.000551,0.000138,0.000276,0.000117,0.000413,0.001282,0.000827,0.001516,0.000964,0.000551,0.000551,0.000413,0.000413,0.000964,0.000827,0.000551,0.000551,0.000413,0.000138,0.000413,0.000551,0.000583,0.000551,0.000276,0.000117,0,0,0.000413,0.000138,0,0.001102,0.000276,0,0.000964,0.000413,0,0,0,0.000551,0.000689,0.000413,0.00035,0.000276,0.000138,0,0,0.000138,0,0,0,0,0.000233,0.000138,0.000138,0,0,0.000138,0,0,0.000551,0,0,0.00035,0,0,0,0,0,0,0,0,0,0,0.000413,0,0,0,0,succ
0.001884,0.001884,0.000673,0.001211,0.00148,0.001346,0.000942,0.001346,0.001077,0.000874,0.000269,0.000269,0.000269,0.000673,0.000538,0.000807,0.000673,0.000404,0.000404,0.000538,0.000942,0.000807,0.000807,0.000135,0.000404,0.001211,0.000538,0.000135,0.001211,0.000135,0.000538,0.000437,0.000269,0.000135,0.000135,0.000269,0.000135,0.000404,0.000269,0.001456,0.000269,0.000437,0.000135,0.00016,0.000135,0.000291,0.000135,0,0.000135,0.000673,0.000146,0,0.000269,0.000269,0,0.000269,0.000269,0,0,0.000135,0.000135,0.000269,0.000404,0.000269,0.000291,0.000404,0.000141,0,0.000135,0,0.000176,0,0.000182,0.000146,0.000404,0.000165,0.000186,0,0.000118,0,0,0.000291,0.000135,0,0.000269,0.00075,0,0,0.000139,0,0,0,0,0.000162,0.000719,0.000404,0.004455,0.00092,0,0,succ
0.002176,0.002176,0.000622,0.000855,0.00101,0.000777,0.000855,0.000622,0.000777,0.000874,0.00101,0.000699,0.000544,0.000155,0.001632,0.000855,0.00101,0.000311,0.000855,0.000544,0.001166,0.000699,0.000466,7.80E-05,0.000155,0.001399,7.80E-05,0.000135,0.000777,0.000622,0.000538,0.000155,0.000466,0.000155,0.000699,0.000466,0.000466,0.000544,0.000389,0.000155,0.000544,0.000699,0.000466,0.00016,7.80E-05,7.80E-05,0.000233,0,0.000135,0.000544,0.000155,0,0.000855,0.000233,0,7.80E-05,0.000389,0,0,0.000135,0.000311,7.80E-05,0.000404,0.000269,0.000544,7.80E-05,0.000141,0,0.000233,0,0.000176,0,0.000182,0.000155,0.00101,0.000165,0.000186,0,0.000118,0,0,7.80E-05,0.000155,0,0.000269,0.00075,0,0,0.000139,0,0,0,0,0.000162,0.000719,0.000155,0.004455,0.00092,0,0,succ
