小说名,标准化类符/形符比,类别
0世界,0.099332,unsucc
阿鲁的封存记忆,0.117579,unsucc
阿玛金斯编年史,0.110901,unsucc
艾泽拉斯圣光轨迹,0.237495,succ
暗蚀,0.234815,succ
暗言师,0.11927,unsucc
奥法星术师——禁忌铭文,0.161054,unsucc
奥术年代,0.220019,succ
奥术与剑,0.105295,unsucc
霸血植巫,0.106519,unsucc
暴风法神,0.281124,succ
暴力狐尊,0.270275,succ
暴力牛魔王,0.246052,succ
比蒙传奇,0.200461,succ
冰火魔厨,0.196251,succ
不平凡的穿越生活,0.086511,unsucc
不朽巫师,0.20259,succ
苍白之手,0.26455,succ
超级骷髅兵,0.18042,succ
潮汐进化,0.186734,succ
穿越之成为主神,0.15091,unsucc
传承铸造师,0.236901,succ
次元编年史,0.1087,unsucc
代理人的日常,0.097383,unsucc
当个法师闹革命,0.20098,succ
帝国之陨落,0.105941,unsucc
堕落血天使,0.285765,succ
恶魔直播间,0.221477,succ
二蛋的画中世界,0.112558,unsucc
二十面骰子,0.243344,succ
法神直播间,0.220631,succ
法师奥义,0.198693,succ
法师故事,0.224204,succ
法师故事2,0.24147,succ
法师三定律,0.234991,succ
法师手札,0.265429,succ
法师亚当,0.221463,succ
法师真理,0.239619,succ
凡人与精灵,0.13519,unsucc
犯二的丧尸系统,0.112415,unsucc
风语王座,0.11222,unsucc
风之女王,0.101214,unsucc
古洞之谜,0.083933,unsucc
骨傲天不需要妹妹,0.268725,succ
光之子,0.218616,succ
鬼脉决之寻龙探宝,0.124046,unsucc
哈利波特之超级法神,0.24012,succ
哈利波特之东方巫师,0.11867,unsucc
海皇本纪之横行霸道,0.271689,succ
撼天图腾,0.102825,unsucc
黑法师重生,0.226199,succ
灰暗之年,0.267669,succ
灰尘骑士日记,0.103225,unsucc
混在异界的神仙,0.218296,succ
机械龙战士,0.104667,unsucc
极道骑士,0.2356,succ
极夜之歌,0.082953,unsucc
极游戏,0.125494,unsucc
寂静王冠,0.23962,succ
假面骑士基因计划,0.118039,unsucc
剑怼漫威,0.116694,unsucc
剑巫纪,0.220451,succ
剑与魔法与出租车,0.264081,succ
