@relation pima_diabetes
@attribute 'daici' numeric
@attribute 'dongci' numeric
@attribute 'renming' numeric
@attribute 'mingci' numeric
@attribute 'zhuci' numeric
@attribute 'shijianmingci' numeric
@attribute 'jieci' numeric
@attribute 'gantanci' numeric
@attribute 'fangweimingci' numeric
@attribute 'shuci' numeric
@attribute 'fuci' numeric
@attribute 'xiyu' numeric
@attribute 'biaodian' numeric
@attribute 'xingrongci' numeric
@attribute 'tingdunshu' numeric
@attribute 'juziposuidu' numeric
@attribute '规则0' numeric
@attribute '规则1' numeric
@attribute '规则2' numeric
@attribute '规则3' numeric
@attribute '规则4' numeric
@attribute '规则5' numeric
@attribute '规则6' numeric
@attribute '规则7' numeric
@attribute '规则8' numeric
@attribute '规则9' numeric
@attribute '规则10' numeric
@attribute '规则11' numeric
@attribute '规则12' numeric
@attribute '规则13' numeric
@attribute '规则14' numeric
@attribute '规则15' numeric
@attribute '规则16' numeric
@attribute '规则17' numeric
@attribute '规则18' numeric
@attribute '规则19' numeric
@attribute '规则20' numeric
@attribute '规则21' numeric
@attribute '规则22' numeric
@attribute '规则23' numeric
@attribute '规则24' numeric
@attribute '规则25' numeric
@attribute '规则26' numeric
@attribute '规则27' numeric
@attribute '规则28' numeric
@attribute '规则29' numeric
@attribute '规则30' numeric
@attribute '规则31' numeric
@attribute '规则32' numeric
@attribute '规则33' numeric
@attribute '规则34' numeric
@attribute '规则35' numeric
@attribute '规则36' numeric
@attribute '规则37' numeric
@attribute '规则38' numeric
@attribute '规则39' numeric
@attribute '规则40' numeric
@attribute '规则41' numeric
@attribute '规则42' numeric
@attribute '规则43' numeric
@attribute '规则44' numeric
@attribute '规则45' numeric
@attribute '规则46' numeric
@attribute '规则47' numeric
@attribute '规则48' numeric
@attribute '规则49' numeric
@attribute '规则50' numeric
@attribute '规则51' numeric
@attribute '规则52' numeric
@attribute '规则53' numeric
@attribute '规则54' numeric
@attribute '规则55' numeric
@attribute '规则56' numeric
@attribute '规则57' numeric
@attribute '规则58' numeric
@attribute '规则59' numeric
@attribute '规则60' numeric
@attribute '规则61' numeric
@attribute '规则62' numeric
@attribute '规则63' numeric
@attribute '规则64' numeric
@attribute '规则65' numeric
@attribute '规则66' numeric
@attribute '规则67' numeric
@attribute '规则68' numeric
@attribute '规则69' numeric
@attribute '规则70' numeric
@attribute '规则71' numeric
@attribute '规则72' numeric
@attribute '规则73' numeric
@attribute '规则74' numeric
@attribute '规则75' numeric
@attribute '规则76' numeric
@attribute '规则77' numeric
@attribute '规则78' numeric
@attribute '规则79' numeric
@attribute '规则80' numeric
@attribute '规则81' numeric
@attribute '规则82' numeric
@attribute '规则83' numeric
@attribute '规则84' numeric
@attribute '规则85' numeric
@attribute '规则86' numeric
@attribute '规则87' numeric
@attribute '规则88' numeric
@attribute '规则89' numeric
@attribute '规则90' numeric
@attribute '规则91' numeric
@attribute '规则92' numeric
@attribute '规则93' numeric
@attribute '规则94' numeric
@attribute '规则95' numeric
@attribute '规则96' numeric
@attribute '规则97' numeric
@attribute '规则98' numeric
@attribute '规则99' numeric
@attribute '规则100' numeric
@attribute '规则101' numeric
@attribute '规则102' numeric
@attribute '规则103' numeric
@attribute '规则104' numeric
@attribute '规则105' numeric
@attribute '规则106' numeric
@attribute '规则107' numeric
@attribute '规则108' numeric
@attribute '规则109' numeric
@attribute '规则110' numeric
@attribute '规则111' numeric
@attribute '规则112' numeric
@attribute '规则113' numeric
@attribute '规则114' numeric
@attribute '规则115' numeric
@attribute '规则116' numeric
@attribute '规则117' numeric
@attribute '规则118' numeric
@attribute '规则119' numeric
@attribute '规则120' numeric
@attribute '规则121' numeric
@attribute '规则122' numeric
@attribute '规则123' numeric
@attribute '规则124' numeric
@attribute '规则125' numeric
@attribute '规则126' numeric
@attribute '规则127' numeric
@attribute '规则128' numeric
@attribute '规则129' numeric
@attribute '规则130' numeric
@attribute '规则131' numeric
@attribute '规则132' numeric
@attribute '规则133' numeric
@attribute '规则134' numeric
@attribute '规则135' numeric
@attribute '规则136' numeric
@attribute '规则137' numeric
@attribute '规则138' numeric
@attribute '规则139' numeric
@attribute '规则140' numeric
@attribute '规则141' numeric
@attribute '规则142' numeric
@attribute '规则143' numeric
@attribute '规则144' numeric
@attribute '规则145' numeric
@attribute '规则146' numeric
@attribute '规则147' numeric
@attribute '规则148' numeric
@attribute '规则149' numeric
@attribute '规则150' numeric
@attribute '规则151' numeric
@attribute '规则152' numeric
@attribute '规则153' numeric
@attribute '规则154' numeric
@attribute '规则155' numeric
@attribute '规则156' numeric
@attribute '规则157' numeric
@attribute '规则158' numeric
@attribute '规则159' numeric
@attribute '规则160' numeric
@attribute '规则161' numeric
@attribute '规则162' numeric
@attribute '规则163' numeric
@attribute '规则164' numeric
@attribute '规则165' numeric
@attribute '规则166' numeric
@attribute '规则167' numeric
@attribute '规则168' numeric
@attribute '规则169' numeric
@attribute '规则170' numeric
@attribute '规则171' numeric
@attribute '规则172' numeric
@attribute '规则173' numeric
@attribute '规则174' numeric
@attribute '规则175' numeric
@attribute '规则176' numeric
@attribute '规则177' numeric
@attribute '规则178' numeric
@attribute '规则179' numeric
@attribute '规则180' numeric
@attribute '规则181' numeric
@attribute '规则182' numeric
@attribute '规则183' numeric
@attribute '规则184' numeric
@attribute '规则185' numeric
@attribute '规则186' numeric
@attribute '规则187' numeric
@attribute '规则188' numeric
@attribute '规则189' numeric
@attribute '规则190' numeric
@attribute '规则191' numeric
@attribute '规则192' numeric
@attribute '规则193' numeric
@attribute '规则194' numeric
@attribute '规则195' numeric
@attribute '规则196' numeric
@attribute '规则197' numeric
@attribute '规则198' numeric
@attribute '规则199' numeric
@attribute 'class' { unsucc, succ}
@data
1.949230769,5.373846154,0.603076923,4.893846154,2.386153846,0.287692308,4.310769231,0.015384615,0.513846154,0.847692308,2.664615385,0.133846154,3.618461538,0.938461538,3746,2.881538462,0.071457,0.022985,0.03339,0.022985,0.014357,0.01495,0.016004,0.015148,0.016004,0.020087,0.010735,0.010076,0.008891,0.005137,0.00843,0.004413,0.006454,0.00955,0.006125,0.005466,0.006191,0.003227,0.005664,0.004874,0.004017,0.004676,0.008562,0.003359,0.000461,0.003754,0.002371,0.003425,0.003293,0.002832,0.003227,0.002239,0.001383,0.003227,0,0.001383,0.003161,0.000329,0.00112,0.002503,0.003425,0.000198,0.002898,0.003556,0.001515,0.004149,0.000593,0.001317,0.00191,0.002107,0.000132,0.001778,0.001976,0.001054,0.002107,0.001778,0.000132,0.001778,0.001844,0.00191,0.001317,0.001515,0.00112,0,0,0.000659,0.001317,0.000527,0.000461,0.001251,0,0.001515,0.002042,0.001251,0.00303,0.000724,6.60E-05,6.60E-05,0.000198,0.001054,0.001449,0.000527,0.00079,0.000198,0.000988,0.000593,0,0.001581,0.001646,0.00112,0.000659,0.000198,0.001646,0.001185,0.000198,0.000856,0.001383,0.001251,0.000922,0.000659,0.000461,0.002173,0,0.000527,0.000988,0.000724,0.001383,0.001712,0.001778,0.001449,0.000659,0.000922,0.000263,0.000988,0,0.000922,0.00079,0,0.00112,0.000724,0.001383,0.000988,0.000988,0.001251,0.001449,0.001778,0.00079,0,0.000659,0.001317,6.60E-05,0.000198,0.000527,0.000856,0.000659,0.000593,0.00112,0.000198,0.000461,0.000263,0.000659,0.000461,0.000395,0.000198,0,0.000724,0.000395,0,0.000527,0.00112,0.000395,0.000593,0.000329,0.000198,0.001581,0.001054,0.00112,0,0.000132,0.000395,0.000132,0.001251,6.60E-05,0.000395,0,0.000922,0.000724,0.000263,0.000461,0.000659,0.001054,0.000922,0.000461,0.000527,0.000263,0.001054,0,0.002964,0,0.000132,0.000527,0.000856,0.000329,0.000659,0.000527,0.000132,6.60E-05,6.60E-05,0,0.001054,0.000988,0.001317,0.000922,0.000527,0,0.000922,unsucc
1.25974026,4.124875125,0.25974026,3.555444555,1.554445554,0.127872128,4.163836164,0.010989011,0.347652348,0.738261738,1.887112887,0.161838162,3.631368631,0.694305694,5972,2.983016983,0.095997,0.025068,0.045646,0.017211,0.011492,0.014806,0.012026,0.014699,0.016463,0.007643,0.00898,0.005933,0.005719,0.003367,0.008552,0.005719,0.012935,0.005292,0.005826,0.0031,0.006361,0.006414,0.004597,0.002886,0.004597,0.001497,0.006895,0.001978,0.00294,0.00139,0.00294,0.002031,0.000909,0.001657,0.002085,0.003367,0.00155,0.003635,0,0.00155,0.002298,0.00016,0.002459,0.001176,0.000428,0,0.001978,0.000748,0.001122,0.001871,0.000321,0.001069,0.001069,0.00155,0.000428,0.00155,0.002779,0.000855,0.001336,0.001122,0.001176,0.000374,0.001176,0.001176,5.30E-05,0.001122,0.001604,0,0,0.002459,0.001657,0.000855,0.000428,0.001817,0.00016,0.001283,0.000641,0.001069,0.00016,0.001283,0.000214,0,0.000588,0.001604,0.000481,0.000588,0.001283,0.000374,0.000107,5.30E-05,0,0.001924,0.001443,0.002085,0.000748,0.00016,0,0.000909,0.000267,0.000748,0.000695,0.001604,0.001176,0.001978,0.000428,0.000214,0,0.001016,0.000107,0.00171,0.000641,0.000641,0.000535,0.001016,0.001016,0.000802,0.000748,0.000535,0,0.000374,0.000748,0,0.000374,0.000321,0.000695,0.002245,0.000802,0.001604,5.30E-05,0,0.000588,0,0.000535,0.000641,0,0.00016,0.000588,0.001122,0.000428,0.000321,0.000588,0.00016,0.000321,0.000695,0.000214,0.001016,0.00016,0.000588,0,0.000535,0.000428,0,0.002993,0.001657,0.000748,0.001336,0.000107,0.00016,0.000374,0.00016,0.000588,0.000588,0.000214,0.000481,5.30E-05,0.000267,0,0.000428,0.000107,0.000695,0.000481,0.001016,0.000962,0.000535,0.000535,0.000588,0.00016,0.000374,0.000267,0.000374,0,0,0.000481,0.000481,0.000855,0.00016,5.30E-05,0.00016,0.000695,0.000214,0.00016,0.000107,5.30E-05,0.000267,0.000107,5.30E-05,0.000321,0.000748,0,0.000428,unsucc
1.219491525,3.21440678,0.2,3.126271186,1.179661017,0.139830508,2.829661017,0.019491525,0.272033898,0.51779661,1.688135593,0.176271186,2.407627119,0.507627119,5598,2.372033898,0.082794,0.021257,0.059474,0.01421,0.0106,0.000688,0.017934,0.000573,0.016043,0.012892,0.011116,0.008709,0.007678,0.001948,0.007449,0.007792,0.004355,0.008308,0.007506,0.004698,0.006704,0.007334,0.005214,0.003438,0.003495,0.003094,0.010027,0.003782,0.001203,0.002406,0.002808,0.002636,0.002177,0.001261,0.00149,0.003266,0.005329,0.003724,0,0.001719,0.003323,0.000573,0.002808,0.001203,0.000802,0,0.002521,0.001604,0.002005,0.001604,0.000172,0.003037,0,0.002464,0.001146,0.000745,0.001089,0.002636,0.002177,0.001833,5.70E-05,0.001261,0.001432,0.002177,0.001432,0.001776,0.000974,0,0,0.000745,0.001089,0.002063,0.000401,0.000974,0,0.002063,0.000229,0.001547,0.000286,0.001432,0.001833,0,0.001261,0.00149,0.000745,0.000859,0.001089,0.000401,0.001031,0.000115,0,0.001318,0.000859,0.001719,0.000516,5.70E-05,0,0.001833,0.000286,0.000516,0.000917,0.001375,0.001031,0.001948,0.001203,0.000802,0,0.000573,0.000344,0.000802,0.000745,0.000974,0.000688,0.001203,0.001031,0.000573,0.000458,0.001261,0,0.000172,0.001604,0,0.000573,0.000172,0.001031,0.000344,0.001261,0.002005,0.002693,0,5.70E-05,0,0.000172,0.000573,0,5.70E-05,0.000802,0.000458,0.000573,0.000172,0.000516,0.000172,0.000859,0.000172,0.000172,0.000745,0.001203,0.001318,0,0.00063,5.70E-05,0.000115,0,0.000917,0.000401,0.00063,0.000229,0.001662,0.002406,0.000172,0.000516,0.000229,0.000115,0.000286,0.000286,0.001146,0,0.000688,0,0.000229,0.000458,0.00063,0.001089,0.000115,5.70E-05,0.001089,0.000115,0.000974,0.000229,0.000286,0,0.001719,0.000172,0.000172,0.000688,5.70E-05,0.000172,0.000573,0.000115,0.001203,0.00063,5.70E-05,5.70E-05,5.70E-05,0.000344,0.000458,0.000229,5.70E-05,0,0.000286,unsucc
1.910499139,5.814113597,0.981067126,6.146299484,3.273666093,0.160068847,5.839931153,0.025817556,0.540447504,0.877796902,2.611015491,0.211703959,4.925989673,0.963855422,2217,3.815834768,0.09894,0.031671,0.016209,0.027805,0.022569,0.016459,0.013529,0.016147,0.016334,0.006172,0.008915,0.005362,0.007419,0.015399,0.006484,0.004676,0.013903,0.005112,0.00904,0.004676,0.003367,0.007107,0.005923,0.004925,0.002868,0.002993,0.001247,0.002743,0.001808,0.00293,0.002556,0.002993,0.001247,0.001933,0.001621,0.002868,0.001683,0.00187,0,0.001933,0.001933,0.001621,0.003865,0.002244,0.000561,0,0.00106,0.000686,0.001683,0.000374,0.000436,0.00106,0.001496,0.001746,6.20E-05,0.001746,0.00212,0.001372,0.000935,0.000623,0.000312,0.002244,0.002057,0.002993,0.001808,0.000748,0.001372,0,0,0.003554,0.00187,0.000436,0.000187,0.002431,0.000312,0.00081,0.000125,0.000623,0.000998,0.001372,0.000748,0,0.000748,0.002494,0.00106,0.000686,0.001372,0.000312,0.000374,6.20E-05,0,0.00187,0.000935,0.001496,0.000249,6.20E-05,0,0.000623,0.000249,0.000249,0.000561,0.001122,0.000561,0.001434,0.000623,0.000374,0,0.000312,0.000187,0.002244,0.000686,0.000935,0.000623,0.000686,0.001247,0.001122,0.001372,0.000686,0,0.000561,0.000623,0,0.000249,0.001309,0.000561,0.000748,0.001247,0.000686,0.000125,0,0.000561,0,0.001309,0.000436,0,6.20E-05,6.20E-05,0.000623,0.000998,0.000436,0.000125,0.000686,0.000374,0.000748,0.001185,6.20E-05,0.001309,0.000873,0,0.000686,0.000125,0,0.000873,6.20E-05,0.000436,0.001683,0.000125,0.000187,0.001185,0.000686,6.20E-05,0.000187,0.000125,0.000249,0.000935,0.000312,0,0.000935,0,0.000436,0.000623,0.000312,0.000312,0.000374,0.00106,0.000249,0.000499,0.001247,0.000187,0.000187,0,0,0,0.000249,0.000748,0.000125,0.000125,0.000561,6.20E-05,0.000623,0.000249,6.20E-05,0,0.000374,0.000125,0.000249,0.000187,0.000436,0,0.000686,succ
1.04788961,4.361201299,0.416396104,4.273538961,2.051136364,0.093344156,3.806818182,0.00487013,0.407467532,0.545454545,2.038961039,0.145292208,3.101461039,0.873376623,2923,2.372564935,0.067932,0.032616,0.044726,0.037848,0.011561,0.010717,0.011857,0.010675,0.013544,0.004599,0.010717,0.004979,0.006371,0.003966,0.005316,0.003966,0.006835,0.004768,0.010633,0.00173,0.004388,0.005316,0.004684,0.003713,0.004051,0.002996,0.001561,0.002954,0.006667,0.001139,0.003038,0.000844,0.002616,0.001308,0.00173,0.0027,0.001519,0.002068,4.20E-05,0.000464,0.002363,0.000211,0.00135,0.00097,0.000422,0,0.002363,0.000338,0.000717,0.001392,0.000422,0.001139,0.002236,0.000928,0.000802,0.002489,0.001139,0.00135,0.002025,0.001561,0.001435,0.000464,0.001435,0.002194,0.000506,0.000717,0.000759,0,0,0.001857,0.003291,0.000506,0.000169,0.002574,0,0.000506,0.000675,0.001477,0.000549,0.00308,0.000633,0,0.000802,0.002489,0.00038,0.000464,0.001603,0.000295,0.000886,4.20E-05,0,0.00097,0.001308,0.001308,0.000253,4.20E-05,0.000591,0.000506,0.001224,0.001139,0.000633,0.000886,0.00135,0.001139,0.000549,0.000253,0,0.000464,0.000169,0.002574,0.001055,0.000759,0.000928,0.000422,0.001435,0.000549,4.20E-05,0.001224,0,0.00038,0.000549,0,0.000844,0.001097,0.000422,0.001435,0.001435,0.001477,8.40E-05,0.000127,0.000169,0,0.000886,0.001055,0,4.20E-05,4.20E-05,0.000675,0.000591,0.000422,0.000591,0.000169,0.000675,8.40E-05,0.001055,0.000169,0.000464,0.000802,0,0.000295,0.000295,4.20E-05,0.001814,0.000338,0.000127,0.001857,0.000422,8.40E-05,0.001055,0.000169,0.000338,0.000633,4.20E-05,8.40E-05,0.000253,0.000506,4.20E-05,0.000253,0,0.000127,0.00038,0.000717,0.000464,0.001857,0.000675,0.000549,0.000169,0.000591,0.000127,0.000127,0,0,4.20E-05,0.000211,0.000549,0.000127,0.000422,0.000169,4.20E-05,0.000253,8.40E-05,8.40E-05,0,0.000295,0.000127,0.000211,8.40E-05,0.000633,0,0.000759,succ
1.564583333,3.992708333,0.045833333,3.161458333,1.897916667,0.134375,4.144791667,0.021875,0.295833333,0.680208333,2.119791667,0.265625,3.5875,0.66875,4882,2.542708333,0.079263,0.024999,0.042886,0.027132,0.010174,0.021771,0.019693,0.021771,0.018653,0.006838,0.013566,0.006947,0.005962,0.001368,0.005415,0.00908,0.010776,0.005744,0.008533,0.002462,0.004048,0.008369,0.009737,0.003227,0.005033,0.001203,0.001039,0.002243,0.006619,0.001586,0.004431,0.002297,0.00093,0.001805,0.001696,0.002243,0.002352,0.001641,0,0.001039,0.001586,0.000711,0.003282,0.00093,0.000274,0,0.000492,0.00093,0.001313,0.000438,0.000492,0.00175,0.006017,0.002024,0.001039,0.001258,0.002133,0.003009,0.001696,0.000766,0.004157,0.000875,0.000711,0.003227,0.002024,0.001696,0.001915,0,0,0.00558,0.000711,0.000766,0.000438,0.000219,0,0.00093,0.000109,0.000602,0.000109,0.00175,0.000547,0,0.000492,0.000383,0.00093,0.001258,0.002243,0.000219,0.000109,0.001532,0,0.000875,0.000383,0.001313,5.50E-05,5.50E-05,0.000274,0.001586,0.000164,0.000164,0.001149,0.000985,0.000328,0.004157,0.001203,0.000821,0.000109,0.000274,5.50E-05,0.001422,0.000602,0.001805,0.000766,0.000656,0.001532,0.000274,0.000985,0.001258,0,0.000274,0.002079,0,0.001039,0.000766,0.000109,0.002297,0.002844,0.000985,0,0.001422,0.000328,0,0.000438,0.000602,0,5.50E-05,0.000766,0.000875,0.000164,0.000492,0.000109,5.50E-05,0.001368,0.000821,0.000328,0.000492,0.000109,0.000492,0,0.000328,0.000383,0,0.000492,0.000383,0.000383,0.00175,5.50E-05,0.001313,0.000656,0.000109,0.000383,0.001422,0.000109,0.000328,0.000164,0.00093,5.50E-05,0.001313,0,0.000109,0.000602,0.000274,0.000766,0.000109,0.009737,0.000109,0.000274,0.000274,5.50E-05,5.50E-05,0,0,0.002079,0.000383,0.000492,0.000711,0.000328,5.50E-05,0.000109,0.001969,0.000109,0.000109,0,0.000109,0.000383,0.000219,0,0.000602,0,0.000109,unsucc
2.237179487,6.615384615,0.557692308,6.301282051,3.275641026,0.16025641,6.08974359,0.179487179,0.474358974,0.756410256,2.730769231,0.423076923,5.237179487,1.019230769,1336,4.282051282,0.105332,0.026875,0.022974,0.016472,0.028825,0.010186,0.014521,0.009753,0.018422,0.007586,0.007802,0.005418,0.002818,0.005635,0.005852,0.005635,0.017772,0.004551,0.006502,0.003901,0.004118,0.004335,0.007802,0.004118,0.002818,0.00065,0.003034,0.0013,0.007369,0.001084,0.003034,0.00065,0.000867,0.001084,0.003468,0.002818,0.001951,0.002167,0,0.002167,0.000867,0.0013,0.0013,0.001951,0.00065,0.002818,0.001734,0.002818,0.000867,0.000217,0.000433,0.001084,0.001734,0.001517,0.00065,0.002384,0.001734,0.002601,0.002167,0.001084,0.001951,0.000433,0.002601,0.001084,0.001734,0.003034,0.000867,0,0,0.000867,0.002384,0.003684,0.002818,0.002384,0.000217,0.001084,0.00065,0.001517,0.00065,0.001951,0.0013,0,0.0013,0.000433,0.00065,0.000867,0.001084,0.000433,0.000217,0.000217,0,0.000217,0.001951,0.001084,0.00065,0,0,0.001517,0.000217,0.00065,0.00065,0.000867,0.000433,0.0013,0.000867,0.000433,0,0.000867,0.000217,0.00065,0.001084,0,0.000433,0.00065,0.000867,0.00065,0.000867,0.000433,0,0.001084,0.000217,0,0.000433,0.00065,0.000433,0.000217,0.002818,0.000433,0,0,0.000433,0,0.001084,0.001084,0,0,0.00065,0.00065,0.000867,0.000433,0.000217,0.000867,0.000217,0.001084,0.001084,0,0.000433,0.0013,0,0.000433,0.0013,0.001734,0.001951,0.000433,0.000217,0.000867,0.00065,0.001951,0.000867,0.001084,0.000433,0.000433,0.000433,0.000433,0.001951,0.0013,0.000217,0.000217,0,0.000433,0.0013,0,0.000433,0.000867,0.007802,0.000867,0.0013,0.000867,0.000217,0.000433,0,0,0,0.000433,0.001084,0.000433,0.000867,0,0.000217,0.000217,0.000433,0.0013,0,0.000217,0.000217,0.00065,0,0.00065,0,0.000867,unsucc
1.487218045,4.806015038,0.44962406,5.317293233,2.690225564,0.166917293,4.460150376,0.009022556,0.488721805,0.962406015,2.604511278,0.159398496,3.75037594,1.079699248,1907,2.867669173,0.071687,0.034189,0.028123,0.026163,0.021261,0.015808,0.010784,0.015624,0.0212,0.008946,0.005453,0.005392,0.006311,0.009926,0.008762,0.003309,0.00674,0.004963,0.008149,0.004289,0.005147,0.005331,0.004534,0.006188,0.004595,0.004105,0.001961,0.001716,0.001348,0.00147,0.00288,0.001164,6.10E-05,0.001593,0.002696,0.003615,0.001164,0.001777,0,0.000797,0.002451,0.000123,0.001654,0.002267,0.001164,0,0.001593,0.002451,0.000735,0.000797,0.000306,0.00098,0.002144,0.000551,0.000368,0.002573,0.001348,0.00147,0.001899,0.000858,0.000245,0.000674,0.00288,0.000245,0.001593,0.003064,0.001225,0,0,0.001164,0.001838,0.001409,0.000306,0.00386,0,0.000368,0.000674,0.002144,0.000858,0.00435,0.000674,0,0.000306,0.001409,0.000919,0.000184,0.000551,0.000306,0.000306,0.000123,0,0.001225,0.00049,0.000674,0.000735,0.004595,0.000735,0.000368,6.10E-05,0.000797,0.000674,0.00098,0.000919,0.001593,0.00049,0.001042,0,0.00098,0.000858,0.000919,0.000674,0.000735,0.000735,0.000858,0.000551,0.000245,0.00049,0.000551,0,0.000306,0.001103,0,0.00147,0.001409,0.000674,0.001532,0.002022,0.001225,0,0,0.000368,0,0.001164,0.000551,0,0.004595,0.000735,0.000797,0.000123,0.000306,0.000858,0.000551,0.000123,0.00049,0.001103,0.001348,0.002267,0.000306,0,0.000429,0.000306,0.000123,0.002022,0.000306,0.000245,0.000674,0.000123,0.000797,0.000551,6.10E-05,0.000306,0.000123,0.001225,0.000184,0.000123,0.000368,0.00049,0.000368,6.10E-05,0.000306,0.000245,0.000551,0.001042,0.000613,0.000368,0.000551,0.000123,0.001164,0.000184,6.10E-05,0,0,6.10E-05,0.000245,0.000797,0.00049,0.000123,0.000551,6.10E-05,0.001164,0.000613,0,0,0,0.000184,0.000429,0,0.000429,0,0.002512,succ
1.475862069,4.395073892,0.418719212,3.908374384,1.870935961,0.141871921,4.172413793,0.020689655,0.372413793,0.541871921,1.968472906,0.145812808,3.609852217,0.861083744,5818,2.866009852,0.090114,0.028723,0.042731,0.015929,0.018104,0.017345,0.012743,0.017143,0.013249,0.008951,0.009608,0.009962,0.004956,0.004753,0.006119,0.004855,0.014109,0.006979,0.006321,0.004349,0.004046,0.004298,0.004349,0.003439,0.00354,0.003236,0.00536,0.002225,0.003135,0.002478,0.003944,0.003439,0.002023,0.001517,0.001062,0.003338,0.002073,0.002225,0,0.000657,0.001315,0.000303,0.00263,0.000809,0.001214,0,0.002478,0.000708,0.00177,0.000961,0.000657,0.001011,0.005259,0.001113,0.000303,0.001365,0.001113,0.002023,0.001871,0.001719,0.002276,0.001011,0.002377,0.00263,0.001618,0.000354,0.001365,0,0,0.002124,0.001871,0.000759,0.000506,0.003287,0.000202,0.000961,0.000657,0.001416,0.000405,0.001719,0.001113,0,0.000961,0.00091,0.000506,0.000405,0.001568,0.000657,5.10E-05,0.000101,0,0.00091,0.001163,0.001264,0.000455,0.000303,0,0.001163,0.000202,0.000961,0.00091,0.000657,0.00182,0.001264,0.00086,0.000759,0,0.000506,0.000152,0.002225,0.000607,0.001011,0.000708,0.000607,0.001113,0.000657,0.001315,0.00086,0,0.000405,0.000607,0,0.000708,0.000455,0.000303,0.001214,0.00177,0.001062,0.000253,0.000101,0.000506,0,0.000607,0.000556,0,0.000303,0.000759,0.000961,0.000354,0.000657,0.001062,0.000354,0.000101,0.000354,5.10E-05,0.000303,0.000101,0.000961,0,0.000607,0.000253,5.10E-05,0.000202,0.000759,0.000253,0.000961,0.000202,0.002174,0.001214,0.000152,0.000101,0.001618,0.000253,0.000202,0.000152,0.00091,5.10E-05,0.000152,0.000101,0.000506,0.000556,0.000506,0.000809,0.002124,0.000253,0.000354,0.000101,0.001719,0.000152,0.000405,0,0,0.001163,0.000152,0.000455,5.10E-05,0.000202,0.000253,0.000152,0.000506,0.000253,5.10E-05,0.000202,0.000708,0.000202,0.000405,0.000759,0.000405,5.10E-05,0.000354,unsucc
1.306376361,5.430793157,0.65318818,4.99533437,2.562986003,0.192846034,4.950233281,0.037325039,0.444790047,1.068429238,2.429237947,0.175738725,4.158631415,0.905132193,4206,3.270606532,0.092037,0.023138,0.032329,0.018446,0.020246,0.015811,0.01099,0.015939,0.020117,0.008162,0.009834,0.006556,0.010541,0.006749,0.007584,0.004885,0.002892,0.004306,0.007006,0.005013,0.004563,0.004306,0.002764,0.006106,0.005977,0.002057,0.001414,0.002828,0.005913,0.004885,0.001928,0.002057,0.002057,0.002121,0.000836,0.00135,0.001735,0.002892,0,0.000129,0.002121,0.000193,0.002635,0.005142,0.002057,0,0.001478,0.000964,0.001543,0.00045,0.001028,0.001157,0.001735,0.001735,0.000193,0.002378,0.004178,0.000707,0.001543,0.001157,0,0.000643,0.001735,0.002057,0.002185,0.000386,0.001928,0,0,0.000836,0.000643,0.000578,0.000514,0.0018,0,0.000836,0.000836,0.0009,0,0.001157,0.000514,0,0.000514,0.001928,0.0009,0.000643,0.000964,0.000129,0.00045,6.40E-05,0,0.001735,0.000836,0.000386,0.0009,0.000129,0.001285,0.000771,0.000771,0.001735,0.000386,0.000964,0.002892,0.001093,0.000578,0,0,0.000836,0.000193,0.0009,0.00135,0.000771,0.001157,0.001671,0.000514,0.000643,0.000771,0.000771,0,0.000129,0.001028,0,6.40E-05,0.000514,0.001478,0.00135,0.0018,0.001221,0,0.000129,0.000321,0,0.00135,0.00045,0,0.000129,0.000514,0.000514,0.000771,0.001028,0.0009,0.000386,0.000514,0.000771,0.000193,0.000386,0.000321,0.000514,0,0.001157,0.000321,0,0.000386,0.000643,0.008612,0.001285,0.000257,0.000321,0.000578,0.000129,0.000129,0.000193,0.000578,0.000193,0.000129,0.000578,0,0.000193,0,0.000964,0.001157,0.00045,0.000386,0.000257,0.000578,0.000514,0.000578,0.000257,0.000321,0.001221,0,0,0.000193,0.000386,0.000514,0.000257,0.000257,0.00045,0.000193,0.00045,0.00045,0,0.000386,0.00045,6.40E-05,0.000129,0.000836,0.000257,0,0.000386,unsucc
