小说名,r,v,nh,n,u,nt,p,e,nd,m,d,i,wp,a,句子数,停顿数,句子破碎度,Success,小说名,PU，,DEG的,PU。,DEC的,AS了,PU“,VC是,PU”,CD一,PN我,AD不,PN你,AD就,PU！,M个,PU？,PN他,AD也,P在,SP了,VE有,DT这,NN人,AS着,AD都,PN自己,PU：,AD还,PU…,VV看,VV会,VV说,BA把,SP的,DT这个,VV能,DT那,VV要,PU,,SP啊,CD两,VV知道,PN这,DEV的,VV说道,NR吴明,VV想,PN我们,SP吧,LC后,VE没有,DT什么,PN她,VV去,AD已经,LC上,AD又,AD却,VV到,AD没,DEV地,AD不过,AD很,LC里,NT现在,AD而,VV来,PU",NR阿德斯,AD但,VV让,PN你们,VV起来,CC和,PU.,AD那,NN时候,P对,NN世界,LC中,SP吗,NR陈浩明,VV可以,P从,AD就是,SP呢,PN他们,AD可是,AD怎么,NN东西,NN爱丽丝,AD才,JJ大,AD再,AD一下,NN路羽,NN少女,PN什么,P因为,AD一,AD还是,CD三,JJ小,M种,PN那,AD有些,AD凡,VV出来,CS虽然,SB被,P向,AS过,AD没有,VA好,LB被,DT那个,AD所以,AD只是,NR奥斯卡,SP的话,PN这里,NN高尘,AD更,AD最,P给,M年,AD只,CD几,NN大人,NN刀,AD那么,NR秦明,NN手,VV做,NR陈志林,NN路,AD这么,AD太,M声,VE没,NN时间,NN眼睛,PN谁,AD然后,CS如果,M岁,M位,VV可,PU=,VV给,AD而且,PU:,PU、,NN事,VV笑,M次,NN身体,AD便,VV看到,M把,NN事情,DER得,AD刚刚,VV过来,NN声音,VV见,NN女孩,VA一样,NN弟弟,VV叫,VV走,AD正,LC时,AD但是,NN人类,VV想到,NN脸,P和,AD真的,VV说完,NR亨特,NR李孝鸿,NN神,AD直接,P用,VV应该,NN身上,CC还有,VV发现,DT那些,AD当然,NN师父,NN哥哥,NN家,VV听到,DT有些,VV吃,P比,NN外来者,class,
0世界,1.94923076923076,5.37384615384615,0.603076923076923,4.89384615384615,2.38615384615384,0.287692307692307,4.31076923076923,0.0153846153846153,0.513846153846153,0.847692307692307,2.66461538461538,0.133846153846153,3.61846153846153,0.938461538461538,1300.0,3746.0,2.8815384615384616,unsucc,0世界,0.071457,0.022985,0.03339,0.022985,0.014357,0.01495,0.016004,0.015148,0.016004,0.020087,0.010735,0.010076,0.008891,0.005137,0.00843,0.004413,0.006454,0.00955,0.006125,0.005466,0.006191,0.003227,0.005664,0.004874,0.004017,0.004676,0.008562,0.003359,0.000461,0.003754,0.002371,0.003425,0.003293,0.002832,0.003227,0.002239,0.001383,0.003227,0.0,0.001383,0.003161,0.000329,0.00112,0.002503,0.003425,0.000198,0.002898,0.003556,0.001515,0.004149,0.000593,0.001317,0.00191,0.002107,0.000132,0.001778,0.001976,0.001054,0.002107,0.001778,0.000132,0.001778,0.001844,0.00191,0.001317,0.001515,0.00112,0.0,0.0,0.000659,0.001317,0.000527,0.000461,0.001251,0.0,0.001515,0.002042,0.001251,0.00303,0.000724,6.6e-05,6.6e-05,0.000198,0.001054,0.001449,0.000527,0.00079,0.000198,0.000988,0.000593,0.0,0.001581,0.001646,0.00112,0.000659,0.000198,0.001646,0.001185,0.000198,0.000856,0.001383,0.001251,0.000922,0.000659,0.000461,0.002173,0.0,0.000527,0.000988,0.000724,0.001383,0.001712,0.001778,0.001449,0.000659,0.000922,0.000263,0.000988,0.0,0.000922,0.00079,0.0,0.00112,0.000724,0.001383,0.000988,0.000988,0.001251,0.001449,0.001778,0.00079,0.0,0.000659,0.001317,6.6e-05,0.000198,0.000527,0.000856,0.000659,0.000593,0.00112,0.000198,0.000461,0.000263,0.000659,0.000461,0.000395,0.000198,0.0,0.000724,0.000395,0.0,0.000527,0.00112,0.000395,0.000593,0.000329,0.000198,0.001581,0.001054,0.00112,0.0,0.000132,0.000395,0.000132,0.001251,6.6e-05,0.000395,0.0,0.000922,0.000724,0.000263,0.000461,0.000659,0.001054,0.000922,0.000461,0.000527,0.000263,0.001054,0.0,0.002964,0.0,0.000132,0.000527,0.000856,0.000329,0.000659,0.000527,0.000132,6.6e-05,6.6e-05,0.0,0.001054,0.000988,0.001317,0.000922,0.000527,0.0,0.000922,unsucc,
阿鲁的封存记忆,1.25974025974025,4.12487512487512,0.259740259740259,3.55544455544455,1.55444555444555,0.127872127872127,4.16383616383616,0.0109890109890109,0.347652347652347,0.738261738261738,1.88711288711288,0.161838161838161,3.63136863136863,0.694305694305694,2002.0,5972.0,2.983016983016983,unsucc,阿鲁的封存记忆,0.095997,0.025068,0.045646,0.017211,0.011492,0.014806,0.012026,0.014699,0.016463,0.007643,0.00898,0.005933,0.005719,0.003367,0.008552,0.005719,0.012935,0.005292,0.005826,0.0031,0.006361,0.006414,0.004597,0.002886,0.004597,0.001497,0.006895,0.001978,0.00294,0.00139,0.00294,0.002031,0.000909,0.001657,0.002085,0.003367,0.00155,0.003635,0.0,0.00155,0.002298,0.00016,0.002459,0.001176,0.000428,0.0,0.001978,0.000748,0.001122,0.001871,0.000321,0.001069,0.001069,0.00155,0.000428,0.00155,0.002779,0.000855,0.001336,0.001122,0.001176,0.000374,0.001176,0.001176,5.3e-05,0.001122,0.001604,0.0,0.0,0.002459,0.001657,0.000855,0.000428,0.001817,0.00016,0.001283,0.000641,0.001069,0.00016,0.001283,0.000214,0.0,0.000588,0.001604,0.000481,0.000588,0.001283,0.000374,0.000107,5.3e-05,0.0,0.001924,0.001443,0.002085,0.000748,0.00016,0.0,0.000909,0.000267,0.000748,0.000695,0.001604,0.001176,0.001978,0.000428,0.000214,0.0,0.001016,0.000107,0.00171,0.000641,0.000641,0.000535,0.001016,0.001016,0.000802,0.000748,0.000535,0.0,0.000374,0.000748,0.0,0.000374,0.000321,0.000695,0.002245,0.000802,0.001604,5.3e-05,0.0,0.000588,0.0,0.000535,0.000641,0.0,0.00016,0.000588,0.001122,0.000428,0.000321,0.000588,0.00016,0.000321,0.000695,0.000214,0.001016,0.00016,0.000588,0.0,0.000535,0.000428,0.0,0.002993,0.001657,0.000748,0.001336,0.000107,0.00016,0.000374,0.00016,0.000588,0.000588,0.000214,0.000481,5.3e-05,0.000267,0.0,0.000428,0.000107,0.000695,0.000481,0.001016,0.000962,0.000535,0.000535,0.000588,0.00016,0.000374,0.000267,0.000374,0.0,0.0,0.000481,0.000481,0.000855,0.00016,5.3e-05,0.00016,0.000695,0.000214,0.00016,0.000107,5.3e-05,0.000267,0.000107,5.3e-05,0.000321,0.000748,0.0,0.000428,unsucc,
阿玛金斯编年史,1.21949152542372,3.21440677966101,0.2,3.12627118644067,1.17966101694915,0.139830508474576,2.82966101694915,0.0194915254237288,0.272033898305084,0.517796610169491,1.68813559322033,0.176271186440677,2.40762711864406,0.507627118644067,2360.0,5598.0,2.3720338983050846,unsucc,阿玛金斯编年史,0.082794,0.021257,0.059474,0.01421,0.0106,0.000688,0.017934,0.000573,0.016043,0.012892,0.011116,0.008709,0.007678,0.001948,0.007449,0.007792,0.004355,0.008308,0.007506,0.004698,0.006704,0.007334,0.005214,0.003438,0.003495,0.003094,0.010027,0.003782,0.001203,0.002406,0.002808,0.002636,0.002177,0.001261,0.00149,0.003266,0.005329,0.003724,0.0,0.001719,0.003323,0.000573,0.002808,0.001203,0.000802,0.0,0.002521,0.001604,0.002005,0.001604,0.000172,0.003037,0.0,0.002464,0.001146,0.000745,0.001089,0.002636,0.002177,0.001833,5.7e-05,0.001261,0.001432,0.002177,0.001432,0.001776,0.000974,0.0,0.0,0.000745,0.001089,0.002063,0.000401,0.000974,0.0,0.002063,0.000229,0.001547,0.000286,0.001432,0.001833,0.0,0.001261,0.00149,0.000745,0.000859,0.001089,0.000401,0.001031,0.000115,0.0,0.001318,0.000859,0.001719,0.000516,5.7e-05,0.0,0.001833,0.000286,0.000516,0.000917,0.001375,0.001031,0.001948,0.001203,0.000802,0.0,0.000573,0.000344,0.000802,0.000745,0.000974,0.000688,0.001203,0.001031,0.000573,0.000458,0.001261,0.0,0.000172,0.001604,0.0,0.000573,0.000172,0.001031,0.000344,0.001261,0.002005,0.002693,0.0,5.7e-05,0.0,0.000172,0.000573,0.0,5.7e-05,0.000802,0.000458,0.000573,0.000172,0.000516,0.000172,0.000859,0.000172,0.000172,0.000745,0.001203,0.001318,0.0,0.00063,5.7e-05,0.000115,0.0,0.000917,0.000401,0.00063,0.000229,0.001662,0.002406,0.000172,0.000516,0.000229,0.000115,0.000286,0.000286,0.001146,0.0,0.000688,0.0,0.000229,0.000458,0.00063,0.001089,0.000115,5.7e-05,0.001089,0.000115,0.000974,0.000229,0.000286,0.0,0.001719,0.000172,0.000172,0.000688,5.7e-05,0.000172,0.000573,0.000115,0.001203,0.00063,5.7e-05,5.7e-05,5.7e-05,0.000344,0.000458,0.000229,5.7e-05,0.0,0.000286,unsucc,
艾泽拉斯圣光轨迹,1.9104991394148,5.81411359724612,0.981067125645438,6.14629948364888,3.2736660929432,0.160068846815834,5.83993115318416,0.0258175559380378,0.540447504302926,0.877796901893287,2.61101549053356,0.21170395869191,4.92598967297762,0.963855421686747,581.0,2217.0,3.8158347676419964,succ,艾泽拉斯圣光轨迹,0.09894,0.031671,0.016209,0.027805,0.022569,0.016459,0.013529,0.016147,0.016334,0.006172,0.008915,0.005362,0.007419,0.015399,0.006484,0.004676,0.013903,0.005112,0.00904,0.004676,0.003367,0.007107,0.005923,0.004925,0.002868,0.002993,0.001247,0.002743,0.001808,0.00293,0.002556,0.002993,0.001247,0.001933,0.001621,0.002868,0.001683,0.00187,0.0,0.001933,0.001933,0.001621,0.003865,0.002244,0.000561,0.0,0.00106,0.000686,0.001683,0.000374,0.000436,0.00106,0.001496,0.001746,6.2e-05,0.001746,0.00212,0.001372,0.000935,0.000623,0.000312,0.002244,0.002057,0.002993,0.001808,0.000748,0.001372,0.0,0.0,0.003554,0.00187,0.000436,0.000187,0.002431,0.000312,0.00081,0.000125,0.000623,0.000998,0.001372,0.000748,0.0,0.000748,0.002494,0.00106,0.000686,0.001372,0.000312,0.000374,6.2e-05,0.0,0.00187,0.000935,0.001496,0.000249,6.2e-05,0.0,0.000623,0.000249,0.000249,0.000561,0.001122,0.000561,0.001434,0.000623,0.000374,0.0,0.000312,0.000187,0.002244,0.000686,0.000935,0.000623,0.000686,0.001247,0.001122,0.001372,0.000686,0.0,0.000561,0.000623,0.0,0.000249,0.001309,0.000561,0.000748,0.001247,0.000686,0.000125,0.0,0.000561,0.0,0.001309,0.000436,0.0,6.2e-05,6.2e-05,0.000623,0.000998,0.000436,0.000125,0.000686,0.000374,0.000748,0.001185,6.2e-05,0.001309,0.000873,0.0,0.000686,0.000125,0.0,0.000873,6.2e-05,0.000436,0.001683,0.000125,0.000187,0.001185,0.000686,6.2e-05,0.000187,0.000125,0.000249,0.000935,0.000312,0.0,0.000935,0.0,0.000436,0.000623,0.000312,0.000312,0.000374,0.00106,0.000249,0.000499,0.001247,0.000187,0.000187,0.0,0.0,0.0,0.000249,0.000748,0.000125,0.000125,0.000561,6.2e-05,0.000623,0.000249,6.2e-05,0.0,0.000374,0.000125,0.000249,0.000187,0.000436,0.0,0.000686,succ,
暗蚀,1.04788961038961,4.36120129870129,0.416396103896103,4.27353896103896,2.05113636363636,0.0933441558441558,3.80681818181818,0.00487012987012987,0.407467532467532,0.545454545454545,2.03896103896103,0.145292207792207,3.10146103896103,0.873376623376623,1232.0,2923.0,2.372564935064935,succ,暗蚀,0.067932,0.032616,0.044726,0.037848,0.011561,0.010717,0.011857,0.010675,0.013544,0.004599,0.010717,0.004979,0.006371,0.003966,0.005316,0.003966,0.006835,0.004768,0.010633,0.00173,0.004388,0.005316,0.004684,0.003713,0.004051,0.002996,0.001561,0.002954,0.006667,0.001139,0.003038,0.000844,0.002616,0.001308,0.00173,0.0027,0.001519,0.002068,4.2e-05,0.000464,0.002363,0.000211,0.00135,0.00097,0.000422,0.0,0.002363,0.000338,0.000717,0.001392,0.000422,0.001139,0.002236,0.000928,0.000802,0.002489,0.001139,0.00135,0.002025,0.001561,0.001435,0.000464,0.001435,0.002194,0.000506,0.000717,0.000759,0.0,0.0,0.001857,0.003291,0.000506,0.000169,0.002574,0.0,0.000506,0.000675,0.001477,0.000549,0.00308,0.000633,0.0,0.000802,0.002489,0.00038,0.000464,0.001603,0.000295,0.000886,4.2e-05,0.0,0.00097,0.001308,0.001308,0.000253,4.2e-05,0.000591,0.000506,0.001224,0.001139,0.000633,0.000886,0.00135,0.001139,0.000549,0.000253,0.0,0.000464,0.000169,0.002574,0.001055,0.000759,0.000928,0.000422,0.001435,0.000549,4.2e-05,0.001224,0.0,0.00038,0.000549,0.0,0.000844,0.001097,0.000422,0.001435,0.001435,0.001477,8.4e-05,0.000127,0.000169,0.0,0.000886,0.001055,0.0,4.2e-05,4.2e-05,0.000675,0.000591,0.000422,0.000591,0.000169,0.000675,8.4e-05,0.001055,0.000169,0.000464,0.000802,0.0,0.000295,0.000295,4.2e-05,0.001814,0.000338,0.000127,0.001857,0.000422,8.4e-05,0.001055,0.000169,0.000338,0.000633,4.2e-05,8.4e-05,0.000253,0.000506,4.2e-05,0.000253,0.0,0.000127,0.00038,0.000717,0.000464,0.001857,0.000675,0.000549,0.000169,0.000591,0.000127,0.000127,0.0,0.0,4.2e-05,0.000211,0.000549,0.000127,0.000422,0.000169,4.2e-05,0.000253,8.4e-05,8.4e-05,0.0,0.000295,0.000127,0.000211,8.4e-05,0.000633,0.0,0.000759,succ,
暗言师,1.56458333333333,3.99270833333333,0.0458333333333333,3.16145833333333,1.89791666666666,0.134375,4.14479166666666,0.021875,0.295833333333333,0.680208333333333,2.11979166666666,0.265625,3.5875,0.66875,1920.0,4882.0,2.542708333333333,unsucc,暗言师,0.079263,0.024999,0.042886,0.027132,0.010174,0.021771,0.019693,0.021771,0.018653,0.006838,0.013566,0.006947,0.005962,0.001368,0.005415,0.00908,0.010776,0.005744,0.008533,0.002462,0.004048,0.008369,0.009737,0.003227,0.005033,0.001203,0.001039,0.002243,0.006619,0.001586,0.004431,0.002297,0.00093,0.001805,0.001696,0.002243,0.002352,0.001641,0.0,0.001039,0.001586,0.000711,0.003282,0.00093,0.000274,0.0,0.000492,0.00093,0.001313,0.000438,0.000492,0.00175,0.006017,0.002024,0.001039,0.001258,0.002133,0.003009,0.001696,0.000766,0.004157,0.000875,0.000711,0.003227,0.002024,0.001696,0.001915,0.0,0.0,0.00558,0.000711,0.000766,0.000438,0.000219,0.0,0.00093,0.000109,0.000602,0.000109,0.00175,0.000547,0.0,0.000492,0.000383,0.00093,0.001258,0.002243,0.000219,0.000109,0.001532,0.0,0.000875,0.000383,0.001313,5.5e-05,5.5e-05,0.000274,0.001586,0.000164,0.000164,0.001149,0.000985,0.000328,0.004157,0.001203,0.000821,0.000109,0.000274,5.5e-05,0.001422,0.000602,0.001805,0.000766,0.000656,0.001532,0.000274,0.000985,0.001258,0.0,0.000274,0.002079,0.0,0.001039,0.000766,0.000109,0.002297,0.002844,0.000985,0.0,0.001422,0.000328,0.0,0.000438,0.000602,0.0,5.5e-05,0.000766,0.000875,0.000164,0.000492,0.000109,5.5e-05,0.001368,0.000821,0.000328,0.000492,0.000109,0.000492,0.0,0.000328,0.000383,0.0,0.000492,0.000383,0.000383,0.00175,5.5e-05,0.001313,0.000656,0.000109,0.000383,0.001422,0.000109,0.000328,0.000164,0.00093,5.5e-05,0.001313,0.0,0.000109,0.000602,0.000274,0.000766,0.000109,0.009737,0.000109,0.000274,0.000274,5.5e-05,5.5e-05,0.0,0.0,0.002079,0.000383,0.000492,0.000711,0.000328,5.5e-05,0.000109,0.001969,0.000109,0.000109,0.0,0.000109,0.000383,0.000219,0.0,0.000602,0.0,0.000109,unsucc,
奥法星术师——禁忌铭文,2.23717948717948,6.61538461538461,0.557692307692307,6.30128205128205,3.27564102564102,0.16025641025641,6.08974358974358,0.179487179487179,0.474358974358974,0.756410256410256,2.73076923076923,0.423076923076923,5.23717948717948,1.01923076923076,312.0,1336.0,4.282051282051282,unsucc,奥法星术师——禁忌铭文,0.105332,0.026875,0.022974,0.016472,0.028825,0.010186,0.014521,0.009753,0.018422,0.007586,0.007802,0.005418,0.002818,0.005635,0.005852,0.005635,0.017772,0.004551,0.006502,0.003901,0.004118,0.004335,0.007802,0.004118,0.002818,0.00065,0.003034,0.0013,0.007369,0.001084,0.003034,0.00065,0.000867,0.001084,0.003468,0.002818,0.001951,0.002167,0.0,0.002167,0.000867,0.0013,0.0013,0.001951,0.00065,0.002818,0.001734,0.002818,0.000867,0.000217,0.000433,0.001084,0.001734,0.001517,0.00065,0.002384,0.001734,0.002601,0.002167,0.001084,0.001951,0.000433,0.002601,0.001084,0.001734,0.003034,0.000867,0.0,0.0,0.000867,0.002384,0.003684,0.002818,0.002384,0.000217,0.001084,0.00065,0.001517,0.00065,0.001951,0.0013,0.0,0.0013,0.000433,0.00065,0.000867,0.001084,0.000433,0.000217,0.000217,0.0,0.000217,0.001951,0.001084,0.00065,0.0,0.0,0.001517,0.000217,0.00065,0.00065,0.000867,0.000433,0.0013,0.000867,0.000433,0.0,0.000867,0.000217,0.00065,0.001084,0.0,0.000433,0.00065,0.000867,0.00065,0.000867,0.000433,0.0,0.001084,0.000217,0.0,0.000433,0.00065,0.000433,0.000217,0.002818,0.000433,0.0,0.0,0.000433,0.0,0.001084,0.001084,0.0,0.0,0.00065,0.00065,0.000867,0.000433,0.000217,0.000867,0.000217,0.001084,0.001084,0.0,0.000433,0.0013,0.0,0.000433,0.0013,0.001734,0.001951,0.000433,0.000217,0.000867,0.00065,0.001951,0.000867,0.001084,0.000433,0.000433,0.000433,0.000433,0.001951,0.0013,0.000217,0.000217,0.0,0.000433,0.0013,0.0,0.000433,0.000867,0.007802,0.000867,0.0013,0.000867,0.000217,0.000433,0.0,0.0,0.0,0.000433,0.001084,0.000433,0.000867,0.0,0.000217,0.000217,0.000433,0.0013,0.0,0.000217,0.000217,0.00065,0.0,0.00065,0.0,0.000867,unsucc,
奥术年代,1.48721804511278,4.80601503759398,0.449624060150375,5.3172932330827,2.69022556390977,0.166917293233082,4.46015037593984,0.00902255639097744,0.488721804511278,0.962406015037593,2.60451127819548,0.159398496240601,3.75037593984962,1.0796992481203,665.0,1907.0,2.867669172932331,succ,奥术年代,0.071687,0.034189,0.028123,0.026163,0.021261,0.015808,0.010784,0.015624,0.0212,0.008946,0.005453,0.005392,0.006311,0.009926,0.008762,0.003309,0.00674,0.004963,0.008149,0.004289,0.005147,0.005331,0.004534,0.006188,0.004595,0.004105,0.001961,0.001716,0.001348,0.00147,0.00288,0.001164,6.1e-05,0.001593,0.002696,0.003615,0.001164,0.001777,0.0,0.000797,0.002451,0.000123,0.001654,0.002267,0.001164,0.0,0.001593,0.002451,0.000735,0.000797,0.000306,0.00098,0.002144,0.000551,0.000368,0.002573,0.001348,0.00147,0.001899,0.000858,0.000245,0.000674,0.00288,0.000245,0.001593,0.003064,0.001225,0.0,0.0,0.001164,0.001838,0.001409,0.000306,0.00386,0.0,0.000368,0.000674,0.002144,0.000858,0.00435,0.000674,0.0,0.000306,0.001409,0.000919,0.000184,0.000551,0.000306,0.000306,0.000123,0.0,0.001225,0.00049,0.000674,0.000735,0.004595,0.000735,0.000368,6.1e-05,0.000797,0.000674,0.00098,0.000919,0.001593,0.00049,0.001042,0.0,0.00098,0.000858,0.000919,0.000674,0.000735,0.000735,0.000858,0.000551,0.000245,0.00049,0.000551,0.0,0.000306,0.001103,0.0,0.00147,0.001409,0.000674,0.001532,0.002022,0.001225,0.0,0.0,0.000368,0.0,0.001164,0.000551,0.0,0.004595,0.000735,0.000797,0.000123,0.000306,0.000858,0.000551,0.000123,0.00049,0.001103,0.001348,0.002267,0.000306,0.0,0.000429,0.000306,0.000123,0.002022,0.000306,0.000245,0.000674,0.000123,0.000797,0.000551,6.1e-05,0.000306,0.000123,0.001225,0.000184,0.000123,0.000368,0.00049,0.000368,6.1e-05,0.000306,0.000245,0.000551,0.001042,0.000613,0.000368,0.000551,0.000123,0.001164,0.000184,6.1e-05,0.0,0.0,6.1e-05,0.000245,0.000797,0.00049,0.000123,0.000551,6.1e-05,0.001164,0.000613,0.0,0.0,0.0,0.000184,0.000429,0.0,0.000429,0.0,0.002512,succ,
奥术与剑,1.47586206896551,4.39507389162561,0.41871921182266,3.90837438423645,1.87093596059113,0.141871921182266,4.17241379310344,0.0206896551724137,0.372413793103448,0.541871921182266,1.96847290640394,0.145812807881773,3.60985221674876,0.861083743842364,2030.0,5818.0,2.8660098522167488,unsucc,奥术与剑,0.090114,0.028723,0.042731,0.015929,0.018104,0.017345,0.012743,0.017143,0.013249,0.008951,0.009608,0.009962,0.004956,0.004753,0.006119,0.004855,0.014109,0.006979,0.006321,0.004349,0.004046,0.004298,0.004349,0.003439,0.00354,0.003236,0.00536,0.002225,0.003135,0.002478,0.003944,0.003439,0.002023,0.001517,0.001062,0.003338,0.002073,0.002225,0.0,0.000657,0.001315,0.000303,0.00263,0.000809,0.001214,0.0,0.002478,0.000708,0.00177,0.000961,0.000657,0.001011,0.005259,0.001113,0.000303,0.001365,0.001113,0.002023,0.001871,0.001719,0.002276,0.001011,0.002377,0.00263,0.001618,0.000354,0.001365,0.0,0.0,0.002124,0.001871,0.000759,0.000506,0.003287,0.000202,0.000961,0.000657,0.001416,0.000405,0.001719,0.001113,0.0,0.000961,0.00091,0.000506,0.000405,0.001568,0.000657,5.1e-05,0.000101,0.0,0.00091,0.001163,0.001264,0.000455,0.000303,0.0,0.001163,0.000202,0.000961,0.00091,0.000657,0.00182,0.001264,0.00086,0.000759,0.0,0.000506,0.000152,0.002225,0.000607,0.001011,0.000708,0.000607,0.001113,0.000657,0.001315,0.00086,0.0,0.000405,0.000607,0.0,0.000708,0.000455,0.000303,0.001214,0.00177,0.001062,0.000253,0.000101,0.000506,0.0,0.000607,0.000556,0.0,0.000303,0.000759,0.000961,0.000354,0.000657,0.001062,0.000354,0.000101,0.000354,5.1e-05,0.000303,0.000101,0.000961,0.0,0.000607,0.000253,5.1e-05,0.000202,0.000759,0.000253,0.000961,0.000202,0.002174,0.001214,0.000152,0.000101,0.001618,0.000253,0.000202,0.000152,0.00091,5.1e-05,0.000152,0.000101,0.000506,0.000556,0.000506,0.000809,0.002124,0.000253,0.000354,0.000101,0.001719,0.000152,0.000405,0.0,0.0,0.001163,0.000152,0.000455,5.1e-05,0.000202,0.000253,0.000152,0.000506,0.000253,5.1e-05,0.000202,0.000708,0.000202,0.000405,0.000759,0.000405,5.1e-05,0.000354,unsucc,
霸血植巫,1.3063763608087,5.4307931570762,0.653188180404354,4.99533437013996,2.56298600311042,0.192846034214618,4.950233281493,0.0373250388802488,0.444790046656298,1.06842923794712,2.42923794712286,0.175738724727838,4.15863141524105,0.905132192846034,1286.0,4206.0,3.270606531881804,unsucc,霸血植巫,0.092037,0.023138,0.032329,0.018446,0.020246,0.015811,0.01099,0.015939,0.020117,0.008162,0.009834,0.006556,0.010541,0.006749,0.007584,0.004885,0.002892,0.004306,0.007006,0.005013,0.004563,0.004306,0.002764,0.006106,0.005977,0.002057,0.001414,0.002828,0.005913,0.004885,0.001928,0.002057,0.002057,0.002121,0.000836,0.00135,0.001735,0.002892,0.0,0.000129,0.002121,0.000193,0.002635,0.005142,0.002057,0.0,0.001478,0.000964,0.001543,0.00045,0.001028,0.001157,0.001735,0.001735,0.000193,0.002378,0.004178,0.000707,0.001543,0.001157,0.0,0.000643,0.001735,0.002057,0.002185,0.000386,0.001928,0.0,0.0,0.000836,0.000643,0.000578,0.000514,0.0018,0.0,0.000836,0.000836,0.0009,0.0,0.001157,0.000514,0.0,0.000514,0.001928,0.0009,0.000643,0.000964,0.000129,0.00045,6.4e-05,0.0,0.001735,0.000836,0.000386,0.0009,0.000129,0.001285,0.000771,0.000771,0.001735,0.000386,0.000964,0.002892,0.001093,0.000578,0.0,0.0,0.000836,0.000193,0.0009,0.00135,0.000771,0.001157,0.001671,0.000514,0.000643,0.000771,0.000771,0.0,0.000129,0.001028,0.0,6.4e-05,0.000514,0.001478,0.00135,0.0018,0.001221,0.0,0.000129,0.000321,0.0,0.00135,0.00045,0.0,0.000129,0.000514,0.000514,0.000771,0.001028,0.0009,0.000386,0.000514,0.000771,0.000193,0.000386,0.000321,0.000514,0.0,0.001157,0.000321,0.0,0.000386,0.000643,0.008612,0.001285,0.000257,0.000321,0.000578,0.000129,0.000129,0.000193,0.000578,0.000193,0.000129,0.000578,0.0,0.000193,0.0,0.000964,0.001157,0.00045,0.000386,0.000257,0.000578,0.000514,0.000578,0.000257,0.000321,0.001221,0.0,0.0,0.000193,0.000386,0.000514,0.000257,0.000257,0.00045,0.000193,0.00045,0.00045,0.0,0.000386,0.00045,6.4e-05,0.000129,0.000836,0.000257,0.0,0.000386,unsucc,
