r,v,nh,n,u,nt,p,e,nd,m,d,i,wp,a,句子数,停顿数,句子破碎Success,
1.892481203,4.186466165,0.096992481,3.422556391,2.437593985,0.146616541,4.164661654,0.029323308,0.282706767,0.687218045,1.984962406,0.123308271,3.679699248,0.872180451,1330,3725,2.80075188,succ
2.268229167,6.768229167,0.700520833,8.403645833,3.21875,0.299479167,6.723958333,0.020833333,0.729166667,1.46875,3.119791667,0.166666667,5.440104167,1.291666667,384,1511,3.934895833,succ
1.265625,4.846875,0.7296875,4.759375,2.63125,0.2015625,4.3671875,0.01875,0.4453125,0.9765625,2.3828125,0.2078125,3.7265625,0.825,1280,3994,3.1203125,unsucc
1.70361727,3.809801634,0.458576429,3.780630105,1.83663944,0.098016336,3.589264877,0.014002334,0.353558926,0.807467911,2.089848308,0.107351225,3.023337223,0.7957993,1714,4232,2.46907818,unsucc
1.383937316,3.97453477,0.433888345,3.882468168,1.834476004,0.133202742,4.439764936,0.008814887,0.261508325,0.825661117,2.045053869,0.237022527,3.880509305,0.843290891,2042,6114,2.994123408,unsucc
1.376770538,5.505665722,0.637393768,5.28611898,2.347025496,0.182719547,4.52407932,0.008498584,0.449008499,0.933427762,3.052407932,0.314447592,3.788951841,1.073654391,706,2314,3.277620397,succ
1.269814503,4.777403035,0.738617201,4.731871838,1.956155143,0.136593592,4.020236088,0.015177066,0.313659359,0.860033727,1.907251265,0.15682968,3.428330523,1.001686341,1186,3198,2.696458685,unsucc
1.603936039,5.404674047,0.84501845,5.453874539,3.029520295,0.159901599,5.068880689,0.014760148,0.579335793,0.899138991,2.558425584,0.204182042,4.236162362,0.934809348,813,2694,3.313653137,succ
1.95915493,5.812676056,0.650704225,5.523943662,2.214084507,0.2,5.683098592,0.026760563,0.378873239,1.069014085,3.030985915,0.373239437,5.004225352,1.271830986,710,2889,4.069014085,succ
1.304347826,5.431304348,1.073043478,5.824347826,3.469565217,0.135652174,5.222608696,0.034782609,0.528695652,1.31826087,2.808695652,0.196521739,4.516521739,1.045217391,575,2083,3.622608696,succ
1.460122699,5.100204499,0.190184049,5.059304703,2.427402863,0.147239264,4.496932515,0.022494888,0.464212679,0.932515337,2.619631902,0.255623722,3.903885481,1.063394683,489,1623,3.319018405,succ
1.795986622,5.593645485,0.648829431,5.934782609,2.779264214,0.162207358,5.359531773,0,0.528428094,1.190635452,2.831103679,0.193979933,4.622073579,1.086956522,598,2212,3.698996656,succ
1.098669623,4.190687361,0.44789357,4.095343681,2.05654102,0.17405765,3.49113082,0.026607539,0.445676275,0.67405765,2.243902439,0.161862528,2.920177384,0.831485588,902,2058,2.281596452,succ
