小说名,标准化类符/形符比,类别
0度终极幻想,0.178052,succ
BOSS的邪恶之路,0.264363,succ
DNF之神魔降临,0.107178,unsucc
DNF之勇士之路,0.087762,unsucc
LOL之带着盒子去穿越,0.103028,unsucc
SC之彼岸花,0.218638,succ
阿尔莎游记,0.122881,unsucc
埃提亚,0.189309,succ
艾泽拉斯游侠之王,0.25243,succ
暗黑之不朽意志,0.237154,succ
暗黑之骷髅王,0.203989,succ
暗箭宗师,0.313642,succ
暗夜游侠,0.209065,succ
暗影神座,0.239585,succ
奥术囚笼,0.121472,unsucc
奥术主宰,0.237376,succ
百炼成妖,0.189278,succ
百万负翁,0.24569,succ
变身大佬,0.09777,unsucc
变身骑士小姐,0.244893,succ
不可名状舰娘的镇守府,0.217443,succ
不朽道果,0.24244,succ
超次元卡片游戏,0.089365,unsucc
超凡者游戏,0.239187,succ
超级包裹,0.19862,succ
超级卡牌系统,0.182061,succ
超级客栈系统,0.228425,succ
超级玩家,0.196624,succ
超级写轮眼,0.253738,succ
超神猎人,0.142307,succ
超野蛮,0.278935,succ
成仙速成班,0.203696,succ
吃鸡之荣耀狙神,0.136289,unsucc
虫族帝国,0.294434,succ
穿越暗黑破坏神,0.227027,succ
穿越从山贼开始,0.206829,succ
传奇3D,0.203949,succ
传奇大英雄,0.192842,succ
传奇法师异界纵横,0.202946,succ
从零开始,0.192053,succ
大剑游侠阿豹,0.20709,succ
大数据世界,0.194028,succ
带个系统穿三国,0.25243,succ
带着历史名将闯三国,0.198817,succ
刀塔死亡学院,0.269743,succ
地球重启之后,0.103868,unsucc
帝国之心,0.178838,succ
电竞霸皇SEED传奇,0.117264,unsucc
逗神之游戏时光,0.12498,unsucc
独裁之剑,0.185747,succ
独闯天涯,0.207759,succ
独游,0.21037,succ
法神降临,0.237732,succ
翡翠之塔,0.23216,succ
废土法则,0.275739,succ
封神玩家,0.105348,unsucc
封神游戏,0.212289,succ
疯狂的多塔,0.197886,succ
疯巫妖的实验日志,0.191117,succ
附魔传说,0.226571,succ
覆雨剑,0.203742,succ
高手寂寞,0.26848,succ
高手寂寞2,0.258803,succ
高手系统,0.210574,succ
孤星传说,0.244153,succ
光头火法,0.125708,unsucc
海盗旗飘扬,0.200967,succ
和众神一起玩游戏,0.221527,succ
黑暗武侠登陆器,0.232572,succ
黑山狱主,0.232003,succ
红缨记,0.208486,succ
琥珀之剑,0.217788,succ
画风不对的战锤版英雄联盟,0.176705,succ
幻影至尊,0.087837,unsucc
辉煌王座,0.087903,unsucc
混在异界的骨灰级玩家,0.240803,succ
极品装备制造师,0.235424,succ
极致黑暗,0.123658,unsucc
迦南之心,0.190673,succ
剑厨,0.097637,unsucc
剑狂独行,0.090971,unsucc
剑娘,0.202493,succ
舰娘之火力提督,0.261884,succ
江湖我独行,0.225483,succ
降临卡利姆多的道士,0.210601,succ
街机时代,0.235415,succ
惊悚乐园,0.19693,succ
九星,0.213154,succ
旧世的救赎,0.13316,unsucc
绝顶唐门,0.200167,succ
绝对暴力,0.222752,succ
绝对牧师,0.250617,succ
绝品下人系统,0.105032,unsucc
绝世妖孽,0.297307,succ
开局一座地下城,0.242612,succ
狂战幻想,0.251942,succ
矿工,0.140821,succ
啦啦啦英雄联盟,0.120032,unsucc
兰帝魅晨系列之饮,0.514956,succ
雷煞,0.30616,succ
冷藏,0.220047,succ
练级狂人在异界,0.212217,succ
炼狱小丑,0.09629,unsucc
猎网,0.283626,succ
灵动猎人,0.221352,succ
灵魂逃生,0.126822,unsucc
领先,0.245136,succ
流氓高手II,0.191792,succ
轮回游戏空间,0.22272,succ
貌似高手在异界,0.217661,succ
门派养成日志,0.216369,succ
梦幻之迷失的世界,0.22399,succ
梦起武侠世界,0.248871,succ
梦三不倒，青春不散,0.098546,unsucc
梦想霸业,0.301615,succ
梦醉江湖,0.22723,succ
魔法征徒,0.266043,succ
魔兽多塔之异世风云,0.228779,succ
魔兽世界里的中华武者,0.221372,succ
魔兽要塞,0.238482,succ
魔兽英雄,0.263982,succ
魔兽争霸之天下竞技,0.189837,succ
魔性游戏,0.19572,succ
魔域探险,0.108339,unsucc
末日符文系统,0.096869,unsucc
末日阴影,0.230234,succ
末世,0.205742,succ
墨门飞甲,0.2183,succ
牧师神话,0.249394,succ
奶块的管理员,0.127783,unsucc
你的野区有只眼,0.109823,unsucc
逆天剑者,0.094966,unsucc
女仆战争,0.224056,succ
女娲界,0.229449,succ
破茧,0.30173,succ
破军战魂传说,0.22504,succ
七海霸主,0.235475,succ
七色梦幻,0.227336,succ
奇幻次时代,0.109074,unsucc
起点,0.246009,succ
乾坤王座,0.119526,unsucc
枪械主宰,0.233739,succ
全能鬼剑系统,0.208641,succ
全球论战,0.199499,succ
全球之英雄联盟,0.234323,succ
全世界OL,0.119813,unsucc
全职BOSS,0.221484,succ
全职高手,0.207774,succ
拳头寂寞,0.26013,succ
荣耀剑下取,0.109877,unsucc
三国联盟之天下无双,0.107266,unsucc
三国美人志,0.292417,succ
三国小兵传奇,0.224376,succ
三国之模拟城市,0.379174,succ
三国之占山为王,0.254259,succ
三国之诸天万界,0.229904,succ
杀伐江湖,0.249657,succ
上古卷轴之天际至高王,0.285681,succ
上古颂歌,0.07726,unsucc
神鬼剑士,0.196235,succ
神级英雄,0.216453,succ
神匠职业领主,0.258196,succ
神圣灭龙魔导师,0.172737,unsucc
神说世界,0.27809,succ
神之手,0.19344,succ
审判之翼,0.185108,succ
生死试练,0.232227,succ
圣骑士赵大牛,0.285981,succ
圣堂太阳王,0.201636,succ
使命游记,0.143941,unsucc
蜀山,0.283693,succ
蜀山道主,0.221074,succ
蜀山之职业玩家,0.243005,succ
术士皇族,0.260311,succ
双剑,0.250375,succ
水银之血,0.245348,succ
死灵术士闯异界,0.226301,succ
踏破虚空,0.193557,succ
太虚神话,0.209146,succ
太虚仙尘,0.305406,succ
天朝上国,0.249778,succ
天使,0.19135,succ
天狱,0.154011,succ
吐槽手记,0.09663,unsucc
完美机甲剑神,0.221138,succ
玩转传奇,0.209766,succ
万族修真,0.106254,unsucc
亡灵法师山德鲁,0.273867,succ
王朝之剑,0.252373,succ
王者荣耀之教练生涯,0.119906,unsucc
王者荣耀之李白一生的故事,0.101624,unsucc
王者荣耀之青狐白龙,0.124232,unsucc
王者游侠,0.202936,succ
网金之古墓大师兄,0.227552,succ
网络年华,0.25102,succ
网络之改变人生,0.193939,succ
网游－彩虹之我爱盗贼,0.172759,succ
网游大摸金,0.205149,succ
网游方舟,0.266268,succ
网游—风流浪子逍遥侠,0.237415,succ
网游洪荒,0.143252,succ
网游家庭之解迷专家,0.261644,succ
网游——燎原,0.273662,succ
网游魔兽之大陆争霸,0.098148,unsucc
网游乾坤无极,0.218485,succ
网游三国之城市攻略,0.354576,succ
网游三国之天下诸侯,0.250667,succ
网游三国之战神,0.241005,succ
网游三国之纵横天下,0.263856,succ
网游神界,0.243443,succ
网游审判,0.431262,succ
网游世界,0.159679,succ
网游——死灵骑士,0.222794,succ
网游——屠龙巫师,0.241018,succ
网游无限战场,0.104432,unsucc
网游一小生,0.097484,unsucc
网游之霸刺,0.240809,succ
网游之霸王箭,0.25603,succ
网游之镖局,0.211536,succ
网游之超级鬼才,0.260038,succ
网游之宠物天堂,0.194779,succ
网游之传奇再现,0.211824,succ
网游之大航海时代,0.290257,succ
网游之大神哥哥请神爱,0.108997,unsucc
网游之代练传说,0.12323,succ
网游之倒行逆施,0.228937,succ
网游之地下城主,0.525939,succ
网游之帝国崛起中,0.253103,succ
网游之巅峰,0.211169,succ
网游之巅峰玩家,0.188426,succ
网游之独步武侠,0.236219,succ
网游之废物传说,0.24087,succ
网游之疯狂上帝,0.112365,unsucc
网游之复活,0.196071,succ
网游之副职至高,0.231225,succ
网游之高手为尊,0.110626,unsucc
网游之古剑太初,0.244992,succ
网游之骨灰级菜鸟,0.227518,succ
网游之黑暗道士,0.208747,succ
网游之黑暗纪,0.190563,unsucc
网游之黑色旗帜,0.115998,unsucc
网游之横行大唐,0.248072,succ
网游之幻界魔剑,0.21587,succ
网游之荒古时代,0.211743,succ
网游之混沌初开,0.233179,succ
网游之极度狂人,0.213263,succ
网游之剑道至尊,0.099235,unsucc
网游之剑魔独孤,0.191942,succ
网游之剑仙归来,0.142749,unsucc
网游之剑仙降临,0.281199,succ
网游之剑意,0.239805,succ
网游之剑走偏锋,0.216462,succ
网游之金庸奇侠传,0.271597,succ
网游之进化战场,0.173872,succ
网游之近战法师,0.202263,succ
网游之精灵道士,0.247874,succ
网游之剧毒,0.200265,succ
网游之绝色魂仆,0.222447,succ
网游之练级专家,0.283967,succ
网游之零纪元,0.191005,succ
网游之轮回三国,0.232065,succ
网游之梦境现实,0.101739,unsucc
网游之灭世修罗,0.111116,unsucc
网游之模拟城市,0.178142,succ
网游之魔法纪元,0.180637,succ
网游之逆天戒指,0.173204,succ
网游之女主工作室,0.219116,succ
网游之平民剑圣,0.095282,unsucc
网游之强化大师,0.180383,succ
网游之青城剑仙,0.266464,succ
网游之情殇黑洞,0.105779,unsucc
网游之全能圣骑,0.129461,unsucc
网游之全能外挂,0.141519,succ
网游之全球在线,0.207151,succ
网游之三国穿越,0.116883,unsucc
网游之三界最强,0.209526,succ
网游之上古神器,0.125396,unsucc
网游之射破苍穹,0.248633,succ
网游之神魔幻想,0.082977,unsucc
网游之神选天域,0.105528,unsucc
网游之圣骑威武,0.177924,succ
网游之天地,0.19679,succ
网游之天妒风流,0.190173,succ
网游之天狗吞日,0.188351,succ
网游之天空大领主,0.249158,succ
网游之屠夫,0.216976,succ
网游之我是皇帝,0.231324,succ
网游之无限大乱斗,0.068815,unsucc
网游之武林霸图,0.252527,succ
网游之侠义天下,0.299695,succ
网游之新生,0.239474,succ
网游之星际殖民,0.179826,succ
网游之雄霸宇宙,0.238271,succ
网游之一代神棍,0.104603,unsucc
网游之一枪爆头,0.246988,succ
网游之一枪飙血,0.240796,succ
网游之异界变,0.104425,unsucc
网游之鹰爪王,0.212178,succ
网游之永生传奇,0.238563,succ
网游之游历天下,0.147853,unsucc
网游之战御天下,0.20665,succ
网游之招魂牧师,0.261176,succ
网游之召唤大师,0.095696,unsucc
网游之这货不是骑士,0.207575,succ
网游之至尊天眼,0.09986,unsucc
网游之众生,0.230933,succ
网游之重生盗贼,0.200131,succ
网游之重生法神,0.301281,succ
网游之重生最强,0.212497,succ
网游之逐夜,0.093978,unsucc
网游之紫风传说,0.198798,succ
网游之最强帝灵,0.132065,unsucc
网游之最强房东,0.269595,succ
网游之最强牧神,0.180727,succ
网游植物师,0.217916,succ
网游重生之全职骑士,0.233804,succ
未来之树,0.211932,succ
