@relation pima_diabetes
@attribute '规则0' numeric
@attribute '规则1' numeric
@attribute '规则2' numeric
@attribute '规则3' numeric
@attribute '规则4' numeric
@attribute '规则5' numeric
@attribute '规则6' numeric
@attribute '规则7' numeric
@attribute '规则8' numeric
@attribute '规则9' numeric
@attribute '规则10' numeric
@attribute '规则11' numeric
@attribute '规则12' numeric
@attribute '规则13' numeric
@attribute '规则14' numeric
@attribute '规则15' numeric
@attribute '规则16' numeric
@attribute '规则17' numeric
@attribute '规则18' numeric
@attribute '规则19' numeric
@attribute '规则20' numeric
@attribute '规则21' numeric
@attribute '规则22' numeric
@attribute '规则23' numeric
@attribute '规则24' numeric
@attribute '规则25' numeric
@attribute '规则26' numeric
@attribute '规则27' numeric
@attribute '规则28' numeric
@attribute '规则29' numeric
@attribute '规则30' numeric
@attribute '规则31' numeric
@attribute '规则32' numeric
@attribute '规则33' numeric
@attribute '规则34' numeric
@attribute '规则35' numeric
@attribute '规则36' numeric
@attribute '规则37' numeric
@attribute '规则38' numeric
@attribute '规则39' numeric
@attribute '规则40' numeric
@attribute '规则41' numeric
@attribute '规则42' numeric
@attribute '规则43' numeric
@attribute '规则44' numeric
@attribute '规则45' numeric
@attribute '规则46' numeric
@attribute '规则47' numeric
@attribute '规则48' numeric
@attribute '规则49' numeric
@attribute '规则50' numeric
@attribute '规则51' numeric
@attribute '规则52' numeric
@attribute '规则53' numeric
@attribute '规则54' numeric
@attribute '规则55' numeric
@attribute '规则56' numeric
@attribute '规则57' numeric
@attribute '规则58' numeric
@attribute '规则59' numeric
@attribute '规则60' numeric
@attribute '规则61' numeric
@attribute '规则62' numeric
@attribute '规则63' numeric
@attribute '规则64' numeric
@attribute '规则65' numeric
@attribute '规则66' numeric
@attribute '规则67' numeric
@attribute '规则68' numeric
@attribute '规则69' numeric
@attribute '规则70' numeric
@attribute '规则71' numeric
@attribute '规则72' numeric
@attribute '规则73' numeric
@attribute '规则74' numeric
@attribute '规则75' numeric
@attribute '规则76' numeric
@attribute '规则77' numeric
@attribute '规则78' numeric
@attribute '规则79' numeric
@attribute '规则80' numeric
@attribute '规则81' numeric
@attribute '规则82' numeric
@attribute '规则83' numeric
@attribute '规则84' numeric
@attribute '规则85' numeric
@attribute '规则86' numeric
@attribute '规则87' numeric
@attribute '规则88' numeric
@attribute '规则89' numeric
@attribute '规则90' numeric
@attribute '规则91' numeric
@attribute '规则92' numeric
@attribute '规则93' numeric
@attribute '规则94' numeric
@attribute '规则95' numeric
@attribute '规则96' numeric
@attribute '规则97' numeric
@attribute '规则98' numeric
@attribute '规则99' numeric
@attribute '规则100' numeric
@attribute '规则101' numeric
@attribute '规则102' numeric
@attribute '规则103' numeric
@attribute '规则104' numeric
@attribute '规则105' numeric
@attribute '规则106' numeric
@attribute '规则107' numeric
@attribute '规则108' numeric
@attribute '规则109' numeric
@attribute '规则110' numeric
@attribute '规则111' numeric
@attribute '规则112' numeric
@attribute '规则113' numeric
@attribute '规则114' numeric
@attribute '规则115' numeric
@attribute '规则116' numeric
@attribute '规则117' numeric
@attribute '规则118' numeric
@attribute '规则119' numeric
@attribute '规则120' numeric
@attribute '规则121' numeric
@attribute '规则122' numeric
@attribute '规则123' numeric
@attribute '规则124' numeric
@attribute '规则125' numeric
@attribute '规则126' numeric
@attribute '规则127' numeric
@attribute '规则128' numeric
@attribute '规则129' numeric
@attribute '规则130' numeric
@attribute '规则131' numeric
@attribute '规则132' numeric
@attribute '规则133' numeric
@attribute '规则134' numeric
@attribute '规则135' numeric
@attribute '规则136' numeric
@attribute '规则137' numeric
@attribute '规则138' numeric
@attribute '规则139' numeric
@attribute '规则140' numeric
@attribute '规则141' numeric
@attribute '规则142' numeric
@attribute '规则143' numeric
@attribute '规则144' numeric
@attribute '规则145' numeric
@attribute '规则146' numeric
@attribute '规则147' numeric
@attribute '规则148' numeric
@attribute '规则149' numeric
@attribute '规则150' numeric
@attribute '规则151' numeric
@attribute '规则152' numeric
@attribute '规则153' numeric
@attribute '规则154' numeric
@attribute '规则155' numeric
@attribute '规则156' numeric
@attribute '规则157' numeric
@attribute '规则158' numeric
@attribute '规则159' numeric
@attribute '规则160' numeric
@attribute '规则161' numeric
@attribute '规则162' numeric
@attribute '规则163' numeric
@attribute '规则164' numeric
@attribute '规则165' numeric
@attribute '规则166' numeric
@attribute '规则167' numeric
@attribute '规则168' numeric
@attribute '规则169' numeric
@attribute '规则170' numeric
@attribute '规则171' numeric
@attribute '规则172' numeric
@attribute '规则173' numeric
@attribute '规则174' numeric
@attribute '规则175' numeric
@attribute '规则176' numeric
@attribute '规则177' numeric
@attribute '规则178' numeric
@attribute '规则179' numeric
@attribute '规则180' numeric
@attribute '规则181' numeric
@attribute '规则182' numeric
@attribute '规则183' numeric
@attribute '规则184' numeric
@attribute '规则185' numeric
@attribute '规则186' numeric
@attribute '规则187' numeric
@attribute '规则188' numeric
@attribute '规则189' numeric
@attribute '规则190' numeric
@attribute '规则191' numeric
@attribute '规则192' numeric
@attribute '规则193' numeric
@attribute '规则194' numeric
@attribute '规则195' numeric
@attribute '规则196' numeric
@attribute '规则197' numeric
@attribute '规则198' numeric
@attribute '规则199' numeric
@attribute 'class' { unsucc, succ}
@data

0.082766,0.029364,0.025446,0.026359,0.014796,0.015328,0.02073,0.020463,0.015138,0.035259,0.011905,0.008292,0.00639,0.005477,0.005477,0.010422,0.009965,0.004336,0.01084,0.005553,0.00426,0.002054,0.006961,0.007455,0.004831,0.0062,0.002891,0.002434,0,0.004032,0.004336,0.003689,0.000038,0.002853,0.000723,0.00175,0.00213,0.003423,0.000456,0.001027,0.002054,0.003271,0.000875,0.000038,0.001826,0,0.001293,0.003005,0.000266,0.001369,0.000114,0.002092,0.003195,0.002092,0.000533,0.000761,0.00213,0.001293,0.000152,0.001712,0.000076,0.002054,0.001255,0.001674,0.000875,0.001407,0.001978,0.002739,0.001179,0.002282,0.000989,0.001712,0.00213,0.001331,0.000951,0.002168,0.002929,0.000761,0.001103,0.001027,0.002358,0.001141,0.001103,0.001369,0.000304,0.00019,0.002244,0.000571,0.001712,0.001065,0.000685,0.001331,0.000761,0.00038,0.00194,0.001369,0.000761,0.000342,0.001636,0.002016,0.000799,0.000304,0.000951,0.000076,0.000533,0.000076,0.000114,0.000989,0.001483,0,0.001179,0.000114,0.00038,0.000038,0.00175,0.001331,0.000114,0.000342,0.000761,0.000038,0.000076,0,0.000304,0.001141,0.001141,0.001293,0.001598,0.000875,0.00019,0.001027,0.000799,0.00019,0.000951,0.000076,0.000038,0,0.000076,0.000494,0.000266,0.000228,0.002624,0,0,0.00038,0,0,0.000114,0.000418,0.000114,0.000228,0.000076,0.00019,0.000038,0.001255,0.000799,0.000418,0.001369,0.003005,0.000114,0.000266,0.000494,0.002358,0.000533,0.000989,0.000989,0.000418,0.000494,0.000951,0.000342,0.000418,0.000989,0,0.000038,0.00038,0.000152,0.000228,0.000418,0.000304,0.000571,0.000456,0.001065,0.000114,0.00038,0.00038,0.001521,0.000304,0.000076,0.000152,0.000418,0,0.00019,0.000761,0.000685,0.00038,0.000799,0.000609,0.001179,0.000152,0.000038,0.002016,succ
0.072342,0.02543,0.032064,0.01927,0.010188,0.014611,0.008372,0.008214,0.010741,0.005923,0.006792,0.007266,0.005133,0.007029,0.009398,0.006713,0.001106,0.004186,0.003633,0.003949,0.003633,0.003554,0.002764,0.001501,0.002606,0.006002,0.005528,0.003159,0,0.001264,0.000237,0.001659,0,0.001501,0.000079,0.002922,0.001659,0.001501,0.000079,0.003633,0.001974,0.001422,0.001895,0,0.000948,0,0.000948,0.001343,0.000158,0.000632,0.000079,0.001659,0.002527,0.007187,0.001343,0.001974,0.001106,0.000948,0.001895,0.001027,0.000316,0.003712,0.001106,0.00079,0.000948,0.001659,0.001185,0.002132,0.001422,0.001895,0.002369,0.001027,0.000553,0.001185,0.002369,0.000711,0.000711,0.001422,0.000948,0.001974,0.000632,0.000474,0.000632,0.001106,0.000079,0.000237,0.00158,0.002211,0.000869,0.001106,0.000948,0.000553,0.001422,0.001895,0.000869,0.001106,0.000316,0.001106,0.000869,0.000395,0.001816,0.000711,0.001106,0.001974,0.002132,0.001974,0.000079,0.000237,0.00079,0.000079,0.001343,0.000079,0.001422,0,0.000395,0.001816,0.000158,0.001264,0.000158,0.000395,0.000316,0,0.000395,0.000553,0.00079,0.000237,0.000237,0.001895,0.000158,0.000395,0.001027,0.003238,0.000237,0.000079,0.000079,0,0.000316,0.000474,0.000158,0.000316,0,0.000079,0,0.000632,0.005449,0.005449,0.001343,0.000079,0.000158,0.004265,0.001737,0.000237,0.000158,0.000079,0.000395,0.000632,0.000395,0.000474,0,0.000869,0.000395,0,0.000553,0.000237,0.001422,0.000632,0.00079,0.000316,0.000474,0,0.001106,0,0.000632,0.000316,0.000079,0,0.000079,0.00079,0.000079,0.001264,0.001737,0.000237,0.000158,0.000711,0.000079,0.000711,0.000316,0.000395,0.000237,0,0.000237,0.000237,0.000395,0.000079,0.000316,0.000079,0.000474,0.000158,0.000158,0,succ
0.089245,0.037029,0.027668,0.028015,0.018099,0.022259,0.011927,0.011858,0.012967,0.00735,0.006934,0.01165,0.009223,0.001664,0.007836,0.002843,0.004507,0.007558,0.002912,0.004785,0.009431,0.006172,0.005617,0.004161,0.003745,0.003883,0.002427,0.005825,0,0.003675,0.003259,0.001109,0,0.003328,0.000277,0.002011,0.002843,0.000971,0.000208,0.001318,0.00215,0.001942,0.000555,0.000347,0.002843,0.001595,0.001248,0.001872,0.000139,0.000832,0.000069,0.002635,0.002358,0.000555,0.00423,0.003883,0.002982,0.001734,0.000693,0.002496,0.000347,0.001872,0.002358,0.001664,0.001248,0.002219,0.000901,0.002358,0.00215,0.000901,0.002358,0.001318,0.001942,0.001179,0.001318,0.00208,0.000832,0.000901,0.00215,0.001803,0.000971,0.000901,0.001734,0.000693,0.000347,0.002912,0.001248,0.000139,0.001179,0.000832,0.002774,0.000555,0.001248,0.000347,0.000901,0.000069,0.003467,0.000208,0.000832,0.000763,0.000624,0.000485,0.000763,0.001456,0.000069,0.000347,0.001803,0.000555,0.000832,0,0.000416,0.000277,0.000555,0.002912,0.000208,0.00104,0.000971,0.000832,0.001248,0.000069,0,0,0.000485,0.000832,0.000901,0.00104,0.000277,0.000555,0.000416,0.000901,0.000624,0.000208,0.000763,0.000485,0.000069,0,0.000485,0.000416,0.000139,0.000485,0,0,0.000624,0.000624,0.000069,0.000069,0.000485,0.000347,0.000069,0.000555,0.000139,0.00208,0.000901,0.000208,0.000416,0.000208,0.000139,0.000901,0,0.000763,0.000485,0,0.000624,0.001664,0.000069,0.000277,0.000277,0.000416,0.000832,0.000277,0.000763,0.000069,0.00104,0.000139,0.000069,0.000277,0.000693,0.000901,0.000277,0.000139,0.000416,0.000069,0.000624,0.000693,0.000208,0.000485,0.000069,0.000416,0.000208,0,0.00319,0.00104,0.000208,0.000485,0.000624,0.000208,0.000277,0,0.000139,0,unsucc
0.072225,0.03525,0.028348,0.017194,0.021569,0.018611,0.013804,0.014051,0.010969,0.008073,0.010107,0.011524,0.014482,0.017132,0.008011,0.007703,0.012017,0.005793,0.005546,0.006656,0.004067,0.00721,0.001356,0.005177,0.004067,0.003759,0.004067,0.001541,0.000062,0.001294,0.001541,0.003698,0.015406,0.00265,0.000308,0.003389,0.002712,0.003143,0,0.002896,0.002034,0.003143,0.000431,0.000062,0.003205,0,0.001356,0.00228,0.001356,0.005854,0.000185,0.001664,0.00037,0.001479,0.002465,0.001479,0.001602,0.001048,0.000431,0.002034,0.000123,0.001726,0.001972,0.002835,0.003698,0.002219,0.000986,0.000924,0.001048,0.00037,0.000924,0.001726,0.002034,0.001664,0.001726,0.001109,0.001171,0.00265,0.001602,0.000986,0.000986,0.00074,0.001541,0.003143,0.000185,0.001541,0.000185,0.002157,0.002034,0.001233,0.001541,0.001849,0.001048,0.00228,0.000801,0.00191,0.000308,0.00302,0.000247,0.001356,0.001171,0.000431,0.000493,0.001541,0.001356,0.002465,0.000062,0.001048,0.001664,0.000431,0.00074,0.000555,0,0.000801,0.000863,0,0.000185,0.001109,0.000678,0.000185,0.000062,0.005238,0.000431,0.001048,0.000863,0.000308,0.001294,0.000431,0.000431,0.000863,0.000986,0.000308,0.000555,0.000123,0.000493,0.002835,0.000062,0.001356,0.000247,0.000863,0,0.000431,0,0.000986,0,0,0.002588,0.000062,0.000247,0,0.000924,0.00074,0.000123,0.000555,0.000801,0.000924,0.00037,0.000431,0.00191,0.000431,0.000493,0,0.001109,0.000062,0.000247,0.001849,0.000986,0.001294,0.000431,0.00037,0.000185,0,0.001417,0.000431,0.000123,0.000123,0.000493,0.000801,0.000924,0.000801,0,0.002034,0.000616,0.001417,0.000431,0.000431,0.00037,0.000185,0,0,0.000062,0.000678,0.000493,0.001233,0.000185,0.000123,0.000062,0.000123,0.000247,0,unsucc
0.091399,0.022438,0.022937,0.020344,0.016904,0.013014,0.018549,0.016554,0.013812,0.009175,0.011269,0.009773,0.00718,0.008527,0.005884,0.008078,0.01835,0.004039,0.006033,0.003241,0.005884,0.007081,0.002842,0.004737,0.006632,0.008726,0.003141,0.004538,0.00005,0.001197,0.00359,0.002443,0.00015,0.001546,0.000199,0.002942,0.003141,0.002294,0.00005,0.001546,0.003191,0.000997,0.000798,0.00005,0.001995,0.00005,0.001097,0.002693,0.000748,0.001396,0.000299,0.001945,0.005186,0.000798,0.001795,0.000698,0.000997,0.000548,0.002393,0.001645,0.000299,0.001147,0.001496,0.001745,0.001197,0.001247,0.001546,0.000997,0.000947,0.002344,0.001197,0.001546,0.000997,0.001396,0.001197,0.000898,0.000449,0.001945,0.000997,0.000898,0.001546,0.001097,0.000997,0.000249,0.000349,0.000249,0.001995,0.001296,0.001247,0.001546,0.000598,0.000748,0.001995,0.000449,0.001147,0.001895,0.001097,0.000299,0.000997,0.00005,0.001147,0.000449,0.001097,0.000349,0.001596,0.000299,0.0001,0.000449,0.000548,0.001247,0.002244,0.0001,0.000848,0.001097,0.001047,0.00015,0.000898,0.001546,0.000548,0.000199,0.000299,0.00015,0.001047,0.000997,0.002244,0.000349,0.000349,0.000798,0.000199,0.000399,0.000648,0.000449,0.001446,0.000199,0.000399,0,0.00005,0.000249,0.000199,0.000299,0.00005,0,0.00005,0.000698,0.0001,0.00015,0.000548,0.001296,0.00005,0,0.000249,0.000399,0.00015,0.000898,0.000798,0.000548,0.000249,0.000598,0.00005,0.000399,0.000449,0,0.000399,0.00015,0.000249,0.00005,0.000399,0.000648,0.000199,0.000199,0.000598,0,0.000299,0.000299,0.00005,0.00015,0.000548,0.0001,0.000199,0.000299,0,0.002543,0.000548,0.000249,0.00015,0.001047,0.0001,0.000299,0.00015,0,0.00005,0.000249,0.000598,0.000249,0.001546,0.001147,0.000598,0.0001,0.000249,0,unsucc
0.086325,0.029407,0.019585,0.017345,0.018724,0.017288,0.007983,0.008156,0.012004,0.004652,0.009764,0.007754,0.008845,0.006203,0.007064,0.004767,0.006777,0.006203,0.003848,0.004997,0.005514,0.005571,0.004537,0.003561,0.004882,0.001493,0.002068,0.004308,0,0.000459,0.002987,0.002872,0.00023,0.002642,0.000919,0.00224,0.005227,0.001838,0,0.002068,0.00201,0.002297,0.000689,0.000057,0.001551,0,0.002068,0.002585,0.000459,0.001608,0.000057,0.001264,0.000402,0.003906,0.001091,0.000632,0.001666,0.001723,0.004767,0.002872,0.002355,0.000402,0.001321,0.001838,0.000689,0.000862,0.001378,0.002297,0.000517,0.002987,0.001206,0.001149,0.000517,0.000919,0.002297,0.000804,0.001034,0.000517,0.00178,0.001206,0.000402,0.000345,0.001264,0.000804,0.000287,0.001034,0.003331,0.001493,0.000862,0.000689,0.000172,0.000919,0.000574,0.001149,0.001206,0.002929,0.001378,0.000057,0.001378,0.001091,0.000459,0.000057,0.001723,0.000459,0.001666,0.002355,0.000115,0.000517,0.000804,0,0.001608,0.000057,0.000172,0.002068,0.000632,0,0.000632,0.000689,0.001321,0.000057,0.000057,0,0.000862,0.000632,0.002642,0.000574,0.000115,0.000689,0.000459,0.001206,0.000804,0.000057,0.000862,0.000287,0.000057,0.002183,0,0.000287,0.000115,0.000172,0.000287,0,0,0.000517,0.000115,0.000115,0.000689,0.000632,0.000172,0,0.000057,0.000115,0.000172,0.000919,0.000517,0.000632,0.000287,0.000287,0,0.000287,0.000919,0,0.000574,0.00023,0,0.000287,0.000172,0.001206,0.000172,0.000459,0.001206,0,0.000574,0.00023,0.000287,0.000057,0.000747,0.000057,0.000919,0.000172,0,0.001149,0.000517,0.000517,0.000287,0.000862,0.000345,0.000287,0.000172,0,0,0.000632,0.000287,0.000057,0.001493,0.00023,0.001206,0.000057,0.00224,0,succ
0.076026,0.02978,0.02718,0.023635,0.01749,0.013787,0.013314,0.013314,0.017096,0.00386,0.00843,0.006775,0.004963,0.002521,0.006697,0.00646,0.012684,0.005515,0.005121,0.007327,0.004412,0.005042,0.001733,0.00386,0.003073,0.002915,0.003388,0.009139,0,0.001576,0.001024,0.001418,0,0.001261,0.000394,0.001891,0.00197,0.003151,0,0.001182,0.002994,0.00197,0.001576,0,0.002048,0,0.000158,0.001576,0.000079,0.001024,0.001654,0.000867,0,0.000394,0.000945,0.000551,0.001654,0.001654,0.000158,0.000945,0.001024,0.001024,0.002442,0.001339,0.001182,0.001339,0.000867,0.001261,0.001418,0.000551,0.001024,0.001339,0.000551,0.001418,0.002915,0.000394,0.001103,0.001733,0.000158,0.000394,0.001103,0.000945,0.000158,0.000551,0.000236,0.00063,0.001733,0.00063,0.001024,0.001024,0.000709,0.002285,0.002048,0.000945,0.000473,0.001576,0.000709,0.000473,0.001576,0.000473,0.000945,0.000394,0.000788,0.000158,0.001339,0.001024,0.000079,0.000394,0.001261,0,0.000788,0.000079,0.000945,0.000158,0.001182,0,0.001576,0.000394,0.000709,0.000079,0.000867,0,0.000394,0.000394,0.000945,0.000315,0.000867,0.001576,0.00063,0.001182,0.00063,0.000158,0.000315,0.001103,0.000079,0.000079,0.000551,0.000788,0.000079,0.000315,0.000551,0,0,0.000158,0.002364,0.002364,0.001418,0.00063,0.000236,0.000551,0.000394,0,0.000236,0.000315,0.000867,0.000788,0.000551,0.001576,0.000394,0.000315,0.001182,0,0.000788,0.000236,0.001339,0.000315,0.000315,0.00063,0.000394,0.000236,0.001339,0,0.000551,0.000079,0.000079,0.000079,0.000709,0.000079,0.000315,0.000709,0,0,0.00063,0.000551,0.000079,0.000394,0.000315,0.000394,0.000079,0,0,0.000788,0.000473,0.000158,0.000158,0.000315,0.001339,0,0.001891,0,unsucc
0.082305,0.025355,0.031693,0.022185,0.014774,0.028622,0.016432,0.016676,0.012921,0.005656,0.007558,0.010825,0.005266,0.009898,0.008435,0.005315,0.010044,0.005607,0.004437,0.003462,0.004145,0.003267,0.003754,0.005754,0.004681,0.00785,0.003121,0.003072,0.000049,0.00512,0.002926,0.003413,0,0.003023,0.000634,0.001999,0.003169,0.004096,0,0.001755,0.002584,0.00195,0.000341,0.000049,0.001365,0.000585,0.000683,0.002292,0.002194,0.000536,0.002194,0.001853,0.001463,0.001121,0.000975,0.001219,0.001512,0.001073,0.000195,0.003072,0.000098,0.004583,0.002731,0.001316,0.00039,0.001219,0.000878,0.00156,0.001121,0.002194,0.002097,0.001268,0.001463,0.002877,0.003218,0.001999,0.001121,0.001121,0.000488,0.000536,0.001024,0.000975,0.000488,0.00078,0.000244,0.000878,0.002682,0.003998,0.002097,0.001707,0.000439,0.000829,0.001316,0.000731,0.000634,0.000536,0.001073,0.001755,0.001609,0.001219,0.001073,0.000683,0.000829,0.000049,0.000536,0.000098,0.00156,0.000244,0.00078,0,0.000829,0.000244,0.000293,0.000975,0.000293,0.001414,0.000926,0.001219,0.001658,0.000244,0.00039,0,0.000975,0.000634,0.000975,0.000293,0.00039,0.000341,0.000195,0.001024,0.000585,0.000146,0.000683,0.000439,0.00039,0,0,0.000439,0.000098,0.00039,0,0,0.000585,0.000439,0.000146,0.000146,0.000829,0.000244,0.000683,0,0.001073,0.000146,0.000293,0.000634,0.00039,0.000536,0.00039,0.000098,0.000146,0.000439,0.000049,0,0.000293,0,0.000146,0.000536,0.000634,0.000293,0.000975,0.000146,0.001219,0,0.000536,0.000341,0,0.000049,0.000975,0.000926,0.000585,0.000536,0,0.000098,0.000536,0.000439,0.000341,0.001121,0.000293,0.000098,0.000293,0,0.000098,0.000439,0.000098,0.000146,0.000341,0.000683,0.000293,0.000049,0.001999,0,succ
0.10394,0.02366,0.018039,0.017426,0.020645,0.015024,0.012929,0.012673,0.01809,0.006285,0.014257,0.006592,0.00695,0.011191,0.005826,0.006388,0.006337,0.007359,0.005826,0.005723,0.003424,0.009045,0.002708,0.003373,0.004497,0.005008,0.003117,0.00138,0,0.001789,0.001993,0.002453,0.00046,0.001789,0.00138,0.002453,0.00373,0.003577,0.000051,0.001482,0.001789,0.001022,0.000715,0,0.003373,0.000153,0.001686,0.001175,0.000051,0.001993,0.000256,0.001482,0.009607,0.002146,0.000613,0.000562,0.002044,0.001993,0.000818,0.00184,0.000511,0.001329,0.001635,0.001124,0.001686,0.00138,0.000818,0.001891,0.001431,0.001789,0.00138,0.001482,0.001175,0.001175,0.001993,0.002913,0.00092,0.001686,0.001175,0.001022,0.00046,0.00046,0.001175,0.001226,0.000256,0.000562,0.00092,0.001226,0.001584,0.000715,0.001022,0.000664,0.000971,0.000715,0.000767,0.002964,0.001482,0.001431,0.001431,0.000051,0.000664,0.000358,0.001175,0.000307,0.000664,0.000664,0.000715,0.001226,0.000204,0,0.001584,0.000102,0.000818,0.001073,0.000869,0.000409,0.000051,0.000715,0.001022,0.000204,0.000153,0,0.000715,0.001175,0.00184,0.000051,0.000307,0.000715,0.000204,0.000869,0.001584,0.000204,0.001175,0.000204,0.000102,0,0,0.000153,0.000307,0.000204,0,0,0.000153,0.000153,0.000051,0.000051,0.001022,0.000102,0.000153,0,0.000256,0.000102,0.000307,0.000767,0.001686,0.00046,0.000307,0.000153,0.000102,0.00092,0.001022,0,0.000511,0.000715,0,0.000358,0.000409,0.000256,0.000307,0.000307,0.000562,0,0.000562,0.000256,0,0.000102,0.000664,0.000051,0.00138,0.000562,0,0.002146,0.000664,0.000307,0.000715,0.000818,0.000256,0.00046,0.000051,0,0.000102,0.000358,0.00046,0.000051,0.000409,0.000051,0.001022,0,0.000715,0,succ
