小说名,的,了,不,在,就,着,也,都,还,上,被,中,啊,很,已经,又,把,吧,地,里,却,对,将,没,没有,后,之,一,从,过,得,才,只,最,再,给,吗,向,太,下,呢,更,之后,便,并,用,还是,与,前,比,跟,以,连,所,先,竟然,和,为,里面,真,于,当然,最后,似乎,只是,别,内,等,一边,正,终于,一直,因为,以后,对于,面前,大,为了,之前,刚,一定,居然,根本,已,非常,一样,不过,不要,可,往,顿时,真是,刚刚,再次,之中,毕竟,其实,自然,哦,越,外,除了,多,来说,难道,快,绝对,么,可是,立刻,当,几乎,周围,般,很快,实在,就算,肯定,的话,呀,身后,嘛,上面,正在,间,旁边,有点,以前,忽然,则,由,随着,后面,不断,甚至,原来,一起,本来,慢慢,比较,嗯,而已,之间,微微,必须,像,马上,倒是,到,外面,到底,边,仿佛,果然,前面,更加,不用,极,未,简直,对面,哈哈,至少,赶紧,就要,真的,总,越来越,啦,通过,全,随后,至于,原本,好,好好,朝,按照,恐怕,朝着,呵呵,连忙,狠狠,反正,同样,倒,同时,不禁,早就,或许,就是,经过,立即,四周,之下,等等,不再,重新,挺,一旁,class
0度终极幻想,0.021232,0.009292,0.004333,0.003001,0.002493,0.004594,0.001527,0.00171,0.000822,0.000913,0.000705,0.000365,0.001057,0.001292,1.30E-05,0.000783,0.000809,0.000861,5.20E-05,0.00094,0.000457,0.0003,0.00017,0.000509,0.000509,0.000418,0.000104,0.000365,0.000561,0.000705,0.000457,0.000679,0.000391,0.000339,0.000339,0.000365,0.001109,0.000431,0.000287,0.000157,0.000522,0.000183,2.60E-05,1.30E-05,0.000235,0.00017,0.000209,6.50E-05,0.000104,0.000235,0.000144,7.80E-05,0.0003,2.60E-05,0.00013,5.20E-05,9.10E-05,0.000117,0.00094,0.000183,3.90E-05,6.50E-05,0.000104,0.000144,0.000196,0.000117,9.10E-05,6.50E-05,6.50E-05,9.10E-05,3.90E-05,2.60E-05,3.90E-05,7.80E-05,3.90E-05,0.000104,0.000248,7.80E-05,1.30E-05,0.000104,0.0003,0.000196,1.30E-05,9.10E-05,1.30E-05,0.000183,5.20E-05,0.000235,0.000104,6.50E-05,3.90E-05,0.000117,0.000104,9.10E-05,1.30E-05,3.90E-05,0.000104,1.30E-05,0.000248,2.60E-05,0.00013,5.20E-05,7.80E-05,1.30E-05,0.000196,0.000157,6.50E-05,0,9.10E-05,0.000117,6.50E-05,0.000144,2.60E-05,1.30E-05,3.90E-05,0.00013,5.20E-05,2.60E-05,1.30E-05,0.00107,2.60E-05,0.000326,1.30E-05,2.60E-05,1.30E-05,2.60E-05,0.00017,1.30E-05,0.000104,0,3.90E-05,6.50E-05,3.90E-05,7.80E-05,1.30E-05,1.30E-05,2.60E-05,1.30E-05,0.00013,3.90E-05,0.000196,6.50E-05,1.30E-05,2.60E-05,1.30E-05,3.90E-05,0.000157,1.30E-05,9.10E-05,0.00013,1.30E-05,6.50E-05,1.30E-05,2.60E-05,5.20E-05,6.50E-05,7.80E-05,0,0,2.60E-05,0.0003,5.20E-05,1.30E-05,1.30E-05,0.00013,0.00013,2.60E-05,2.60E-05,1.30E-05,1.30E-05,1.30E-05,3.90E-05,1.30E-05,1.30E-05,0.00013,3.90E-05,0.000117,1.30E-05,1.30E-05,2.60E-05,3.90E-05,7.80E-05,3.90E-05,9.10E-05,3.90E-05,1.30E-05,1.30E-05,6.50E-05,6.50E-05,2.60E-05,5.20E-05,1.30E-05,1.30E-05,1.30E-05,2.60E-05,6.50E-05,0.000339,2.60E-05,1.30E-05,2.60E-05,succ
BOSS的邪恶之路,0.01981,0.006286,0.002641,0.004041,0.002007,0.001426,0.001611,0.000898,0.000502,0.00066,0.001532,0.001532,0.000238,0.000502,2.60E-05,0.000687,0.000555,0.000396,0.00074,0.000766,0.000343,0.000555,0.000924,0.000264,0.000264,0.000502,0.001611,0.00037,0.000423,0.000158,0.000211,0.00037,0.000449,0.001189,0.000423,0.000396,0.000238,0.000264,7.90E-05,0.000132,0.000264,0.000132,0.000502,5.30E-05,0.000238,0.000291,2.60E-05,0.000819,7.90E-05,0.000132,5.30E-05,0.000291,0.000106,0.00066,0.000106,7.90E-05,7.90E-05,0.00037,0.000132,0.000158,0.000343,5.30E-05,0.000396,5.30E-05,5.30E-05,0.000117,0.000106,7.90E-05,7.90E-05,0.000238,0.000132,7.90E-05,0.000106,7.90E-05,0.000343,7.90E-05,2.60E-05,0.000185,7.90E-05,0.000104,5.30E-05,0.000196,7.90E-05,5.30E-05,7.90E-05,0.000106,0.000106,7.90E-05,5.30E-05,5.30E-05,3.90E-05,7.90E-05,7.90E-05,0.000106,0.000185,7.90E-05,7.90E-05,1.30E-05,2.60E-05,0.000106,0.000158,0.000185,0.000291,2.60E-05,5.30E-05,2.60E-05,2.60E-05,0,5.30E-05,2.60E-05,5.30E-05,0.000132,0.000106,2.60E-05,2.60E-05,0.004041,2.60E-05,5.30E-05,0.000106,0.00107,0.000502,0.000326,5.30E-05,0.000106,0.000106,2.60E-05,0.00017,7.90E-05,0.000104,0.000238,0.000211,0.000211,2.60E-05,0.000106,7.90E-05,2.60E-05,0.00037,2.60E-05,2.60E-05,2.60E-05,0.000196,5.30E-05,0.000106,2.60E-05,2.60E-05,5.30E-05,0.00066,5.30E-05,2.60E-05,0.000158,2.60E-05,6.50E-05,1.30E-05,5.30E-05,2.60E-05,5.30E-05,0.000291,7.90E-05,5.30E-05,2.60E-05,0.000555,5.20E-05,1.30E-05,1.30E-05,0.002007,2.60E-05,2.60E-05,2.60E-05,1.30E-05,5.30E-05,1.30E-05,0.000502,0.000106,5.30E-05,2.60E-05,2.60E-05,0.000117,5.30E-05,1.30E-05,0.001426,3.90E-05,0.000106,3.90E-05,7.90E-05,5.30E-05,1.30E-05,2.60E-05,0.002641,2.60E-05,0.000106,2.60E-05,2.60E-05,2.60E-05,2.60E-05,7.90E-05,7.90E-05,7.90E-05,2.60E-05,1.30E-05,0.00037,succ
DNF之神魔降临,0.021765,0.010499,0.0029,0.003955,0.003452,0.003596,0.002757,0.00127,0.001127,0.001079,0.001462,0.000431,0.000767,0.000216,0.001079,0.000312,0.000407,0.000839,0.000144,0.000983,0.000431,0.000336,0.000144,0.000527,0.000527,0.000431,0.00012,0.000743,0.000407,0.000695,0.000336,0.000336,0.000527,0.000264,0.00036,0.000312,0.000288,0.000264,0.000168,0.000312,0.000288,0.000168,0.00012,2.40E-05,0.00024,0.000168,0.000216,0.00012,9.60E-05,9.60E-05,0.000192,0.000168,0.000288,4.80E-05,0.000192,0.000192,2.40E-05,4.80E-05,0.000288,4.80E-05,9.60E-05,2.40E-05,9.60E-05,0.00012,0.00012,0.00012,0.000168,0.00012,4.80E-05,0.00024,9.60E-05,7.20E-05,4.80E-05,4.80E-05,9.60E-05,9.60E-05,0.00024,4.80E-05,9.60E-05,7.20E-05,4.80E-05,0.000384,4.80E-05,0,2.40E-05,0.00024,7.20E-05,4.80E-05,9.60E-05,4.30E-05,0.00036,4.80E-05,7.20E-05,0.00024,2.40E-05,9.60E-05,9.60E-05,2.40E-05,4.80E-05,7.20E-05,0.000144,4.80E-05,0.000258,2.40E-05,9.60E-05,7.20E-05,7.20E-05,0,9.60E-05,0.000144,2.40E-05,2.40E-05,0.000288,2.40E-05,7.20E-05,4.80E-05,9.60E-05,0.000168,0.00012,2.10E-05,0.000192,2.40E-05,0.00012,0.00024,4.30E-05,2.40E-05,4.80E-05,9.60E-05,0.00024,0.000172,0.000129,0.000288,9.60E-05,0.0029,2.40E-05,2.40E-05,0.00012,2.40E-05,2.40E-05,4.80E-05,0,6.40E-05,7.20E-05,2.40E-05,0.000408,0.00012,2.40E-05,7.20E-05,4.80E-05,0.000144,4.80E-05,2.10E-05,7.20E-05,8.60E-05,4.80E-05,7.20E-05,4.80E-05,7.20E-05,0,0.00012,2.40E-05,2.10E-05,0.000279,0.000168,4.80E-05,4.80E-05,2.40E-05,2.40E-05,0.000144,4.80E-05,2.10E-05,0.000192,9.60E-05,2.40E-05,4.80E-05,4.80E-05,0.000129,2.10E-05,4.80E-05,0.000288,0,2.40E-05,2.10E-05,7.20E-05,2.10E-05,8.60E-05,2.40E-05,0.000144,2.40E-05,2.40E-05,2.40E-05,0.000695,0,7.20E-05,0.00012,7.20E-05,2.40E-05,4.30E-05,0.000107,2.40E-05,unsucc
DNF之勇士之路,0.018212,0.00902,0.003952,0.003329,0.005283,0.000902,0.002126,0.00146,0.000709,0.000902,0.00073,0.001246,0.000558,0.001138,0.000472,0.000129,6.40E-05,0.000881,0.000236,0.000301,0.000494,0.000966,0.001439,0.000301,0.000301,8.60E-05,0.000215,0.000515,0.00073,0.000451,0.000623,0.000344,0.000515,0.000494,0.000193,0.000623,0.000494,0.000107,0.000451,8.60E-05,0.000623,0.000215,8.60E-05,2.10E-05,0.000215,0.000258,0.000215,0.000107,6.40E-05,0.000193,0.000129,2.10E-05,8.60E-05,0.000172,0.000129,0.000301,0.00015,0.000193,0.000215,0.000193,6.40E-05,4.30E-05,4.30E-05,2.10E-05,0.000322,4.30E-05,0.000365,0.000236,2.10E-05,4.30E-05,6.40E-05,6.40E-05,8.60E-05,2.10E-05,2.10E-05,6.40E-05,6.40E-05,6.40E-05,6.40E-05,0,6.40E-05,0,2.10E-05,0,0.000816,0.000258,0.000107,0.000193,0.000301,4.30E-05,0.00015,6.40E-05,4.30E-05,0.000107,0.000215,6.40E-05,0.000107,2.10E-05,0.000172,0.000344,0.000107,0.000107,0.000258,0.000451,2.10E-05,6.40E-05,0.000344,0,8.60E-05,0,4.30E-05,0.000193,2.10E-05,2.10E-05,6.40E-05,6.40E-05,4.30E-05,0.00015,2.10E-05,2.10E-05,2.10E-05,8.60E-05,2.10E-05,4.30E-05,4.30E-05,2.10E-05,0,2.10E-05,0,0.000172,0.000129,0.000902,2.10E-05,4.30E-05,6.40E-05,0.000107,6.40E-05,2.10E-05,0,4.30E-05,0,6.40E-05,4.30E-05,0,0.000408,2.10E-05,8.60E-05,8.60E-05,6.40E-05,0.000107,6.40E-05,2.10E-05,0,8.60E-05,6.40E-05,4.30E-05,2.10E-05,0.000129,0,0,0.000966,2.10E-05,0.000279,0.000344,0.005283,8.60E-05,4.30E-05,0.000344,0,8.60E-05,2.10E-05,8.60E-05,2.10E-05,2.10E-05,0,8.60E-05,0.000129,2.10E-05,2.10E-05,0.000129,0,8.60E-05,2.10E-05,4.30E-05,2.10E-05,8.60E-05,0,4.30E-05,2.10E-05,0,2.10E-05,0.000107,0,6.40E-05,2.10E-05,4.30E-05,2.10E-05,4.30E-05,0.000107,0.000515,unsucc
LOL之带着盒子去穿越,0.016586,0.007237,0.004138,0.002978,0.002683,0.002181,0.001489,0.002355,0.001073,0.000814,0.000744,0.000641,0.000571,0.000883,0.000312,0.000814,0.000744,0.000381,0.001039,0.000398,0.000398,0.000762,0.00019,0.000831,0.000675,0.000225,0.000381,0.000467,0.000467,0.000796,0.001125,0.000537,0.000312,0.00045,0.000381,0.000346,0.000156,0.000173,0.000398,0.000208,0.000208,0.000156,0.000139,0.000121,0.000277,0.000294,8.70E-05,0.000242,0.000104,0.000294,0.000364,0.000277,0.000623,0.000242,6.90E-05,1.70E-05,0.000156,0.000208,5.20E-05,0.000104,5.20E-05,8.70E-05,1.70E-05,0.00045,0.000104,0.000277,0.000104,0.000156,3.50E-05,8.70E-05,5.20E-05,1.70E-05,1.70E-05,0.000156,5.20E-05,0.000104,0.000173,0.000173,3.50E-05,0.000139,0.000329,0.00026,1.70E-05,0.000312,5.20E-05,5.20E-05,5.20E-05,0.000121,1.70E-05,6.90E-05,1.70E-05,0.000104,1.70E-05,1.70E-05,8.70E-05,1.70E-05,8.70E-05,2.40E-05,3.50E-05,0.000104,1.70E-05,1.70E-05,6.90E-05,5.20E-05,0.000173,6.90E-05,0.000139,0.000208,1.70E-05,5.20E-05,0.000294,1.70E-05,3.50E-05,0.000121,1.70E-05,0.000208,0.000139,3.50E-05,0.016586,5.20E-05,0.000225,6.90E-05,0.000814,6.90E-05,1.70E-05,1.70E-05,8.70E-05,0.000104,1.70E-05,3.50E-05,6.90E-05,3.50E-05,6.90E-05,3.50E-05,0.000121,5.20E-05,1.70E-05,1.70E-05,2.40E-05,6.90E-05,5.20E-05,1.70E-05,1.70E-05,5.20E-05,1.70E-05,0.000156,8.70E-05,3.50E-05,0.000104,1.70E-05,1.70E-05,2.10E-05,0.00026,6.90E-05,0.000104,5.20E-05,3.50E-05,1.70E-05,5.20E-05,1.70E-05,0.000762,8.70E-05,1.70E-05,5.20E-05,5.20E-05,0.000104,5.20E-05,5.20E-05,0.000144,8.70E-05,5.20E-05,0.000225,3.50E-05,1.70E-05,5.20E-05,5.20E-05,0.000129,1.70E-05,5.20E-05,0.002181,0,0.000139,2.10E-05,1.70E-05,3.50E-05,3.50E-05,3.50E-05,1.70E-05,0.002683,2.40E-05,6.90E-05,8.70E-05,0,1.70E-05,0.000208,0.000156,5.20E-05,1.70E-05,0.000107,1.70E-05,unsucc
SC之彼岸花,0.013986,0.00836,0.003418,0.003243,0.003028,0.003047,0.002246,0.00166,0.001778,0.001485,0.00084,0.000742,0.000332,0.000645,2.00E-05,0.000977,0.001309,0.000215,0.001934,0.000801,0.000742,0.000215,3.90E-05,0.001074,0.000176,0.000488,0.000156,0.000859,0.000313,0.000781,0.001328,0.00043,0.000215,0.000176,0.000625,0.000488,0.000371,7.80E-05,0.000293,0.000488,0.000293,0.000332,0.000156,3.90E-05,5.90E-05,0.000176,0.000352,3.90E-05,7.80E-05,0.000156,0.000723,3.90E-05,0.000527,0.000273,0.000195,0.000195,2.00E-05,5.90E-05,0.000801,0.000391,0.000343,0.000117,3.90E-05,0.000215,0.000215,0.000215,7.80E-05,0.000234,9.80E-05,0.000176,0.000391,0.000156,5.90E-05,3.90E-05,3.90E-05,7.80E-05,3.90E-05,5.90E-05,5.90E-05,0.000117,3.90E-05,0.000196,7.80E-05,0.000117,5.90E-05,0.000195,0.000156,9.80E-05,0.000117,0.000195,0.000215,3.90E-05,9.80E-05,0.000254,3.90E-05,0.000137,3.90E-05,9.80E-05,5.90E-05,0.000273,7.80E-05,0.000313,9.80E-05,3.90E-05,9.80E-05,3.90E-05,5.90E-05,0,7.80E-05,2.60E-05,0.000117,0.000117,5.90E-05,7.80E-05,3.90E-05,0.000137,0.000117,9.80E-05,0.013986,0.000117,2.00E-05,2.00E-05,9.80E-05,2.00E-05,0.000137,0.000117,3.90E-05,3.90E-05,0.000104,5.90E-05,7.80E-05,3.90E-05,5.90E-05,0.003418,3.90E-05,3.90E-05,7.80E-05,3.90E-05,2.00E-05,3.90E-05,0.000196,5.90E-05,2.00E-05,0.000371,2.60E-05,3.90E-05,0.000156,0.000176,9.80E-05,3.90E-05,2.00E-05,0.000117,1.30E-05,7.80E-05,2.00E-05,2.00E-05,5.90E-05,7.80E-05,3.90E-05,2.60E-05,5.90E-05,5.90E-05,2.00E-05,5.90E-05,7.80E-05,0.000391,5.90E-05,2.00E-05,1.30E-05,0.000781,1.30E-05,3.90E-05,3.90E-05,2.00E-05,0.000117,7.80E-05,0.00043,2.00E-05,7.80E-05,2.00E-05,3.90E-05,0.000527,0.000176,3.90E-05,5.30E-05,0.000254,3.90E-05,0.000313,5.90E-05,7.80E-05,0.000117,2.00E-05,2.60E-05,3.90E-05,2.00E-05,2.00E-05,2.00E-05,5.90E-05,5.90E-05,0.000859,succ
阿尔莎游记,0.019752,0.006953,0.003491,0.002909,0.001911,0.000997,0.002022,0.001108,0.000776,0.000554,0.000609,0.000443,0.000194,0.00133,2.80E-05,0.000166,0.000693,0.000305,0.000139,0.000471,5.50E-05,0.00072,0.000305,0.00036,0.00036,0.000554,0.001025,8.30E-05,0.000554,0.000222,0.000249,0.000332,0.00036,0.000554,0.000305,0.000388,0.000416,0.000332,0.000388,0.000443,0.000499,0.000443,8.30E-05,0.000332,0.000693,0.000194,0.000166,0.000277,0.000249,8.30E-05,2.80E-05,0.000194,5.50E-05,8.30E-05,0.000305,0.000139,0.000111,0.000111,8.30E-05,2.80E-05,0.000166,0.000111,0.000554,0.000222,0.000139,0.000111,0.000139,0.000139,2.80E-05,0.000166,0.000166,2.80E-05,0.000111,8.30E-05,0.000166,0.000222,5.50E-05,5.50E-05,2.80E-05,0.000141,8.30E-05,0.000338,2.80E-05,2.80E-05,2.80E-05,8.30E-05,8.30E-05,8.30E-05,0.000277,2.80E-05,8.30E-05,2.80E-05,0.000277,0.000305,8.30E-05,0.000277,0.000166,0.000139,2.80E-05,0.000111,5.50E-05,8.30E-05,2.80E-05,2.80E-05,8.30E-05,5.50E-05,0.000111,8.10E-05,0.000139,8.10E-05,0.000139,5.50E-05,0.000249,5.40E-05,2.80E-05,0.000166,0.001911,0.00036,0.019752,0.000194,0.000554,0.000139,8.30E-05,8.30E-05,0.000162,2.80E-05,2.80E-05,5.50E-05,2.80E-05,2.80E-05,0.000111,5.50E-05,0.000554,0.003491,0.000139,2.80E-05,5.50E-05,2.80E-05,0.000108,5.50E-05,0.000111,2.80E-05,0.001025,0.000194,2.80E-05,8.30E-05,2.80E-05,2.80E-05,5.50E-05,5.50E-05,2.80E-05,2.80E-05,5.40E-05,2.80E-05,2.80E-05,0.000139,2.80E-05,8.30E-05,8.30E-05,0.000135,2.80E-05,0.000194,0.000111,2.70E-05,5.50E-05,2.80E-05,0.000166,2.80E-05,0.000166,5.50E-05,0.000141,0.000554,8.30E-05,2.80E-05,2.80E-05,2.80E-05,5.40E-05,2.80E-05,5.40E-05,2.80E-05,2.70E-05,5.50E-05,1.90E-05,0.000166,2.80E-05,2.80E-05,2.80E-05,0.000139,0.000111,8.30E-05,2.80E-05,0.000111,2.00E-05,3.80E-05,0.000443,5.50E-05,0.000305,2.80E-05,2.70E-05,8.30E-05,unsucc
埃提亚,0.021779,0.013195,0.002951,0.003839,0.001811,0.002297,0.002129,0.001643,0.001157,0.001442,0.000905,0.000738,0.000889,0.001257,0.000754,0.000788,0.000972,0.000637,5.00E-05,0.000604,0.000235,0.000453,0.001006,0.000386,0.000386,0.00052,8.40E-05,0.000369,0.001107,0.000469,0.000419,0.000285,0.000335,0.000369,0.000302,0.000369,0.000453,0.00052,0.000184,0.000235,0.000285,3.40E-05,1.70E-05,0.000184,8.40E-05,0.000117,0.000402,0.000119,0.000369,0.000251,1.70E-05,0.000134,0.000117,8.40E-05,0.000369,0.000134,0.000268,3.40E-05,3.40E-05,8.40E-05,5.00E-05,8.40E-05,0.000151,8.40E-05,5.00E-05,0.000184,0.000184,0.000167,8.40E-05,0.000101,5.00E-05,1.70E-05,3.40E-05,0.000134,1.70E-05,3.40E-05,0.000235,3.40E-05,6.70E-05,5.00E-05,0.000201,0.000117,2.40E-05,4.80E-05,1.70E-05,0.000134,0.000101,0.000151,0.000101,5.00E-05,1.70E-05,8.40E-05,5.00E-05,0.000101,8.40E-05,6.70E-05,0.000114,3.40E-05,0.000101,3.40E-05,8.40E-05,0.000134,5.00E-05,3.40E-05,3.40E-05,0.000101,0.000134,9.50E-05,1.70E-05,4.80E-05,0.000134,3.40E-05,0.000117,1.70E-05,0.000101,1.70E-05,3.40E-05,1.70E-05,6.70E-05,1.90E-05,0.000184,0.000134,1.70E-05,0.000101,3.40E-05,3.40E-05,0.000168,0.000101,0.000167,0.000101,0.000101,0.000101,3.40E-05,0.000235,5.00E-05,3.40E-05,1.70E-05,3.40E-05,0.000117,5.00E-05,1.90E-05,5.00E-05,3.40E-05,3.40E-05,1.70E-05,7.20E-05,0.000419,5.00E-05,5.00E-05,3.40E-05,5.00E-05,8.40E-05,5.00E-05,1.70E-05,3.40E-05,3.40E-05,0.000117,0.000119,1.70E-05,1.70E-05,3.40E-05,0.000119,5.00E-05,1.70E-05,0.000168,1.70E-05,5.00E-05,3.40E-05,1.70E-05,0.000151,5.00E-05,0.000168,5.00E-05,5.00E-05,3.40E-05,3.40E-05,0.000143,1.70E-05,0.000101,0.002297,1.90E-05,0.000117,1.70E-05,1.70E-05,3.40E-05,5.00E-05,3.40E-05,0.002951,3.40E-05,1.90E-05,5.00E-05,8.40E-05,1.70E-05,2.40E-05,6.70E-05,5.00E-05,0.000302,1.70E-05,7.20E-05,1.70E-05,succ
艾泽拉斯游侠之王,0.021334,0.005334,0.003297,0.004218,0.001552,0.004534,0.002109,0.001139,0.000485,0.000606,0.000946,0.001261,0.000703,0.000582,0.000145,0.000533,0.000267,0.000412,0.001673,2.40E-05,0.000946,0.000436,0.000946,0.000218,0.000218,0.000703,0.000291,0.000703,0.000194,0.000679,0.00017,0.000218,0.000461,0.000218,0.000315,0.000194,0.000509,0.001212,0.000315,0.000436,0.000194,0.000267,2.40E-05,0.000461,0.000291,7.30E-05,7.30E-05,0.000849,0.000267,7.30E-05,2.40E-05,0.000121,0.000291,0.000242,0.000121,4.80E-05,2.40E-05,0.000194,2.40E-05,0.000145,0.000242,2.40E-05,4.80E-05,0.000412,0.00017,4.80E-05,0.000121,0.000194,4.80E-05,0.000242,9.70E-05,2.40E-05,7.30E-05,0.000121,0.000194,0.000267,0.000242,0.000194,2.40E-05,7.30E-05,0.00017,6.70E-05,7.30E-05,0.000145,0.000121,2.40E-05,2.40E-05,9.70E-05,7.30E-05,4.80E-05,2.40E-05,7.30E-05,7.30E-05,0.000145,0.000291,4.80E-05,0.000145,4.80E-05,4.80E-05,0.000242,4.80E-05,0.005334,0.000157,2.40E-05,9.70E-05,7.30E-05,4.80E-05,0.000627,4.80E-05,2.40E-05,2.40E-05,2.40E-05,0.000194,0.000485,2.40E-05,0.00017,7.30E-05,2.40E-05,0.021334,2.40E-05,0.000364,2.40E-05,4.80E-05,9.70E-05,7.30E-05,4.80E-05,0.000112,4.80E-05,2.40E-05,9.70E-05,0.000121,9.70E-05,4.80E-05,7.30E-05,2.40E-05,2.40E-05,2.40E-05,2.40E-05,4.80E-05,7.30E-05,0.000157,2.40E-05,2.40E-05,0.000388,2.40E-05,2.40E-05,0.000606,2.20E-05,2.40E-05,2.40E-05,2.40E-05,4.80E-05,0.000291,4.80E-05,0.000267,0.000145,2.40E-05,4.80E-05,4.50E-05,2.40E-05,2.40E-05,2.40E-05,4.80E-05,2.40E-05,4.80E-05,7.30E-05,2.40E-05,2.40E-05,4.00E-05,0.000679,7.30E-05,2.40E-05,2.40E-05,4.80E-05,0.000135,9.70E-05,2.40E-05,4.80E-05,0.00017,2.40E-05,0.000145,0.000291,9.70E-05,4.80E-05,4.80E-05,2.20E-05,4.80E-05,0.003297,4.80E-05,2.40E-05,0.001552,2.40E-05,2.40E-05,7.30E-05,0.000291,0.000194,0.000121,2.40E-05,2.40E-05,4.80E-05,succ
暗黑之不朽意志,0.014014,0.007246,0.00551,0.002622,0.002764,0.001559,0.002658,0.001648,0.001276,0.000815,0.000868,0.000549,0.001045,0.001276,3.50E-05,0.000602,0.000354,0.000514,0.000549,0.000585,0.000585,0.000602,0.000656,0.000797,0.000213,0.000248,0.000213,0.00062,0.000425,0.000709,0.000549,0.000248,0.000372,0.000319,0.000372,0.000744,0.000354,0.000213,0.000585,0.000372,7.10E-05,0.000337,0.000124,5.30E-05,0.000177,0.000177,0.000213,0.000106,0.000195,0.000159,0.000248,0.000213,0.000159,0.000142,0.000195,5.30E-05,0.000177,7.10E-05,0.000585,0.000301,3.50E-05,1.80E-05,0.000159,0.000407,0.000301,0.000142,8.90E-05,0.000142,5.30E-05,3.50E-05,3.50E-05,1.80E-05,1.80E-05,5.30E-05,3.50E-05,8.90E-05,7.10E-05,1.80E-05,1.80E-05,5.30E-05,0.000142,5.30E-05,1.80E-05,3.50E-05,1.80E-05,3.50E-05,0.000124,7.10E-05,0.000142,7.10E-05,7.10E-05,0.000124,5.30E-05,3.50E-05,0.000124,5.30E-05,1.80E-05,7.10E-05,3.50E-05,0.000106,7.10E-05,3.50E-05,8.90E-05,1.80E-05,0.000159,3.00E-05,5.30E-05,3.50E-05,3.50E-05,0.000106,1.80E-05,7.10E-05,0.000106,3.50E-05,5.30E-05,5.30E-05,7.10E-05,5.30E-05,3.50E-05,0.000179,7.10E-05,0.000177,0.000815,3.50E-05,5.30E-05,5.30E-05,8.90E-05,0.000195,8.90E-05,0.000142,8.90E-05,1.80E-05,5.30E-05,0.00551,3.50E-05,1.80E-05,5.30E-05,1.80E-05,5.30E-05,3.50E-05,0.000248,1.80E-05,1.80E-05,0.000195,1.80E-05,0.000106,0.000815,3.50E-05,4.00E-05,3.50E-05,1.80E-05,5.30E-05,3.00E-05,0.000124,3.50E-05,3.50E-05,0.000159,8.90E-05,1.80E-05,1.80E-05,0.000602,6.00E-05,5.30E-05,0.000106,1.80E-05,0.000301,7.10E-05,1.80E-05,3.00E-05,1.80E-05,3.50E-05,1.80E-05,3.50E-05,1.80E-05,8.90E-05,3.50E-05,3.50E-05,3.50E-05,0.000142,3.50E-05,4.00E-05,0.000159,0.000195,1.80E-05,7.10E-05,3.50E-05,8.90E-05,1.80E-05,5.30E-05,1.80E-05,3.50E-05,3.50E-05,1.80E-05,1.80E-05,0.000213,3.50E-05,7.10E-05,1.80E-05,0.00023,7.10E-05,succ
