@relation pima_diabetes
@attribute 'daici' numeric
@attribute 'dongci' numeric
@attribute 'renming' numeric
@attribute 'mingci' numeric
@attribute 'zhuci' numeric
@attribute 'shijianmingci' numeric
@attribute 'jieci' numeric
@attribute 'gantanci' numeric
@attribute 'fangweimingci' numeric
@attribute 'shuci' numeric
@attribute 'fuci' numeric
@attribute 'xiyu' numeric
@attribute 'biaodian' numeric
@attribute 'xingrongci' numeric
@attribute 'juzishu' numeric
@attribute 'tingdunshu' numeric
@attribute 'juziposuidu' numeric
@attribute 'class' { unsucc, succ}
@data
0.679292929,2.688552189,0.269360269,2.787037037,0.932659933,0.132154882,3.715488215,0.005892256,0.326599327,0.373737374,1.585858586,0.087542088,3.335858586,0.378787879,1188,2304,1.939393939,succ
0.940909091,4.536363636,0.3,4.755681818,1.631818182,0.136363636,4.660227273,0.006818182,0.478409091,0.763636364,2.4625,0.123863636,3.970454545,0.823863636,880,2883,3.276136364,succ
2.745098039,7.352941176,0.387254902,6.580882353,3.906862745,0.399509804,7.196078431,0.039215686,0.617647059,0.919117647,4.289215686,0.203431373,6,0.960784314,816,4210,5.159313725,unsucc
1.396280401,4.636623748,0.070100143,4.550786838,2.410586552,0.158798283,4.161659514,0.037195994,0.672389127,0.60658083,2.489270386,0.187410587,3.341917024,0.852646638,1398,3362,2.404864092,unsucc
1.264423077,4.034855769,0.662259615,4.206730769,1.957932692,0.201923077,3.936298077,0.019230769,0.334134615,0.746394231,2.162259615,0.188701923,3.457932692,0.765625,1664,4690,2.818509615,unsucc
1.198312236,4.394514768,0.084388186,3.495780591,2.146624473,0.081223629,3.80907173,0.007383966,0.213080169,0.518987342,1.626582278,0.152953586,3.232067511,0.671940928,1896,4400,2.320675105,unsucc
1.953874539,5.027675277,0.424354244,5.055350554,2.832103321,0.182656827,4.881918819,0.033210332,0.531365314,0.649446494,2.608856089,0.151291513,4.049815498,1.016605166,1084,3318,3.060885609,unsucc
2.17953668,7.436293436,0.915057915,7.33976834,3.581081081,0.285714286,5.893822394,0,0.687258687,1.166023166,3.718146718,0.281853282,4.895752896,1.22972973,518,2235,4.314671815,succ
1.300662252,5.447682119,0.704635762,5.651655629,2.4,0.280794702,5.450331126,0.026490066,0.488741722,0.871523179,2.503311258,0.390728477,4.758940397,0.941721854,1510,5480,3.629139073,unsucc
2.018907563,8.630252101,0.981092437,8.470588235,3.43907563,0.25,6.733193277,0.029411765,0.852941176,1.300420168,4.462184874,0.338235294,5.655462185,1.489495798,476,2370,4.978991597,succ
1.38807947,4.140397351,0.18013245,4.405298013,2.001324503,0.100662252,3.728476821,0.002649007,0.556291391,0.694039735,1.928476821,0.17615894,3.135099338,0.871523179,1510,3688,2.442384106,unsucc
1.058191585,3.240823635,0.095792301,3.329453894,1.357206804,0.105640107,3.960608774,0.006266786,0.232766338,0.555058192,1.425246195,0.218442256,3.536257833,0.651745748,2234,6358,2.846016115,unsucc
1.750448833,6.809694794,0.328545781,6.298025135,2.118491921,0.157989228,5.278276481,0.008976661,0.754039497,1.669658887,4.362657092,0.245960503,4.468581688,1.517055655,557,2099,3.768402154,succ
