小说名,标准化类符/形符比,类别
2013,0.263325,succ
11公爵,0.211485,succ
DNF之形态大师,0.102288,unsucc
DOTA传奇异界录,0.11102,unsucc
暗黑本纪,0.118799,unsucc
暗噬罪恶,0.10258,unsucc
暗夜星灵界,0.115544,unsucc
暗影街,0.22984,succ
傲剑凌天行,0.117376,unsucc
傲剑凌云,0.227141,succ
傲剑星空,0.107915,unsucc
傲世圣帝,0.110886,unsucc
傲世武皇,0.192447,succ
傲世重生,0.201238,succ
傲视天地,0.254267,succ
傲天武神,0.119518,unsucc
傲武长空,0.112808,unsucc
奥法重生,0.215131,succ
奥术神座,0.196617,succ
奥特曼格斗进化,0.247566,succ
八零后少林方丈,0.251326,succ
八神庵,0.225435,succ
霸决乾坤,0.216031,succ
霸气凌神,0.116684,unsucc
霸气邪皇系统,0.111545,unsucc
霸武帝尊,0.113534,unsucc
白月之初,0.119644,unsucc
百变德鲁伊,0.249802,succ
百万傀儡兵,0.236328,succ
半仙文明,0.241627,succ
棒棒的尸生活,0.113462,unsucc
孢子物语,0.126719,succ
爆裂天空,0.101014,unsucc
爆头巫师,0.195186,succ
被召唤者的圣战,0.209034,succ
本座武神,0.249558,succ
崩坏世界的传奇大冒险,0.220491,succ
崩坏星河,0.229424,succ
崩坏召唤,0.18385,succ
彼岸之刃,0.066399,unsucc
闭天之仙影剑踪,0.146943,unsucc
碧星蕴,0.126891,unsucc
碧血王朝,0.255638,succ
冰封魔狼剑,0.218307,succ
冰源纪,0.079442,unsucc
兵之枪,0.233009,succ
病毒君王,0.17478,succ
不可思议的圣剑,0.249113,succ
不灭规则,0.114416,unsucc
不灭剑体,0.213837,succ
不灭僵魂,0.248499,succ
不灭英雄,0.282554,succ
不死武尊,0.180914,succ
不朽封神传,0.112332,unsucc
不朽临,0.118258,unsucc
不朽杀拳,0.127594,unsucc
不朽神王,0.232461,succ
不朽圣尊,0.205104,succ
不朽天尊之帝临天下,0.106927,unsucc
不做齐天大圣,0.105473,unsucc
苍老的少年,0.183925,succ
苍穹龙骑,0.284284,succ
苍颂,0.115975,unsucc
苍天霸血,0.266631,succ
超凡世界,0.191657,succ
超级复制者,0.220303,succ
超级基因装甲,0.186387,succ
超级进化者,0.255849,succ
超级巨蟒系统,0.107682,unsucc
超级空骑,0.230835,succ
超级猎人,0.206487,succ
超级美食帝国,0.178327,succ
超级神武道,0.25519,succ
超级时空戒指,0.233093,succ
超级守护,0.216182,succ
超级寿命系统,0.130777,unsucc
超级位面系统,0.211636,succ
超级修炼系统,0.199762,succ
超级修真时代,0.083028,unsucc
超级战士系统,0.173098,succ
超魔构筑师,0.278297,succ
超能力基因改造,0.222887,succ
超能宇宙——基因序列,0.106998,unsucc
超神级穿越,0.253621,succ
超神建模师,0.195956,succ
超神脑装,0.122044,unsucc
超神学院：圣道者,0.117389,unsucc
超神学院之彦伦,0.14595,unsucc
超神游戏升级系统,0.12484,unsucc
超神宗师,0.279225,succ
超时空悖论,0.293073,succ
超时空穿越,0.21012,succ
超时空犯罪集团,0.26668,succ
超时空黑暗交易网,0.233326,succ
超时空修真者,0.089133,unsucc
超位面穿行,0.2384,succ
超武穿梭,0.23107,succ
超武时代,0.253775,succ
超星空崛起,0.197342,succ
超星文明,0.176269,unsucc
超玄幻降临,0.23212,succ
超玄幻三国,0.200795,succ
超玄幻文明,0.238937,succ
超越巅峰,0.247717,succ
超越轮回,0.198623,succ
超越之神,0.105652,unsucc
超战舰,0.216333,succ
超自然异闻录,0.201615,succ
嘲讽,0.209276,succ
辰风暮雪,0.154568,unsucc
成人仪式,0.220995,succ
吃通万界,0.117535,unsucc
持剑清歌,0.116068,unsucc
踟蹰而行,0.109551,unsucc
叱神,0.230738,succ
叱咤风云,0.107964,succ
叱咤神魔路,0.098454,unsucc
赤水传说,0.117753,unsucc
虫皇主宰,0.266795,succ
虫骑,0.227452,succ
虫群之心,0.24512,succ
虫噬星空,0.207515,succ
虫族,0.261427,succ
宠斗,0.065323,unsucc
出售未来,0.234317,succ
穿无限恐怖我只想活下去,0.092212,unsucc
穿越黑棺,0.23918,succ
穿越生存手册,0.232276,succ
穿越时空的电灯泡,0.090732,unsucc
穿越者公敌,0.248092,succ
穿越者事务所,0.177518,succ
穿越之异界君临天下,0.219262,succ
穿越诸天大拯救,0.138475,unsucc
穿越诸天当邪神,0.234083,succ
传承血瞳,0.119695,unsucc
传道大千,0.254423,succ
传奇法师扬威异界,0.245298,succ
传奇冒险记,0.113553,unsucc
传奇族长,0.281085,succ
闯荡六界,0.109589,unsucc
创世黑暗纪,0.106128,unsucc
创世神魄,0.097133,unsucc
春荒万古,0.118373,unsucc
此乃熊大神仙,0.123876,unsucc
次元大乱斗,0.235856,succ
次元聊天群,0.246293,succ
刺客魔传,0.193286,succ
从美漫开始毁灭世界,0.252826,succ
从死亡步兵到宇宙大帝,0.261694,succ
从武侠到玄幻,0.201645,succ
从英雄学院开始,0.165782,unsucc
篡命铜钱,0.231279,succ
错升仙,0.104466,unsucc
打爆科幻位面,0.113578,unsucc
大地魔骑,0.221235,succ
大斗帝,0.111153,unsucc
大汉科技帝国,0.219242,succ
大话秦始皇,0.291762,succ
大话西游之前世今生,0.145959,unsucc
大荒仙录,0.130261,unsucc
大进化时代,0.108,unsucc
大科幻,0.090338,unsucc
大力美漫行,0.233166,succ
大青,0.108198,unsucc
大神朝,0.122823,unsucc
大神天道,0.091899,unsucc
大圣之尊,0.103689,unsucc
