@relation pima_diabetes
@attribute '规则1' numeric
@attribute '规则2' numeric
@attribute '规则3' numeric
@attribute '规则4' numeric
@attribute '规则5' numeric
@attribute '规则6' numeric
@attribute '规则7' numeric
@attribute '规则8' numeric
@attribute '规则9' numeric
@attribute '规则10' numeric
@attribute '规则11' numeric
@attribute '规则12' numeric
@attribute '规则13' numeric
@attribute '规则14' numeric
@attribute '规则15' numeric
@attribute '规则16' numeric
@attribute '规则17' numeric
@attribute '规则18' numeric
@attribute 'class' { unsucc, succ}
@data
0.000167,0.000167,0.000167,0.000167,0.000167,0.028362,0.000167,0.000167,0.000167,0.000167,0.026026,0.014181,0.015182,0.010677,0.013847,0.01368,0.000167,0.013847,succ
0.057948,0.060689,0.060037,0.032629,0.02793,0.03798,0.019708,0.000131,0.023884,0.000131,0.027147,0.016314,0.014748,0.000131,0.016314,0.012007,0.012268,0.000131,succ
0.056532,0.043932,0.043021,0.040948,0.037301,0.022215,0.024204,0.026525,0.022878,0.022546,0.025862,0.018568,0.020557,0.01492,0.024702,0.01807,0.011439,0.01807,unsucc
0.056038,0.050801,0.05424,0.030559,0.033451,0.034076,0.029934,0.025869,0.020399,0.020633,0.021649,0.024853,0.022587,0.009301,0.015709,0.018523,0.012036,0.013286,unsucc
0.054188,0.043728,0.044527,0.032759,0.031234,0.030944,0.024842,0.022154,0.02092,0.018523,0.021501,0.017724,0.019031,0.01213,0.017288,0.017142,0.012929,0.01213,unsucc
0.07402,0.06112,0.061948,0.032561,0.040149,0.037666,0.038907,0.027042,0.024972,0.022144,0.018212,0.025938,0.023317,0.009244,0.017936,0.017522,0.011313,0.014487,unsucc
0.051785,0.041888,0.046129,0.030046,0.030046,0.03146,0.028102,0.024567,0.016083,0.025627,0.017321,0.023153,0.018293,0.012372,0.019088,0.017321,0.008307,0.017851,unsucc
0.054958,0.052834,0.048453,0.03478,0.032258,0.028939,0.023895,0.025753,0.022036,0.017788,0.023364,0.020311,0.017788,0.010089,0.01593,0.015266,0.015532,0.018054,succ
0.056852,0.055597,0.055221,0.029367,0.028865,0.033133,0.023092,0.019578,0.018449,0.018825,0.018198,0.017947,0.018449,0.008283,0.014809,0.014307,0.012927,0.010417,unsucc
0.065472,0.0531,0.048975,0.035829,0.031576,0.038536,0.023328,0.021652,0.022683,0.017915,0.020106,0.017013,0.018172,0.007217,0.015466,0.016884,0.013017,0.011213,succ
0.04887,0.057042,0.051274,0.024996,0.032527,0.042141,0.029322,0.025156,0.019869,0.022272,0.015622,0.022753,0.023233,0.011056,0.012738,0.01362,0.017305,0.015863,unsucc
0.053203,0.064543,0.059783,0.028071,0.027651,0.039412,0.021911,0.025411,0.018061,0.022681,0.022191,0.020301,0.020791,0.010571,0.014071,0.013231,0.014771,0.016451,unsucc
0.000134,0.000134,0.000134,0.000134,0.000134,0.027588,0.000134,0.000134,0.000134,0.000134,0.029061,0.012589,0.01433,0.010714,0.013526,0.016472,0.000134,0.010446,succ
0.048879,0.04171,0.03806,0.031022,0.035714,0.024374,0.02633,0.028676,0.020464,0.026069,0.020594,0.0189,0.021116,0.012774,0.017205,0.015902,0.011731,0.013556,succ
0.000157,0.000157,0.000157,0.000157,0.000157,0.030518,0.000157,0.000157,0.000157,0.000157,0.022495,0.021866,0.02218,0.010225,0.016203,0.01463,0.000157,0.014315,succ
0.060216,0.059868,0.057953,0.028194,0.03237,0.046989,0.022798,0.017055,0.022102,0.020536,0.024887,0.018622,0.017403,0.008702,0.013488,0.012356,0.013227,0.013923,unsucc
0.048808,0.051429,0.046024,0.027434,0.03374,0.032512,0.02768,0.021702,0.014986,0.016788,0.020391,0.021128,0.020719,0.007534,0.017771,0.014004,0.021047,0.012857,unsucc
0.05745,0.053917,0.047158,0.033948,0.030415,0.026421,0.027035,0.030108,0.02381,0.02596,0.021505,0.020123,0.017358,0.008909,0.016283,0.016129,0.010445,0.014593,succ
0.05705,0.056524,0.056104,0.028367,0.031309,0.041185,0.025636,0.018596,0.018386,0.014709,0.021538,0.022904,0.0249,0.005673,0.011872,0.013238,0.013763,0.011347,succ
0.05593,0.049048,0.050952,0.031479,0.021083,0.024012,0.01918,0.000146,0.025476,0.000146,0.020498,0.018741,0.015959,0.000146,0.011713,0.014056,0.010688,0.000146,succ
0.068336,0.051469,0.053556,0.025735,0.026952,0.023126,0.030082,0.023126,0.021735,0.020692,0.017736,0.021214,0.015128,0.00852,0.01165,0.012693,0.015302,0.011824,succ
0.05576,0.042659,0.042659,0.038505,0.030197,0.020131,0.025244,0.026362,0.027001,0.022048,0.021729,0.018374,0.016616,0.012622,0.015817,0.017415,0.015338,0.01406,succ
0.050535,0.048862,0.042726,0.032017,0.034583,0.02722,0.023873,0.023315,0.020303,0.019969,0.025212,0.020415,0.021977,0.014168,0.019746,0.021977,0.014837,0.012829,succ
0.041983,0.046427,0.041915,0.031932,0.029949,0.031111,0.018803,0.029197,0.018667,0.025094,0.020513,0.014496,0.017299,0.013197,0.015453,0.014222,0.012444,0.018598,unsucc
6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,0.034923,6.50E-05,6.50E-05,6.50E-05,6.50E-05,0.020198,0.015898,0.022674,0.009773,0.014204,0.013161,6.50E-05,0.017201,unsucc
0.069986,0.045627,0.041112,0.033508,0.034933,0.019962,0.030894,0.026854,0.023527,0.027685,0.015922,0.015209,0.012833,0.014971,0.019724,0.019724,0.01307,0.017586,unsucc
0.072025,0.061749,0.055601,0.026975,0.026883,0.029727,0.028351,0.032388,0.024131,0.026975,0.015965,0.0178,0.013671,0.010827,0.012019,0.011836,0.011652,0.013946,unsucc
0.044018,0.047915,0.045605,0.028864,0.032761,0.03074,0.028576,0.020638,0.017174,0.01804,0.021648,0.022081,0.02136,0.009814,0.015875,0.016453,0.013278,0.014721,succ
0.060394,0.058737,0.055607,0.031302,0.029276,0.043086,0.020806,0.018965,0.019886,0.020991,0.025041,0.020806,0.0232,0.006629,0.01473,0.017124,0.013441,0.013257,succ
0.056431,0.055738,0.051757,0.02735,0.030293,0.036697,0.02458,0.015752,0.02008,0.012809,0.02008,0.021638,0.022676,0.005712,0.012983,0.01454,0.016271,0.009694,succ
0.063186,0.053733,0.049927,0.032608,0.030451,0.029309,0.029436,0.023346,0.02601,0.019413,0.01973,0.02176,0.0177,0.010277,0.017002,0.014528,0.012688,0.013069,unsucc
0.056452,0.033169,0.035445,0.027901,0.034794,0.013788,0.030632,0.049298,0.024844,0.046306,0.014048,0.014178,0.013072,0.022373,0.017105,0.01808,0.00956,0.023543,succ
0.053683,0.059171,0.052794,0.03084,0.032565,0.031206,0.027913,0.025665,0.023104,0.024515,0.018661,0.01887,0.017981,0.010088,0.0161,0.015629,0.012963,0.014584,unsucc
0.049548,0.053624,0.049675,0.035792,0.032735,0.035155,0.024455,0.027512,0.021144,0.021144,0.025474,0.02522,0.022035,0.011081,0.019997,0.01987,0.009426,0.017068,succ
0.049517,0.000138,0.000138,0.029931,0.035586,0.000138,0.029241,0.020552,0.016552,0.016,0.000138,0.000138,0.000138,0.009103,0.017793,0.015034,0.014621,0.000138,succ
0.052808,0.057577,0.051042,0.0355,0.036913,0.033204,0.027552,0.016955,0.020311,0.018898,0.020311,0.020487,0.022783,0.010067,0.020841,0.016602,0.015189,0.011657,succ
0.047994,0.0001,0.0001,0.034253,0.033954,0.0001,0.022005,0.02569,0.020512,0.026586,0.0001,0.0001,0.0001,0.013044,0.017226,0.014936,0.010555,0.0001,succ
0.057506,0.065892,0.053672,0.033665,0.035582,0.034384,0.025398,0.02432,0.025997,0.023841,0.022882,0.019648,0.019648,0.010543,0.020247,0.019169,0.014376,0.018689,succ
0.053242,0.050822,0.050057,0.031843,0.036683,0.02764,0.029423,0.026111,0.016304,0.017705,0.02229,0.021016,0.020125,0.010954,0.019488,0.017705,0.000127,0.018469,succ
0.055296,0.049091,0.049837,0.031631,0.032648,0.030343,0.025902,0.022172,0.020918,0.023393,0.020003,0.022003,0.02085,0.011798,0.018918,0.015494,0.013426,0.012036,unsucc
0.062334,0.059085,0.05652,0.034117,0.025994,0.034203,0.022403,0.023771,0.026678,0.021804,0.023685,0.015904,0.015049,0.011287,0.015391,0.015135,0.01274,0.015049,unsucc
0.056252,0.058944,0.053838,0.032025,0.034345,0.036016,0.028126,0.020143,0.018936,0.017451,0.019122,0.02135,0.021907,0.007147,0.01773,0.014295,0.014017,0.013367,unsucc
0.054912,0.056873,0.049741,0.035479,0.034409,0.033161,0.024068,0.024782,0.021038,0.017115,0.022464,0.019611,0.019968,0.011945,0.014976,0.014263,0.014976,0.016937,succ
