@relation pima_diabetes
@attribute 'daici' numeric
@attribute 'dongci' numeric
@attribute 'renming' numeric
@attribute 'mingci' numeric
@attribute 'zhuci' numeric
@attribute 'shijianmingci' numeric
@attribute 'jieci' numeric
@attribute 'gantanci' numeric
@attribute 'fangweimingci' numeric
@attribute 'shuci' numeric
@attribute 'fuci' numeric
@attribute 'xiyu' numeric
@attribute 'biaodian' numeric
@attribute 'xingrongci' numeric
@attribute 'juzishu' numeric
@attribute 'juziposuidu' numeric
@attribute 'class' { unsucc, succ}
@data

1.004409333,0.043725886,0.003674444,2.004593055,1.006338416,0.000275583,2.022138527,0.001194194,0.990079001,0.003123278,1.002939555,0.002296528,2.019015249,0.007716333,21772,2.006062833,unsucc
0.619620546,1.584451643,0.212401666,1.444238778,0.815826006,0.086071263,1.980564553,0.036094401,0.087459509,0.302174919,0.695974086,0.067561314,1.823692735,0.282276724,4322,1.262841277,unsucc
1.996256684,5.960962567,0.554010695,5.734224599,3.239037433,0.221390374,5.114438503,0.047593583,0.585561497,0.935294118,3.039572193,0.210160428,4.236898396,1.335828877,3740,3.62459893,unsucc
0.742170022,3.073266219,0.284116331,3.010626398,1.242170022,0.17114094,4.362975391,0.021252796,0.212527964,0.676733781,1.216442953,0.232102908,3.758948546,0.919463087,3576,2.386465324,unsucc
2.13406214,3.864787112,0.155926352,2.861334868,1.913118527,0.153624856,3.67146145,0.048906789,0.310126582,0.376869965,1.720368239,0.092059839,3.085155351,0.565592635,3476,2.367663982,unsucc
1.800623053,4.671028037,0.365732087,3.985669782,1.835514019,0.137071651,4.963862928,0.04423676,0.238006231,0.469781931,1.998753894,0.206853583,4.428037383,0.729595016,3210,3.302180685,unsucc
1.65311843,5.062368605,0.203223546,3.996496146,1.909600561,0.257883672,3.970567624,0.014015417,0.33917309,0.618079888,2.622284513,0.166082691,3.33847232,0.933426769,2854,2.880868956,unsucc
1.378844711,3.936234059,0.39459865,3.703675919,2.081020255,0.126031508,5.021005251,0.066766692,0.341335334,0.540135034,1.35483871,0.08252063,4.468117029,0.531132783,2666,2.855213803,unsucc
2.052631579,4.315789474,0.36996904,3.543343653,2.0874613,0.120743034,3.953560372,0.020897833,0.297213622,0.452786378,2.110681115,0.196594427,3.349071207,0.737616099,2584,2.379256966,unsucc
2.157097289,6.407496013,0.990430622,5.779904306,2.80861244,0.190590112,6.045454545,0.026315789,0.518341308,0.826953748,3.055023923,0.183413078,5.211323764,0.836523126,2508,3.870813397,unsucc
1.399348003,3.997555012,0.653626732,3.784841076,1.894865526,0.152404238,3.966585167,0.006519967,0.356968215,0.690301548,2.04808476,0.150774246,3.356153219,0.594132029,2454,2.621026895,unsucc
1.475061325,5.058871627,0.591169256,4.950940311,2.21995094,0.176614881,4.663123467,0.006541292,0.48896157,0.779231398,2.255110384,0.194603434,3.845461979,0.729354047,2446,3.090760425,unsucc
1.25,4.43852459,0.554098361,3.852459016,1.752459016,0.190983607,4.241803279,0.035245902,0.251639344,0.58442623,1.986885246,0.118032787,3.746721311,0.757377049,2440,2.903278689,unsucc
1.190632703,2.965488907,0.199671323,2.617912901,1.334428924,0.072308956,3.150369762,0.009860312,0.211996713,0.437140509,1.329498767,0.1010682,2.787181594,0.590797042,2434,2.107641742,unsucc
0.904132231,2.200826446,0.142975207,1.845454545,1.151239669,0.06446281,3.103305785,0.036363636,0.14214876,0.247107438,1.02231405,0.085123967,2.856198347,0.414049587,2420,1.724793388,unsucc
0.917293233,3.757727652,0.707602339,4.129490393,1.280701754,0.32748538,3.121971596,0.01336675,0.275689223,0.722639933,1.827903091,0.11946533,2.544695071,0.659983292,2394,2.01336675,unsucc
