小说名,标准化类符/形符比,类别
YY之王（原名龙）,0.246527,succ
YY之王三部曲之传媒帝国,0.183583,succ
暗房,0.218474,succ
暗黑笔记,0.22637,succ
暗灵法医,0.267109,succ
暗之职业经理人,0.223182,succ
熬鹰航空业,0.207463,succ
傲临天下,0.196533,succ
霸气,0.206193,succ
白学时代,0.226137,succ
半个梦,0.237927,succ
宝藏奇兵,0.264791,succ
宝藏与文明,0.286011,succ
宝鉴,0.213763,succ
宝井,0.262816,succ
宝瞳,0.243048,succ
背着地府闯花都,0.118906,unsucc
本色警察,0.197485,succ
毕业论文计时器,0.181928,unsucc
彪汉,0.203023,succ
彪悍的人生,0.18457,succ
不靠谱大侠,0.260196,succ
材料帝国,0.178217,succ
苍梧之城,0.106297,unsucc
草根石布衣,0.249732,succ
策梦,0.109081,unsucc
超级宠兽系统,0.234055,succ
超级传奇商店,0.262648,succ
超级创作大师,0.199038,succ
超级点卡屋,0.194263,succ
超级电力强国,0.281792,succ
超级电鳗分身,0.251423,succ
超级电脑,0.194547,succ
超级电能,0.185236,succ
超级电子帝国,0.231505,succ
超级动物园,0.22698,succ
超级都市传说,0.282229,succ
超级购物中心,0.117743,unsucc
超级合成系统,0.276018,succ
超级黄金手,0.279588,succ
超级黄金左手,0.255321,succ
超级魂晶,0.242182,succ
超级教师,0.28218,succ
超级金钱帝国,0.24406,succ
超级警监,0.189983,succ
超级军工霸主,0.306324,succ
超级科技图书馆,0.202668,succ
超级科学家,0.205633,succ
超级坑爹系统,0.109854,unsucc
超级控虫师,0.24217,succ
超级乐神,0.254158,succ
超级灵戒,0.120675,unsucc
超级灵气,0.262786,succ
超级灵泉,0.141052,succ
超级掠食者系统,0.217111,succ
超级美女总裁,0.124769,unsucc
超级能源强国,0.244993,succ
超级奴隶主,0.257935,succ
超级摄影师,0.110772,unsucc
超级神警,0.235773,succ
超级神相,0.263993,succ
超级生物帝国,0.260209,succ
超级生物探测器,0.242865,succ
超级声望系统,0.228569,succ
超级搜鬼仪,0.221451,succ
超级淘宝店,0.25892,succ
超级特种兵都市游,0.234344,succ
超级提取,0.236869,succ
超级土建,0.216377,succ
超级位面交易网,0.209682,succ
超级物品,0.234005,succ
超级系统,0.236097,succ
超级仙气,0.192583,succ
超级潇洒人生,0.195507,succ
超级小说家,0.140231,unsucc
超级医生,0.238468,succ
超级因果抽奖仪,0.246355,succ
