@relation pima_diabetes
@attribute '规则0' numeric
@attribute '规则1' numeric
@attribute '规则2' numeric
@attribute '规则3' numeric
@attribute '规则4' numeric
@attribute '规则5' numeric
@attribute '规则6' numeric
@attribute '规则7' numeric
@attribute '规则8' numeric
@attribute '规则9' numeric
@attribute '规则10' numeric
@attribute '规则11' numeric
@attribute '规则12' numeric
@attribute '规则13' numeric
@attribute '规则14' numeric
@attribute '规则15' numeric
@attribute '规则16' numeric
@attribute '规则17' numeric
@attribute '规则18' numeric
@attribute '规则19' numeric
@attribute '规则20' numeric
@attribute '规则21' numeric
@attribute '规则22' numeric
@attribute '规则23' numeric
@attribute '规则24' numeric
@attribute '规则25' numeric
@attribute '规则26' numeric
@attribute '规则27' numeric
@attribute '规则28' numeric
@attribute '规则29' numeric
@attribute '规则30' numeric
@attribute '规则31' numeric
@attribute '规则32' numeric
@attribute '规则33' numeric
@attribute '规则34' numeric
@attribute '规则35' numeric
@attribute '规则36' numeric
@attribute '规则37' numeric
@attribute '规则38' numeric
@attribute '规则39' numeric
@attribute '规则40' numeric
@attribute '规则41' numeric
@attribute '规则42' numeric
@attribute '规则43' numeric
@attribute '规则44' numeric
@attribute '规则45' numeric
@attribute '规则46' numeric
@attribute '规则47' numeric
@attribute '规则48' numeric
@attribute '规则49' numeric
@attribute '规则50' numeric
@attribute '规则51' numeric
@attribute '规则52' numeric
@attribute '规则53' numeric
@attribute '规则54' numeric
@attribute '规则55' numeric
@attribute '规则56' numeric
@attribute '规则57' numeric
@attribute '规则58' numeric
@attribute '规则59' numeric
@attribute '规则60' numeric
@attribute '规则61' numeric
@attribute '规则62' numeric
@attribute '规则63' numeric
@attribute '规则64' numeric
@attribute '规则65' numeric
@attribute '规则66' numeric
@attribute '规则67' numeric
@attribute '规则68' numeric
@attribute '规则69' numeric
@attribute '规则70' numeric
@attribute '规则71' numeric
@attribute '规则72' numeric
@attribute '规则73' numeric
@attribute '规则74' numeric
@attribute '规则75' numeric
@attribute '规则76' numeric
@attribute '规则77' numeric
@attribute '规则78' numeric
@attribute '规则79' numeric
@attribute '规则80' numeric
@attribute '规则81' numeric
@attribute '规则82' numeric
@attribute '规则83' numeric
@attribute '规则84' numeric
@attribute '规则85' numeric
@attribute '规则86' numeric
@attribute '规则87' numeric
@attribute '规则88' numeric
@attribute '规则89' numeric
@attribute '规则90' numeric
@attribute '规则91' numeric
@attribute '规则92' numeric
@attribute '规则93' numeric
@attribute '规则94' numeric
@attribute '规则95' numeric
@attribute '规则96' numeric
@attribute '规则97' numeric
@attribute '规则98' numeric
@attribute '规则99' numeric
@attribute '规则100' numeric
@attribute '规则101' numeric
@attribute '规则102' numeric
@attribute '规则103' numeric
@attribute '规则104' numeric
@attribute '规则105' numeric
@attribute '规则106' numeric
@attribute '规则107' numeric
@attribute '规则108' numeric
@attribute '规则109' numeric
@attribute '规则110' numeric
@attribute '规则111' numeric
@attribute '规则112' numeric
@attribute '规则113' numeric
@attribute '规则114' numeric
@attribute '规则115' numeric
@attribute '规则116' numeric
@attribute '规则117' numeric
@attribute '规则118' numeric
@attribute '规则119' numeric
@attribute '规则120' numeric
@attribute '规则121' numeric
@attribute '规则122' numeric
@attribute '规则123' numeric
@attribute '规则124' numeric
@attribute '规则125' numeric
@attribute '规则126' numeric
@attribute '规则127' numeric
@attribute '规则128' numeric
@attribute '规则129' numeric
@attribute '规则130' numeric
@attribute '规则131' numeric
@attribute '规则132' numeric
@attribute '规则133' numeric
@attribute '规则134' numeric
@attribute '规则135' numeric
@attribute '规则136' numeric
@attribute '规则137' numeric
@attribute '规则138' numeric
@attribute '规则139' numeric
@attribute '规则140' numeric
@attribute '规则141' numeric
@attribute '规则142' numeric
@attribute '规则143' numeric
@attribute '规则144' numeric
@attribute '规则145' numeric
@attribute '规则146' numeric
@attribute '规则147' numeric
@attribute '规则148' numeric
@attribute '规则149' numeric
@attribute '规则150' numeric
@attribute '规则151' numeric
@attribute '规则152' numeric
@attribute '规则153' numeric
@attribute '规则154' numeric
@attribute '规则155' numeric
@attribute '规则156' numeric
@attribute '规则157' numeric
@attribute '规则158' numeric
@attribute '规则159' numeric
@attribute '规则160' numeric
@attribute '规则161' numeric
@attribute '规则162' numeric
@attribute '规则163' numeric
@attribute '规则164' numeric
@attribute '规则165' numeric
@attribute '规则166' numeric
@attribute '规则167' numeric
@attribute '规则168' numeric
@attribute '规则169' numeric
@attribute '规则170' numeric
@attribute '规则171' numeric
@attribute '规则172' numeric
@attribute '规则173' numeric
@attribute '规则174' numeric
@attribute '规则175' numeric
@attribute '规则176' numeric
@attribute '规则177' numeric
@attribute '规则178' numeric
@attribute '规则179' numeric
@attribute '规则180' numeric
@attribute '规则181' numeric
@attribute '规则182' numeric
@attribute '规则183' numeric
@attribute '规则184' numeric
@attribute '规则185' numeric
@attribute '规则186' numeric
@attribute '规则187' numeric
@attribute '规则188' numeric
@attribute '规则189' numeric
@attribute '规则190' numeric
@attribute '规则191' numeric
@attribute '规则192' numeric
@attribute '规则193' numeric
@attribute '规则194' numeric
@attribute '规则195' numeric
@attribute '规则196' numeric
@attribute '规则197' numeric
@attribute '规则198' numeric
@attribute '规则199' numeric
@attribute 'class' { unsucc, succ}
@data

0.079156,0.021269,0.041872,0.033197,0.016599,0.012845,0.015431,0.007423,0.007257,0.009258,0.006756,0.001668,0.005422,0.012678,0.002252,0.001501,0.010009,0.006923,0.005005,0.003086,0.00342,0.005088,0.004004,0.001168,0.004004,0.002669,0.003086,0.003837,0.003086,0.002169,0.002919,0.001418,0.006006,0.002252,0.002085,0.0005,0.003003,0.00317,0,0.002085,0.003336,0.00025,0.000167,0.000334,0.00317,0.000667,0.002169,0,0.002169,0,0.000083,0.001835,0.000083,0.002002,0,0.001168,0,0.001835,0.001335,0.00417,0.000417,0.002669,0.000083,0.000167,0.001501,0.000083,0.000667,0.00025,0.000667,0.001168,0.001418,0.000083,0.001585,0.0005,0.000918,0.000334,0.001835,0.00367,0.002169,0.000751,0.001501,0.001251,0.000334,0.003837,0.000417,0.00025,0.000334,0.001835,0.000417,0.00025,0.001168,0.002085,0.000918,0.000167,0.001251,0.002002,0.000083,0.000751,0.000167,0.000918,0.001752,0.000417,0.000083,0.001001,0.000834,0.000417,0.000334,0.001418,0.000083,0.000834,0.00025,0.00025,0.000751,0,0,0.00025,0.004504,0.000584,0.00025,0.0005,0,0.000417,0.001251,0.001084,0.000584,0.000083,0.001168,0.001251,0,0.000334,0.0005,0.000667,0.001501,0,0.000584,0.000667,0.001084,0.000167,0.0005,0.002419,0.000334,0.000167,0.000584,0.000083,0.000834,0.000083,0,0.001418,0.000584,0.001251,0.000417,0.003587,0,0.000167,0.00025,0.000167,0.000918,0.002335,0.002002,0,0.000334,0.000167,0.00025,0.00025,0.000083,0,0.002502,0,0.000751,0.000334,0.000083,0.000667,0.001001,0.000083,0.000083,0,0.001251,0.000083,0.000083,0.000083,0.000834,0.000584,0.000834,0,0.002085,0.001168,0.00025,0.001335,0,0.004087,0.000751,0.000584,0.000083,0.000417,0.003503,0,0.001168,0.00025,0.000083,0.000167,succ
0.090289,0.032246,0.024236,0.016226,0.013802,0.017006,0.012241,0.017499,0.017499,0.008996,0.008051,0.011543,0.00764,0.003327,0.007271,0.009571,0.007394,0.005012,0.005751,0.006778,0.005299,0.004354,0.004601,0.004642,0.003902,0.004683,0.002177,0.003204,0.001643,0.002506,0.002752,0.004026,0.00152,0.003286,0.001397,0.001027,0.001438,0.003122,0,0.002875,0.00152,0.008873,0.008626,0.000082,0.001849,0.00304,0.000534,0,0.003245,0.000041,0.004149,0.002054,0,0.002383,0.000041,0.002465,0.006901,0.000123,0.001972,0.001561,0.002095,0.001068,0,0.00534,0.002177,0.000904,0.00304,0.003533,0.000698,0.001725,0.002177,0.000041,0.001807,0.000329,0.002095,0.002054,0.001725,0.000329,0.000739,0.002177,0.000657,0.002054,0.00189,0.001273,0.000123,0.000123,0.001397,0.00152,0.002218,0.001356,0.001191,0.001027,0.001109,0.001602,0.001273,0.000246,0.001273,0.002095,0.001725,0.001273,0.000739,0.002136,0.000329,0.001561,0.000411,0.001479,0.001438,0.00078,0.002424,0.000411,0.000493,0.000945,0.00152,0.000822,0.000945,0.000945,0.000452,0.000822,0.001191,0.001027,0,0.000041,0.000575,0.000698,0.001314,0.000041,0.000698,0.000904,0,0.000739,0.000616,0.000822,0.001068,0,0.000739,0.000041,0.00078,0.000082,0.000575,0.000411,0.001109,0.001191,0.000822,0.000246,0.000493,0.000164,0.001068,0.000288,0.000698,0.000822,0.000534,0,0,0,0.000246,0,0.00037,0.000986,0.000986,0.000493,0.001273,0.00037,0.000411,0.00115,0.000575,0.001479,0.00115,0,0.000288,0.000575,0,0.000493,0.000205,0.000452,0,0.000082,0.000329,0.000123,0.000205,0.000575,0.000411,0.000123,0.000904,0.001314,0.000205,0.000534,0.000945,0.000739,0.002341,0.000329,0.00037,0.000863,0.000164,0.000822,0,0.000246,0.000246,0.000904,0,0.000123,succ
0.10097,0.028171,0.032555,0.022206,0.017032,0.013582,0.017176,0.009486,0.009271,0.009199,0.008408,0.006612,0.008336,0.016457,0.013798,0.004384,0.007186,0.004959,0.004887,0.005246,0.005246,0.002875,0.005462,0.00115,0.004959,0.005605,0.003881,0.003018,0.000862,0.002803,0.002803,0.001653,0.003665,0.002012,0.003378,0.002946,0.002731,0.001437,0,0.006755,0.001797,0,0,0.000359,0.002659,0.00194,0.0023,0,0.001868,0.003809,0.000503,0.003234,0.000647,0.002803,0,0.003018,0,0.000072,0.000934,0.002228,0.001222,0.002228,0.000647,0.000144,0.001437,0.000287,0.001437,0.000503,0.001868,0.001006,0.001868,0.000072,0.001437,0.000503,0.00115,0.002372,0.000287,0.001365,0.001078,0.001725,0.003018,0.000862,0.000862,0.001509,0,0.000072,0.001365,0.001509,0.000647,0.001581,0.000934,0.001222,0.001797,0.000431,0.003018,0.001581,0.00115,0.000216,0.00115,0.001078,0.001725,0.000144,0.001868,0.001078,0.000647,0.000431,0.000862,0.001868,0.000072,0.000647,0.000647,0.000719,0.002875,0.000144,0.000575,0.000719,0.004527,0.000503,0.002443,0.002946,0,0.000503,0.001868,0.002084,0.000647,0,0.003306,0.001725,0,0.000934,0.001725,0.000216,0.000359,0.000287,0.001437,0.000216,0.00194,0.000144,0.000934,0.000575,0.000431,0.000072,0.000503,0.000216,0.000287,0.000072,0.001509,0.000575,0.000575,0.001006,0.000144,0,0,0,0.000072,0,0.000287,0.000359,0.000431,0.000216,0.00115,0.000216,0.000862,0.000575,0.000144,0.000719,0,0.000359,0.000216,0.000862,0,0.000934,0.000719,0.000575,0,0,0.000503,0,0.000719,0.000144,0.000647,0.000359,0.000216,0,0.000862,0.000503,0.000359,0.000287,0,0,0,0.000144,0.000287,0.000503,0,0.000287,0,0.000719,0.000072,0.000072,succ
0.079516,0.036575,0.024404,0.023967,0.014543,0.022656,0.012795,0.01086,0.011047,0.005492,0.009425,0.004743,0.005929,0.006553,0.017538,0.004244,0.008239,0.007677,0.004681,0.006553,0.003183,0.006429,0.005929,0.001685,0.005368,0.004182,0.002933,0.003932,0.001061,0.002746,0.002559,0.003121,0.00181,0.002621,0.004182,0.000374,0.001872,0.002497,0,0.002871,0.003745,0,0,0.000811,0.002184,0.00181,0.001748,0,0.00206,0,0.001123,0.001685,0,0.003058,0,0.001311,0,0.000187,0.000749,0.002184,0.005056,0.002497,0,0.008613,0.002559,0.000874,0.000936,0.000437,0.002684,0.001498,0.001061,0.000187,0.000687,0.000811,0.001872,0.001685,0.001685,0.000811,0.00206,0.00156,0.002497,0.001061,0.001248,0.000437,0.000062,0.000125,0.000062,0.000811,0.000936,0.000811,0.000999,0.000999,0.001373,0.000437,0.00181,0.000874,0.001311,0.001123,0.001061,0.001123,0.001248,0.000874,0,0.000999,0.000687,0.000562,0.000936,0.000437,0.000312,0.000687,0.000437,0.001373,0.00181,0.000125,0.000999,0.000811,0,0.001061,0.001061,0.000374,0,0.000687,0.001311,0.000749,0.000624,0,0.000874,0.000562,0,0.000374,0.001373,0.001186,0.000312,0,0.00156,0.000312,0.001061,0,0.000125,0.000374,0.000811,0.000562,0.001061,0.000749,0.000062,0.000062,0.000374,0.000062,0.001373,0.000811,0.000062,0,0,0,0.000499,0.000062,0.000187,0.000312,0.000062,0.000687,0.000499,0.000374,0.000499,0.000437,0.000687,0.00025,0,0,0.000187,0.00025,0.000062,0.000062,0.000999,0.000125,0.000062,0,0.000936,0.000125,0.000624,0.000687,0.000187,0.000499,0.000374,0.000374,0.000437,0.00025,0.000624,0.00025,0,0,0.000562,0.000562,0.000749,0.000062,0,0.000374,0.000187,0.000062,0,0.000125,succ
0.107116,0.040074,0.034865,0.030413,0.020583,0.014198,0.009157,0.003024,0.00336,0.01067,0.00294,0.001428,0.003949,0.001848,0.007141,0.000756,0.014702,0.001848,0.005629,0.000336,0.005041,0.001764,0.005293,0.000084,0.00294,0.003108,0.00336,0.002016,0.001848,0.001344,0.00042,0.000504,0.003276,0.001512,0.00126,0.000168,0.003276,0.001176,0,0,0.004621,0,0,0.001344,0.0021,0.00042,0.000336,0,0.001596,0,0.000336,0.001008,0,0.000504,0,0.00126,0,0.000252,0.002436,0.000336,0,0.00294,0,0.000252,0.001008,0.000504,0.00042,0.000084,0.000252,0.000504,0.002688,0.000084,0.002688,0.000504,0.001344,0.000504,0.0021,0.000504,0.00168,0.000504,0,0.000168,0.000084,0.001176,0.000084,0.000252,0.000168,0.001092,0.00084,0.000756,0.000588,0.001428,0.000756,0.000504,0.001428,0.00084,0.000252,0.001428,0.000504,0.000168,0.001932,0.000084,0.000336,0.000504,0.000504,0.001344,0.000084,0.001596,0.001428,0.000504,0.001428,0.000504,0.00042,0.000504,0.000084,0.000168,0.000084,0.00042,0.001512,0.000168,0,0.000168,0.001428,0.001932,0.000168,0,0.001008,0.001428,0,0.001092,0.000168,0.000084,0.000588,0,0.00084,0.000168,0.000336,0,0.000336,0.00126,0.000252,0.000924,0.00042,0.000168,0.000084,0.000084,0,0.000252,0.000252,0.00084,0.000168,0,0,0,0.001512,0.000084,0.000336,0.000672,0.000084,0,0.00126,0.000168,0.000252,0.00042,0.000252,0.000168,0.000084,0,0.000672,0.000336,0,0.000252,0.000756,0.000168,0.000756,0,0.000084,0.00042,0.000252,0.000252,0.00042,0.000336,0.000336,0.000252,0.001092,0.000588,0.000168,0.000336,0,0,0.000084,0.000672,0.00294,0.000252,0,0.00084,0.000252,0.000924,0,0.000336,succ
0.119353,0.025557,0.031495,0.021255,0.018759,0.019448,0.009207,0.011101,0.011187,0.007314,0.004733,0.002065,0.005507,0.004733,0.001033,0.003786,0.01024,0.002926,0.004647,0.003012,0.00611,0.003442,0.002582,0.002065,0.00284,0.00327,0.002065,0.002151,0.000688,0.001893,0.001291,0.002495,0.001377,0.001635,0.002495,0.000774,0.001463,0.001721,0.000086,0.000086,0.005335,0.000172,0.000086,0.00043,0.002582,0.003012,0.000688,0,0.000516,0.000172,0.000602,0.000861,0,0.001205,0,0.001807,0,0.002237,0.002495,0.000344,0.000258,0.001205,0,0.003098,0.001033,0.000516,0.000344,0.000344,0.000688,0.000774,0.001979,0.000086,0.000602,0.000258,0.001549,0.001205,0.001119,0.00043,0.001119,0.000774,0.000172,0.000947,0.000258,0.001291,0.000086,0.000258,0.000172,0.00043,0.000947,0.000861,0.000861,0.001291,0.000774,0.000774,0.000774,0.000516,0.000861,0.001377,0.000516,0.000602,0.000947,0,0.000602,0.001463,0.000516,0.000861,0.000602,0.000602,0.000172,0.000516,0.000516,0.000516,0.001033,0.001033,0.000602,0.00043,0,0.001119,0.001033,0.000774,0,0.000602,0.001463,0.001119,0.000344,0,0.000774,0.000258,0,0.000688,0.000258,0.000086,0.000086,0,0.000516,0.000086,0.000774,0.000344,0.000086,0.000861,0.000172,0.000602,0.000861,0.000258,0.000258,0,0.001033,0.000774,0.000344,0.000602,0.000258,0,0.000086,0,0.000947,0.000086,0,0.000086,0,0.000344,0.000602,0.000086,0.000086,0.000947,0.00043,0.000344,0,0,0.000086,0.000172,0,0.000172,0.001205,0.000086,0,0,0.000086,0.000086,0.000516,0.00043,0.000516,0.000344,0.000516,0.000086,0.000172,0.000774,0.001291,0.000172,0,0,0.000086,0.000947,0.000172,0.001119,0,0.000774,0.000086,0.000086,0.000086,0.000172,succ
0.101248,0.021783,0.022206,0.019985,0.013482,0.021043,0.017712,0.014011,0.013905,0.007138,0.011843,0.006133,0.008671,0.003648,0.007561,0.006186,0.007613,0.008988,0.005076,0.005604,0.007085,0.002749,0.005287,0.003807,0.005287,0.005604,0.002644,0.002273,0.000687,0.002062,0.001005,0.002168,0.001163,0.003648,0.003754,0.00037,0.001586,0.002749,0,0.003278,0.002115,0,0.000106,0.000053,0.003965,0.002908,0.001639,0,0.001216,0,0.000687,0.002115,0,0.000899,0,0.003807,0,0.000582,0.001375,0.000687,0.000529,0.001956,0,0.000159,0.001269,0.000846,0.002908,0.000687,0.003067,0.001639,0.002168,0.000106,0.001057,0.000476,0.002379,0.001639,0.001163,0.002908,0.00148,0.001322,0.002644,0.001163,0.001903,0.000529,0,0.00074,0.000211,0.002168,0.001586,0.000952,0.002273,0.000793,0.000899,0.000952,0.00074,0.002168,0.001005,0.000053,0.001005,0.001322,0.002062,0.000899,0,0.000793,0.000846,0.000529,0.001216,0.000053,0.00074,0.000846,0.000952,0.001322,0.002696,0.00185,0,0.000476,0,0.000687,0.000899,0.00037,0,0.000846,0.001692,0.00074,0.00074,0.000053,0.000952,0.000952,0,0.002644,0.000211,0.002644,0.000159,0,0.001269,0.000053,0.000476,0.000106,0.000423,0.00037,0.000687,0.000106,0.000582,0.00037,0.000317,0.000211,0.000687,0.003754,0.000846,0.000423,0.000846,0,0,0.000053,0.00037,0,0.00037,0.000529,0.000211,0.000211,0.001216,0.000159,0.001005,0.001903,0.000423,0,0,0,0.000106,0.000846,0.000053,0.00111,0.000634,0.000317,0.001057,0,0.000159,0,0.000264,0.000423,0.000476,0.000582,0.000423,0,0.000264,0.000053,0.000634,0.000423,0,0,0.00037,0.00074,0.000053,0.000053,0,0.000476,0,0.000846,0.000053,0.000106,succ
0.111329,0.028002,0.023851,0.015926,0.01585,0.015775,0.018794,0.007246,0.008906,0.009208,0.012454,0.008831,0.009963,0.014794,0.011925,0.005359,0.006038,0.008453,0.008076,0.004831,0.004151,0.00234,0.006416,0.001434,0.007699,0.003547,0.002264,0.003472,0.000906,0.003925,0.003698,0.001585,0.00083,0.003547,0.002113,0.000377,0.00151,0.00234,0.000075,0.000604,0.000755,0,0,0.000075,0.002264,0.003095,0.001283,0,0.003698,0.000151,0.000377,0.002642,0,0.001887,0,0.003321,0,0.000075,0.001208,0.00151,0.000453,0.003246,0,0.002264,0.001811,0.000226,0.000226,0.000377,0.001057,0.001359,0.000981,0.002566,0.001283,0.000906,0.002491,0.00234,0.001585,0.000906,0.001208,0.001887,0.000679,0.001057,0.001057,0.000906,0.000226,0.000302,0.001208,0.00083,0.000906,0.002717,0.001585,0.00083,0.000755,0.00151,0.001283,0.000226,0.00083,0.001132,0.001736,0.000906,0.00083,0.000226,0,0.000906,0.000453,0.001057,0.001585,0.001208,0.000528,0.000453,0.001811,0.000604,0.001887,0.000528,0.000302,0.000604,0.000226,0.001887,0.000453,0.000377,0,0.000377,0.000755,0.000302,0.000755,0,0.001585,0.000981,0,0.000604,0.000755,0.002642,0.000755,0,0.000528,0.000151,0.001736,0.000453,0.000151,0.000453,0.001359,0.00083,0.001132,0.000302,0.000528,0.000151,0.000604,0.000151,0.001057,0.000377,0.000453,0,0,0,0.000075,0,0.000302,0.00083,0.000075,0.000075,0.000453,0.000226,0.000679,0.001132,0.000453,0.000151,0.000075,0,0.000151,0.000377,0,0.000906,0.00083,0.000302,0.000151,0,0.000377,0.000302,0.000226,0.000453,0.000302,0.000906,0.000604,0.000528,0.000151,0.000075,0.001283,0.000302,0.000075,0,0.000075,0.000755,0.000151,0.000755,0,0.000151,0.000151,0.001208,0,0.000906,succ
0.111874,0.026898,0.027996,0.023275,0.023659,0.012351,0.015755,0.00538,0.006148,0.005325,0.009936,0.000604,0.011418,0.004062,0.008069,0.001372,0.006368,0.008563,0.004501,0.001098,0.008948,0.001537,0.006697,0.000165,0.006752,0.001702,0.001976,0.000055,0.00247,0.001702,0.001263,0.000823,0.004172,0.00247,0.004392,0.000274,0.003129,0.00247,0,0.000329,0.003568,0,0.000055,0.000329,0.001866,0.001372,0.00258,0,0.000823,0,0.000055,0.000329,0.000055,0.0028,0,0.001098,0,0.000604,0.001208,0.001153,0.000274,0.00269,0.000055,0.000055,0.001702,0.000439,0.00011,0.000165,0.001263,0.001098,0.001482,0.00011,0.000494,0.000769,0.000659,0.000769,0.001317,0.003678,0.001043,0.000933,0.003074,0.004666,0.00011,0.000714,0.000055,0.000274,0.000988,0.001592,0.000604,0.002251,0.001866,0.001592,0.002196,0.001592,0.001647,0.000659,0.000274,0.002415,0.00011,0.001208,0.001537,0.000823,0,0.000549,0.001482,0.00011,0.000274,0.001263,0.00011,0.001372,0.000494,0.000384,0.00022,0.000494,0.000274,0.000384,0,0.003843,0.000494,0.000769,0,0.000494,0.001482,0.00011,0.00011,0,0.000494,0.000823,0,0.001317,0.001372,0.002525,0.000384,0,0.001811,0.000494,0.001427,0.000549,0.000329,0.000384,0.000604,0.000384,0.001263,0.001263,0.000055,0.000055,0.000384,0.00022,0.000165,0.000878,0.000165,0,0,0,0.00022,0.000055,0.000439,0.000494,0.000439,0.000604,0.000494,0.000055,0.000604,0.000494,0.001647,0.00022,0,0,0.000055,0.000659,0,0.00022,0.000933,0.00011,0.000274,0,0.000714,0.000055,0.000055,0.001647,0.00011,0.000823,0.000329,0,0.000439,0.000055,0.000165,0.000329,0,0,0.000439,0.000933,0.000165,0.000055,0,0.000274,0.000274,0.000878,0,0.000165,succ
