小说名,的,了,不,在,就,着,也,都,还,中,上,很,被,啊,又,把,吧,里,已经,地,没,却,得,过,对,没有,从,一,才,后,将,给,再,哈哈,只,吗,之,哈哈哈,最,呢,太,向,更,下,便,跟,之后,用,并,还是,前,真,与,里面,先,比,和,别,连,以,所,只是,一直,因为,为,似乎,竟然,一边,最后,当然,正,以后,于,刚,等,往,一定,内,对于,面前,为了,居然,非常,一样,大,终于,其实,可,根本,之前,不要,顿时,真是,刚刚,自然,多,不过,么,毕竟,难道,嘛,快,以前,哦,旁边,外,肯定,可是,除了,再次,之中,已,绝对,呀,有点,越,的话,来说,忽然,实在,正在,上面,很快,就算,几乎,间,当,慢慢,嗯,周围,般,一起,本来,立刻,外面,像,微微,甚至,后面,赶紧,倒是,之间,比较,马上,身后,到底,则,原来,到,边,不用,而已,总,真的,由,随着,更加,好好,就要,仿佛,必须,挺,前面,啦,越来越,好,倒,随后,连忙,简直,早就,未,不断,全,或许,果然,就是,原本,至于,至少,朝,反正,也许,呵呵,极,恐怕,按照,一旁,朝着,通过,特别,经过,轻轻,狠狠,不再,曾经,从来,渐渐,重新,不禁,class
YY之王（原名龙）,0.027541,0.005842,0.002935,0.00423,0.001842,0.002015,0.002475,0.001468,0.000777,0.002158,0.001381,0.000719,0.000978,0.000173,0.000576,0.000719,0.000144,0.000518,5.80E-05,8.60E-05,8.60E-05,0.000576,0.000633,0.000547,0.000576,8.60E-05,0.000748,0.000115,0.000403,0.000748,0.000144,8.60E-05,0.000345,0,0.00046,0.000201,0.000806,1.40E-05,0.000662,0.000115,0.000432,0.000403,0.000345,0.000288,0.000172,2.90E-05,0.000144,0.000172,0.000691,5.80E-05,0.000345,0.000186,5.80E-05,2.90E-05,2.90E-05,0.00023,0.00023,2.90E-05,0.000259,0.000144,0.000518,2.90E-05,2.90E-05,5.80E-05,5.80E-05,0.000144,5.80E-05,8.60E-05,0.000173,5.80E-05,2.90E-05,2.90E-05,0.000144,5.80E-05,0.000115,7.20E-05,0.000115,0.000259,0.000144,0.000115,5.80E-05,0.000259,2.90E-05,0.000115,0.000143,8.60E-05,5.80E-05,0.000186,5.70E-05,0.000115,5.80E-05,2.90E-05,2.90E-05,5.80E-05,5.80E-05,2.90E-05,0.000403,1.40E-05,5.80E-05,8.60E-05,8.60E-05,4.30E-05,5.80E-05,2.90E-05,2.90E-05,0.000144,5.80E-05,2.90E-05,2.90E-05,0.000144,0.000115,5.80E-05,0.000173,5.70E-05,8.60E-05,5.70E-05,2.90E-05,2.90E-05,0.000173,0.00423,2.90E-05,8.60E-05,0.000173,2.90E-05,0.000317,5.70E-05,5.80E-05,5.80E-05,2.90E-05,0.000144,5.80E-05,0.000115,2.90E-05,0.000115,2.90E-05,0.000215,5.80E-05,2.90E-05,2.90E-05,1.40E-05,4.30E-05,2.90E-05,5.80E-05,0.001381,0.000748,8.60E-05,2.90E-05,2.90E-05,8.60E-05,2.90E-05,2.90E-05,5.80E-05,2.90E-05,2.90E-05,8.60E-05,2.90E-05,8.60E-05,2.90E-05,2.90E-05,0.000115,0.000201,2.90E-05,0.000345,2.90E-05,2.90E-05,5.80E-05,4.30E-05,0.000748,2.90E-05,2.90E-05,0.001842,0.000144,2.90E-05,0.000144,1.40E-05,2.90E-05,0.001842,2.90E-05,2.90E-05,2.90E-05,1.40E-05,2.90E-05,2.90E-05,5.70E-05,8.60E-05,0.000259,2.90E-05,2.90E-05,0.002015,8.60E-05,2.90E-05,0.000144,0.0001,2.90E-05,0.000345,2.90E-05,2.90E-05,7.20E-05,2.90E-05,0.002935,succ
YY之王三部曲之传媒帝国,0.015828,0.008975,0.003011,0.00347,0.003039,0.003455,0.001849,0.001348,0.000746,0.000588,0.000746,0.001147,0.000545,0.000789,0.000774,0.000875,0.000746,0.000803,1.40E-05,0.002065,0.000373,0.000244,0.000717,0.000631,0.000688,0.000373,0.000344,0.00043,0.000588,8.60E-05,0.000301,0.000387,0.000444,0,0.000272,0.000473,0.000344,1.40E-05,0.000516,0.000344,0.000315,0.000115,7.20E-05,0.000158,0.000172,0.000588,8.60E-05,0.000172,0.000315,0.000215,7.20E-05,0.000186,0.000416,0.000215,0.000158,0.000272,7.20E-05,0.000115,0.000143,0.000115,0.000301,0.000158,7.20E-05,0.000143,0.000229,1.40E-05,5.70E-05,2.90E-05,8.60E-05,0.000158,0.000201,8.60E-05,0.00043,0.000172,0.000129,7.20E-05,0.00033,2.90E-05,2.90E-05,7.20E-05,0.0001,8.60E-05,2.90E-05,0.0001,0.000143,0.000186,0.000186,0.000186,5.70E-05,2.90E-05,0.000272,0.000258,0.000186,0.000115,2.90E-05,8.60E-05,2.90E-05,1.40E-05,2.90E-05,1.40E-05,7.20E-05,4.30E-05,1.40E-05,0.000172,2.90E-05,1.40E-05,0,0.000129,8.60E-05,0.000115,8.60E-05,4.30E-05,4.30E-05,5.70E-05,8.60E-05,5.70E-05,0.000201,4.30E-05,0,7.20E-05,0.000115,0.0001,4.30E-05,4.30E-05,1.40E-05,5.70E-05,0.000158,4.30E-05,0.0001,1.40E-05,0,0.000344,4.30E-05,0,1.40E-05,0.000215,2.90E-05,1.40E-05,2.90E-05,1.40E-05,4.30E-05,4.30E-05,0.000129,0.000272,8.60E-05,8.60E-05,4.30E-05,1.40E-05,8.60E-05,2.90E-05,4.30E-05,4.30E-05,4.30E-05,7.20E-05,0.000115,1.40E-05,2.90E-05,4.30E-05,0.0001,8.60E-05,7.20E-05,2.90E-05,2.90E-05,1.40E-05,2.90E-05,7.20E-05,4.30E-05,8.60E-05,1.40E-05,5.70E-05,2.90E-05,0.000115,0.003011,1.40E-05,1.40E-05,2.90E-05,7.20E-05,2.90E-05,1.40E-05,1.40E-05,1.40E-05,5.70E-05,7.20E-05,5.70E-05,7.20E-05,1.40E-05,1.40E-05,5.70E-05,1.40E-05,4.30E-05,4.30E-05,1.40E-05,0.0001,4.30E-05,0.000444,1.40E-05,4.30E-05,7.20E-05,1.40E-05,1.40E-05,succ
暗房,0.022806,0.008663,0.003691,0.003912,0.002077,0.00232,0.002497,0.002144,0.000972,0.000972,0.000818,0.001304,0.000442,0.000575,0.000597,0.00042,0.000685,0.00095,2.20E-05,0.001569,0.00042,0.000729,0.000597,0.000398,0.000331,0.00042,0.000663,0.000354,0.000508,0.000155,0.000331,0.000508,0.000243,0.000108,0.000354,0.000221,0.000331,0.000108,0.00042,0.000265,0.000464,8.80E-05,0.00042,8.80E-05,0.000773,6.60E-05,0.000155,0.000199,0.000729,0.000287,0.000155,6.60E-05,0.00053,4.40E-05,4.40E-05,0.000199,0.00011,0.000199,4.40E-05,0.000155,0.00011,0.000265,2.20E-05,0.000155,0.000155,0.000155,4.40E-05,2.20E-05,8.80E-05,0.000133,2.20E-05,8.80E-05,0.00011,4.40E-05,0.000199,4.40E-05,6.60E-05,4.40E-05,0.00011,0.000155,0.000133,0.000133,8.80E-05,0.00011,2.20E-05,2.20E-05,2.20E-05,0.00011,0.000155,0.000133,6.60E-05,3.10E-05,6.60E-05,4.40E-05,4.40E-05,0.00011,6.60E-05,0.00011,6.60E-05,6.60E-05,4.40E-05,7.70E-05,2.20E-05,0.00011,2.20E-05,4.60E-05,8.80E-05,0.00011,0.000177,0.000243,0.000309,0.000417,4.40E-05,6.60E-05,0.00011,6.60E-05,4.40E-05,4.40E-05,4.40E-05,0.000155,2.20E-05,2.20E-05,2.20E-05,6.60E-05,0.000155,4.40E-05,0.000133,2.20E-05,4.40E-05,0.000133,6.60E-05,4.40E-05,6.60E-05,6.60E-05,2.20E-05,0.000155,4.40E-05,4.40E-05,0.000155,2.20E-05,4.40E-05,4.40E-05,4.40E-05,2.20E-05,8.80E-05,6.60E-05,0.000199,4.40E-05,6.60E-05,2.20E-05,0.000155,0.000177,4.40E-05,6.60E-05,4.40E-05,0.00232,6.60E-05,4.40E-05,4.40E-05,0.000133,2.20E-05,2.20E-05,2.20E-05,1.50E-05,2.20E-05,2.10E-05,4.40E-05,2.20E-05,4.40E-05,2.20E-05,2.20E-05,2.20E-05,2.20E-05,2.20E-05,0.000133,2.20E-05,0.002077,6.60E-05,4.40E-05,4.40E-05,7.70E-05,2.20E-05,0.002497,4.40E-05,4.40E-05,2.20E-05,2.20E-05,0.000354,6.60E-05,6.60E-05,2.20E-05,2.20E-05,0.000133,6.60E-05,0.000243,2.20E-05,4.40E-05,8.80E-05,2.20E-05,0.003691,succ
暗黑笔记,0.01989,0.007662,0.003051,0.003258,0.002524,0.002225,0.003258,0.001721,0.000757,0.000642,0.000895,0.000229,0.000505,0.000757,0.000436,0.000275,0.000482,0.000138,0.001078,9.20E-05,0.000321,0.002501,0.00078,0.000528,0.00039,0.000321,0.000229,0.000436,0.000482,0.000161,0.00078,0.000275,0.000115,0.000108,0.000528,9.20E-05,0.001744,0.000108,0.000275,6.90E-05,0.000436,0.000115,0.000459,0.000161,0.000115,0.000383,0.000161,6.90E-05,0.000344,0.000206,9.20E-05,2.30E-05,0.000144,0.000138,0.000115,0.000206,0.000206,2.30E-05,0.000206,0.000229,0.000229,0.000275,2.30E-05,2.30E-05,0.000252,0.000252,2.40E-05,0.000138,0.000161,4.60E-05,2.30E-05,2.30E-05,0.000298,2.30E-05,0.000505,0.000115,0.000138,4.60E-05,0.000298,9.20E-05,2.30E-05,0.000206,0.000138,0.000115,0.000229,6.90E-05,0.000161,9.20E-05,2.30E-05,9.20E-05,2.30E-05,0.000321,2.30E-05,2.30E-05,9.20E-05,6.90E-05,0.000138,7.20E-05,0.000252,0.00012,2.40E-05,9.60E-05,4.60E-05,2.30E-05,2.30E-05,6.90E-05,2.30E-05,9.20E-05,2.30E-05,0.000115,0.000436,0.000417,0.000138,2.40E-05,0.000144,4.60E-05,9.20E-05,9.20E-05,0.000252,0.000161,2.30E-05,4.60E-05,9.20E-05,4.60E-05,4.60E-05,0.000138,4.60E-05,9.20E-05,0.000161,0.000161,6.90E-05,2.30E-05,2.30E-05,6.90E-05,6.90E-05,9.20E-05,0.00039,2.30E-05,0.000161,7.20E-05,0.000115,0.000138,9.20E-05,6.90E-05,2.30E-05,9.20E-05,0.000229,2.30E-05,9.20E-05,0.000138,6.90E-05,0.000161,4.60E-05,2.30E-05,4.60E-05,9.20E-05,0.000459,2.30E-05,6.90E-05,0.000161,0.000161,4.80E-05,9.20E-05,4.80E-05,4.60E-05,2.30E-05,4.40E-05,0.000161,0.000138,2.30E-05,0.000184,2.20E-05,0.000206,2.30E-05,9.20E-05,2.20E-05,0.000115,2.30E-05,2.30E-05,2.30E-05,4.80E-05,2.30E-05,0.003258,4.40E-05,9.20E-05,4.60E-05,4.60E-05,2.30E-05,0.002225,6.90E-05,2.30E-05,2.30E-05,2.40E-05,2.30E-05,4.60E-05,6.90E-05,0.000115,2.30E-05,9.60E-05,0.003051,succ
暗灵法医,0.018852,0.007354,0.003401,0.002851,0.002779,0.001509,0.00182,0.001964,0.00103,0.000671,0.000623,0.001054,0.000838,0.000503,0.000503,0.000767,0.000287,0.000814,2.40E-05,0.000263,0.000407,0.000144,0.000479,0.000287,0.001006,0.000407,0.000743,0.00012,0.000407,0.000838,0.000551,0.000575,0.000479,0.000108,0.000144,0.000599,7.20E-05,0.000108,0.000886,0.000479,0.00024,7.20E-05,0.000527,0.000455,0.00012,0.000383,7.20E-05,9.60E-05,0.000168,9.60E-05,0.000192,4.80E-05,0.000144,0.000192,0.000216,0.00012,7.20E-05,0.000144,2.40E-05,0.000216,0.000216,9.60E-05,2.40E-05,2.40E-05,0.000168,0.000155,2.40E-05,9.60E-05,7.20E-05,0.000144,2.20E-05,4.80E-05,0.000287,2.40E-05,0.00024,7.20E-05,4.80E-05,0.000263,2.40E-05,0.000192,4.80E-05,0.000133,9.60E-05,0.00012,2.20E-05,2.40E-05,9.60E-05,9.60E-05,7.20E-05,7.20E-05,0.000263,3.10E-05,2.40E-05,2.40E-05,7.20E-05,0.00012,2.40E-05,7.20E-05,2.40E-05,0.00012,2.40E-05,9.60E-05,7.20E-05,0.00011,9.60E-05,7.20E-05,0.000168,4.80E-05,9.60E-05,2.40E-05,2.40E-05,0.000417,0.00012,2.40E-05,0.000144,9.60E-05,2.40E-05,2.40E-05,2.40E-05,4.80E-05,7.20E-05,2.40E-05,4.80E-05,2.40E-05,9.60E-05,0.00012,0.000144,4.80E-05,9.60E-05,7.20E-05,4.80E-05,0.00012,2.40E-05,6.60E-05,2.40E-05,2.40E-05,4.40E-05,2.40E-05,7.20E-05,7.20E-05,9.60E-05,7.20E-05,2.40E-05,2.40E-05,2.40E-05,4.80E-05,2.40E-05,2.40E-05,0.000144,9.60E-05,2.40E-05,0.000177,2.40E-05,2.40E-05,7.20E-05,2.40E-05,0.000527,2.40E-05,4.80E-05,2.40E-05,0.000144,4.80E-05,4.80E-05,4.80E-05,2.40E-05,2.40E-05,4.40E-05,2.40E-05,2.40E-05,2.40E-05,0.002779,2.20E-05,2.40E-05,2.40E-05,9.60E-05,2.20E-05,9.60E-05,6.60E-05,2.40E-05,2.40E-05,4.80E-05,9.60E-05,2.40E-05,4.40E-05,2.40E-05,0.000168,4.80E-05,0.00012,4.80E-05,0.000144,2.40E-05,2.40E-05,2.40E-05,6.60E-05,0.000479,2.40E-05,2.40E-05,8.80E-05,9.60E-05,0.003401,succ
暗之职业经理人,0.017664,0.009295,0.004447,0.003675,0.002424,0.002934,0.002378,0.001606,0.000911,0.001019,0.000957,0.000355,0.000803,0.000108,0.001035,0.000618,0.00054,0.00139,1.50E-05,1.50E-05,0.000648,0.000525,0.000849,0.000648,0.000494,0.00034,0.000571,0.000849,0.000448,0.000293,0.000154,0.000401,0.00071,0.000108,0.000556,0.000201,0.000494,0.000108,0.000448,0.000185,0.000309,0.000432,0.000185,0.000247,0.000154,0.000185,0.000293,0.000154,0.000247,0.000185,0.000139,0.000154,4.60E-05,6.20E-05,0.000262,9.30E-05,0.00051,0.00017,0.00017,0.000154,7.70E-05,0.000108,1.50E-05,3.10E-05,3.10E-05,0.000124,0.000124,9.30E-05,0.000154,3.10E-05,0.000324,0.000154,4.60E-05,9.30E-05,9.30E-05,1.50E-05,1.50E-05,4.60E-05,4.60E-05,7.70E-05,3.10E-05,0.000201,3.10E-05,0.000247,0.000232,4.60E-05,9.30E-05,0.000108,4.60E-05,6.20E-05,7.70E-05,3.10E-05,4.60E-05,9.30E-05,6.20E-05,6.20E-05,0.000108,6.20E-05,6.20E-05,2.20E-05,8.20E-05,7.70E-05,6.20E-05,6.20E-05,1.50E-05,4.60E-05,1.50E-05,0.000108,1.50E-05,1.50E-05,0.000108,0.000417,4.60E-05,3.10E-05,7.70E-05,0.000139,9.30E-05,3.10E-05,1.70E-05,0.000124,6.20E-05,1.50E-05,3.10E-05,0.000154,0.000139,0.000124,4.10E-05,3.10E-05,2.10E-05,7.70E-05,7.70E-05,3.10E-05,4.60E-05,7.70E-05,4.60E-05,7.70E-05,4.60E-05,1.50E-05,4.60E-05,1.50E-05,0.000108,0.000108,1.50E-05,6.20E-05,0.000124,1.50E-05,1.50E-05,1.50E-05,6.20E-05,9.30E-05,0.000139,4.60E-05,3.10E-05,7.70E-05,9.30E-05,3.10E-05,3.10E-05,0.000108,6.20E-05,0.000154,7.70E-05,3.10E-05,3.10E-05,1.50E-05,4.60E-05,2.10E-05,0.000154,7.70E-05,1.50E-05,1.50E-05,7.70E-05,6.20E-05,0.004447,6.20E-05,0.000123,4.60E-05,4.60E-05,4.60E-05,1.50E-05,1.50E-05,7.70E-05,0.000108,6.20E-05,6.20E-05,0.000262,3.10E-05,1.50E-05,3.10E-05,7.70E-05,1.50E-05,4.60E-05,1.50E-05,0.000108,1.50E-05,0.000108,1.50E-05,4.60E-05,4.60E-05,3.10E-05,3.10E-05,succ
熬鹰航空业,0.01493,0.008344,0.004791,0.002046,0.003087,0.001346,0.002584,0.001651,0.001597,0.000413,0.000736,0.001077,0.000449,0.000682,0.000933,0.000897,0.0007,0.000323,0.0007,0.001119,0.00052,0.000538,0.001292,0.0007,0.001041,0.000377,0.000359,0.000485,0.000556,0.000395,0.000359,0.000359,0.000861,0.000144,0.000287,0.000323,0.000377,3.60E-05,0.000377,3.60E-05,0.000269,0.000502,0.000377,0.000162,0.000144,8.10E-05,0.000144,0.000215,0.000179,0.000251,7.20E-05,0.000251,0.000108,9.00E-05,0.000162,0.000197,0.000215,9.00E-05,0.000233,0.000359,0.000377,0.000144,5.40E-05,3.60E-05,0.000323,1.80E-05,4.10E-05,9.00E-05,0.000197,5.40E-05,1.80E-05,0.000305,0.000233,3.60E-05,0.000108,1.80E-05,0.000233,3.60E-05,0.000126,7.20E-05,0.000251,5.40E-05,3.60E-05,9.00E-05,1.80E-05,1.80E-05,0.000162,3.60E-05,0.000108,7.20E-05,0.000251,1.80E-05,0.000179,3.60E-05,1.80E-05,0.000126,0.000215,4.10E-05,0.000251,0.000126,0.000323,7.20E-05,7.20E-05,0.000126,3.60E-05,0.000122,0.000215,3.60E-05,3.60E-05,9.00E-05,7.20E-05,0.000243,1.80E-05,1.80E-05,7.20E-05,0.000144,5.40E-05,3.60E-05,5.40E-05,0.000108,1.80E-05,0.000144,7.20E-05,0.000126,0.000126,1.80E-05,5.40E-05,5.40E-05,0.000108,5.40E-05,1.80E-05,1.80E-05,1.80E-05,7.20E-05,3.60E-05,0.000108,5.40E-05,7.20E-05,1.80E-05,2.00E-05,1.80E-05,1.80E-05,3.60E-05,0.000108,0.000395,0.000108,1.80E-05,3.60E-05,0.000162,9.00E-05,9.00E-05,9.00E-05,0.000126,3.60E-05,7.20E-05,1.80E-05,5.40E-05,1.80E-05,0.000144,6.10E-05,1.80E-05,0.000162,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,0.000126,3.60E-05,3.60E-05,6.10E-05,5.40E-05,5.40E-05,0.000203,5.40E-05,9.00E-05,2.00E-05,3.60E-05,1.80E-05,2.00E-05,1.80E-05,0.000126,3.60E-05,1.80E-05,0.000233,1.80E-05,3.60E-05,0.001346,1.80E-05,9.00E-05,3.60E-05,5.40E-05,2.00E-05,5.40E-05,1.80E-05,3.60E-05,1.80E-05,3.60E-05,1.80E-05,succ
傲临天下,0.021582,0.007689,0.003511,0.003288,0.003362,0.002027,0.001755,0.001731,0.001137,0.001187,0.000989,0.000742,0.000915,0.000445,0.000544,0.000989,0.000371,0.000667,2.50E-05,9.90E-05,0.000346,0.001038,0.000371,0.000865,0.000569,0.000346,0.000618,0.000321,0.000321,0.000593,0.000124,0.000321,0.000396,3.60E-05,0.00047,0.000222,0.000198,3.60E-05,0.00089,0.000124,0.000396,0.000346,0.000297,9.90E-05,7.40E-05,2.50E-05,4.90E-05,0.000321,0.000272,7.40E-05,0.000222,7.40E-05,0.000445,0.000247,2.50E-05,0.000371,0.000148,7.40E-05,0.000247,0.000148,0.000198,0.000198,2.50E-05,0.000124,0.000124,0.000148,2.50E-05,4.90E-05,0.000148,7.40E-05,9.90E-05,4.90E-05,2.50E-05,4.90E-05,2.50E-05,1.80E-05,0.000321,0.000124,2.50E-05,2.50E-05,7.40E-05,0.00015,2.50E-05,0.000124,4.90E-05,2.50E-05,7.40E-05,9.90E-05,4.90E-05,4.90E-05,7.40E-05,0.000163,4.90E-05,4.90E-05,2.50E-05,0.000163,7.40E-05,2.50E-05,2.50E-05,2.50E-05,5.40E-05,3.60E-05,0.000124,4.90E-05,4.90E-05,7.40E-05,4.90E-05,2.50E-05,7.40E-05,9.90E-05,4.90E-05,2.50E-05,2.50E-05,4.90E-05,4.90E-05,2.50E-05,0.000198,2.50E-05,1.80E-05,9.90E-05,4.90E-05,0.000148,2.50E-05,4.90E-05,9.10E-05,2.50E-05,5.40E-05,2.50E-05,4.90E-05,4.90E-05,2.50E-05,2.50E-05,2.50E-05,7.40E-05,7.40E-05,4.90E-05,0.000173,2.50E-05,0.000593,2.50E-05,4.90E-05,2.50E-05,2.50E-05,4.90E-05,0.000593,7.40E-05,2.50E-05,2.50E-05,7.40E-05,4.90E-05,0.000198,2.50E-05,2.50E-05,4.90E-05,2.50E-05,0.000124,9.90E-05,1.80E-05,4.90E-05,1.90E-05,2.50E-05,2.50E-05,7.40E-05,2.50E-05,2.50E-05,1.80E-05,4.90E-05,7.40E-05,0.000247,2.50E-05,4.90E-05,2.50E-05,2.50E-05,2.50E-05,7.40E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,3.60E-05,1.80E-05,4.90E-05,2.50E-05,0.000148,9.90E-05,0.000173,3.60E-05,2.50E-05,2.50E-05,2.50E-05,7.40E-05,2.50E-05,2.50E-05,2.50E-05,0.000396,3.60E-05,2.50E-05,2.50E-05,4.90E-05,2.50E-05,succ
霸气,0.017581,0.009208,0.003856,0.002762,0.003338,0.00187,0.00282,0.002417,0.00141,0.000173,0.000432,0.000978,0.000259,0.000604,0.000489,0.00046,0.000777,0.001324,0.000432,8.60E-05,0.000719,0.000662,8.60E-05,0.000518,0.000806,0.000662,0.000317,0.000144,0.000489,0.00023,8.60E-05,0.000547,0.000374,0.000173,0.000403,0.000547,5.80E-05,0.000173,0.000719,0.000403,0.000432,0.000115,0.000432,0.000201,2.90E-05,0.00095,5.80E-05,5.80E-05,0.00046,0.000144,0.000115,0.000201,4.20E-05,0.001324,0.000374,0.000317,0.000167,0.00023,0.000259,0.000147,0.000144,0.000201,2.90E-05,2.90E-05,2.90E-05,8.60E-05,5.80E-05,2.90E-05,0.00023,2.90E-05,0.000144,0.00023,5.80E-05,0.000201,8.60E-05,2.90E-05,0.000115,8.40E-05,5.80E-05,0.000115,2.90E-05,0.000114,0.000806,0.000144,2.90E-05,2.90E-05,0.00023,0.00023,2.90E-05,5.80E-05,5.80E-05,2.30E-05,8.60E-05,0.000201,2.90E-05,0.000173,8.60E-05,0.00023,0.000547,2.90E-05,0.000201,8.60E-05,0.000115,8.60E-05,2.90E-05,0.000115,0.000173,0.000144,8.60E-05,2.90E-05,5.80E-05,6.30E-05,5.80E-05,0.000518,0.00023,0.000115,0.000259,8.60E-05,0.000115,5.80E-05,5.80E-05,0.000432,8.60E-05,8.60E-05,8.60E-05,5.80E-05,2.90E-05,5.80E-05,2.90E-05,8.40E-05,0.000147,0.000144,2.90E-05,2.90E-05,2.90E-05,0.000115,8.60E-05,2.90E-05,5.80E-05,2.90E-05,5.80E-05,5.80E-05,5.80E-05,2.90E-05,0.00023,2.90E-05,0.000144,2.10E-05,2.90E-05,0.000144,5.80E-05,0.000144,8.60E-05,0.000115,0.000115,5.80E-05,8.60E-05,2.90E-05,5.80E-05,0.000114,8.60E-05,0.000144,5.80E-05,5.80E-05,0.000115,2.90E-05,3.90E-05,8.60E-05,8.60E-05,2.90E-05,5.80E-05,4.20E-05,0.003856,2.90E-05,5.80E-05,5.80E-05,0.000144,2.90E-05,2.90E-05,2.90E-05,0.000115,8.60E-05,0.00282,2.10E-05,6.30E-05,2.90E-05,2.90E-05,2.90E-05,0.000115,2.90E-05,0.00023,0.000518,2.90E-05,0.000116,2.90E-05,2.90E-05,2.90E-05,2.90E-05,2.90E-05,2.90E-05,succ
白学时代,0.01553,0.00895,0.004212,0.002855,0.003219,0.003685,0.002227,0.0016,0.001053,0.001255,0.000607,0.000526,0.001053,0.000526,0.000749,0.000263,0.000587,0.000567,2.00E-05,0.00085,0.000749,0.000445,0.000263,0.000405,0.00081,0.000385,0.000486,0.000688,0.000607,0.000567,0.000931,0.000526,0.000324,2.00E-05,0.000587,0.000486,0.000142,2.00E-05,0.000324,0.000324,0.000263,0.000283,0.000283,0.000223,0.000243,0.000688,0.000142,0.000243,0.000304,0.000182,0.000101,0.000121,8.10E-05,0.000567,0.000101,0.000121,0.000186,0.000162,0.000223,0.000243,0.000162,0.000121,2.00E-05,0.000202,0.000202,4.00E-05,2.00E-05,8.10E-05,0.000304,4.00E-05,0.000101,2.00E-05,6.10E-05,0.000162,0.000182,0.000142,4.00E-05,0.000142,4.00E-05,4.00E-05,2.00E-05,0.000142,2.00E-05,0.000385,6.10E-05,6.10E-05,4.00E-05,8.10E-05,6.10E-05,0.000101,0.000162,4.00E-05,8.10E-05,0.000101,4.00E-05,2.00E-05,0.000202,0.000139,2.00E-05,0.000101,6.10E-05,0.000101,0.000101,4.00E-05,2.00E-05,6.10E-05,2.00E-05,8.10E-05,0.000101,0.000324,0.000142,2.00E-05,0.000162,0.000139,0.000101,0.000223,0.000223,2.00E-05,0.000162,4.00E-05,6.10E-05,0.000607,8.10E-05,8.10E-05,2.00E-05,8.10E-05,0.000167,6.10E-05,0.000263,0.000101,5.60E-05,0.000101,4.00E-05,8.10E-05,6.10E-05,8.10E-05,4.00E-05,4.00E-05,2.00E-05,2.00E-05,4.00E-05,6.10E-05,8.10E-05,2.00E-05,4.00E-05,2.00E-05,4.00E-05,2.00E-05,2.00E-05,0.000182,4.00E-05,2.00E-05,0.000101,4.00E-05,0.000121,0.003685,0.000142,2.00E-05,8.10E-05,0.000344,6.10E-05,6.10E-05,0.000101,7.30E-05,0.000223,2.00E-05,4.00E-05,2.00E-05,0.000223,2.00E-05,8.10E-05,8.10E-05,0.004212,3.70E-05,4.00E-05,2.00E-05,6.10E-05,2.00E-05,6.10E-05,8.10E-05,0.00039,4.00E-05,0.002227,4.00E-05,8.10E-05,2.00E-05,4.00E-05,2.00E-05,2.00E-05,4.00E-05,0.000162,4.00E-05,8.10E-05,1.90E-05,0.000324,2.00E-05,4.00E-05,2.00E-05,2.00E-05,0.004212,succ
